GloveManager recording started on 11/02/16 at 15:34:06

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017791,0.017791,1160,1896,1226,2257,2469,2032,2614,3184,2786,1713,3461,3049,2221,3016,,0.210123,0.118545,0.190024,0.603693,0.153549,0.511364,0.758220,0.908055,0.175649,0.561567,0.932062,0.955076,0.760386,0.916509
0.018004,0.035795,1158,1896,1226,2256,2469,2031,2614,3183,2786,1713,3462,3049,2221,3015,,0.207055,0.118545,0.190024,0.602273,0.153549,0.510490,0.758220,0.907242,0.175649,0.561567,0.933254,0.955076,0.760386,0.915560
0.018002,0.053798,1158,1895,1226,2256,2469,2032,2614,3183,2786,1713,3461,3049,2221,3014,,0.207055,0.117371,0.190024,0.602273,0.153549,0.511364,0.758220,0.907242,0.175649,0.561567,0.932062,0.955076,0.760386,0.914611
0.017998,0.071795,1159,1896,1226,2255,2469,2031,2614,3183,2787,1713,3462,3050,2221,3015,,0.208589,0.118545,0.190024,0.600852,0.153549,0.510490,0.758220,0.907242,0.177645,0.561567,0.933254,0.955975,0.760386,0.915560
0.018006,0.089801,1161,1897,1226,2256,2469,2030,2614,3184,2787,1713,3462,3049,2222,3014,,0.211656,0.119718,0.190024,0.602273,0.153549,0.509615,0.758220,0.908055,0.177645,0.561567,0.933254,0.955076,0.761353,0.914611
0.017995,0.107796,1161,1896,1225,2255,2470,2030,2615,3183,2787,1713,3462,3049,2221,3015,,0.211656,0.118545,0.188836,0.600852,0.154321,0.509615,0.759188,0.907242,0.177645,0.561567,0.933254,0.955076,0.760386,0.915560
0.018004,0.125800,1162,1897,1225,2255,2469,2031,2614,3183,2786,1714,3461,3049,2221,3014,,0.213190,0.119718,0.188836,0.600852,0.153549,0.510490,0.758220,0.907242,0.175649,0.562500,0.932062,0.955076,0.760386,0.914611
0.017998,0.143798,1163,1897,1225,2256,2469,2030,2615,3183,2787,1714,3461,3049,2221,3014,,0.214724,0.119718,0.188836,0.602273,0.153549,0.509615,0.759188,0.907242,0.177645,0.562500,0.932062,0.955076,0.760386,0.914611
0.018002,0.161800,1163,1897,1225,2255,2470,2030,2614,3183,2787,1714,3462,3049,2222,3015,,0.214724,0.119718,0.188836,0.600852,0.154321,0.509615,0.758220,0.907242,0.177645,0.562500,0.933254,0.955076,0.761353,0.915560
0.018003,0.179803,1163,1897,1225,2255,2470,2030,2614,3183,2787,1714,3462,3049,2222,3015,,0.214724,0.119718,0.188836,0.600852,0.154321,0.509615,0.758220,0.907242,0.177645,0.562500,0.933254,0.955076,0.761353,0.915560
0.017998,0.197801,1163,1896,1224,2255,2470,2030,2614,3183,2787,1714,3462,3048,2222,3015,,0.214724,0.118545,0.187648,0.600852,0.154321,0.509615,0.758220,0.907242,0.177645,0.562500,0.933254,0.954178,0.761353,0.915560
0.018005,0.215806,1163,1896,1224,2255,2470,2030,2614,3183,2787,1714,3462,3048,2222,3015,,0.214724,0.118545,0.187648,0.600852,0.154321,0.509615,0.758220,0.907242,0.177645,0.562500,0.933254,0.954178,0.761353,0.915560
0.018001,0.233807,1163,1896,1225,2256,2470,2029,2615,3183,2786,1715,3462,3049,2222,3015,,0.214724,0.118545,0.188836,0.602273,0.154321,0.508741,0.759188,0.907242,0.175649,0.563433,0.933254,0.955076,0.761353,0.915560
0.017997,0.251804,1163,1897,1225,2256,2470,2029,2615,3184,2786,1714,3463,3049,2222,3016,,0.214724,0.119718,0.188836,0.602273,0.154321,0.508741,0.759188,0.908055,0.175649,0.562500,0.934446,0.955076,0.761353,0.916509
0.018004,0.269809,1163,1897,1225,2256,2470,2028,2615,3184,2787,1714,3463,3048,2222,3016,,0.214724,0.119718,0.188836,0.602273,0.154321,0.507867,0.759188,0.908055,0.177645,0.562500,0.934446,0.954178,0.761353,0.916509
0.018000,0.287809,1163,1897,1225,2256,2470,2028,2615,3184,2787,1714,3463,3048,2222,3016,,0.214724,0.119718,0.188836,0.602273,0.154321,0.507867,0.759188,0.908055,0.177645,0.562500,0.934446,0.954178,0.761353,0.916509
0.017998,0.305807,1161,1896,1225,2255,2470,2030,2615,3184,2787,1714,3463,3049,2221,3015,,0.211656,0.118545,0.188836,0.600852,0.154321,0.509615,0.759188,0.908055,0.177645,0.562500,0.934446,0.955076,0.760386,0.915560
0.018001,0.323808,1162,1896,1225,2254,2470,2028,2615,3183,2787,1712,3463,3049,2222,3015,,0.213190,0.118545,0.188836,0.599432,0.154321,0.507867,0.759188,0.907242,0.177645,0.560634,0.934446,0.955076,0.761353,0.915560
0.019030,0.342837,1162,1896,1224,2254,2469,2028,2615,3184,2787,1715,3462,3050,2222,3015,,0.213190,0.118545,0.187648,0.599432,0.153549,0.507867,0.759188,0.908055,0.177645,0.563433,0.933254,0.955975,0.761353,0.915560
0.018011,0.360848,1162,1896,1224,2254,2469,2028,2615,3184,2786,1714,3463,3049,2222,3015,,0.213190,0.118545,0.187648,0.599432,0.153549,0.507867,0.759188,0.908055,0.175649,0.562500,0.934446,0.955076,0.761353,0.915560
0.017984,0.378832,1162,1895,1224,2254,2470,2029,2614,3184,2787,1714,3462,3048,2222,3015,,0.213190,0.117371,0.187648,0.599432,0.154321,0.508741,0.758220,0.908055,0.177645,0.562500,0.933254,0.954178,0.761353,0.915560
0.018004,0.396837,1162,1896,1225,2254,2469,2028,2615,3184,2787,1715,3462,3049,2222,3015,,0.213190,0.118545,0.188836,0.599432,0.153549,0.507867,0.759188,0.908055,0.177645,0.563433,0.933254,0.955076,0.761353,0.915560
