GloveManager recording started on 11/02/16 at 15:34:41

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017280,0.017280,1619,2358,1721,2442,3175,2462,2514,3017,2955,1771,3416,3025,2167,2963,,0.914110,0.660798,0.777910,0.866477,0.698302,0.887238,0.661509,0.772173,0.512974,0.615672,0.878427,0.933513,0.708213,0.866224
0.018017,0.035298,1619,2357,1721,2443,3176,2461,2515,3017,2955,1772,3416,3025,2167,2962,,0.914110,0.659624,0.777910,0.867898,0.699074,0.886364,0.662476,0.772173,0.512974,0.616605,0.878427,0.933513,0.708213,0.865275
0.017985,0.053282,1619,2357,1720,2443,3175,2462,2515,3018,2955,1772,3416,3025,2167,2962,,0.914110,0.659624,0.776722,0.867898,0.698302,0.887238,0.662476,0.772986,0.512974,0.616605,0.878427,0.933513,0.708213,0.865275
0.018010,0.071293,1620,2358,1720,2443,3175,2462,2515,3016,2955,1772,3416,3026,2167,2962,,0.915644,0.660798,0.776722,0.867898,0.698302,0.887238,0.662476,0.771359,0.512974,0.616605,0.878427,0.934412,0.708213,0.865275
0.018009,0.089302,1619,2357,1720,2442,3176,2462,2515,3018,2955,1772,3417,3025,2167,2962,,0.914110,0.659624,0.776722,0.866477,0.699074,0.887238,0.662476,0.772986,0.512974,0.616605,0.879619,0.933513,0.708213,0.865275
0.017994,0.107296,1619,2357,1720,2442,3176,2462,2515,3018,2955,1772,3417,3025,2167,2962,,0.914110,0.659624,0.776722,0.866477,0.699074,0.887238,0.662476,0.772986,0.512974,0.616605,0.879619,0.933513,0.708213,0.865275
0.018001,0.125297,1619,2357,1720,2441,3175,2462,2514,3017,2955,1771,3417,3024,2167,2963,,0.914110,0.659624,0.776722,0.865057,0.698302,0.887238,0.661509,0.772173,0.512974,0.615672,0.879619,0.932615,0.708213,0.866224
0.018014,0.143312,1619,2357,1720,2443,3175,2463,2514,3017,2955,1772,3416,3024,2166,2962,,0.914110,0.659624,0.776722,0.867898,0.698302,0.888112,0.661509,0.772173,0.512974,0.616605,0.878427,0.932615,0.707246,0.865275
0.017959,0.161270,1620,2357,1720,2442,3175,2461,2514,3016,2954,1772,3417,3024,2167,2962,,0.915644,0.659624,0.776722,0.866477,0.698302,0.886364,0.661509,0.771359,0.510978,0.616605,0.879619,0.932615,0.708213,0.865275
0.018023,0.179293,1619,2357,1720,2442,3174,2461,2515,3016,2955,1771,3416,3024,2167,2962,,0.914110,0.659624,0.776722,0.866477,0.697531,0.886364,0.662476,0.771359,0.512974,0.615672,0.878427,0.932615,0.708213,0.865275
0.018012,0.197305,1620,2357,1720,2442,3174,2462,2514,3017,2955,1772,3417,3025,2166,2961,,0.915644,0.659624,0.776722,0.866477,0.697531,0.887238,0.661509,0.772173,0.512974,0.616605,0.879619,0.933513,0.707246,0.864326
0.017996,0.215301,1618,2357,1720,2442,3175,2462,2515,3016,2955,1772,3416,3024,2167,2962,,0.912577,0.659624,0.776722,0.866477,0.698302,0.887238,0.662476,0.771359,0.512974,0.616605,0.878427,0.932615,0.708213,0.865275
