GloveManager recording started on 11/02/16 at 15:34:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017234,0.017234,1384,1964,1195,2242,3210,2392,2081,2937,3004,1239,3277,2982,1617,2764,,0.553681,0.198357,0.153207,0.582386,0.725309,0.826049,0.242747,0.707079,0.610778,0.119403,0.712753,0.894879,0.176812,0.677419
0.018002,0.035236,1384,1965,1195,2242,3210,2393,2080,2936,3004,1239,3277,2983,1617,2765,,0.553681,0.199531,0.153207,0.582386,0.725309,0.826923,0.241779,0.706265,0.610778,0.119403,0.712753,0.895777,0.176812,0.678368
0.017998,0.053234,1384,1965,1195,2242,3209,2393,2080,2936,3003,1239,3277,2982,1617,2765,,0.553681,0.199531,0.153207,0.582386,0.724537,0.826923,0.241779,0.706265,0.608782,0.119403,0.712753,0.894879,0.176812,0.678368
0.018005,0.071239,1383,1965,1195,2241,3210,2392,2080,2937,3004,1239,3277,2982,1616,2765,,0.552147,0.199531,0.153207,0.580966,0.725309,0.826049,0.241779,0.707079,0.610778,0.119403,0.712753,0.894879,0.175845,0.678368
0.018000,0.089238,1384,1965,1195,2242,3209,2392,2080,2937,3004,1239,3277,2982,1616,2765,,0.553681,0.199531,0.153207,0.582386,0.724537,0.826049,0.241779,0.707079,0.610778,0.119403,0.712753,0.894879,0.175845,0.678368
0.018001,0.107239,1384,1968,1195,2242,3210,2392,2080,2936,3004,1239,3277,2982,1616,2765,,0.553681,0.203052,0.153207,0.582386,0.725309,0.826049,0.241779,0.706265,0.610778,0.119403,0.712753,0.894879,0.175845,0.678368
0.017997,0.125236,1384,1968,1195,2242,3210,2392,2080,2936,3004,1239,3277,2982,1616,2765,,0.553681,0.203052,0.153207,0.582386,0.725309,0.826049,0.241779,0.706265,0.610778,0.119403,0.712753,0.894879,0.175845,0.678368
0.018005,0.143241,1384,1967,1195,2242,3210,2392,2081,2936,3003,1239,3277,2982,1615,2765,,0.553681,0.201878,0.153207,0.582386,0.725309,0.826049,0.242747,0.706265,0.608782,0.119403,0.712753,0.894879,0.174879,0.678368
0.018036,0.161277,1384,1967,1194,2242,3210,2392,2081,2936,3004,1239,3276,2983,1616,2765,,0.553681,0.201878,0.152019,0.582386,0.725309,0.826049,0.242747,0.706265,0.610778,0.119403,0.711561,0.895777,0.175845,0.678368
0.017942,0.179219,1385,1968,1196,2242,3209,2392,2081,2936,3003,1239,3277,2983,1616,2765,,0.555215,0.203052,0.154394,0.582386,0.724537,0.826049,0.242747,0.706265,0.608782,0.119403,0.712753,0.895777,0.175845,0.678368
0.018025,0.197244,1385,1968,1196,2243,3209,2393,2082,2936,3003,1239,3276,2983,1616,2764,,0.555215,0.203052,0.154394,0.583807,0.724537,0.826923,0.243714,0.706265,0.608782,0.119403,0.711561,0.895777,0.175845,0.677419
0.017997,0.215241,1385,1968,1196,2243,3209,2392,2082,2936,3004,1238,3276,2983,1616,2764,,0.555215,0.203052,0.154394,0.583807,0.724537,0.826049,0.243714,0.706265,0.610778,0.118470,0.711561,0.895777,0.175845,0.677419
0.018001,0.233242,1385,1969,1196,2243,3210,2392,2082,2937,3004,1239,3277,2983,1616,2763,,0.555215,0.204225,0.154394,0.583807,0.725309,0.826049,0.243714,0.707079,0.610778,0.119403,0.712753,0.895777,0.175845,0.676471
0.017979,0.251221,1386,1968,1196,2243,3210,2392,2082,2936,3004,1239,3277,2983,1616,2764,,0.556748,0.203052,0.154394,0.583807,0.725309,0.826049,0.243714,0.706265,0.610778,0.119403,0.712753,0.895777,0.175845,0.677419
0.018023,0.269244,1384,1968,1195,2243,3209,2392,2081,2935,3004,1238,3276,2983,1616,2764,,0.553681,0.203052,0.153207,0.583807,0.724537,0.826049,0.242747,0.705452,0.610778,0.118470,0.711561,0.895777,0.175845,0.677419
0.018137,0.287381,1384,1967,1195,2243,3210,2392,2082,2936,3004,1238,3277,2983,1615,2764,,0.553681,0.201878,0.153207,0.583807,0.725309,0.826049,0.243714,0.706265,0.610778,0.118470,0.712753,0.895777,0.174879,0.677419
0.017865,0.305246,1385,1968,1196,2243,3209,2392,2080,2936,3004,1239,3277,2983,1615,2764,,0.555215,0.203052,0.154394,0.583807,0.724537,0.826049,0.241779,0.706265,0.610778,0.119403,0.712753,0.895777,0.174879,0.677419
0.017980,0.323226,1384,1967,1195,2243,3209,2393,2081,2936,3004,1239,3277,2982,1616,2763,,0.553681,0.201878,0.153207,0.583807,0.724537,0.826923,0.242747,0.706265,0.610778,0.119403,0.712753,0.894879,0.175845,0.676471
0.018022,0.341248,1384,1966,1195,2242,3209,2393,2081,2936,3004,1239,3277,2983,1615,2763,,0.553681,0.200704,0.153207,0.582386,0.724537,0.826923,0.242747,0.706265,0.610778,0.119403,0.712753,0.895777,0.174879,0.676471
0.018002,0.359250,1384,1966,1195,2242,3209,2393,2081,2936,3004,1239,3277,2983,1615,2763,,0.553681,0.200704,0.153207,0.582386,0.724537,0.826923,0.242747,0.706265,0.610778,0.119403,0.712753,0.895777,0.174879,0.676471
0.018000,0.377250,1384,1967,1196,2243,3210,2392,2081,2936,3004,1239,3276,2983,1615,2763,,0.553681,0.201878,0.154394,0.583807,0.725309,0.826049,0.242747,0.706265,0.610778,0.119403,0.711561,0.895777,0.174879,0.676471
0.018010,0.395260,1384,1967,1196,2243,3210,2392,2081,2936,3004,1239,3276,2983,1615,2763,,0.553681,0.201878,0.154394,0.583807,0.725309,0.826049,0.242747,0.706265,0.610778,0.119403,0.711561,0.895777,0.174879,0.676471
0.017996,0.413256,1384,1967,1195,2242,3210,2393,2081,2936,3004,1238,3276,2982,1616,2762,,0.553681,0.201878,0.153207,0.582386,0.725309,0.826923,0.242747,0.706265,0.610778,0.118470,0.711561,0.894879,0.175845,0.675522
0.018032,0.431288,1384,1966,1195,2243,3209,2393,2081,2936,3004,1238,3276,2982,1616,2762,,0.553681,0.200704,0.153207,0.583807,0.724537,0.826923,0.242747,0.706265,0.610778,0.118470,0.711561,0.894879,0.175845,0.675522
0.017969,0.449257,1383,1966,1195,2242,3210,2394,2081,2937,3004,1238,3275,2982,1615,2761,,0.552147,0.200704,0.153207,0.582386,0.725309,0.827797,0.242747,0.707079,0.610778,0.118470,0.710369,0.894879,0.174879,0.674573
0.017998,0.467255,1383,1966,1195,2242,3210,2394,2081,2937,3004,1238,3275,2982,1615,2761,,0.552147,0.200704,0.153207,0.582386,0.725309,0.827797,0.242747,0.707079,0.610778,0.118470,0.710369,0.894879,0.174879,0.674573
0.018002,0.485257,1383,1966,1196,2243,3209,2393,2081,2936,3004,1239,3276,2982,1616,2762,,0.552147,0.200704,0.154394,0.583807,0.724537,0.826923,0.242747,0.706265,0.610778,0.119403,0.711561,0.894879,0.175845,0.675522
0.018017,0.503274,1383,1966,1195,2242,3209,2393,2081,2936,3004,1238,3275,2982,1617,2761,,0.552147,0.200704,0.153207,0.582386,0.724537,0.826923,0.242747,0.706265,0.610778,0.118470,0.710369,0.894879,0.176812,0.674573
