GloveManager recording started on 11/02/16 at 15:35:28

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017365,0.017365,1378,2075,1249,2210,2422,1949,2396,2443,3032,1364,3010,2957,1836,2378,,0.544479,0.328638,0.217340,0.536932,0.117284,0.438811,0.547389,0.305126,0.666667,0.236007,0.394517,0.872417,0.388406,0.311195
0.018006,0.035371,1377,2075,1248,2210,2422,1949,2396,2443,3032,1364,3010,2957,1835,2378,,0.542945,0.328638,0.216152,0.536932,0.117284,0.438811,0.547389,0.305126,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.017975,0.053347,1376,2074,1249,2209,2422,1949,2395,2443,3033,1363,3009,2957,1836,2378,,0.541411,0.327465,0.217340,0.535511,0.117284,0.438811,0.546422,0.305126,0.668663,0.235075,0.393325,0.872417,0.388406,0.311195
0.018025,0.071372,1376,2074,1248,2209,2422,1949,2396,2443,3032,1363,3010,2957,1836,2378,,0.541411,0.327465,0.216152,0.535511,0.117284,0.438811,0.547389,0.305126,0.666667,0.235075,0.394517,0.872417,0.388406,0.311195
0.018000,0.089372,1377,2074,1249,2210,2421,1950,2395,2443,3032,1363,3010,2957,1836,2377,,0.542945,0.327465,0.217340,0.536932,0.116512,0.439685,0.546422,0.305126,0.666667,0.235075,0.394517,0.872417,0.388406,0.310247
0.017998,0.107370,1377,2074,1248,2210,2422,1950,2395,2443,3032,1363,3010,2957,1835,2378,,0.542945,0.327465,0.216152,0.536932,0.117284,0.439685,0.546422,0.305126,0.666667,0.235075,0.394517,0.872417,0.387440,0.311195
0.018004,0.125374,1378,2074,1249,2210,2421,1950,2396,2443,3032,1362,3010,2958,1835,2378,,0.544479,0.327465,0.217340,0.536932,0.116512,0.439685,0.547389,0.305126,0.666667,0.234142,0.394517,0.873315,0.387440,0.311195
0.018000,0.143375,1377,2074,1249,2210,2422,1951,2395,2443,3032,1362,3010,2957,1835,2378,,0.542945,0.327465,0.217340,0.536932,0.117284,0.440559,0.546422,0.305126,0.666667,0.234142,0.394517,0.872417,0.387440,0.311195
0.018000,0.161374,1378,2074,1249,2210,2422,1951,2396,2444,3032,1363,3010,2957,1834,2379,,0.544479,0.327465,0.217340,0.536932,0.117284,0.440559,0.547389,0.305940,0.666667,0.235075,0.394517,0.872417,0.386473,0.312144
0.018003,0.179377,1378,2074,1250,2210,2422,1949,2396,2444,3032,1364,3010,2957,1835,2378,,0.544479,0.327465,0.218527,0.536932,0.117284,0.438811,0.547389,0.305940,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.018001,0.197378,1377,2075,1249,2210,2422,1951,2396,2444,3032,1363,3010,2957,1836,2378,,0.542945,0.328638,0.217340,0.536932,0.117284,0.440559,0.547389,0.305940,0.666667,0.235075,0.394517,0.872417,0.388406,0.311195
0.018018,0.215396,1377,2073,1249,2210,2421,1950,2396,2443,3032,1363,3011,2956,1835,2378,,0.542945,0.326291,0.217340,0.536932,0.116512,0.439685,0.547389,0.305126,0.666667,0.235075,0.395709,0.871518,0.387440,0.311195
0.017980,0.233376,1377,2074,1250,2211,2422,1950,2397,2444,3032,1364,3010,2957,1836,2378,,0.542945,0.327465,0.218527,0.538352,0.117284,0.439685,0.548356,0.305940,0.666667,0.236007,0.394517,0.872417,0.388406,0.311195
0.018006,0.251383,1378,2074,1249,2210,2422,1949,2396,2444,3032,1364,3010,2957,1836,2378,,0.544479,0.327465,0.217340,0.536932,0.117284,0.438811,0.547389,0.305940,0.666667,0.236007,0.394517,0.872417,0.388406,0.311195
0.017996,0.269378,1378,2075,1249,2210,2422,1951,2396,2444,3032,1364,3010,2958,1834,2378,,0.544479,0.328638,0.217340,0.536932,0.117284,0.440559,0.547389,0.305940,0.666667,0.236007,0.394517,0.873315,0.386473,0.311195
0.018004,0.287382,1377,2073,1250,2211,2422,1951,2395,2443,3033,1363,3010,2957,1835,2378,,0.542945,0.326291,0.218527,0.538352,0.117284,0.440559,0.546422,0.305126,0.668663,0.235075,0.394517,0.872417,0.387440,0.311195
0.018001,0.305383,1376,2073,1249,2210,2422,1950,2396,2443,3032,1363,3010,2957,1835,2379,,0.541411,0.326291,0.217340,0.536932,0.117284,0.439685,0.547389,0.305126,0.666667,0.235075,0.394517,0.872417,0.387440,0.312144
0.018000,0.323383,1378,2074,1250,2210,2422,1951,2397,2444,3032,1363,3010,2957,1836,2378,,0.544479,0.327465,0.218527,0.536932,0.117284,0.440559,0.548356,0.305940,0.666667,0.235075,0.394517,0.872417,0.388406,0.311195
0.018001,0.341384,1377,2074,1250,2211,2422,1951,2397,2444,3032,1364,3010,2957,1835,2378,,0.542945,0.327465,0.218527,0.538352,0.117284,0.440559,0.548356,0.305940,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.018002,0.359387,1377,2074,1250,2210,2422,1950,2396,2444,3032,1363,3010,2957,1835,2378,,0.542945,0.327465,0.218527,0.536932,0.117284,0.439685,0.547389,0.305940,0.666667,0.235075,0.394517,0.872417,0.387440,0.311195
0.018000,0.377387,1377,2073,1250,2210,2421,1950,2397,2444,3032,1364,3010,2957,1835,2378,,0.542945,0.326291,0.218527,0.536932,0.116512,0.439685,0.548356,0.305940,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.018001,0.395388,1377,2074,1250,2211,2422,1950,2396,2443,3032,1364,3010,2957,1835,2378,,0.542945,0.327465,0.218527,0.538352,0.117284,0.439685,0.547389,0.305126,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.017980,0.413368,1377,2074,1250,2211,2422,1950,2396,2443,3032,1364,3010,2957,1835,2378,,0.542945,0.327465,0.218527,0.538352,0.117284,0.439685,0.547389,0.305126,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.018022,0.431390,1377,2074,1250,2210,2422,1951,2397,2445,3032,1363,3010,2958,1836,2378,,0.542945,0.327465,0.218527,0.536932,0.117284,0.440559,0.548356,0.306753,0.666667,0.235075,0.394517,0.873315,0.388406,0.311195
0.017998,0.449388,1376,2074,1251,2211,2422,1952,2396,2444,3032,1364,3010,2957,1836,2378,,0.541411,0.327465,0.219715,0.538352,0.117284,0.441434,0.547389,0.305940,0.666667,0.236007,0.394517,0.872417,0.388406,0.311195
0.018004,0.467392,1377,2072,1250,2210,2421,1952,2396,2444,3032,1363,3010,2958,1835,2378,,0.542945,0.325117,0.218527,0.536932,0.116512,0.441434,0.547389,0.305940,0.666667,0.235075,0.394517,0.873315,0.387440,0.311195
0.018001,0.485393,1377,2073,1250,2210,2422,1952,2396,2445,3032,1364,3010,2958,1836,2378,,0.542945,0.326291,0.218527,0.536932,0.117284,0.441434,0.547389,0.306753,0.666667,0.236007,0.394517,0.873315,0.388406,0.311195
0.017999,0.503391,1377,2073,1250,2211,2421,1952,2395,2444,3032,1364,3009,2957,1836,2377,,0.542945,0.326291,0.218527,0.538352,0.116512,0.441434,0.546422,0.305940,0.666667,0.236007,0.393325,0.872417,0.388406,0.310247
0.018001,0.521393,1377,2073,1251,2211,2421,1951,2395,2444,3031,1363,3010,2957,1835,2379,,0.542945,0.326291,0.219715,0.538352,0.116512,0.440559,0.546422,0.305940,0.664671,0.235075,0.394517,0.872417,0.387440,0.312144
0.018003,0.539396,1376,2072,1250,2211,2421,1954,2395,2444,3032,1364,3009,2958,1836,2379,,0.541411,0.325117,0.218527,0.538352,0.116512,0.443182,0.546422,0.305940,0.666667,0.236007,0.393325,0.873315,0.388406,0.312144
0.017998,0.557394,1376,2072,1250,2211,2421,1954,2395,2444,3032,1364,3009,2958,1836,2379,,0.541411,0.325117,0.218527,0.538352,0.116512,0.443182,0.546422,0.305940,0.666667,0.236007,0.393325,0.873315,0.388406,0.312144
0.018000,0.575395,1377,2073,1251,2211,2422,1954,2395,2444,3032,1364,3009,2957,1835,2378,,0.542945,0.326291,0.219715,0.538352,0.117284,0.443182,0.546422,0.305940,0.666667,0.236007,0.393325,0.872417,0.387440,0.311195
0.017981,0.593375,1376,2072,1250,2210,2422,1954,2395,2444,3032,1364,3011,2957,1835,2378,,0.541411,0.325117,0.218527,0.536932,0.117284,0.443182,0.546422,0.305940,0.666667,0.236007,0.395709,0.872417,0.387440,0.311195
0.018024,0.611399,1377,2072,1251,2211,2421,1953,2396,2444,3032,1363,3010,2958,1836,2379,,0.542945,0.325117,0.219715,0.538352,0.116512,0.442308,0.547389,0.305940,0.666667,0.235075,0.394517,0.873315,0.388406,0.312144
0.017999,0.629398,1377,2073,1250,2211,2421,1952,2395,2444,3032,1363,3010,2957,1835,2378,,0.542945,0.326291,0.218527,0.538352,0.116512,0.441434,0.546422,0.305940,0.666667,0.235075,0.394517,0.872417,0.387440,0.311195
0.018002,0.647400,1377,2072,1251,2211,2422,1953,2395,2444,3032,1363,3009,2958,1836,2378,,0.542945,0.325117,0.219715,0.538352,0.117284,0.442308,0.546422,0.305940,0.666667,0.235075,0.393325,0.873315,0.388406,0.311195
0.017980,0.665379,1377,2072,1251,2211,2422,1953,2395,2444,3032,1363,3009,2958,1836,2378,,0.542945,0.325117,0.219715,0.538352,0.117284,0.442308,0.546422,0.305940,0.666667,0.235075,0.393325,0.873315,0.388406,0.311195
0.018022,0.683401,1377,2072,1251,2210,2421,1952,2396,2444,3032,1364,3010,2957,1835,2378,,0.542945,0.325117,0.219715,0.536932,0.116512,0.441434,0.547389,0.305940,0.666667,0.236007,0.394517,0.872417,0.387440,0.311195
0.018002,0.701403,1377,2073,1251,2210,2422,1952,2396,2444,3031,1363,3010,2958,1836,2379,,0.542945,0.326291,0.219715,0.536932,0.117284,0.441434,0.547389,0.305940,0.664671,0.235075,0.394517,0.873315,0.388406,0.312144
0.018034,0.719437,1377,2072,1250,2210,2421,1952,2396,2444,3032,1363,3008,2957,1836,2378,,0.542945,0.325117,0.218527,0.536932,0.116512,0.441434,0.547389,0.305940,0.666667,0.235075,0.392134,0.872417,0.388406,0.311195
0.017991,0.737427,1377,2071,1250,2210,2421,1953,2396,2444,3031,1363,3009,2958,1835,2378,,0.542945,0.323944,0.218527,0.536932,0.116512,0.442308,0.547389,0.305940,0.664671,0.235075,0.393325,0.873315,0.387440,0.311195
0.017979,0.755407,1376,2071,1250,2210,2421,1953,2396,2443,3032,1363,3009,2957,1836,2377,,0.541411,0.323944,0.218527,0.536932,0.116512,0.442308,0.547389,0.305126,0.666667,0.235075,0.393325,0.872417,0.388406,0.310247
0.018026,0.773433,1376,2070,1251,2209,2421,1952,2395,2444,3031,1362,3009,2958,1836,2379,,0.541411,0.322770,0.219715,0.535511,0.116512,0.441434,0.546422,0.305940,0.664671,0.234142,0.393325,0.873315,0.388406,0.312144
0.017984,0.791417,1376,2071,1251,2210,2421,1952,2396,2443,3032,1363,3010,2957,1835,2378,,0.541411,0.323944,0.219715,0.536932,0.116512,0.441434,0.547389,0.305126,0.666667,0.235075,0.394517,0.872417,0.387440,0.311195
0.018013,0.809430,1376,2071,1251,2209,2421,1952,2396,2444,3031,1363,3009,2958,1836,2378,,0.541411,0.323944,0.219715,0.535511,0.116512,0.441434,0.547389,0.305940,0.664671,0.235075,0.393325,0.873315,0.388406,0.311195
0.018010,0.827441,1376,2071,1250,2209,2421,1953,2395,2443,3031,1362,3009,2958,1835,2379,,0.541411,0.323944,0.218527,0.535511,0.116512,0.442308,0.546422,0.305126,0.664671,0.234142,0.393325,0.873315,0.387440,0.312144
0.017995,0.845435,1375,2071,1251,2209,2421,1953,2395,2444,3031,1362,3009,2958,1835,2379,,0.539877,0.323944,0.219715,0.535511,0.116512,0.442308,0.546422,0.305940,0.664671,0.234142,0.393325,0.873315,0.387440,0.312144
0.018006,0.863442,1376,2070,1251,2209,2421,1953,2396,2445,3032,1363,3011,2958,1835,2380,,0.541411,0.322770,0.219715,0.535511,0.116512,0.442308,0.547389,0.306753,0.666667,0.235075,0.395709,0.873315,0.387440,0.313093
0.017971,0.881413,1375,2071,1251,2208,2420,1955,2395,2448,3030,1361,3012,2958,1835,2381,,0.539877,0.323944,0.219715,0.534091,0.115741,0.444056,0.546422,0.309194,0.662675,0.233209,0.396901,0.873315,0.387440,0.314042
0.018032,0.899444,1376,2070,1252,2209,2421,1956,2395,2449,3031,1361,3013,2958,1836,2382,,0.541411,0.322770,0.220903,0.535511,0.116512,0.444930,0.546422,0.310008,0.664671,0.233209,0.398093,0.873315,0.388406,0.314991
0.017996,0.917441,1376,2070,1251,2208,2421,1957,2395,2450,3031,1361,3013,2959,1836,2382,,0.541411,0.322770,0.219715,0.534091,0.116512,0.445804,0.546422,0.310822,0.664671,0.233209,0.398093,0.874214,0.388406,0.314991
0.018011,0.935451,1376,2070,1252,2210,2420,1958,2395,2452,3031,1360,3013,2959,1835,2382,,0.541411,0.322770,0.220903,0.536932,0.115741,0.446678,0.546422,0.312449,0.664671,0.232276,0.398093,0.874214,0.387440,0.314991
0.017990,0.953441,1376,2070,1252,2208,2420,1957,2394,2453,3031,1359,3014,2959,1835,2382,,0.541411,0.322770,0.220903,0.534091,0.115741,0.445804,0.545455,0.313263,0.664671,0.231343,0.399285,0.874214,0.387440,0.314991
0.018002,0.971444,1376,2071,1252,2209,2420,1959,2394,2453,3031,1360,3014,2959,1835,2381,,0.541411,0.323944,0.220903,0.535511,0.115741,0.447552,0.545455,0.313263,0.664671,0.232276,0.399285,0.874214,0.387440,0.314042
0.018003,0.989447,1376,2071,1251,2209,2420,1959,2394,2453,3031,1359,3014,2958,1836,2382,,0.541411,0.323944,0.219715,0.535511,0.115741,0.447552,0.545455,0.313263,0.664671,0.231343,0.399285,0.873315,0.388406,0.314991
0.018002,1.007449,1376,2071,1251,2209,2420,1959,2394,2453,3031,1359,3014,2958,1836,2382,,0.541411,0.323944,0.219715,0.535511,0.115741,0.447552,0.545455,0.313263,0.664671,0.231343,0.399285,0.873315,0.388406,0.314991
0.018013,1.025462,1376,2070,1251,2209,2420,1959,2394,2454,3031,1361,3014,2959,1836,2381,,0.541411,0.322770,0.219715,0.535511,0.115741,0.447552,0.545455,0.314076,0.664671,0.233209,0.399285,0.874214,0.388406,0.314042
0.018001,1.043463,1376,2071,1252,2209,2420,1960,2394,2454,3030,1361,3014,2959,1836,2381,,0.541411,0.323944,0.220903,0.535511,0.115741,0.448427,0.545455,0.314076,0.662675,0.233209,0.399285,0.874214,0.388406,0.314042
0.017982,1.061445,1376,2071,1252,2209,2420,1959,2394,2454,3032,1359,3014,2959,1835,2382,,0.541411,0.323944,0.220903,0.535511,0.115741,0.447552,0.545455,0.314076,0.666667,0.231343,0.399285,0.874214,0.387440,0.314991
0.018002,1.079447,1376,2071,1252,2209,2420,1959,2394,2455,3031,1359,3015,2959,1836,2382,,0.541411,0.323944,0.220903,0.535511,0.115741,0.447552,0.545455,0.314890,0.664671,0.231343,0.400477,0.874214,0.388406,0.314991
0.018001,1.097448,1377,2070,1252,2209,2420,1960,2394,2454,3030,1359,3015,2959,1836,2381,,0.542945,0.322770,0.220903,0.535511,0.115741,0.448427,0.545455,0.314076,0.662675,0.231343,0.400477,0.874214,0.388406,0.314042
0.018013,1.115461,1376,2070,1252,2208,2420,1960,2394,2454,3031,1359,3015,2958,1836,2383,,0.541411,0.322770,0.220903,0.534091,0.115741,0.448427,0.545455,0.314076,0.664671,0.231343,0.400477,0.873315,0.388406,0.315939
0.017992,1.133453,1376,2071,1253,2209,2420,1960,2394,2454,3031,1360,3015,2958,1836,2381,,0.541411,0.323944,0.222090,0.535511,0.115741,0.448427,0.545455,0.314076,0.664671,0.232276,0.400477,0.873315,0.388406,0.314042
