GloveManager recording started on 11/02/16 at 15:35:55

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017172,0.017172,1305,1843,1175,2356,2419,2373,2373,3157,3009,1544,3503,2983,1873,2971,,0.432515,0.056338,0.129454,0.744318,0.114969,0.809441,0.525145,0.886086,0.620758,0.403918,0.982122,0.895777,0.424155,0.873814
0.017998,0.035169,1304,1844,1175,2355,2419,2373,2374,3157,3009,1545,3503,2983,1874,2972,,0.430982,0.057512,0.129454,0.742898,0.114969,0.809441,0.526112,0.886086,0.620758,0.404851,0.982122,0.895777,0.425121,0.874763
0.018003,0.053172,1304,1843,1176,2355,2419,2373,2372,3156,3009,1544,3503,2982,1873,2971,,0.430982,0.056338,0.130641,0.742898,0.114969,0.809441,0.524178,0.885273,0.620758,0.403918,0.982122,0.894879,0.424155,0.873814
0.017998,0.071171,1303,1843,1174,2354,2418,2373,2373,3156,3009,1544,3503,2983,1873,2971,,0.429448,0.056338,0.128266,0.741477,0.114198,0.809441,0.525145,0.885273,0.620758,0.403918,0.982122,0.895777,0.424155,0.873814
0.018000,0.089171,1304,1843,1174,2354,2419,2372,2373,3156,3010,1543,3503,2983,1873,2971,,0.430982,0.056338,0.128266,0.741477,0.114969,0.808566,0.525145,0.885273,0.622755,0.402985,0.982122,0.895777,0.424155,0.873814
0.018001,0.107173,1304,1843,1175,2355,2419,2373,2373,3156,3009,1544,3503,2983,1873,2971,,0.430982,0.056338,0.129454,0.742898,0.114969,0.809441,0.525145,0.885273,0.620758,0.403918,0.982122,0.895777,0.424155,0.873814
0.018004,0.125177,1304,1843,1175,2354,2419,2373,2373,3156,3009,1543,3503,2984,1873,2971,,0.430982,0.056338,0.129454,0.741477,0.114969,0.809441,0.525145,0.885273,0.620758,0.402985,0.982122,0.896676,0.424155,0.873814
0.017998,0.143175,1304,1843,1175,2354,2420,2372,2372,3157,3009,1544,3503,2983,1873,2971,,0.430982,0.056338,0.129454,0.741477,0.115741,0.808566,0.524178,0.886086,0.620758,0.403918,0.982122,0.895777,0.424155,0.873814
0.018003,0.161179,1303,1843,1175,2354,2418,2373,2373,3157,3009,1544,3503,2983,1873,2971,,0.429448,0.056338,0.129454,0.741477,0.114198,0.809441,0.525145,0.886086,0.620758,0.403918,0.982122,0.895777,0.424155,0.873814
