GloveManager recording started on 11/02/16 at 15:36:21

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017539,0.017539,1144,1849,1557,2098,2293,2365,1908,2344,2902,1313,3555,3005,1818,3159,,0.185583,0.063380,0.583135,0.377841,0.042137,0.802448,0.075435,0.224573,0.407186,0.188433,0.982063,0.915544,0.371015,0.987533
0.017996,0.035535,1144,1848,1556,2098,2293,2364,1908,2345,2902,1313,3555,3005,1818,3158,,0.185583,0.062207,0.581948,0.377841,0.042137,0.801573,0.075435,0.225387,0.407186,0.188433,0.982063,0.915544,0.371015,0.986643
0.018011,0.053546,1144,1848,1557,2098,2293,2364,1908,2344,2902,1313,3556,3004,1818,3158,,0.185583,0.062207,0.583135,0.377841,0.042137,0.801573,0.075435,0.224573,0.407186,0.188433,0.983184,0.914645,0.371015,0.986643
0.018006,0.071553,1144,1847,1557,2097,2293,2365,1909,2344,2902,1314,3555,3004,1819,3158,,0.185583,0.061033,0.583135,0.376420,0.042137,0.802448,0.076402,0.224573,0.407186,0.189366,0.982063,0.914645,0.371981,0.986643
0.017987,0.089540,1144,1849,1557,2098,2293,2364,1908,2345,2902,1313,3555,3004,1817,3157,,0.185583,0.063380,0.583135,0.377841,0.042137,0.801573,0.075435,0.225387,0.407186,0.188433,0.982063,0.914645,0.370048,0.985752
0.018001,0.107540,1144,1848,1556,2098,2292,2365,1909,2345,2902,1313,3556,3004,1817,3156,,0.185583,0.062207,0.581948,0.377841,0.041384,0.802448,0.076402,0.225387,0.407186,0.188433,0.983184,0.914645,0.370048,0.984862
0.018004,0.125544,1144,1848,1556,2098,2292,2365,1909,2345,2902,1313,3556,3004,1817,3156,,0.185583,0.062207,0.581948,0.377841,0.041384,0.802448,0.076402,0.225387,0.407186,0.188433,0.983184,0.914645,0.370048,0.984862
0.018032,0.143577,1145,1848,1558,2098,2293,2365,1908,2344,2902,1312,3555,3003,1818,3156,,0.187117,0.062207,0.584323,0.377841,0.042137,0.802448,0.075435,0.224573,0.407186,0.187500,0.982063,0.913747,0.371015,0.984862
0.017968,0.161544,1145,1848,1558,2098,2293,2365,1908,2345,2902,1312,3555,3002,1817,3154,,0.187117,0.062207,0.584323,0.377841,0.042137,0.802448,0.075435,0.225387,0.407186,0.187500,0.982063,0.912848,0.370048,0.983081
0.018034,0.179578,1144,1848,1557,2098,2293,2364,1908,2344,2902,1312,3555,3002,1818,3155,,0.185583,0.062207,0.583135,0.377841,0.042137,0.801573,0.075435,0.224573,0.407186,0.187500,0.982063,0.912848,0.371015,0.983971
0.017970,0.197549,1144,1848,1558,2098,2293,2364,1907,2345,2902,1311,3555,3001,1817,3153,,0.185583,0.062207,0.584323,0.377841,0.042137,0.801573,0.074468,0.225387,0.407186,0.186567,0.982063,0.911950,0.370048,0.982191
0.017999,0.215547,1144,1848,1559,2098,2293,2364,1908,2345,2902,1311,3555,3001,1817,3152,,0.185583,0.062207,0.585511,0.377841,0.042137,0.801573,0.075435,0.225387,0.407186,0.186567,0.982063,0.911950,0.370048,0.981300
0.018000,0.233548,1144,1848,1559,2098,2293,2364,1908,2345,2902,1311,3555,3001,1817,3152,,0.185583,0.062207,0.585511,0.377841,0.042137,0.801573,0.075435,0.225387,0.407186,0.186567,0.982063,0.911950,0.370048,0.981300
0.018030,0.251578,1144,1848,1558,2098,2293,2364,1908,2344,2902,1311,3555,3000,1818,3150,,0.185583,0.062207,0.584323,0.377841,0.042137,0.801573,0.075435,0.224573,0.407186,0.186567,0.982063,0.911051,0.371015,0.979519
