GloveManager recording started on 11/02/16 at 15:37:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017809,0.017808,1521,2216,1567,2407,3236,1974,2532,3147,2984,1656,3495,3034,1913,3155,,0.763804,0.494131,0.595012,0.816761,0.751693,0.460664,0.678917,0.877950,0.570858,0.508395,0.914798,0.941599,0.462802,0.915493
0.018003,0.035812,1521,2217,1566,2407,3236,1973,2531,3147,2984,1656,3495,3035,1912,3155,,0.763804,0.495305,0.593824,0.816761,0.751693,0.459790,0.677950,0.877950,0.570858,0.508395,0.914798,0.942498,0.461836,0.915493
0.018007,0.053819,1520,2218,1567,2407,3236,1973,2532,3146,2984,1656,3495,3034,1912,3155,,0.762270,0.496479,0.595012,0.816761,0.751693,0.459790,0.678917,0.877136,0.570858,0.508395,0.914798,0.941599,0.461836,0.915493
0.017993,0.071812,1521,2216,1566,2407,3235,1974,2531,3147,2984,1656,3495,3034,1913,3154,,0.763804,0.494131,0.593824,0.816761,0.750941,0.460664,0.677950,0.877950,0.570858,0.508395,0.914798,0.941599,0.462802,0.914664
0.017998,0.089810,1522,2218,1566,2407,3235,1973,2531,3147,2984,1656,3495,3034,1914,3154,,0.765337,0.496479,0.593824,0.816761,0.750941,0.459790,0.677950,0.877950,0.570858,0.508395,0.914798,0.941599,0.463768,0.914664
0.018001,0.107811,1522,2218,1566,2407,3235,1973,2531,3147,2984,1656,3495,3034,1914,3154,,0.765337,0.496479,0.593824,0.816761,0.750941,0.459790,0.677950,0.877950,0.570858,0.508395,0.914798,0.941599,0.463768,0.914664
0.018000,0.125810,1522,2217,1567,2407,3235,1973,2530,3148,2984,1658,3495,3034,1916,3152,,0.765337,0.495305,0.595012,0.816761,0.750941,0.459790,0.676983,0.878763,0.570858,0.510261,0.914798,0.941599,0.465700,0.913007
0.018006,0.143817,1521,2217,1566,2407,3235,1973,2531,3148,2984,1658,3496,3034,1915,3153,,0.763804,0.495305,0.593824,0.816761,0.750941,0.459790,0.677950,0.878763,0.570858,0.510261,0.915919,0.941599,0.464734,0.913836
0.017997,0.161813,1521,2217,1567,2407,3235,1973,2531,3147,2984,1658,3496,3034,1916,3153,,0.763804,0.495305,0.595012,0.816761,0.750941,0.459790,0.677950,0.877950,0.570858,0.510261,0.915919,0.941599,0.465700,0.913836
0.018004,0.179817,1520,2217,1567,2407,3235,1974,2532,3147,2984,1657,3496,3034,1915,3153,,0.762270,0.495305,0.595012,0.816761,0.750941,0.460664,0.678917,0.877950,0.570858,0.509328,0.915919,0.941599,0.464734,0.913836
0.018001,0.197819,1519,2216,1567,2407,3235,1973,2530,3147,2984,1656,3495,3034,1915,3153,,0.760736,0.494131,0.595012,0.816761,0.750941,0.459790,0.676983,0.877950,0.570858,0.508395,0.914798,0.941599,0.464734,0.913836
0.017999,0.215818,1518,2217,1567,2407,3234,1974,2531,3147,2985,1656,3495,3034,1915,3153,,0.759202,0.495305,0.595012,0.816761,0.750188,0.460664,0.677950,0.877950,0.572854,0.508395,0.914798,0.941599,0.464734,0.913836
0.018000,0.233818,1518,2216,1567,2407,3236,1974,2530,3146,2985,1656,3495,3034,1916,3153,,0.759202,0.494131,0.595012,0.816761,0.751693,0.460664,0.676983,0.877136,0.572854,0.508395,0.914798,0.941599,0.465700,0.913836
0.018004,0.251822,1518,2216,1567,2407,3235,1974,2531,3147,2985,1656,3496,3033,1914,3153,,0.759202,0.494131,0.595012,0.816761,0.750941,0.460664,0.677950,0.877950,0.572854,0.508395,0.915919,0.940701,0.463768,0.913836
0.018002,0.269824,1517,2216,1567,2406,3235,1973,2530,3146,2985,1656,3494,3034,1915,3153,,0.757669,0.494131,0.595012,0.815341,0.750941,0.459790,0.676983,0.877136,0.572854,0.508395,0.913677,0.941599,0.464734,0.913836
0.018000,0.287824,1517,2216,1567,2407,3235,1973,2530,3147,2984,1656,3495,3034,1915,3153,,0.757669,0.494131,0.595012,0.816761,0.750941,0.459790,0.676983,0.877950,0.570858,0.508395,0.914798,0.941599,0.464734,0.913836
0.018001,0.305825,1516,2215,1567,2407,3235,1974,2531,3147,2984,1657,3495,3034,1914,3153,,0.756135,0.492958,0.595012,0.816761,0.750941,0.460664,0.677950,0.877950,0.570858,0.509328,0.914798,0.941599,0.463768,0.913836
0.017998,0.323823,1516,2215,1567,2407,3236,1973,2531,3147,2984,1656,3495,3034,1914,3154,,0.756135,0.492958,0.595012,0.816761,0.751693,0.459790,0.677950,0.877950,0.570858,0.508395,0.914798,0.941599,0.463768,0.914664
0.018002,0.341824,1516,2215,1567,2407,3236,1973,2531,3147,2984,1656,3495,3034,1914,3154,,0.756135,0.492958,0.595012,0.816761,0.751693,0.459790,0.677950,0.877950,0.570858,0.508395,0.914798,0.941599,0.463768,0.914664
0.018003,0.359828,1516,2215,1567,2407,3235,1973,2531,3146,2984,1656,3495,3034,1915,3153,,0.756135,0.492958,0.595012,0.816761,0.750941,0.459790,0.677950,0.877136,0.570858,0.508395,0.914798,0.941599,0.464734,0.913836
0.018009,0.377837,1515,2215,1567,2407,3235,1973,2530,3147,2984,1656,3495,3034,1914,3154,,0.754601,0.492958,0.595012,0.816761,0.750941,0.459790,0.676983,0.877950,0.570858,0.508395,0.914798,0.941599,0.463768,0.914664
0.017990,0.395827,1516,2215,1567,2407,3235,1973,2531,3147,2985,1657,3495,3034,1915,3154,,0.756135,0.492958,0.595012,0.816761,0.750941,0.459790,0.677950,0.877950,0.572854,0.509328,0.914798,0.941599,0.464734,0.914664
0.018012,0.413839,1516,2215,1567,2407,3235,1973,2531,3147,2985,1657,3495,3034,1915,3154,,0.756135,0.492958,0.595012,0.816761,0.750941,0.459790,0.677950,0.877950,0.572854,0.509328,0.914798,0.941599,0.464734,0.914664
0.017992,0.431831,1516,2215,1568,2407,3235,1974,2531,3147,2984,1656,3496,3034,1915,3154,,0.756135,0.492958,0.596200,0.816761,0.750941,0.460664,0.677950,0.877950,0.570858,0.508395,0.915919,0.941599,0.464734,0.914664
0.018002,0.449833,1516,2215,1568,2407,3235,1974,2531,3147,2984,1656,3496,3034,1915,3154,,0.756135,0.492958,0.596200,0.816761,0.750941,0.460664,0.677950,0.877950,0.570858,0.508395,0.915919,0.941599,0.464734,0.914664
