GloveManager recording started on 11/02/16 at 15:37:32

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017500,0.017499,1186,1937,1586,2154,2351,2306,2021,2266,2941,1361,3525,2957,1805,3047,,0.250000,0.166667,0.617577,0.457386,0.085779,0.750874,0.184720,0.161107,0.485030,0.233209,0.948430,0.872417,0.358454,0.826015
0.018022,0.035522,1187,1937,1586,2155,2352,2305,2021,2266,2940,1361,3525,2957,1806,3047,,0.251534,0.166667,0.617577,0.458807,0.086531,0.750000,0.184720,0.161107,0.483034,0.233209,0.948430,0.872417,0.359420,0.826015
0.018050,0.053572,1187,1938,1587,2155,2351,2305,2021,2265,2941,1360,3526,2956,1806,3047,,0.251534,0.167840,0.618765,0.458807,0.086531,0.750000,0.185687,0.161107,0.483034,0.232276,0.949552,0.871518,0.359420,0.826015
0.017951,0.071523,1187,1938,1587,2155,2352,2305,2022,2266,2940,1360,3526,2956,1806,3047,,0.251534,0.167840,0.618765,0.458807,0.086531,0.750000,0.185687,0.161107,0.483034,0.232276,0.949552,0.871518,0.359420,0.826015
0.018001,0.089524,1187,1939,1587,2155,2352,2306,2022,2266,2940,1360,3525,2956,1806,3046,,0.251534,0.169014,0.618765,0.458807,0.086531,0.750874,0.185687,0.161107,0.483034,0.232276,0.948430,0.871518,0.359420,0.825186
0.017981,0.107505,1187,1939,1587,2154,2352,2306,2023,2266,2941,1360,3525,2956,1813,3046,,0.251534,0.169014,0.618765,0.457386,0.086531,0.750874,0.186654,0.161107,0.485030,0.232276,0.948430,0.871518,0.366184,0.825186
0.018021,0.125526,1186,1939,1587,2154,2351,2306,2023,2266,2941,1359,3525,2957,1806,3047,,0.250000,0.169014,0.618765,0.457386,0.085779,0.750874,0.186654,0.161107,0.485030,0.231343,0.948430,0.872417,0.359420,0.826015
0.018001,0.143527,1186,1939,1587,2154,2351,2306,2022,2265,2941,1360,3525,2956,1805,3046,,0.250000,0.169014,0.618765,0.457386,0.085779,0.750874,0.185687,0.160293,0.485030,0.232276,0.948430,0.871518,0.358454,0.825186
0.018005,0.161532,1186,1939,1587,2154,2351,2306,2022,2265,2941,1360,3524,2956,1806,3046,,0.250000,0.169014,0.618765,0.457386,0.085779,0.750874,0.185687,0.160293,0.485030,0.232276,0.947309,0.871518,0.359420,0.825186
