GloveManager recording started on 11/02/16 at 15:37:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017541,0.017541,1179,1944,1547,2095,2337,1617,2177,2090,2868,1394,3551,3014,1774,3120,,0.239264,0.174883,0.571259,0.373580,0.075245,0.148601,0.335590,0.017901,0.339321,0.263993,0.977578,0.923630,0.328502,0.886495
0.017998,0.035538,1178,1945,1549,2096,2338,1617,2176,2089,2868,1395,3551,3013,1775,3119,,0.237730,0.176056,0.573634,0.375000,0.075997,0.148601,0.334623,0.017087,0.339321,0.264925,0.977578,0.922731,0.329469,0.885667
0.018001,0.053540,1177,1944,1547,2094,2337,1617,2176,2089,2868,1395,3550,3013,1775,3119,,0.236196,0.174883,0.571259,0.372159,0.075245,0.148601,0.334623,0.017087,0.339321,0.264925,0.976457,0.922731,0.329469,0.885667
0.018002,0.071541,1177,1944,1547,2094,2336,1617,2175,2089,2867,1395,3551,3014,1775,3120,,0.236196,0.174883,0.571259,0.372159,0.074492,0.148601,0.333656,0.017087,0.337325,0.264925,0.977578,0.923630,0.329469,0.886495
0.018001,0.089543,1178,1945,1546,2095,2336,1618,2175,2089,2868,1396,3551,3014,1776,3119,,0.237730,0.176056,0.570071,0.373580,0.074492,0.149476,0.333656,0.017087,0.339321,0.265858,0.977578,0.923630,0.330435,0.885667
0.018000,0.107542,1177,1944,1546,2095,2336,1617,2176,2089,2868,1396,3550,3014,1776,3120,,0.236196,0.174883,0.570071,0.373580,0.074492,0.148601,0.334623,0.017087,0.339321,0.265858,0.976457,0.923630,0.330435,0.886495
0.018001,0.125543,1177,1944,1546,2095,2336,1617,2176,2089,2868,1396,3550,3014,1776,3120,,0.236196,0.174883,0.570071,0.373580,0.074492,0.148601,0.334623,0.017087,0.339321,0.265858,0.976457,0.923630,0.330435,0.886495
0.018001,0.143544,1176,1944,1544,2095,2336,1618,2175,2088,2868,1395,3551,3013,1775,3120,,0.234663,0.174883,0.567696,0.373580,0.074492,0.149476,0.333656,0.016273,0.339321,0.264925,0.977578,0.922731,0.329469,0.886495
0.018001,0.161546,1177,1944,1543,2095,2335,1618,2175,2089,2868,1396,3552,3013,1775,3119,,0.236196,0.174883,0.566508,0.373580,0.073740,0.149476,0.333656,0.017087,0.339321,0.265858,0.978700,0.922731,0.329469,0.885667
0.018003,0.179549,1177,1944,1543,2094,2335,1619,2175,2089,2868,1396,3550,3013,1774,3119,,0.236196,0.174883,0.566508,0.372159,0.073740,0.150350,0.333656,0.017087,0.339321,0.265858,0.976457,0.922731,0.328502,0.885667
0.018013,0.197562,1177,1944,1542,2094,2334,1620,2174,2089,2868,1397,3550,3015,1774,3120,,0.236196,0.174883,0.565321,0.372159,0.072987,0.151224,0.332689,0.017087,0.339321,0.266791,0.976457,0.924528,0.328502,0.886495
0.017998,0.215560,1176,1943,1541,2094,2334,1621,2175,2088,2869,1396,3551,3014,1773,3120,,0.234663,0.173709,0.564133,0.372159,0.072987,0.152098,0.333656,0.016273,0.341317,0.265858,0.977578,0.923630,0.327536,0.886495
0.017990,0.233550,1176,1943,1541,2094,2334,1621,2175,2088,2869,1396,3551,3014,1773,3120,,0.234663,0.173709,0.564133,0.372159,0.072987,0.152098,0.333656,0.016273,0.341317,0.265858,0.977578,0.923630,0.327536,0.886495
0.018001,0.251551,1177,1944,1540,2094,2333,1623,2177,2087,2868,1398,3550,3015,1773,3121,,0.236196,0.174883,0.562945,0.372159,0.072235,0.153846,0.335590,0.015460,0.339321,0.267724,0.976457,0.924528,0.327536,0.887324
0.018000,0.269552,1177,1944,1541,2093,2333,1623,2178,2088,2868,1399,3551,3015,1772,3122,,0.236196,0.174883,0.564133,0.370739,0.072235,0.153846,0.336557,0.016273,0.339321,0.268657,0.977578,0.924528,0.326570,0.888152
0.018004,0.287556,1178,1945,1539,2092,2333,1625,2178,2087,2867,1400,3550,3015,1773,3123,,0.237730,0.176056,0.561758,0.369318,0.072235,0.155594,0.336557,0.015460,0.337325,0.269590,0.976457,0.924528,0.327536,0.888981
0.017998,0.305554,1177,1945,1536,2090,2333,1625,2179,2088,2867,1402,3550,3015,1773,3125,,0.236196,0.176056,0.558195,0.366477,0.072235,0.155594,0.337524,0.016273,0.337325,0.271455,0.976457,0.924528,0.327536,0.890638
0.018011,0.323565,1179,1945,1534,2090,2334,1627,2181,2088,2867,1402,3551,3016,1773,3124,,0.239264,0.176056,0.555819,0.366477,0.072987,0.157343,0.339458,0.016273,0.337325,0.271455,0.977578,0.925427,0.327536,0.889809
