GloveManager recording started on 11/02/16 at 15:38:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017901,0.017901,1656,2676,1386,2084,3093,1907,2483,3032,2914,1579,3419,2923,1979,3009,,0.897872,0.914849,0.380048,0.357955,0.644093,0.402098,0.631528,0.784378,0.431138,0.436567,0.829596,0.841869,0.526570,0.711424
0.018001,0.035902,1655,2677,1385,2083,3092,1908,2482,3032,2914,1578,3419,2924,1978,3010,,0.896454,0.915888,0.378860,0.356534,0.643341,0.402972,0.630561,0.784378,0.431138,0.435634,0.829596,0.842767,0.525604,0.712166
0.018020,0.053922,1655,2677,1385,2083,3092,1908,2482,3032,2914,1578,3419,2924,1978,3010,,0.896454,0.915888,0.378860,0.356534,0.643341,0.402972,0.630561,0.784378,0.431138,0.435634,0.829596,0.842767,0.525604,0.712166
0.017992,0.071914,1652,2676,1383,2083,3092,1908,2482,3032,2914,1579,3419,2924,1978,3011,,0.892199,0.914849,0.376485,0.356534,0.643341,0.402972,0.630561,0.784378,0.431138,0.436567,0.829596,0.842767,0.525604,0.712908
0.017978,0.089892,1652,2676,1382,2084,3092,1907,2482,3032,2914,1578,3419,2923,1978,3010,,0.892199,0.914849,0.375297,0.357955,0.643341,0.402098,0.630561,0.784378,0.431138,0.435634,0.829596,0.841869,0.525604,0.712166
0.018023,0.107915,1652,2676,1382,2084,3091,1907,2483,3031,2913,1579,3419,2924,1979,3011,,0.892199,0.914849,0.375297,0.357955,0.642588,0.402098,0.631528,0.783564,0.429142,0.436567,0.829596,0.842767,0.526570,0.712908
0.018008,0.125923,1652,2677,1382,2084,3092,1906,2481,3032,2914,1579,3419,2923,1977,3011,,0.892199,0.915888,0.375297,0.357955,0.643341,0.401224,0.629594,0.784378,0.431138,0.436567,0.829596,0.841869,0.524638,0.712908
0.017997,0.143920,1651,2676,1382,2085,3092,1907,2481,3032,2915,1580,3418,2922,1977,3011,,0.890780,0.914849,0.375297,0.359375,0.643341,0.402098,0.629594,0.784378,0.433134,0.437500,0.828475,0.840970,0.524638,0.712908
0.018007,0.161927,1652,2676,1382,2086,3092,1907,2480,3031,2914,1580,3419,2923,1977,3011,,0.892199,0.914849,0.375297,0.360795,0.643341,0.402098,0.628627,0.783564,0.431138,0.437500,0.829596,0.841869,0.524638,0.712908
0.018000,0.179927,1653,2677,1383,2086,3092,1907,2480,3032,2914,1580,3418,2923,1978,3010,,0.893617,0.915888,0.376485,0.360795,0.643341,0.402098,0.628627,0.784378,0.431138,0.437500,0.828475,0.841869,0.525604,0.712166
