GloveManager recording started on 11/02/16 at 15:38:29

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017229,0.017229,1155,1953,1338,2492,3349,2421,2521,3125,3035,1473,3485,2740,1689,2247,,0.187234,0.164071,0.323040,0.937500,0.836719,0.851399,0.668279,0.860049,0.672655,0.337687,0.903587,0.677448,0.246377,0.146142
0.018029,0.035258,1154,1952,1337,2492,3350,2422,2521,3125,3037,1473,3485,2741,1688,2247,,0.185816,0.163032,0.321853,0.937500,0.837472,0.852273,0.668279,0.860049,0.676647,0.337687,0.903587,0.678347,0.245411,0.146142
0.018000,0.053258,1153,1952,1339,2491,3350,2422,2521,3125,3036,1472,3485,2741,1689,2248,,0.184397,0.163032,0.324228,0.936080,0.837472,0.852273,0.668279,0.860049,0.674651,0.336754,0.903587,0.678347,0.246377,0.146884
0.017994,0.071252,1153,1952,1338,2492,3350,2422,2520,3124,3036,1472,3485,2740,1689,2247,,0.184397,0.163032,0.323040,0.937500,0.837472,0.852273,0.667311,0.859235,0.674651,0.336754,0.903587,0.677448,0.246377,0.146142
0.018000,0.089252,1153,1952,1339,2492,3349,2421,2520,3125,3036,1472,3484,2741,1689,2248,,0.184397,0.163032,0.324228,0.937500,0.836719,0.851399,0.667311,0.860049,0.674651,0.336754,0.902466,0.678347,0.246377,0.146884
0.017999,0.107251,1154,1952,1339,2492,3350,2421,2521,3125,3036,1473,3486,2741,1689,2247,,0.185816,0.163032,0.324228,0.937500,0.837472,0.851399,0.668279,0.860049,0.674651,0.337687,0.904709,0.678347,0.246377,0.146142
0.018011,0.125262,1153,1951,1338,2492,3350,2421,2520,3125,3036,1471,3485,2743,1696,2247,,0.184397,0.161994,0.323040,0.937500,0.837472,0.851399,0.667311,0.860049,0.674651,0.335821,0.903587,0.680144,0.253140,0.146142
0.017994,0.143256,1153,1951,1338,2492,3350,2421,2520,3125,3036,1471,3485,2743,1696,2247,,0.184397,0.161994,0.323040,0.937500,0.837472,0.851399,0.667311,0.860049,0.674651,0.335821,0.903587,0.680144,0.253140,0.146142
0.017999,0.161255,1152,1951,1337,2491,3350,2421,2520,3126,3036,1471,3485,2743,1688,2247,,0.182979,0.161994,0.321853,0.936080,0.837472,0.851399,0.667311,0.860862,0.674651,0.335821,0.903587,0.680144,0.245411,0.146142
