GloveManager recording started on 11/02/16 at 15:41:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017520,0.017520,1119,1860,1494,2353,3212,2435,2232,3029,2976,1522,3310,2985,1718,3125,,0.384921,0.266010,0.564972,0.821589,0.992553,0.994575,0.629457,0.971875,0.468354,0.775629,0.932602,0.904523,0.619329,0.993333
0.018015,0.035535,1120,1863,1493,2353,3212,2435,2233,3029,2977,1523,3310,2985,1718,3124,,0.388889,0.280788,0.563089,0.821589,0.992553,0.994575,0.631008,0.971875,0.474684,0.777563,0.932602,0.904523,0.619329,0.992381
0.018001,0.053536,1120,1863,1493,2353,3212,2435,2233,3029,2977,1523,3310,2985,1718,3124,,0.388889,0.280788,0.563089,0.821589,0.992553,0.994575,0.631008,0.971875,0.474684,0.777563,0.932602,0.904523,0.619329,0.992381
0.018001,0.071537,1120,1863,1493,2353,3212,2435,2233,3029,2977,1523,3310,2985,1718,3124,,0.388889,0.280788,0.563089,0.821589,0.992553,0.994575,0.631008,0.971875,0.474684,0.777563,0.932602,0.904523,0.619329,0.992381
0.017959,0.089496,1121,1863,1493,2353,3211,2436,2232,3028,2977,1522,3312,2985,1718,3127,,0.392857,0.280788,0.563089,0.821589,0.991489,0.996383,0.629457,0.970833,0.474684,0.775629,0.935737,0.904523,0.619329,0.995238
0.018045,0.107541,1121,1863,1493,2353,3212,2435,2233,3029,2977,1523,3311,2984,1717,3126,,0.392857,0.280788,0.563089,0.821589,0.992553,0.994575,0.631008,0.971875,0.474684,0.777563,0.934169,0.902848,0.617357,0.994286
0.017960,0.125501,1123,1862,1493,2353,3212,2436,2233,3030,2976,1524,3312,2984,1717,3127,,0.400794,0.275862,0.563089,0.821589,0.992553,0.996383,0.631008,0.972917,0.468354,0.779497,0.935737,0.902848,0.617357,0.995238
0.018041,0.143542,1123,1863,1492,2353,3211,2435,2234,3029,2977,1524,3312,2984,1717,3127,,0.400794,0.280788,0.561205,0.821589,0.991489,0.994575,0.632558,0.971875,0.474684,0.779497,0.935737,0.902848,0.617357,0.995238
0.017998,0.161540,1123,1863,1493,2353,3211,2435,2233,3030,2977,1524,3312,2985,1717,3127,,0.400794,0.280788,0.563089,0.821589,0.991489,0.994575,0.631008,0.972917,0.474684,0.779497,0.935737,0.904523,0.617357,0.995238
0.017966,0.179506,1123,1863,1492,2352,3210,2435,2234,3029,2977,1524,3312,2985,1716,3127,,0.400794,0.280788,0.561205,0.820090,0.990426,0.994575,0.632558,0.971875,0.474684,0.779497,0.935737,0.904523,0.615385,0.995238
0.018026,0.197532,1123,1863,1492,2352,3210,2435,2233,3030,2977,1525,3313,2984,1716,3127,,0.400794,0.280788,0.561205,0.820090,0.990426,0.994575,0.631008,0.972917,0.474684,0.781431,0.937304,0.902848,0.615385,0.995238
