GloveManager recording started on 11/02/16 at 15:42:20

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017904,0.017904,1245,2107,1895,2074,2375,2352,1927,2225,3038,1155,2817,2856,1613,2195,,0.884921,0.986885,1.000000,0.403298,0.102128,0.842960,0.156589,0.134375,0.839506,0.065764,0.159875,0.688442,0.412229,0.107619
0.018004,0.035909,1245,2108,1894,2075,2375,2352,1926,2225,3038,1154,2817,2856,1612,2194,,0.884921,0.990164,0.998573,0.404798,0.102128,0.842960,0.155039,0.134375,0.839506,0.063830,0.159875,0.688442,0.410256,0.106667
0.017981,0.053889,1245,2109,1894,2075,2375,2352,1927,2225,3037,1154,2818,2854,1612,2194,,0.884921,0.993443,0.998573,0.404798,0.102128,0.842960,0.156589,0.134375,0.833333,0.063830,0.161442,0.685092,0.410256,0.106667
0.017997,0.071886,1246,2109,1894,2075,2376,2352,1926,2226,3036,1154,2817,2851,1611,2193,,0.888889,0.993443,0.998573,0.404798,0.103191,0.842960,0.155039,0.135417,0.827160,0.063830,0.159875,0.680067,0.408284,0.105714
0.018026,0.089912,1247,2108,1893,2073,2377,2350,1926,2226,3034,1152,2815,2849,1607,2191,,0.892857,0.990164,0.997147,0.401799,0.104255,0.839350,0.155039,0.135417,0.814815,0.059961,0.156740,0.676717,0.400394,0.103810
0.017998,0.107910,1247,2108,1893,2073,2377,2350,1926,2226,3034,1152,2815,2849,1607,2191,,0.892857,0.990164,0.997147,0.401799,0.104255,0.839350,0.155039,0.135417,0.814815,0.059961,0.156740,0.676717,0.400394,0.103810
0.018002,0.125912,1248,2107,1894,2072,2380,2350,1926,2226,3034,1153,2816,2847,1607,2192,,0.896825,0.986885,0.998573,0.400300,0.107447,0.839350,0.155039,0.135417,0.814815,0.061896,0.158307,0.673367,0.400394,0.104762
0.018001,0.143913,1248,2107,1894,2071,2381,2348,1925,2226,3032,1152,2816,2846,1606,2191,,0.896825,0.986885,0.998573,0.398801,0.108511,0.835740,0.153488,0.135417,0.802469,0.059961,0.158307,0.671692,0.398422,0.103810
0.018003,0.161915,1248,2105,1895,2070,2382,2348,1925,2226,3033,1152,2815,2847,1607,2192,,0.896825,0.980328,1.000000,0.397301,0.109574,0.835740,0.153488,0.135417,0.808642,0.059961,0.156740,0.673367,0.400394,0.104762
