GloveManager recording started on 11/02/16 at 15:43:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017509,0.017509,1292,2032,1365,2178,3166,2489,1945,2942,3001,1177,3260,2851,1608,2857,,0.897010,0.740984,0.260753,0.559220,0.943617,0.893491,0.184496,0.825366,0.793443,0.108317,0.854232,0.680067,0.402367,0.738095
0.018001,0.035510,1294,2033,1368,2179,3168,2497,1946,2942,3001,1177,3261,2851,1610,2857,,0.903654,0.744262,0.264785,0.560720,0.945745,0.905325,0.186047,0.825366,0.793443,0.108317,0.855799,0.680067,0.406312,0.738095
0.018002,0.053512,1293,2034,1374,2182,3169,2509,1947,2943,3001,1177,3261,2852,1610,2856,,0.900332,0.747541,0.272849,0.565217,0.946809,0.923077,0.187597,0.826341,0.793443,0.108317,0.855799,0.681742,0.406312,0.737143
0.018001,0.071513,1294,2034,1380,2189,3172,2526,1950,2944,3001,1177,3262,2853,1612,2854,,0.903654,0.747541,0.280914,0.575712,0.950000,0.948225,0.192248,0.827317,0.793443,0.108317,0.857367,0.683417,0.410256,0.735238
0.018000,0.089513,1294,2035,1386,2195,3175,2535,1954,2945,3001,1177,3261,2853,1614,2852,,0.903654,0.750820,0.288978,0.584708,0.953192,0.961538,0.198450,0.828293,0.793443,0.108317,0.855799,0.683417,0.414201,0.733333
0.018002,0.107515,1294,2035,1386,2195,3175,2535,1954,2945,3001,1177,3261,2853,1614,2852,,0.903654,0.750820,0.288978,0.584708,0.953192,0.961538,0.198450,0.828293,0.793443,0.108317,0.855799,0.683417,0.414201,0.733333
0.018000,0.125515,1294,2036,1389,2197,3174,2535,1955,2945,3001,1177,3261,2853,1615,2851,,0.903654,0.754098,0.293011,0.587706,0.952128,0.961538,0.200000,0.828293,0.793443,0.108317,0.855799,0.683417,0.416174,0.732381
0.018000,0.143516,1294,2036,1391,2198,3174,2535,1957,2946,3001,1177,3262,2852,1615,2850,,0.903654,0.754098,0.295699,0.589205,0.952128,0.961538,0.203101,0.829268,0.793443,0.108317,0.857367,0.681742,0.416174,0.731429
0.018001,0.161517,1294,2038,1392,2199,3173,2534,1959,2946,3001,1178,3262,2853,1617,2848,,0.903654,0.760656,0.297043,0.590705,0.951064,0.960059,0.206202,0.829268,0.793443,0.110251,0.857367,0.683417,0.420118,0.729524
