GloveManager recording started on 11/02/16 at 15:43:22

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017408,0.017408,1274,1882,1288,2123,3072,1754,1948,2151,2942,1138,2777,2874,1562,2123,,0.837209,0.249180,0.157258,0.476762,0.843617,0.297650,0.189147,0.053659,0.559633,0.131944,0.097179,0.803279,0.311637,0.039048
0.018004,0.035411,1273,1882,1288,2123,3072,1763,1948,2150,2942,1138,2776,2875,1564,2123,,0.833887,0.249180,0.157258,0.476762,0.843617,0.305483,0.189147,0.052683,0.559633,0.131944,0.095611,0.804450,0.315582,0.039048
0.017998,0.053409,1272,1884,1288,2119,3075,1790,1947,2145,2943,1139,2776,2875,1566,2122,,0.830565,0.255738,0.157258,0.470765,0.846808,0.328982,0.187597,0.047805,0.562691,0.133681,0.095611,0.804450,0.319527,0.038095
0.018004,0.071413,1272,1884,1288,2118,3076,1794,1946,2145,2944,1139,2776,2875,1566,2123,,0.830565,0.255738,0.157258,0.469265,0.847872,0.332463,0.186047,0.047805,0.565749,0.133681,0.095611,0.804450,0.319527,0.039048
0.018001,0.089414,1273,1884,1288,2118,3074,1791,1947,2144,2944,1138,2776,2876,1566,2122,,0.833887,0.255738,0.157258,0.469265,0.845745,0.329852,0.187597,0.046829,0.565749,0.131944,0.095611,0.805621,0.319527,0.038095
0.017998,0.107412,1276,1883,1286,2120,3073,1786,1948,2143,2946,1139,2776,2875,1567,2123,,0.843854,0.252459,0.154570,0.472264,0.844681,0.325500,0.189147,0.045854,0.571865,0.133681,0.095611,0.804450,0.321499,0.039048
0.018002,0.125414,1277,1883,1285,2123,3070,1781,1948,2145,2946,1141,2776,2876,1567,2123,,0.847176,0.252459,0.153226,0.476762,0.841489,0.321149,0.189147,0.047805,0.571865,0.137153,0.095611,0.805621,0.321499,0.039048
0.017979,0.143393,1280,1883,1284,2127,3067,1777,1949,2146,2946,1141,2776,2876,1566,2123,,0.857143,0.252459,0.151882,0.482759,0.838298,0.317668,0.190698,0.048780,0.571865,0.137153,0.095611,0.805621,0.319527,0.039048
0.018021,0.161415,1285,1881,1275,2132,3063,1769,1950,2145,2947,1141,2776,2875,1566,2124,,0.873754,0.245902,0.139785,0.490255,0.834043,0.310705,0.192248,0.047805,0.574924,0.137153,0.095611,0.804450,0.319527,0.040000
