GloveManager recording started on 11/02/16 at 15:43:46

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017530,0.017530,1139,1918,1402,2113,2331,2496,2291,3175,2986,1350,3353,2923,1679,2963,,0.388704,0.367213,0.310484,0.461769,0.055319,0.943429,0.720930,0.978241,0.694190,0.500000,0.987616,0.860656,0.542406,0.839048
0.018025,0.035555,1139,1917,1403,2113,2331,2496,2293,3175,2986,1351,3353,2924,1680,2962,,0.388704,0.363934,0.311828,0.461769,0.055319,0.943429,0.724031,0.978241,0.694190,0.501736,0.987616,0.861827,0.544379,0.838095
0.017998,0.053553,1139,1918,1403,2113,2331,2496,2294,3175,2986,1351,3353,2924,1680,2962,,0.388704,0.367213,0.311828,0.461769,0.055319,0.943429,0.725581,0.978241,0.694190,0.501736,0.987616,0.861827,0.544379,0.838095
0.017999,0.071552,1139,1918,1403,2114,2332,2496,2293,3175,2986,1351,3352,2923,1680,2962,,0.388704,0.367213,0.311828,0.463268,0.056383,0.943429,0.724031,0.978241,0.694190,0.501736,0.986068,0.860656,0.544379,0.838095
0.018010,0.089562,1138,1918,1403,2114,2331,2496,2293,3174,2986,1351,3353,2924,1680,2961,,0.385382,0.367213,0.311828,0.463268,0.055319,0.943429,0.724031,0.977335,0.694190,0.501736,0.987616,0.861827,0.544379,0.837143
0.018011,0.107574,1139,1918,1401,2113,2331,2496,2294,3174,2986,1351,3353,2923,1679,2962,,0.388704,0.367213,0.309140,0.461769,0.055319,0.943429,0.725581,0.977335,0.694190,0.501736,0.987616,0.860656,0.542406,0.838095
0.017995,0.125568,1139,1918,1402,2113,2331,2496,2294,3174,2986,1351,3352,2924,1679,2962,,0.388704,0.367213,0.310484,0.461769,0.055319,0.943429,0.725581,0.977335,0.694190,0.501736,0.986068,0.861827,0.542406,0.838095
0.018008,0.143577,1139,1918,1401,2112,2331,2496,2293,3174,2987,1351,3352,2923,1680,2962,,0.388704,0.367213,0.309140,0.460270,0.055319,0.943429,0.724031,0.977335,0.697248,0.501736,0.986068,0.860656,0.544379,0.838095
0.017962,0.161539,1139,1917,1403,2113,2331,2496,2294,3174,2986,1351,3353,2924,1681,2962,,0.388704,0.363934,0.311828,0.461769,0.055319,0.943429,0.725581,0.977335,0.694190,0.501736,0.987616,0.861827,0.546351,0.838095
0.018039,0.179578,1139,1918,1401,2114,2331,2497,2294,3174,2986,1352,3353,2924,1681,2961,,0.388704,0.367213,0.309140,0.463268,0.055319,0.944299,0.725581,0.977335,0.694190,0.503472,0.987616,0.861827,0.546351,0.837143
0.017985,0.197563,1139,1918,1401,2114,2331,2497,2294,3174,2986,1352,3353,2924,1681,2961,,0.388704,0.367213,0.309140,0.463268,0.055319,0.944299,0.725581,0.977335,0.694190,0.503472,0.987616,0.861827,0.546351,0.837143
0.018003,0.215566,1139,1917,1403,2113,2332,2497,2295,3174,2987,1352,3353,2924,1680,2961,,0.388704,0.363934,0.311828,0.461769,0.056383,0.944299,0.727132,0.977335,0.697248,0.503472,0.987616,0.861827,0.544379,0.837143
0.017999,0.233565,1139,1918,1402,2113,2332,2496,2296,3174,2986,1352,3353,2924,1681,2961,,0.388704,0.367213,0.310484,0.461769,0.056383,0.943429,0.728682,0.977335,0.694190,0.503472,0.987616,0.861827,0.546351,0.837143
