GloveManager recording started on 11/02/16 at 15:44:18

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017518,0.017518,1303,1949,1238,2285,3254,2432,2044,3225,3021,1279,3373,2900,1685,2141,,0.933555,0.468852,0.110381,0.719640,0.979900,0.887728,0.337985,0.973276,0.801223,0.376736,0.930693,0.833724,0.554241,0.056190
0.018001,0.035519,1302,1949,1238,2284,3255,2432,2043,3225,3021,1280,3374,2897,1685,2140,,0.930233,0.468852,0.110381,0.718141,0.980905,0.887728,0.336434,0.973276,0.801223,0.378472,0.932108,0.830211,0.554241,0.055238
0.018002,0.053521,1302,1949,1239,2284,3255,2432,2042,3226,3022,1280,3374,2897,1685,2141,,0.930233,0.468852,0.111695,0.718141,0.980905,0.887728,0.334884,0.974138,0.804281,0.378472,0.932108,0.830211,0.554241,0.056190
0.018000,0.071521,1301,1949,1238,2283,3255,2431,2041,3226,3022,1280,3374,2903,1684,2142,,0.926910,0.468852,0.110381,0.716642,0.980905,0.886858,0.333333,0.974138,0.804281,0.378472,0.932108,0.837237,0.552268,0.057143
0.018002,0.089523,1298,1947,1238,2280,3256,2432,2039,3227,3023,1279,3372,2917,1684,2144,,0.916944,0.462295,0.110381,0.712144,0.981910,0.887728,0.330233,0.975000,0.807339,0.376736,0.929279,0.853630,0.552268,0.059048
0.018001,0.107524,1298,1947,1238,2280,3256,2432,2039,3227,3023,1279,3372,2917,1684,2144,,0.916944,0.462295,0.110381,0.712144,0.981910,0.887728,0.330233,0.975000,0.807339,0.376736,0.929279,0.853630,0.552268,0.059048
0.018000,0.125524,1297,1946,1238,2277,3255,2432,2038,3227,3023,1279,3372,2927,1684,2146,,0.913621,0.459016,0.110381,0.707646,0.980905,0.887728,0.328682,0.975000,0.807339,0.376736,0.929279,0.865340,0.552268,0.060952
0.018002,0.143526,1295,1944,1235,2273,3255,2432,2034,3228,3023,1280,3372,2951,1684,2150,,0.906977,0.452459,0.106439,0.701649,0.980905,0.887728,0.322481,0.975862,0.807339,0.378472,0.929279,0.893443,0.552268,0.064762
0.018000,0.161526,1295,1942,1235,2272,3255,2432,2034,3227,3024,1281,3371,2965,1690,2150,,0.906977,0.445902,0.106439,0.700150,0.980905,0.887728,0.322481,0.975000,0.810398,0.380208,0.927864,0.909836,0.564103,0.064762
0.018001,0.179527,1293,1941,1233,2270,3255,2432,2035,3226,3023,1279,3369,2976,1695,2150,,0.900332,0.442623,0.103811,0.697151,0.980905,0.887728,0.324031,0.974138,0.807339,0.376736,0.925035,0.922717,0.573964,0.064762
0.018000,0.197528,1291,1939,1233,2267,3253,2432,2033,3226,3023,1279,3367,2982,1700,2150,,0.893688,0.436066,0.103811,0.692654,0.978894,0.887728,0.320930,0.974138,0.807339,0.376736,0.922207,0.929742,0.583826,0.064762
0.018001,0.215529,1290,1939,1232,2267,3254,2432,2031,3226,3025,1280,3368,2990,1705,2150,,0.890365,0.436066,0.102497,0.692654,0.979900,0.887728,0.317829,0.974138,0.813456,0.378472,0.923621,0.939110,0.593688,0.064762
0.018002,0.233531,1290,1937,1231,2263,3254,2433,2030,3227,3026,1280,3368,2997,1710,2151,,0.890365,0.429508,0.101183,0.686657,0.979900,0.888599,0.316279,0.975000,0.816514,0.378472,0.923621,0.947307,0.603550,0.065714
0.018000,0.251532,1290,1937,1231,2263,3254,2433,2030,3227,3026,1280,3368,2997,1710,2151,,0.890365,0.429508,0.101183,0.686657,0.979900,0.888599,0.316279,0.975000,0.816514,0.378472,0.923621,0.947307,0.603550,0.065714
0.018002,0.269534,1289,1936,1230,2260,3254,2432,2029,3227,3025,1279,3367,3006,1716,2151,,0.887043,0.426230,0.099869,0.682159,0.979900,0.887728,0.314729,0.975000,0.813456,0.376736,0.922207,0.957845,0.615385,0.065714
0.018000,0.287534,1289,1936,1231,2261,3252,2432,2028,3226,3026,1278,3366,3010,1718,2150,,0.887043,0.426230,0.101183,0.683658,0.977889,0.887728,0.313178,0.974138,0.816514,0.375000,0.920792,0.962529,0.619329,0.064762
0.018000,0.305533,1289,1935,1229,2260,3253,2432,2027,3227,3026,1278,3366,3014,1721,2150,,0.887043,0.422951,0.098555,0.682159,0.978894,0.887728,0.311628,0.975000,0.816514,0.375000,0.920792,0.967213,0.625247,0.064762
0.017980,0.323514,1288,1936,1230,2260,3253,2433,2027,3228,3026,1277,3365,3015,1721,2150,,0.883721,0.426230,0.099869,0.682159,0.978894,0.888599,0.311628,0.975862,0.816514,0.373264,0.919378,0.968384,0.625247,0.064762
0.018023,0.341536,1288,1935,1229,2258,3252,2432,2026,3227,3027,1277,3364,3017,1722,2149,,0.883721,0.422951,0.098555,0.679160,0.977889,0.887728,0.310078,0.975000,0.819572,0.373264,0.917963,0.970726,0.627219,0.063810
0.018002,0.359538,1288,1935,1229,2258,3253,2433,2028,3227,3027,1278,3364,3019,1723,2149,,0.883721,0.422951,0.098555,0.679160,0.978894,0.888599,0.313178,0.975000,0.819572,0.375000,0.917963,0.973068,0.629191,0.063810
0.018000,0.377538,1287,1935,1229,2259,3253,2432,2028,3227,3026,1278,3364,3018,1721,2148,,0.880399,0.422951,0.098555,0.680660,0.978894,0.887728,0.313178,0.975000,0.816514,0.375000,0.917963,0.971897,0.625247,0.062857
0.018000,0.395538,1288,1935,1228,2260,3253,2433,2027,3226,3027,1278,3363,3017,1719,2147,,0.883721,0.422951,0.097240,0.682159,0.978894,0.888599,0.311628,0.974138,0.819572,0.375000,0.916549,0.970726,0.621302,0.061905
0.017982,0.413520,1288,1935,1229,2260,3253,2433,2027,3227,3027,1278,3363,3015,1718,2146,,0.883721,0.422951,0.098555,0.682159,0.978894,0.888599,0.311628,0.975000,0.819572,0.375000,0.916549,0.968384,0.619329,0.060952
0.017999,0.431520,1288,1935,1229,2259,3253,2432,2027,3226,3027,1278,3362,3013,1716,2146,,0.883721,0.422951,0.098555,0.680660,0.978894,0.887728,0.311628,0.974138,0.819572,0.375000,0.915134,0.966042,0.615385,0.060952
0.018024,0.449544,1288,1935,1228,2260,3253,2432,2028,3226,3026,1277,3362,3011,1714,2146,,0.883721,0.422951,0.097240,0.682159,0.978894,0.887728,0.313178,0.974138,0.816514,0.373264,0.915134,0.963700,0.611440,0.060952
0.018008,0.467551,1289,1936,1230,2261,3253,2432,2027,3227,3027,1278,3361,3009,1713,2147,,0.887043,0.426230,0.099869,0.683658,0.978894,0.887728,0.311628,0.975000,0.819572,0.375000,0.913720,0.961358,0.609467,0.061905
0.017994,0.485545,1290,1936,1230,2261,3253,2433,2027,3226,3026,1278,3361,3007,1712,2146,,0.890365,0.426230,0.099869,0.683658,0.978894,0.888599,0.311628,0.974138,0.816514,0.375000,0.913720,0.959016,0.607495,0.060952
0.017999,0.503544,1289,1936,1230,2261,3252,2432,2027,3226,3028,1276,3356,2999,1705,2143,,0.887043,0.426230,0.099869,0.683658,0.977889,0.887728,0.311628,0.974138,0.822630,0.371528,0.906648,0.949649,0.593688,0.058095
0.018001,0.521545,1289,1935,1229,2261,3251,2433,2026,3226,3029,1274,3356,2995,1702,2144,,0.887043,0.422951,0.098555,0.683658,0.976884,0.888599,0.310078,0.974138,0.825688,0.368056,0.906648,0.944965,0.587771,0.059048
0.018000,0.539545,1289,1936,1230,2259,3252,2432,2026,3226,3029,1274,3355,2991,1700,2143,,0.887043,0.426230,0.099869,0.680660,0.977889,0.887728,0.310078,0.974138,0.825688,0.368056,0.905233,0.940281,0.583826,0.058095
0.018004,0.557549,1289,1936,1230,2260,3252,2432,2026,3225,3029,1274,3356,2987,1696,2143,,0.887043,0.426230,0.099869,0.682159,0.977889,0.887728,0.310078,0.973276,0.825688,0.368056,0.906648,0.935597,0.575937,0.058095
0.017978,0.575527,1289,1935,1230,2260,3251,2432,2025,3224,3032,1271,3356,2975,1690,2143,,0.887043,0.422951,0.099869,0.682159,0.976884,0.887728,0.308527,0.972414,0.834862,0.362847,0.906648,0.921546,0.564103,0.058095
0.018031,0.593558,1289,1935,1231,2260,3252,2432,2025,3225,3034,1269,3355,2968,1688,2144,,0.887043,0.422951,0.101183,0.682159,0.977889,0.887728,0.308527,0.973276,0.840979,0.359375,0.905233,0.913349,0.560158,0.059048
0.017995,0.611553,1289,1936,1231,2259,3252,2432,2024,3226,3033,1269,3355,2962,1688,2145,,0.887043,0.426230,0.101183,0.680660,0.977889,0.887728,0.306977,0.974138,0.837920,0.359375,0.905233,0.906323,0.560158,0.060000
0.017998,0.629551,1289,1935,1230,2258,3251,2432,2022,3226,3035,1269,3356,2961,1688,2145,,0.887043,0.422951,0.099869,0.679160,0.976884,0.887728,0.303876,0.974138,0.844037,0.359375,0.906648,0.905152,0.560158,0.060000
0.018001,0.647552,1289,1935,1231,2258,3253,2432,2023,3226,3035,1269,3356,2961,1689,2144,,0.887043,0.422951,0.101183,0.679160,0.978894,0.887728,0.305426,0.974138,0.844037,0.359375,0.906648,0.905152,0.562130,0.059048
