GloveManager recording started on 11/02/16 at 15:44:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017499,0.017499,1222,1878,1273,2135,3241,2428,1958,3276,3064,1224,3318,2467,1548,2083,,0.664452,0.236066,0.156373,0.494753,0.933075,0.884247,0.204651,0.983333,0.886628,0.281250,0.852900,0.361820,0.284024,0.012241
0.017998,0.035497,1220,1878,1274,2136,3240,2427,1959,3275,3063,1225,3316,2467,1548,2083,,0.657807,0.236066,0.157687,0.496252,0.932105,0.883377,0.206202,0.982500,0.883721,0.282986,0.850071,0.361820,0.284024,0.012241
0.018005,0.053502,1220,1878,1273,2137,3240,2427,1959,3274,3064,1226,3315,2464,1549,2083,,0.657807,0.236066,0.156373,0.497751,0.932105,0.883377,0.206202,0.981667,0.886628,0.284722,0.848656,0.358491,0.285996,0.012241
0.018000,0.071502,1222,1879,1272,2138,3239,2426,1959,3274,3063,1226,3314,2464,1549,2083,,0.664452,0.239344,0.155059,0.499250,0.931135,0.882507,0.206202,0.981667,0.883721,0.284722,0.847242,0.358491,0.285996,0.012241
0.018002,0.089504,1226,1880,1273,2138,3239,2427,1961,3273,3063,1226,3315,2460,1548,2083,,0.677741,0.242623,0.156373,0.499250,0.931135,0.883377,0.209302,0.980833,0.883721,0.284722,0.848656,0.354051,0.284024,0.012241
0.017998,0.107501,1226,1880,1273,2138,3239,2427,1961,3273,3063,1226,3315,2460,1548,2083,,0.677741,0.242623,0.156373,0.499250,0.931135,0.883377,0.209302,0.980833,0.883721,0.284722,0.848656,0.354051,0.284024,0.012241
0.018001,0.125503,1226,1880,1271,2139,3238,2428,1962,3272,3062,1224,3316,2457,1547,2082,,0.677741,0.242623,0.153745,0.500750,0.930165,0.884247,0.210853,0.980000,0.880814,0.281250,0.850071,0.350721,0.282051,0.011299
0.018003,0.143506,1226,1881,1271,2140,3238,2427,1963,3272,3063,1225,3318,2456,1547,2082,,0.677741,0.245902,0.153745,0.502249,0.930165,0.883377,0.212403,0.980000,0.883721,0.282986,0.852900,0.349612,0.282051,0.011299
0.017998,0.161504,1227,1880,1271,2140,3239,2428,1962,3272,3063,1224,3319,2455,1546,2082,,0.681063,0.242623,0.153745,0.502249,0.931135,0.884247,0.210853,0.980000,0.883721,0.281250,0.854314,0.348502,0.280079,0.011299
0.018005,0.179509,1228,1881,1270,2140,3238,2428,1963,3272,3063,1224,3320,2454,1545,2083,,0.684385,0.245902,0.152431,0.502249,0.930165,0.884247,0.212403,0.980000,0.883721,0.281250,0.855728,0.347392,0.278107,0.012241
0.018001,0.197510,1227,1882,1270,2141,3239,2427,1962,3272,3063,1223,3323,2456,1542,2083,,0.681063,0.249180,0.152431,0.503748,0.931135,0.883377,0.210853,0.980000,0.883721,0.279514,0.859972,0.349612,0.272189,0.012241
0.018000,0.215511,1227,1882,1271,2141,3238,2428,1962,3272,3063,1223,3325,2457,1542,2083,,0.681063,0.249180,0.153745,0.503748,0.930165,0.884247,0.210853,0.980000,0.883721,0.279514,0.862801,0.350721,0.272189,0.012241
0.017997,0.233508,1227,1882,1271,2141,3238,2428,1962,3272,3063,1223,3325,2457,1542,2083,,0.681063,0.249180,0.153745,0.503748,0.930165,0.884247,0.210853,0.980000,0.883721,0.279514,0.862801,0.350721,0.272189,0.012241
0.018000,0.251508,1227,1882,1271,2141,3238,2428,1962,3271,3062,1223,3326,2460,1541,2083,,0.681063,0.249180,0.153745,0.503748,0.930165,0.884247,0.210853,0.979167,0.880814,0.279514,0.864215,0.354051,0.270217,0.012241
0.018002,0.269510,1227,1882,1270,2141,3239,2428,1963,3272,3063,1223,3327,2462,1542,2083,,0.681063,0.249180,0.152431,0.503748,0.931135,0.884247,0.212403,0.980000,0.883721,0.279514,0.865629,0.356271,0.272189,0.012241
0.018000,0.287510,1227,1881,1271,2141,3238,2428,1962,3272,3063,1223,3327,2463,1542,2083,,0.681063,0.245902,0.153745,0.503748,0.930165,0.884247,0.210853,0.980000,0.883721,0.279514,0.865629,0.357381,0.272189,0.012241
0.018001,0.305512,1226,1881,1270,2141,3238,2428,1963,3272,3063,1222,3326,2462,1542,2084,,0.677741,0.245902,0.152431,0.503748,0.930165,0.884247,0.212403,0.980000,0.883721,0.277778,0.864215,0.356271,0.272189,0.013183
0.018005,0.323517,1226,1880,1270,2140,3238,2427,1964,3272,3062,1222,3326,2462,1541,2083,,0.677741,0.242623,0.152431,0.502249,0.930165,0.883377,0.213953,0.980000,0.880814,0.277778,0.864215,0.356271,0.270217,0.012241
0.017979,0.341496,1226,1881,1271,2141,3238,2428,1963,3272,3062,1222,3326,2463,1541,2084,,0.677741,0.245902,0.153745,0.503748,0.930165,0.884247,0.212403,0.980000,0.880814,0.277778,0.864215,0.357381,0.270217,0.013183
0.017999,0.359494,1225,1880,1271,2141,3238,2428,1962,3272,3062,1222,3327,2463,1541,2084,,0.674419,0.242623,0.153745,0.503748,0.930165,0.884247,0.210853,0.980000,0.880814,0.277778,0.865629,0.357381,0.270217,0.013183
0.018023,0.377517,1224,1880,1271,2140,3239,2427,1963,3272,3063,1221,3327,2465,1541,2084,,0.671096,0.242623,0.153745,0.502249,0.931135,0.883377,0.212403,0.980000,0.883721,0.276042,0.865629,0.359600,0.270217,0.013183
0.017998,0.395515,1223,1880,1271,2140,3238,2427,1963,3273,3062,1221,3327,2465,1542,2084,,0.667774,0.242623,0.153745,0.502249,0.930165,0.883377,0.212403,0.980833,0.880814,0.276042,0.865629,0.359600,0.272189,0.013183
0.018002,0.413517,1223,1880,1271,2140,3238,2428,1962,3272,3062,1221,3327,2465,1541,2083,,0.667774,0.242623,0.153745,0.502249,0.930165,0.884247,0.210853,0.980000,0.880814,0.276042,0.865629,0.359600,0.270217,0.012241
0.018000,0.431518,1222,1879,1272,2140,3238,2428,1963,3272,3062,1221,3327,2466,1540,2083,,0.664452,0.239344,0.155059,0.502249,0.930165,0.884247,0.212403,0.980000,0.880814,0.276042,0.865629,0.360710,0.268245,0.012241
0.018001,0.449519,1222,1879,1272,2140,3239,2427,1963,3273,3062,1221,3327,2466,1540,2083,,0.664452,0.239344,0.155059,0.502249,0.931135,0.883377,0.212403,0.980833,0.880814,0.276042,0.865629,0.360710,0.268245,0.012241
0.018125,0.467644,1223,1880,1273,2140,3238,2427,1962,3273,3062,1220,3328,2467,1541,2084,,0.667774,0.242623,0.156373,0.502249,0.930165,0.883377,0.210853,0.980833,0.880814,0.274306,0.867044,0.361820,0.270217,0.013183
0.017880,0.485524,1222,1879,1272,2139,3239,2428,1961,3273,3063,1220,3328,2469,1540,2083,,0.664452,0.239344,0.155059,0.500750,0.931135,0.884247,0.209302,0.980833,0.883721,0.274306,0.867044,0.364040,0.268245,0.012241
0.018000,0.503524,1221,1878,1272,2139,3238,2428,1962,3273,3063,1220,3328,2469,1540,2084,,0.661130,0.236066,0.155059,0.500750,0.930165,0.884247,0.210853,0.980833,0.883721,0.274306,0.867044,0.364040,0.268245,0.013183
0.018001,0.521525,1221,1879,1272,2140,3238,2428,1962,3273,3062,1221,3328,2469,1540,2083,,0.661130,0.239344,0.155059,0.502249,0.930165,0.884247,0.210853,0.980833,0.880814,0.276042,0.867044,0.364040,0.268245,0.012241
0.018002,0.539527,1221,1879,1272,2139,3238,2427,1962,3273,3062,1219,3328,2471,1541,2083,,0.661130,0.239344,0.155059,0.500750,0.930165,0.883377,0.210853,0.980833,0.880814,0.272569,0.867044,0.366260,0.270217,0.012241
0.018000,0.557528,1220,1878,1272,2139,3238,2427,1961,3273,3063,1220,3327,2471,1540,2083,,0.657807,0.236066,0.155059,0.500750,0.930165,0.883377,0.209302,0.980833,0.883721,0.274306,0.865629,0.366260,0.268245,0.012241
0.018000,0.575528,1219,1878,1272,2138,3238,2428,1961,3273,3063,1220,3328,2473,1542,2084,,0.654485,0.236066,0.155059,0.499250,0.930165,0.884247,0.209302,0.980833,0.883721,0.274306,0.867044,0.368479,0.272189,0.013183
0.017979,0.593508,1219,1878,1273,2138,3237,2428,1961,3273,3063,1220,3327,2475,1541,2084,,0.654485,0.236066,0.156373,0.499250,0.929195,0.884247,0.209302,0.980833,0.883721,0.274306,0.865629,0.370699,0.270217,0.013183
0.018002,0.611510,1219,1878,1273,2138,3238,2428,1961,3273,3062,1220,3327,2475,1541,2083,,0.654485,0.236066,0.156373,0.499250,0.930165,0.884247,0.209302,0.980833,0.880814,0.274306,0.865629,0.370699,0.270217,0.012241
