GloveManager recording started on 11/02/16 at 15:45:47

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017502,0.017502,1348,2139,1880,2395,3111,2519,2073,2959,3059,1256,3284,2973,1717,2966,,0.613936,0.954802,0.954008,0.884558,0.806984,0.963446,0.382946,0.719167,0.862069,0.336806,0.804809,0.923418,0.617357,0.843691
0.018001,0.035503,1348,2140,1880,2394,3111,2518,2074,2958,3059,1255,3284,2974,1717,2966,,0.613936,0.957627,0.954008,0.883058,0.806984,0.962576,0.384496,0.718333,0.862069,0.335069,0.804809,0.924528,0.617357,0.843691
0.017981,0.053484,1348,2139,1880,2394,3111,2518,2074,2958,3058,1256,3284,2973,1718,2966,,0.613936,0.954802,0.954008,0.883058,0.806984,0.962576,0.384496,0.718333,0.859195,0.336806,0.804809,0.923418,0.619329,0.843691
0.018014,0.071498,1348,2140,1880,2395,3111,2518,2073,2959,3058,1256,3284,2974,1717,2967,,0.613936,0.957627,0.954008,0.884558,0.806984,0.962576,0.382946,0.719167,0.859195,0.336806,0.804809,0.924528,0.617357,0.844633
0.018008,0.089507,1348,2139,1880,2395,3111,2518,2073,2958,3059,1255,3284,2974,1718,2967,,0.613936,0.954802,0.954008,0.884558,0.806984,0.962576,0.382946,0.718333,0.862069,0.335069,0.804809,0.924528,0.619329,0.844633
0.018001,0.107508,1348,2140,1880,2395,3111,2518,2073,2958,3058,1256,3284,2974,1717,2967,,0.613936,0.957627,0.954008,0.884558,0.806984,0.962576,0.382946,0.718333,0.859195,0.336806,0.804809,0.924528,0.617357,0.844633
0.018002,0.125510,1347,2139,1880,2395,3110,2518,2073,2958,3058,1255,3284,2974,1718,2967,,0.612053,0.954802,0.954008,0.884558,0.806014,0.962576,0.382946,0.718333,0.859195,0.335069,0.804809,0.924528,0.619329,0.844633
0.018000,0.143509,1348,2140,1880,2395,3111,2518,2073,2958,3058,1254,3284,2974,1717,2966,,0.613936,0.957627,0.954008,0.884558,0.806984,0.962576,0.382946,0.718333,0.859195,0.333333,0.804809,0.924528,0.617357,0.843691
0.018001,0.161510,1348,2139,1880,2395,3110,2518,2073,2958,3058,1255,3284,2974,1717,2966,,0.613936,0.954802,0.954008,0.884558,0.806014,0.962576,0.382946,0.718333,0.859195,0.335069,0.804809,0.924528,0.617357,0.843691
0.018109,0.179619,1347,2139,1879,2394,3110,2517,2073,2958,3058,1255,3284,2973,1717,2966,,0.612053,0.954802,0.952694,0.883058,0.806014,0.961706,0.382946,0.718333,0.859195,0.335069,0.804809,0.923418,0.617357,0.843691
0.017892,0.197511,1346,2139,1879,2394,3110,2518,2073,2958,3059,1255,3284,2974,1717,2967,,0.610169,0.954802,0.952694,0.883058,0.806014,0.962576,0.382946,0.718333,0.862069,0.335069,0.804809,0.924528,0.617357,0.844633
0.018004,0.215516,1347,2139,1880,2394,3110,2517,2072,2958,3058,1254,3283,2973,1717,2966,,0.612053,0.954802,0.954008,0.883058,0.806014,0.961706,0.381395,0.718333,0.859195,0.333333,0.803395,0.923418,0.617357,0.843691
