GloveManager recording started on 11/02/16 at 15:46:00

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017523,0.017523,1360,2150,1804,2386,3106,2556,2117,2948,2942,1307,3330,2997,1746,2973,,0.636535,0.923280,0.854139,0.871064,0.802134,0.972789,0.451163,0.710000,0.525862,0.425347,0.869873,0.941694,0.674556,0.850282
0.018017,0.035540,1360,2150,1803,2385,3105,2556,2117,2948,2943,1307,3330,2997,1747,2973,,0.636535,0.923280,0.852825,0.869565,0.801164,0.972789,0.451163,0.710000,0.528736,0.425347,0.869873,0.941694,0.676529,0.850282
0.017982,0.053522,1359,2150,1803,2386,3106,2556,2117,2949,2943,1308,3330,2997,1747,2973,,0.634652,0.923280,0.852825,0.871064,0.802134,0.972789,0.451163,0.710833,0.528736,0.427083,0.869873,0.941694,0.676529,0.850282
0.018092,0.071614,1360,2150,1804,2385,3105,2555,2117,2949,2943,1308,3331,2997,1748,2974,,0.636535,0.923280,0.854139,0.869565,0.801164,0.971939,0.451163,0.710833,0.528736,0.427083,0.871287,0.941694,0.678501,0.851224
0.017944,0.089558,1360,2150,1805,2386,3106,2556,2118,2949,2943,1308,3330,2997,1747,2973,,0.636535,0.923280,0.855453,0.871064,0.802134,0.972789,0.452713,0.710833,0.528736,0.427083,0.869873,0.941694,0.676529,0.850282
0.017969,0.107526,1360,2152,1804,2385,3105,2556,2117,2949,2943,1308,3330,2997,1748,2973,,0.636535,0.928571,0.854139,0.869565,0.801164,0.972789,0.451163,0.710833,0.528736,0.427083,0.869873,0.941694,0.678501,0.850282
0.018017,0.125544,1359,2152,1804,2385,3105,2556,2118,2949,2943,1307,3330,2997,1748,2974,,0.634652,0.928571,0.854139,0.869565,0.801164,0.972789,0.452713,0.710833,0.528736,0.425347,0.869873,0.941694,0.678501,0.851224
0.017985,0.143529,1360,2152,1804,2386,3106,2556,2118,2949,2943,1309,3330,2997,1748,2974,,0.636535,0.928571,0.854139,0.871064,0.802134,0.972789,0.452713,0.710833,0.528736,0.428819,0.869873,0.941694,0.678501,0.851224
0.017998,0.161527,1360,2152,1804,2386,3106,2556,2118,2949,2943,1309,3330,2997,1748,2974,,0.636535,0.928571,0.854139,0.871064,0.802134,0.972789,0.452713,0.710833,0.528736,0.428819,0.869873,0.941694,0.678501,0.851224
0.018004,0.179531,1359,2151,1805,2385,3106,2556,2117,2949,2943,1307,3331,2997,1748,2974,,0.634652,0.925926,0.855453,0.869565,0.802134,0.972789,0.451163,0.710833,0.528736,0.425347,0.871287,0.941694,0.678501,0.851224
0.017978,0.197509,1358,2151,1805,2386,3106,2556,2117,2948,2943,1307,3331,2997,1747,2974,,0.632768,0.925926,0.855453,0.871064,0.802134,0.972789,0.451163,0.710000,0.528736,0.425347,0.871287,0.941694,0.676529,0.851224
0.018034,0.215543,1358,2150,1805,2385,3106,2556,2116,2948,2943,1307,3331,2997,1748,2974,,0.632768,0.923280,0.855453,0.869565,0.802134,0.972789,0.449612,0.710000,0.528736,0.425347,0.871287,0.941694,0.678501,0.851224
0.017992,0.233535,1358,2151,1806,2386,3106,2556,2117,2949,2942,1308,3331,2997,1747,2973,,0.632768,0.925926,0.856767,0.871064,0.802134,0.972789,0.451163,0.710833,0.525862,0.427083,0.871287,0.941694,0.676529,0.850282
0.017998,0.251532,1358,2151,1805,2385,3105,2556,2117,2949,2942,1307,3331,2997,1747,2973,,0.632768,0.925926,0.855453,0.869565,0.801164,0.972789,0.451163,0.710833,0.525862,0.425347,0.871287,0.941694,0.676529,0.850282
0.018001,0.269533,1358,2151,1805,2385,3105,2556,2117,2949,2942,1307,3331,2997,1747,2973,,0.632768,0.925926,0.855453,0.869565,0.801164,0.972789,0.451163,0.710833,0.525862,0.425347,0.871287,0.941694,0.676529,0.850282
0.018007,0.287540,1356,2149,1805,2385,3106,2555,2116,2948,2943,1306,3331,2997,1747,2973,,0.629002,0.920635,0.855453,0.869565,0.802134,0.971939,0.449612,0.710000,0.528736,0.423611,0.871287,0.941694,0.676529,0.850282
0.018013,0.305554,1356,2149,1806,2384,3106,2556,2116,2948,2942,1305,3331,2996,1746,2973,,0.629002,0.920635,0.856767,0.868066,0.802134,0.972789,0.449612,0.710000,0.525862,0.421875,0.871287,0.940594,0.674556,0.850282
0.018003,0.323557,1356,2149,1806,2385,3105,2556,2116,2947,2942,1306,3330,2997,1746,2972,,0.629002,0.920635,0.856767,0.869565,0.801164,0.972789,0.449612,0.709167,0.525862,0.423611,0.869873,0.941694,0.674556,0.849341
0.018008,0.341565,1354,2149,1805,2385,3105,2556,2116,2947,2942,1306,3330,2997,1747,2972,,0.625235,0.920635,0.855453,0.869565,0.801164,0.972789,0.449612,0.709167,0.525862,0.423611,0.869873,0.941694,0.676529,0.849341
0.018003,0.359568,1354,2149,1804,2385,3104,2555,2115,2947,2942,1306,3330,2996,1745,2972,,0.625235,0.920635,0.854139,0.869565,0.800194,0.971939,0.448062,0.709167,0.525862,0.423611,0.869873,0.940594,0.672584,0.849341
0.018004,0.377572,1353,2148,1803,2385,3103,2556,2116,2945,2941,1305,3329,2997,1746,2973,,0.623352,0.917989,0.852825,0.869565,0.799224,0.972789,0.449612,0.707500,0.522988,0.421875,0.868458,0.941694,0.674556,0.850282
0.017994,0.395566,1353,2148,1803,2385,3103,2555,2117,2944,2940,1306,3329,2997,1748,2972,,0.623352,0.917989,0.852825,0.869565,0.799224,0.971939,0.451163,0.706667,0.520115,0.423611,0.868458,0.941694,0.678501,0.849341
0.017993,0.413559,1352,2147,1801,2385,3101,2555,2117,2944,2940,1306,3329,2997,1748,2972,,0.621469,0.915344,0.850197,0.869565,0.797284,0.971939,0.451163,0.706667,0.520115,0.423611,0.868458,0.941694,0.678501,0.849341
0.018006,0.431565,1352,2147,1800,2385,3101,2554,2118,2943,2940,1306,3329,2997,1748,2972,,0.621469,0.915344,0.848883,0.869565,0.797284,0.971088,0.452713,0.705833,0.520115,0.423611,0.868458,0.941694,0.678501,0.849341
0.018004,0.449568,1352,2147,1800,2385,3100,2555,2118,2941,2939,1307,3328,2996,1747,2972,,0.621469,0.915344,0.848883,0.869565,0.796314,0.971939,0.452713,0.704167,0.517241,0.425347,0.867044,0.940594,0.676529,0.849341
0.018001,0.467569,1351,2146,1800,2384,3099,2554,2118,2941,2939,1306,3328,2996,1749,2972,,0.619586,0.912698,0.848883,0.868066,0.795344,0.971088,0.452713,0.704167,0.517241,0.423611,0.867044,0.940594,0.680473,0.849341
