GloveManager recording started on 11/02/16 at 15:46:10

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017264,0.017264,1346,1909,1201,2306,2932,2401,2129,2858,2986,1233,3169,2925,1708,2691,,0.610169,0.285714,0.061761,0.751124,0.633366,0.840986,0.469767,0.635000,0.652299,0.296875,0.642150,0.862486,0.599606,0.584746
0.017994,0.035258,1347,1908,1202,2305,2926,2401,2127,2858,2986,1234,3168,2925,1708,2693,,0.612053,0.283069,0.063075,0.749625,0.627546,0.840986,0.466667,0.635000,0.652299,0.298611,0.640736,0.862486,0.599606,0.586629
0.018004,0.053262,1347,1908,1202,2305,2926,2401,2127,2858,2986,1234,3168,2925,1708,2693,,0.612053,0.283069,0.063075,0.749625,0.627546,0.840986,0.466667,0.635000,0.652299,0.298611,0.640736,0.862486,0.599606,0.586629
0.018000,0.071262,1348,1907,1204,2303,2918,2401,2123,2858,2986,1234,3167,2924,1707,2693,,0.613936,0.280423,0.065703,0.746627,0.619787,0.840986,0.460465,0.635000,0.652299,0.298611,0.639321,0.861386,0.597633,0.586629
0.017980,0.089242,1348,1906,1205,2303,2915,2400,2122,2856,2986,1235,3167,2925,1707,2693,,0.613936,0.277778,0.067017,0.746627,0.616877,0.840136,0.458915,0.633333,0.652299,0.300347,0.639321,0.862486,0.597633,0.586629
0.018025,0.107267,1348,1906,1206,2302,2913,2400,2122,2857,2985,1235,3167,2924,1707,2693,,0.613936,0.277778,0.068331,0.745127,0.614937,0.840136,0.458915,0.634167,0.649425,0.300347,0.639321,0.861386,0.597633,0.586629
0.018000,0.125267,1347,1906,1206,2302,2911,2400,2123,2856,2985,1235,3167,2925,1707,2693,,0.612053,0.277778,0.068331,0.745127,0.612997,0.840136,0.460465,0.633333,0.649425,0.300347,0.639321,0.862486,0.597633,0.586629
0.018000,0.143268,1348,1905,1207,2302,2911,2399,2125,2857,2986,1236,3167,2925,1707,2693,,0.613936,0.275132,0.069645,0.745127,0.612997,0.839286,0.463566,0.634167,0.652299,0.302083,0.639321,0.862486,0.597633,0.586629
0.018003,0.161270,1348,1907,1207,2303,2908,2400,2127,2857,2985,1237,3167,2925,1707,2693,,0.613936,0.280423,0.069645,0.746627,0.610087,0.840136,0.466667,0.634167,0.649425,0.303819,0.639321,0.862486,0.597633,0.586629
0.017998,0.179268,1349,1907,1207,2302,2907,2400,2128,2856,2985,1237,3167,2924,1707,2694,,0.615819,0.280423,0.069645,0.745127,0.609117,0.840136,0.468217,0.633333,0.649425,0.303819,0.639321,0.861386,0.597633,0.587571
0.018001,0.197269,1350,1908,1207,2303,2907,2399,2128,2856,2985,1237,3166,2925,1707,2694,,0.617702,0.283069,0.069645,0.746627,0.609117,0.839286,0.468217,0.633333,0.649425,0.303819,0.637907,0.862486,0.597633,0.587571
0.018002,0.215271,1351,1910,1206,2303,2906,2399,2127,2856,2985,1239,3167,2925,1707,2694,,0.619586,0.288360,0.068331,0.746627,0.608147,0.839286,0.466667,0.633333,0.649425,0.307292,0.639321,0.862486,0.597633,0.587571
0.018004,0.233275,1353,1910,1206,2303,2906,2400,2126,2857,2986,1240,3167,2925,1707,2695,,0.623352,0.288360,0.068331,0.746627,0.608147,0.840136,0.465116,0.634167,0.652299,0.309028,0.639321,0.862486,0.597633,0.588512
0.017998,0.251273,1352,1911,1207,2303,2907,2400,2125,2858,2986,1240,3167,2925,1706,2695,,0.621469,0.291005,0.069645,0.746627,0.609117,0.840136,0.463566,0.635000,0.652299,0.309028,0.639321,0.862486,0.595661,0.588512
0.017998,0.269271,1351,1912,1206,2303,2908,2400,2127,2858,2986,1242,3168,2925,1707,2697,,0.619586,0.293651,0.068331,0.746627,0.610087,0.840136,0.466667,0.635000,0.652299,0.312500,0.640736,0.862486,0.597633,0.590395
0.018012,0.287284,1351,1912,1206,2303,2908,2400,2127,2858,2986,1242,3168,2925,1707,2697,,0.619586,0.293651,0.068331,0.746627,0.610087,0.840136,0.466667,0.635000,0.652299,0.312500,0.640736,0.862486,0.597633,0.590395
0.017987,0.305270,1353,1913,1208,2304,2906,2402,2127,2859,2986,1242,3168,2925,1707,2697,,0.623352,0.296296,0.070959,0.748126,0.608147,0.841837,0.466667,0.635833,0.652299,0.312500,0.640736,0.862486,0.597633,0.590395
0.017985,0.323255,1353,1914,1209,2304,2904,2402,2127,2859,2986,1242,3168,2925,1707,2697,,0.623352,0.298942,0.072273,0.748126,0.606208,0.841837,0.466667,0.635833,0.652299,0.312500,0.640736,0.862486,0.597633,0.590395
0.017998,0.341253,1354,1913,1208,2305,2903,2403,2127,2859,2986,1243,3168,2925,1707,2697,,0.625235,0.296296,0.070959,0.749625,0.605238,0.842687,0.466667,0.635833,0.652299,0.314236,0.640736,0.862486,0.597633,0.590395
0.017986,0.359239,1353,1915,1209,2304,2903,2404,2126,2859,2986,1243,3167,2926,1706,2697,,0.623352,0.301587,0.072273,0.748126,0.605238,0.843537,0.465116,0.635833,0.652299,0.314236,0.639321,0.863586,0.595661,0.590395
0.018037,0.377276,1353,1915,1208,2305,2903,2405,2125,2859,2986,1243,3169,2925,1707,2698,,0.623352,0.301587,0.070959,0.749625,0.605238,0.844388,0.463566,0.635833,0.652299,0.314236,0.642150,0.862486,0.597633,0.591337
0.018001,0.395277,1353,1915,1208,2305,2902,2404,2125,2860,2986,1244,3168,2925,1706,2698,,0.623352,0.301587,0.070959,0.749625,0.604268,0.843537,0.463566,0.636667,0.652299,0.315972,0.640736,0.862486,0.595661,0.591337
0.018003,0.413280,1353,1914,1208,2305,2902,2404,2126,2860,2986,1243,3169,2926,1706,2699,,0.623352,0.298942,0.070959,0.749625,0.604268,0.843537,0.465116,0.636667,0.652299,0.314236,0.642150,0.863586,0.595661,0.592279
0.018000,0.431280,1353,1914,1208,2305,2902,2403,2125,2860,2986,1244,3169,2925,1706,2698,,0.623352,0.298942,0.070959,0.749625,0.604268,0.842687,0.463566,0.636667,0.652299,0.315972,0.642150,0.862486,0.595661,0.591337
0.018004,0.449284,1352,1915,1207,2305,2902,2404,2126,2860,2986,1244,3169,2925,1706,2699,,0.621469,0.301587,0.069645,0.749625,0.604268,0.843537,0.465116,0.636667,0.652299,0.315972,0.642150,0.862486,0.595661,0.592279
0.017999,0.467282,1352,1914,1207,2305,2902,2404,2124,2860,2987,1244,3169,2924,1705,2698,,0.621469,0.298942,0.069645,0.749625,0.604268,0.843537,0.462016,0.636667,0.655172,0.315972,0.642150,0.861386,0.593688,0.591337
0.017986,0.485268,1353,1915,1208,2305,2903,2405,2125,2861,2986,1243,3169,2925,1706,2698,,0.623352,0.301587,0.070959,0.749625,0.605238,0.844388,0.463566,0.637500,0.652299,0.314236,0.642150,0.862486,0.595661,0.591337
0.018021,0.503289,1354,1916,1208,2305,2905,2406,2124,2861,2986,1244,3169,2926,1707,2699,,0.625235,0.304233,0.070959,0.749625,0.607177,0.845238,0.462016,0.637500,0.652299,0.315972,0.642150,0.863586,0.597633,0.592279
0.017999,0.521287,1355,1916,1207,2306,2905,2406,2124,2861,2987,1243,3169,2925,1706,2698,,0.627119,0.304233,0.069645,0.751124,0.607177,0.845238,0.462016,0.637500,0.655172,0.314236,0.642150,0.862486,0.595661,0.591337
0.018002,0.539289,1355,1915,1207,2305,2907,2406,2124,2861,2986,1244,3169,2924,1706,2698,,0.627119,0.301587,0.069645,0.749625,0.609117,0.845238,0.462016,0.637500,0.652299,0.315972,0.642150,0.861386,0.595661,0.591337
0.018002,0.557292,1355,1916,1207,2305,2908,2406,2124,2862,2986,1244,3169,2925,1706,2698,,0.627119,0.304233,0.069645,0.749625,0.610087,0.845238,0.462016,0.638333,0.652299,0.315972,0.642150,0.862486,0.595661,0.591337
