GloveManager recording started on 11/02/16 at 15:46:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017232,0.017232,1288,1918,1460,2004,2371,2097,2361,2436,2925,1513,3341,3100,1954,2931,,0.500942,0.309524,0.402103,0.298351,0.089234,0.582483,0.783309,0.283333,0.477012,0.782986,0.885431,0.962851,0.838415,0.810734
0.017998,0.035230,1288,1918,1460,2004,2371,2097,2360,2436,2926,1510,3341,3102,1952,2930,,0.500942,0.309524,0.402103,0.298351,0.089234,0.582483,0.781845,0.283333,0.479885,0.777778,0.885431,0.964859,0.835366,0.809793
0.018003,0.053233,1288,1918,1459,2004,2370,2098,2360,2436,2927,1508,3340,3101,1949,2929,,0.500942,0.309524,0.400788,0.298351,0.088264,0.583333,0.781845,0.283333,0.482759,0.774306,0.884017,0.963855,0.830793,0.808851
0.018002,0.071236,1288,1918,1460,2005,2371,2099,2356,2435,2930,1501,3339,3102,1940,2928,,0.500942,0.309524,0.402103,0.299850,0.089234,0.584184,0.775988,0.282500,0.491379,0.762153,0.882603,0.964859,0.817073,0.807910
0.017997,0.089233,1288,1919,1460,2006,2371,2100,2355,2435,2931,1497,3339,3100,1936,2927,,0.500942,0.312169,0.402103,0.301349,0.089234,0.585034,0.774524,0.282500,0.494253,0.755208,0.882603,0.962851,0.810976,0.806968
0.018000,0.107234,1287,1918,1460,2006,2371,2100,2354,2435,2931,1494,3339,3100,1935,2928,,0.499058,0.309524,0.402103,0.301349,0.089234,0.585034,0.773060,0.282500,0.494253,0.750000,0.882603,0.962851,0.809451,0.807910
0.018002,0.125236,1288,1917,1460,2006,2371,2100,2353,2435,2933,1491,3340,3100,1933,2927,,0.500942,0.306878,0.402103,0.301349,0.089234,0.585034,0.771596,0.282500,0.500000,0.744792,0.884017,0.962851,0.806402,0.806968
0.017996,0.143232,1288,1918,1460,2005,2371,2101,2353,2435,2932,1491,3339,3099,1933,2927,,0.500942,0.309524,0.402103,0.299850,0.089234,0.585884,0.771596,0.282500,0.497126,0.744792,0.882603,0.961847,0.806402,0.806968
0.018032,0.161264,1287,1917,1458,2005,2370,2101,2353,2435,2932,1491,3340,3098,1931,2927,,0.499058,0.306878,0.399474,0.299850,0.088264,0.585884,0.771596,0.282500,0.497126,0.744792,0.884017,0.960843,0.803354,0.806968
0.018004,0.179268,1288,1917,1458,2005,2370,2100,2354,2435,2933,1490,3340,3099,1931,2927,,0.500942,0.306878,0.399474,0.299850,0.088264,0.585034,0.773060,0.282500,0.500000,0.743056,0.884017,0.961847,0.803354,0.806968
0.017996,0.197264,1287,1917,1458,2005,2371,2100,2353,2435,2933,1489,3340,3099,1930,2927,,0.499058,0.306878,0.399474,0.299850,0.089234,0.585034,0.771596,0.282500,0.500000,0.741319,0.884017,0.961847,0.801829,0.806968
0.018013,0.215277,1287,1917,1459,2005,2371,2101,2352,2434,2934,1488,3339,3098,1929,2927,,0.499058,0.306878,0.400788,0.299850,0.089234,0.585884,0.770132,0.281667,0.502874,0.739583,0.882603,0.960843,0.800305,0.806968
0.017983,0.233260,1288,1918,1460,2006,2371,2101,2353,2434,2933,1488,3339,3099,1929,2927,,0.500942,0.309524,0.402103,0.301349,0.089234,0.585884,0.771596,0.281667,0.500000,0.739583,0.882603,0.961847,0.800305,0.806968
0.017996,0.251255,1288,1917,1459,2006,2371,2100,2353,2434,2934,1488,3340,3099,1929,2927,,0.500942,0.306878,0.400788,0.301349,0.089234,0.585034,0.771596,0.281667,0.502874,0.739583,0.884017,0.961847,0.800305,0.806968
0.018003,0.269258,1288,1917,1459,2006,2371,2100,2353,2434,2934,1488,3340,3099,1929,2927,,0.500942,0.306878,0.400788,0.301349,0.089234,0.585034,0.771596,0.281667,0.502874,0.739583,0.884017,0.961847,0.800305,0.806968
0.017999,0.287257,1287,1917,1458,2005,2371,2101,2352,2434,2935,1488,3340,3099,1929,2926,,0.499058,0.306878,0.399474,0.299850,0.089234,0.585884,0.770132,0.281667,0.505747,0.739583,0.884017,0.961847,0.800305,0.806026
0.018029,0.305286,1288,1917,1459,2005,2371,2101,2352,2434,2935,1487,3339,3098,1928,2927,,0.500942,0.306878,0.400788,0.299850,0.089234,0.585884,0.770132,0.281667,0.505747,0.737847,0.882603,0.960843,0.798781,0.806968
0.017985,0.323271,1288,1918,1459,2006,2370,2101,2350,2434,2935,1484,3340,3098,1926,2926,,0.500942,0.309524,0.400788,0.301349,0.088264,0.585884,0.767204,0.281667,0.505747,0.732639,0.884017,0.960843,0.795732,0.806026
0.018018,0.341289,1288,1918,1459,2006,2370,2104,2348,2433,2936,1478,3339,3098,1921,2926,,0.500942,0.309524,0.400788,0.301349,0.088264,0.588435,0.764275,0.280833,0.508621,0.722222,0.882603,0.960843,0.788110,0.806026
0.017995,0.359285,1288,1918,1459,2006,2370,2104,2348,2433,2936,1478,3339,3098,1921,2926,,0.500942,0.309524,0.400788,0.301349,0.088264,0.588435,0.764275,0.280833,0.508621,0.722222,0.882603,0.960843,0.788110,0.806026
0.018007,0.377292,1287,1918,1460,2007,2369,2106,2346,2433,2938,1476,3339,3098,1919,2925,,0.499058,0.309524,0.402103,0.302849,0.087294,0.590136,0.761347,0.280833,0.514368,0.718750,0.882603,0.960843,0.785061,0.805085
0.017972,0.395264,1288,1918,1460,2006,2368,2107,2344,2433,2938,1475,3339,3097,1918,2925,,0.500942,0.309524,0.402103,0.301349,0.086324,0.590986,0.758419,0.280833,0.514368,0.717014,0.882603,0.959839,0.783537,0.805085
0.018020,0.413284,1287,1918,1461,2007,2369,2108,2345,2433,2938,1475,3340,3097,1918,2925,,0.499058,0.309524,0.403417,0.302849,0.087294,0.591837,0.759883,0.280833,0.514368,0.717014,0.884017,0.959839,0.783537,0.805085
0.017996,0.431280,1287,1917,1459,2006,2368,2108,2344,2433,2938,1474,3339,3097,1917,2924,,0.499058,0.306878,0.400788,0.301349,0.086324,0.591837,0.758419,0.280833,0.514368,0.715278,0.882603,0.959839,0.782012,0.804143
0.018009,0.449289,1287,1917,1456,2007,2368,2109,2345,2433,2938,1472,3339,3098,1916,2924,,0.499058,0.306878,0.396846,0.302849,0.086324,0.592687,0.759883,0.280833,0.514368,0.711806,0.882603,0.960843,0.780488,0.804143
0.018002,0.467291,1287,1917,1456,2007,2368,2109,2345,2433,2938,1472,3339,3098,1916,2924,,0.499058,0.306878,0.396846,0.302849,0.086324,0.592687,0.759883,0.280833,0.514368,0.711806,0.882603,0.960843,0.780488,0.804143
0.017979,0.485270,1287,1916,1455,2007,2368,2108,2346,2432,2938,1470,3339,3097,1915,2924,,0.499058,0.304233,0.395532,0.302849,0.086324,0.591837,0.761347,0.280000,0.514368,0.708333,0.882603,0.959839,0.778963,0.804143
0.018023,0.503292,1287,1916,1454,2006,2368,2109,2345,2433,2938,1471,3340,3097,1915,2924,,0.499058,0.304233,0.394218,0.301349,0.086324,0.592687,0.759883,0.280833,0.514368,0.710069,0.884017,0.959839,0.778963,0.804143
0.017988,0.521281,1288,1916,1455,2007,2368,2109,2346,2432,2939,1470,3339,3096,1915,2923,,0.500942,0.304233,0.395532,0.302849,0.086324,0.592687,0.761347,0.280000,0.517241,0.708333,0.882603,0.958835,0.778963,0.803201
0.017979,0.539260,1287,1917,1456,2006,2368,2109,2346,2434,2938,1470,3340,3096,1915,2925,,0.499058,0.306878,0.396846,0.301349,0.086324,0.592687,0.761347,0.281667,0.514368,0.708333,0.884017,0.958835,0.778963,0.805085
0.018036,0.557296,1287,1917,1457,2006,2369,2109,2344,2432,2938,1466,3339,3096,1914,2924,,0.499058,0.306878,0.398160,0.301349,0.087294,0.592687,0.758419,0.280000,0.514368,0.701389,0.882603,0.958835,0.777439,0.804143
0.017991,0.575287,1288,1917,1456,2006,2368,2109,2344,2432,2939,1466,3339,3097,1911,2923,,0.500942,0.306878,0.396846,0.301349,0.086324,0.592687,0.758419,0.280000,0.517241,0.701389,0.882603,0.959839,0.772866,0.803201
0.018011,0.593299,1287,1917,1457,2006,2367,2110,2344,2432,2940,1464,3339,3097,1910,2924,,0.499058,0.306878,0.398160,0.301349,0.085354,0.593537,0.758419,0.280000,0.520115,0.697917,0.882603,0.959839,0.771341,0.804143
0.017990,0.611289,1288,1917,1457,2007,2368,2112,2344,2431,2940,1461,3339,3097,1908,2923,,0.500942,0.306878,0.398160,0.302849,0.086324,0.595238,0.758419,0.279167,0.520115,0.692708,0.882603,0.959839,0.768293,0.803201
0.018002,0.629291,1288,1918,1458,2006,2368,2112,2343,2431,2941,1461,3340,3097,1908,2923,,0.500942,0.309524,0.399474,0.301349,0.086324,0.595238,0.756955,0.279167,0.522988,0.692708,0.884017,0.959839,0.768293,0.803201
0.017972,0.647263,1288,1918,1459,2007,2367,2112,2342,2430,2942,1458,3339,3096,1907,2924,,0.500942,0.309524,0.400788,0.302849,0.085354,0.595238,0.755490,0.278333,0.525862,0.687500,0.882603,0.958835,0.766768,0.804143
0.018032,0.665295,1288,1918,1459,2007,2367,2112,2342,2430,2942,1458,3339,3096,1907,2924,,0.500942,0.309524,0.400788,0.302849,0.085354,0.595238,0.755490,0.278333,0.525862,0.687500,0.882603,0.958835,0.766768,0.804143
0.018012,0.683307,1288,1917,1459,2007,2367,2112,2342,2431,2942,1459,3340,3096,1907,2923,,0.500942,0.306878,0.400788,0.302849,0.085354,0.595238,0.755490,0.279167,0.525862,0.689236,0.884017,0.958835,0.766768,0.803201
0.018021,0.701328,1289,1918,1461,2008,2367,2112,2343,2431,2942,1458,3339,3096,1907,2923,,0.502825,0.309524,0.403417,0.304348,0.085354,0.595238,0.756955,0.279167,0.525862,0.687500,0.882603,0.958835,0.766768,0.803201
0.017964,0.719292,1289,1918,1461,2008,2367,2112,2343,2431,2942,1458,3339,3096,1907,2923,,0.502825,0.309524,0.403417,0.304348,0.085354,0.595238,0.756955,0.279167,0.525862,0.687500,0.882603,0.958835,0.766768,0.803201
0.017988,0.737279,1289,1917,1460,2008,2366,2112,2343,2431,2943,1459,3339,3096,1906,2924,,0.502825,0.306878,0.402103,0.304348,0.084384,0.595238,0.756955,0.279167,0.528736,0.689236,0.882603,0.958835,0.765244,0.804143
0.018016,0.755295,1288,1917,1459,2007,2366,2114,2341,2431,2943,1458,3339,3096,1906,2923,,0.500942,0.306878,0.400788,0.302849,0.084384,0.596939,0.754026,0.279167,0.528736,0.687500,0.882603,0.958835,0.765244,0.803201
0.018008,0.773304,1289,1918,1460,2008,2366,2114,2341,2431,2943,1457,3339,3096,1904,2924,,0.502825,0.309524,0.402103,0.304348,0.084384,0.596939,0.754026,0.279167,0.528736,0.685764,0.882603,0.958835,0.762195,0.804143
0.018003,0.791307,1288,1918,1459,2008,2365,2114,2341,2430,2944,1456,3339,3096,1904,2924,,0.500942,0.309524,0.400788,0.304348,0.083414,0.596939,0.754026,0.278333,0.531609,0.684028,0.882603,0.958835,0.762195,0.804143
0.018008,0.809315,1288,1918,1459,2008,2365,2114,2341,2430,2944,1456,3339,3096,1904,2924,,0.500942,0.309524,0.400788,0.304348,0.083414,0.596939,0.754026,0.278333,0.531609,0.684028,0.882603,0.958835,0.762195,0.804143
0.017997,0.827311,1289,1917,1458,2008,2366,2116,2341,2430,2945,1455,3340,3096,1903,2923,,0.502825,0.306878,0.399474,0.304348,0.084384,0.598639,0.754026,0.278333,0.534483,0.682292,0.884017,0.958835,0.760671,0.803201
0.017999,0.845310,1289,1917,1458,2008,2366,2116,2341,2430,2945,1455,3340,3096,1903,2923,,0.502825,0.306878,0.399474,0.304348,0.084384,0.598639,0.754026,0.278333,0.534483,0.682292,0.884017,0.958835,0.760671,0.803201
