GloveManager recording started on 11/02/16 at 15:47:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017932,0.017932,1141,1836,1272,2329,2378,2437,2156,3176,3027,1377,3354,2939,1693,3074,,0.224105,0.092593,0.155059,0.785607,0.096023,0.871599,0.483163,0.900000,0.770115,0.546875,0.903819,0.801205,0.440549,0.945386
0.017989,0.035921,1141,1836,1273,2329,2378,2438,2156,3176,3027,1377,3353,2940,1694,3074,,0.224105,0.092593,0.156373,0.785607,0.096023,0.872449,0.483163,0.900000,0.770115,0.546875,0.902405,0.802209,0.442073,0.945386
0.018005,0.053926,1142,1836,1273,2329,2378,2437,2156,3175,3026,1376,3352,2940,1693,3073,,0.225989,0.092593,0.156373,0.785607,0.096023,0.871599,0.483163,0.899167,0.767241,0.545139,0.900990,0.802209,0.440549,0.944444
0.017999,0.071925,1141,1836,1273,2328,2378,2437,2156,3175,3026,1376,3354,2940,1693,3073,,0.224105,0.092593,0.156373,0.784108,0.096023,0.871599,0.483163,0.899167,0.767241,0.545139,0.903819,0.802209,0.440549,0.944444
0.017999,0.089924,1141,1835,1273,2329,2378,2437,2155,3176,3026,1375,3353,2939,1694,3074,,0.224105,0.089947,0.156373,0.785607,0.096023,0.871599,0.481698,0.900000,0.767241,0.543403,0.902405,0.801205,0.442073,0.945386
0.018018,0.107942,1141,1836,1273,2329,2378,2437,2155,3175,3026,1376,3354,2940,1694,3073,,0.224105,0.092593,0.156373,0.785607,0.096023,0.871599,0.481698,0.899167,0.767241,0.545139,0.903819,0.802209,0.442073,0.944444
0.017983,0.125925,1140,1836,1273,2329,2377,2437,2154,3175,3027,1377,3354,2940,1693,3073,,0.222222,0.092593,0.156373,0.785607,0.095053,0.871599,0.480234,0.899167,0.770115,0.546875,0.903819,0.802209,0.440549,0.944444
0.018004,0.143929,1140,1836,1273,2329,2378,2437,2155,3175,3027,1377,3354,2940,1693,3073,,0.222222,0.092593,0.156373,0.785607,0.096023,0.871599,0.481698,0.899167,0.770115,0.546875,0.903819,0.802209,0.440549,0.944444
0.018000,0.161930,1141,1836,1273,2329,2378,2437,2155,3175,3027,1377,3353,2940,1693,3074,,0.224105,0.092593,0.156373,0.785607,0.096023,0.871599,0.481698,0.899167,0.770115,0.546875,0.902405,0.802209,0.440549,0.945386
0.018002,0.179931,1141,1836,1272,2329,2377,2437,2154,3175,3026,1375,3353,2940,1692,3073,,0.224105,0.092593,0.155059,0.785607,0.095053,0.871599,0.480234,0.899167,0.767241,0.543403,0.902405,0.802209,0.439024,0.944444
0.018018,0.197950,1140,1836,1273,2328,2377,2436,2154,3175,3026,1376,3353,2940,1694,3073,,0.222222,0.092593,0.156373,0.784108,0.095053,0.870748,0.480234,0.899167,0.767241,0.545139,0.902405,0.802209,0.442073,0.944444
