GloveManager recording started on 11/02/16 at 15:47:34

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017298,0.017298,1206,1916,1653,2038,2369,2497,1884,2534,2877,1212,3449,2973,1684,2827,,0.346516,0.304233,0.655716,0.349325,0.087294,0.922619,0.084919,0.365000,0.339080,0.260417,0.935032,0.835341,0.426829,0.712806
0.018001,0.035299,1207,1917,1653,2038,2370,2496,1884,2535,2877,1213,3449,2973,1684,2827,,0.348399,0.306878,0.655716,0.349325,0.088264,0.921769,0.084919,0.365833,0.339080,0.262153,0.935032,0.835341,0.426829,0.712806
0.017997,0.053296,1207,1916,1652,2038,2369,2496,1884,2534,2877,1214,3448,2973,1685,2826,,0.348399,0.304233,0.654402,0.349325,0.087294,0.921769,0.084919,0.365000,0.339080,0.263889,0.933758,0.835341,0.428354,0.711864
0.018001,0.071297,1207,1917,1653,2038,2370,2496,1884,2534,2877,1213,3448,2973,1684,2827,,0.348399,0.306878,0.655716,0.349325,0.088264,0.921769,0.084919,0.365000,0.339080,0.262153,0.933758,0.835341,0.426829,0.712806
0.018004,0.089301,1207,1916,1652,2037,2369,2495,1884,2535,2877,1214,3449,2973,1686,2826,,0.348399,0.304233,0.654402,0.347826,0.087294,0.920918,0.084919,0.365833,0.339080,0.263889,0.935032,0.835341,0.429878,0.711864
0.018001,0.107302,1208,1917,1653,2038,2370,2496,1884,2534,2877,1214,3449,2973,1684,2826,,0.350282,0.306878,0.655716,0.349325,0.088264,0.921769,0.084919,0.365000,0.339080,0.263889,0.935032,0.835341,0.426829,0.711864
0.018007,0.125309,1207,1918,1653,2038,2370,2496,1884,2535,2877,1214,3449,2973,1685,2827,,0.348399,0.309524,0.655716,0.349325,0.088264,0.921769,0.084919,0.365833,0.339080,0.263889,0.935032,0.835341,0.428354,0.712806
0.017991,0.143300,1207,1918,1653,2038,2370,2496,1884,2535,2877,1214,3449,2973,1685,2827,,0.348399,0.309524,0.655716,0.349325,0.088264,0.921769,0.084919,0.365833,0.339080,0.263889,0.935032,0.835341,0.428354,0.712806
0.018001,0.161302,1207,1918,1654,2038,2370,2495,1884,2535,2877,1213,3448,2972,1684,2827,,0.348399,0.309524,0.657030,0.349325,0.088264,0.920918,0.084919,0.365833,0.339080,0.262153,0.933758,0.834337,0.426829,0.712806
0.018006,0.179308,1208,1918,1654,2038,2371,2495,1884,2535,2877,1213,3447,2972,1684,2827,,0.350282,0.309524,0.657030,0.349325,0.089234,0.920918,0.084919,0.365833,0.339080,0.262153,0.932484,0.834337,0.426829,0.712806
0.019021,0.198329,1207,1918,1655,2038,2370,2495,1884,2536,2877,1212,3447,2971,1684,2828,,0.348399,0.309524,0.658344,0.349325,0.088264,0.920918,0.084919,0.366667,0.339080,0.260417,0.932484,0.833333,0.426829,0.713748
0.018016,0.216345,1208,1918,1655,2038,2371,2495,1884,2535,2878,1212,3447,2973,1684,2828,,0.350282,0.309524,0.658344,0.349325,0.089234,0.920918,0.084919,0.365833,0.341954,0.260417,0.932484,0.835341,0.426829,0.713748
