GloveManager recording started on 11/02/16 at 15:48:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017506,0.017506,1231,2019,1599,2312,3068,2287,2261,3306,2981,1431,3346,3018,1726,2982,,0.393597,0.576720,0.589077,0.752226,0.731233,0.744048,0.636896,0.982941,0.637931,0.640625,0.803822,0.880522,0.490854,0.858757
0.018009,0.035515,1230,2020,1598,2311,3066,2287,2260,3307,2980,1430,3346,3018,1726,2983,,0.391714,0.579365,0.587776,0.750742,0.729379,0.744048,0.635432,0.983753,0.635057,0.638889,0.803822,0.880522,0.490854,0.859699
0.017972,0.053487,1230,2019,1598,2312,3066,2287,2260,3307,2981,1431,3346,3018,1726,2982,,0.391714,0.576720,0.587776,0.752226,0.729379,0.744048,0.635432,0.983753,0.637931,0.640625,0.803822,0.880522,0.490854,0.858757
0.018037,0.071524,1230,2019,1598,2312,3066,2287,2260,3307,2981,1431,3346,3018,1726,2982,,0.391714,0.576720,0.587776,0.752226,0.729379,0.744048,0.635432,0.983753,0.637931,0.640625,0.803822,0.880522,0.490854,0.858757
0.017986,0.089510,1231,2018,1598,2311,3066,2287,2259,3308,2981,1431,3346,3019,1725,2983,,0.393597,0.574074,0.587776,0.750742,0.729379,0.744048,0.633968,0.984565,0.637931,0.640625,0.803822,0.881526,0.489329,0.859699
0.018002,0.107512,1231,2019,1598,2311,3066,2287,2259,3306,2982,1430,3345,3018,1725,2982,,0.393597,0.576720,0.587776,0.750742,0.729379,0.744048,0.633968,0.982941,0.640805,0.638889,0.802548,0.880522,0.489329,0.858757
0.018002,0.125514,1231,2018,1598,2311,3065,2286,2258,3307,2980,1430,3346,3018,1725,2982,,0.393597,0.574074,0.587776,0.750742,0.728452,0.743197,0.632504,0.983753,0.635057,0.638889,0.803822,0.880522,0.489329,0.858757
0.018005,0.143520,1231,2017,1597,2310,3064,2287,2258,3307,2980,1429,3346,3018,1725,2982,,0.393597,0.571429,0.586476,0.749258,0.727525,0.744048,0.632504,0.983753,0.635057,0.637153,0.803822,0.880522,0.489329,0.858757
0.017981,0.161500,1231,2018,1598,2310,3063,2287,2257,3307,2979,1429,3346,3018,1725,2981,,0.393597,0.574074,0.587776,0.749258,0.726599,0.744048,0.631040,0.983753,0.632184,0.637153,0.803822,0.880522,0.489329,0.857815
