GloveManager recording started on 11/02/16 at 15:48:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017206,0.017206,1201,1961,1382,2120,2426,2294,1957,2416,2872,1350,3415,3012,1711,2889,,0.337100,0.423280,0.306892,0.467359,0.136237,0.750000,0.191801,0.259951,0.324713,0.500000,0.891720,0.874498,0.467988,0.771186
0.018001,0.035207,1200,1960,1381,2119,2426,2294,1956,2416,2872,1350,3415,3012,1711,2889,,0.335217,0.420635,0.305592,0.465875,0.136237,0.750000,0.190337,0.259951,0.324713,0.500000,0.891720,0.874498,0.467988,0.771186
0.017998,0.053205,1200,1961,1382,2119,2426,2294,1956,2415,2872,1349,3415,3012,1711,2890,,0.335217,0.423280,0.306892,0.465875,0.136237,0.750000,0.190337,0.259139,0.324713,0.498264,0.891720,0.874498,0.467988,0.772128
0.017981,0.071186,1201,1962,1383,2119,2426,2295,1956,2416,2871,1349,3415,3012,1710,2889,,0.337100,0.425926,0.308192,0.465875,0.136237,0.750850,0.190337,0.259951,0.321839,0.498264,0.891720,0.874498,0.466463,0.771186
0.018035,0.089221,1201,1961,1383,2119,2427,2295,1957,2415,2872,1349,3414,3011,1711,2890,,0.337100,0.423280,0.308192,0.465875,0.137164,0.750850,0.191801,0.259139,0.324713,0.498264,0.890446,0.873494,0.467988,0.772128
0.017987,0.107208,1201,1961,1383,2118,2426,2294,1957,2415,2872,1349,3414,3012,1711,2890,,0.337100,0.423280,0.308192,0.464392,0.136237,0.750000,0.191801,0.259139,0.324713,0.498264,0.890446,0.874498,0.467988,0.772128
0.018000,0.125208,1201,1960,1384,2119,2426,2295,1956,2415,2871,1349,3414,3011,1710,2890,,0.337100,0.420635,0.309493,0.465875,0.136237,0.750850,0.190337,0.259139,0.321839,0.498264,0.890446,0.873494,0.466463,0.772128
0.018011,0.143219,1201,1961,1384,2119,2426,2294,1956,2416,2872,1349,3414,3011,1710,2890,,0.337100,0.423280,0.309493,0.465875,0.136237,0.750000,0.190337,0.259951,0.324713,0.498264,0.890446,0.873494,0.466463,0.772128
0.017995,0.161215,1201,1961,1384,2119,2427,2294,1957,2416,2872,1349,3414,3012,1711,2890,,0.337100,0.423280,0.309493,0.465875,0.137164,0.750000,0.191801,0.259951,0.324713,0.498264,0.890446,0.874498,0.467988,0.772128
