GloveManager recording started on 11/02/16 at 15:48:42

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017295,0.017295,1119,1923,1521,2024,2312,1807,1928,2271,2849,1236,3394,3002,1693,2872,,0.182674,0.322751,0.487646,0.324926,0.030584,0.335884,0.149341,0.142161,0.258621,0.302083,0.864968,0.864458,0.440549,0.755179
0.018004,0.035299,1120,1924,1517,2023,2312,1789,1927,2270,2852,1239,3395,3004,1695,2869,,0.184557,0.325397,0.482445,0.323442,0.030584,0.320578,0.147877,0.141348,0.267241,0.307292,0.866242,0.866466,0.443598,0.752354
0.017998,0.053297,1120,1924,1517,2023,2312,1789,1927,2270,2852,1239,3395,3004,1695,2869,,0.184557,0.325397,0.482445,0.323442,0.030584,0.320578,0.147877,0.141348,0.267241,0.307292,0.866242,0.866466,0.443598,0.752354
0.018002,0.071299,1121,1924,1512,2025,2313,1783,1927,2268,2853,1241,3395,3005,1696,2867,,0.186441,0.325397,0.475943,0.326409,0.031511,0.315476,0.147877,0.139724,0.270115,0.310764,0.866242,0.867470,0.445122,0.750471
0.018005,0.089304,1121,1924,1512,2025,2313,1783,1927,2268,2853,1241,3395,3005,1696,2867,,0.186441,0.325397,0.475943,0.326409,0.031511,0.315476,0.147877,0.139724,0.270115,0.310764,0.866242,0.867470,0.445122,0.750471
0.017997,0.107300,1121,1922,1503,2029,2313,1781,1926,2266,2853,1240,3396,3004,1695,2866,,0.186441,0.320106,0.464239,0.332344,0.031511,0.313776,0.146413,0.138099,0.270115,0.309028,0.867516,0.866466,0.443598,0.749529
0.018001,0.125301,1121,1922,1503,2029,2313,1781,1926,2266,2853,1240,3396,3004,1695,2866,,0.186441,0.320106,0.464239,0.332344,0.031511,0.313776,0.146413,0.138099,0.270115,0.309028,0.867516,0.866466,0.443598,0.749529
0.018001,0.143302,1124,1922,1495,2034,2313,1782,1926,2266,2854,1241,3395,3005,1695,2866,,0.192090,0.320106,0.453836,0.339763,0.031511,0.314626,0.146413,0.138099,0.272988,0.310764,0.866242,0.867470,0.443598,0.749529
0.018002,0.161305,1126,1922,1492,2036,2312,1781,1926,2266,2854,1241,3396,3004,1695,2866,,0.195857,0.320106,0.449935,0.342730,0.030584,0.313776,0.146413,0.138099,0.272988,0.310764,0.867516,0.866466,0.443598,0.749529
