GloveManager recording started on 11/02/16 at 15:48:55

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017198,0.017198,1162,1926,1415,2068,2306,2087,1930,2232,2978,1176,3064,2808,1816,3010,,0.263653,0.330688,0.349805,0.390208,0.025023,0.573980,0.152269,0.110479,0.629310,0.197917,0.444586,0.669679,0.628049,0.885122
0.018002,0.035200,1162,1927,1415,2069,2305,2087,1930,2232,2978,1176,3063,2808,1817,3010,,0.263653,0.333333,0.349805,0.391691,0.024096,0.573980,0.152269,0.110479,0.629310,0.197917,0.443312,0.669679,0.629573,0.885122
0.018077,0.053277,1163,1927,1416,2069,2306,2087,1930,2232,2980,1176,3063,2807,1815,3010,,0.265537,0.333333,0.351105,0.391691,0.025023,0.573980,0.152269,0.110479,0.635057,0.197917,0.443312,0.668675,0.626524,0.885122
0.017924,0.071201,1162,1926,1416,2068,2305,2088,1931,2231,2979,1176,3063,2807,1816,3010,,0.263653,0.330688,0.351105,0.390208,0.024096,0.574830,0.153734,0.109667,0.632184,0.197917,0.443312,0.668675,0.628049,0.885122
0.018000,0.089201,1162,1927,1417,2070,2306,2087,1930,2232,2979,1177,3063,2808,1817,3010,,0.263653,0.333333,0.352406,0.393175,0.025023,0.573980,0.152269,0.110479,0.632184,0.199653,0.443312,0.669679,0.629573,0.885122
0.018006,0.107207,1162,1927,1417,2069,2306,2088,1930,2232,2980,1177,3064,2808,1816,3010,,0.263653,0.333333,0.352406,0.391691,0.025023,0.574830,0.152269,0.110479,0.635057,0.199653,0.444586,0.669679,0.628049,0.885122
0.017994,0.125201,1162,1927,1417,2070,2306,2088,1930,2233,2980,1177,3063,2809,1817,3009,,0.263653,0.333333,0.352406,0.393175,0.025023,0.574830,0.152269,0.111292,0.635057,0.199653,0.443312,0.670683,0.629573,0.884181
0.018009,0.143209,1163,1927,1416,2069,2306,2088,1931,2233,2980,1177,3064,2809,1816,3009,,0.265537,0.333333,0.351105,0.391691,0.025023,0.574830,0.153734,0.111292,0.635057,0.199653,0.444586,0.670683,0.628049,0.884181
0.018005,0.161214,1163,1927,1417,2069,2306,2088,1931,2233,2980,1177,3063,2808,1816,3010,,0.265537,0.333333,0.352406,0.391691,0.025023,0.574830,0.153734,0.111292,0.635057,0.199653,0.443312,0.669679,0.628049,0.885122
