GloveManager recording started on 11/02/16 at 15:50:31

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017230,0.017229,1294,1928,1214,2403,2343,2621,2340,3300,2954,1378,3362,3026,1746,2880,,0.512241,0.327320,0.112658,0.887240,0.059314,0.952719,0.752562,0.970968,0.560345,0.548611,0.824204,0.888554,0.521341,0.762712
0.018000,0.035230,1295,1928,1214,2403,2342,2621,2340,3300,2954,1378,3362,3027,1747,2880,,0.514124,0.327320,0.112658,0.887240,0.058387,0.952719,0.752562,0.970968,0.560345,0.548611,0.824204,0.889558,0.522866,0.762712
0.017980,0.053210,1294,1928,1214,2402,2342,2621,2339,3300,2953,1378,3362,3027,1746,2880,,0.512241,0.327320,0.112658,0.885757,0.058387,0.952719,0.751098,0.970968,0.557471,0.548611,0.824204,0.889558,0.521341,0.762712
0.018017,0.071227,1296,1928,1216,2402,2342,2620,2339,3300,2954,1379,3362,3027,1747,2881,,0.516008,0.327320,0.115190,0.885757,0.058387,0.951931,0.751098,0.970968,0.560345,0.550347,0.824204,0.889558,0.522866,0.763653
0.018006,0.089233,1295,1928,1215,2402,2341,2620,2336,3301,2954,1377,3362,3027,1746,2880,,0.514124,0.327320,0.113924,0.885757,0.057461,0.951931,0.746706,0.971774,0.560345,0.546875,0.824204,0.889558,0.521341,0.762712
0.018000,0.107234,1295,1928,1215,2402,2341,2620,2336,3301,2954,1377,3362,3027,1746,2880,,0.514124,0.327320,0.113924,0.885757,0.057461,0.951931,0.746706,0.971774,0.560345,0.546875,0.824204,0.889558,0.521341,0.762712
0.018001,0.125235,1295,1928,1215,2401,2341,2619,2334,3299,2954,1377,3362,3026,1746,2880,,0.514124,0.327320,0.113924,0.884273,0.057461,0.951143,0.743777,0.970161,0.560345,0.546875,0.824204,0.888554,0.521341,0.762712
0.018001,0.143236,1295,1928,1215,2401,2340,2618,2334,3299,2954,1377,3362,3027,1745,2879,,0.514124,0.327320,0.113924,0.884273,0.056534,0.950355,0.743777,0.970161,0.560345,0.546875,0.824204,0.889558,0.519817,0.761770
0.018002,0.161239,1295,1928,1215,2400,2341,2618,2334,3300,2954,1377,3362,3026,1746,2880,,0.514124,0.327320,0.113924,0.882789,0.057461,0.950355,0.743777,0.970968,0.560345,0.546875,0.824204,0.888554,0.521341,0.762712
0.017997,0.179236,1295,1928,1215,2400,2341,2618,2334,3299,2954,1377,3362,3026,1746,2879,,0.514124,0.327320,0.113924,0.882789,0.057461,0.950355,0.743777,0.970161,0.560345,0.546875,0.824204,0.888554,0.521341,0.761770
0.018002,0.197238,1295,1928,1215,2399,2341,2617,2333,3300,2955,1376,3362,3026,1747,2879,,0.514124,0.327320,0.113924,0.881306,0.057461,0.949567,0.742313,0.970968,0.563218,0.545139,0.824204,0.888554,0.522866,0.761770
0.018000,0.215238,1295,1928,1215,2399,2341,2617,2333,3300,2955,1376,3362,3026,1747,2879,,0.514124,0.327320,0.113924,0.881306,0.057461,0.949567,0.742313,0.970968,0.563218,0.545139,0.824204,0.888554,0.522866,0.761770
0.018001,0.233239,1294,1928,1215,2400,2341,2618,2333,3299,2955,1377,3361,3026,1746,2878,,0.512241,0.327320,0.113924,0.882789,0.057461,0.950355,0.742313,0.970161,0.563218,0.546875,0.822930,0.888554,0.521341,0.760829
0.018001,0.251240,1294,1927,1216,2400,2340,2618,2332,3301,2955,1377,3362,3026,1747,2879,,0.512241,0.324742,0.115190,0.882789,0.056534,0.950355,0.740849,0.971774,0.563218,0.546875,0.824204,0.888554,0.522866,0.761770
0.018001,0.269241,1296,1928,1217,2400,2341,2618,2333,3301,2955,1376,3360,3026,1746,2879,,0.516008,0.327320,0.116456,0.882789,0.057461,0.950355,0.742313,0.971774,0.563218,0.545139,0.821656,0.888554,0.521341,0.761770
