GloveManager recording started on 11/02/16 at 16:15:53

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017453,0.017453,1578,2333,1655,1946,2384,2533,2037,2219,3086,1249,3040,3121,1572,2213,,0.742012,0.444790,0.611849,0.229807,0.109025,0.678571,0.198724,0.094023,0.811484,0.171681,0.381008,0.859799,0.268510,0.122118
0.017999,0.035451,1577,2333,1654,1945,2383,2532,2037,2219,3086,1249,3040,3121,1572,2213,,0.740828,0.444790,0.610827,0.228669,0.108303,0.677966,0.198724,0.094023,0.811484,0.171681,0.381008,0.859799,0.268510,0.122118
0.018001,0.053452,1577,2334,1649,1945,2384,2533,2036,2217,3086,1249,3041,3121,1579,2213,,0.740828,0.445568,0.605720,0.228669,0.109025,0.678571,0.197812,0.092566,0.811484,0.171681,0.382181,0.859799,0.274755,0.122118
0.018001,0.071454,1576,2333,1646,1944,2383,2533,2036,2218,3085,1248,3040,3121,1572,2213,,0.739645,0.444790,0.602656,0.227531,0.108303,0.678571,0.197812,0.093294,0.810401,0.170796,0.381008,0.859799,0.268510,0.122118
0.018000,0.089454,1574,2331,1644,1944,2383,2532,2036,2216,3085,1248,3040,3121,1572,2214,,0.737278,0.443235,0.600613,0.227531,0.108303,0.677966,0.197812,0.091837,0.810401,0.170796,0.381008,0.859799,0.268510,0.122972
0.018004,0.107458,1574,2330,1642,1945,2383,2532,2036,2216,3086,1249,3041,3120,1572,2214,,0.737278,0.442457,0.598570,0.228669,0.108303,0.677966,0.197812,0.091837,0.811484,0.171681,0.382181,0.859024,0.268510,0.122972
0.018000,0.125458,1573,2329,1643,1945,2382,2531,2036,2216,3084,1248,3040,3121,1571,2214,,0.736095,0.441680,0.599591,0.228669,0.107581,0.677361,0.197812,0.091837,0.809317,0.170796,0.381008,0.859799,0.267618,0.122972
0.018001,0.143459,1574,2330,1642,1944,2383,2531,2036,2215,3085,1248,3040,3121,1570,2213,,0.737278,0.442457,0.598570,0.227531,0.108303,0.677361,0.197812,0.091108,0.810401,0.170796,0.381008,0.859799,0.266726,0.122118
0.017999,0.161458,1574,2329,1642,1944,2382,2531,2034,2214,3085,1248,3041,3121,1570,2214,,0.737278,0.441680,0.598570,0.227531,0.107581,0.677361,0.195989,0.090379,0.810401,0.170796,0.382181,0.859799,0.266726,0.122972
0.018004,0.179462,1574,2329,1642,1944,2382,2531,2034,2214,3085,1248,3041,3121,1570,2214,,0.737278,0.441680,0.598570,0.227531,0.107581,0.677361,0.195989,0.090379,0.810401,0.170796,0.382181,0.859799,0.266726,0.122972
0.018000,0.197463,1574,2327,1641,1945,2382,2532,2034,2214,3085,1248,3041,3121,1571,2213,,0.737278,0.440124,0.597549,0.228669,0.107581,0.677966,0.195989,0.090379,0.810401,0.170796,0.382181,0.859799,0.267618,0.122118
0.018001,0.215464,1574,2327,1641,1945,2382,2532,2034,2214,3085,1248,3041,3121,1571,2213,,0.737278,0.440124,0.597549,0.228669,0.107581,0.677966,0.195989,0.090379,0.810401,0.170796,0.382181,0.859799,0.267618,0.122118
0.017980,0.233444,1573,2325,1641,1944,2381,2532,2033,2212,3085,1247,3041,3121,1570,2213,,0.736095,0.438569,0.597549,0.227531,0.106859,0.677966,0.195077,0.088921,0.810401,0.169912,0.382181,0.859799,0.266726,0.122118
0.018022,0.251466,1573,2326,1640,1943,2380,2532,2032,2213,3085,1248,3041,3121,1570,2214,,0.736095,0.439347,0.596527,0.226394,0.106137,0.677966,0.194166,0.089650,0.810401,0.170796,0.382181,0.859799,0.266726,0.122972
0.018000,0.269465,1573,2326,1640,1943,2380,2532,2032,2213,3085,1248,3041,3121,1570,2214,,0.736095,0.439347,0.596527,0.226394,0.106137,0.677966,0.194166,0.089650,0.810401,0.170796,0.382181,0.859799,0.266726,0.122972
0.018001,0.287466,1573,2327,1640,1943,2381,2532,2032,2211,3085,1248,3041,3120,1570,2213,,0.736095,0.440124,0.596527,0.226394,0.106859,0.677966,0.194166,0.088192,0.810401,0.170796,0.382181,0.859024,0.266726,0.122118
0.017979,0.305445,1572,2326,1638,1943,2380,2532,2031,2210,3085,1247,3040,3121,1569,2213,,0.734911,0.439347,0.594484,0.226394,0.106137,0.677966,0.193254,0.087464,0.810401,0.169912,0.381008,0.859799,0.265834,0.122118
0.018000,0.323445,1572,2326,1638,1943,2380,2532,2031,2210,3085,1247,3040,3121,1569,2213,,0.734911,0.439347,0.594484,0.226394,0.106137,0.677966,0.193254,0.087464,0.810401,0.169912,0.381008,0.859799,0.265834,0.122118
0.018026,0.341471,1572,2325,1636,1943,2380,2532,2031,2210,3085,1247,3041,3121,1571,2213,,0.734911,0.438569,0.592441,0.226394,0.106137,0.677966,0.193254,0.087464,0.810401,0.169912,0.382181,0.859799,0.267618,0.122118
0.017997,0.359468,1572,2325,1635,1944,2380,2532,2030,2210,3084,1247,3040,3121,1570,2213,,0.734911,0.438569,0.591420,0.227531,0.106137,0.677966,0.192343,0.087464,0.809317,0.169912,0.381008,0.859799,0.266726,0.122118
0.018001,0.377470,1572,2325,1634,1943,2380,2532,2031,2209,3084,1246,3040,3121,1570,2213,,0.734911,0.438569,0.590398,0.226394,0.106137,0.677966,0.193254,0.086735,0.809317,0.169027,0.381008,0.859799,0.266726,0.122118
0.018000,0.395470,1571,2324,1631,1943,2380,2532,2029,2209,3084,1247,3041,3121,1570,2213,,0.733728,0.437792,0.587334,0.226394,0.106137,0.677966,0.191431,0.086735,0.809317,0.169912,0.382181,0.859799,0.266726,0.122118
0.018004,0.413474,1571,2324,1631,1943,2380,2532,2029,2209,3084,1247,3041,3121,1570,2213,,0.733728,0.437792,0.587334,0.226394,0.106137,0.677966,0.191431,0.086735,0.809317,0.169912,0.382181,0.859799,0.266726,0.122118
0.018060,0.431535,1570,2323,1629,1943,2380,2532,2029,2208,3085,1246,3041,3121,1569,2212,,0.732544,0.437014,0.585291,0.226394,0.106137,0.677966,0.191431,0.086006,0.810401,0.169027,0.382181,0.859799,0.265834,0.121264
0.017939,0.449473,1571,2324,1628,1943,2379,2532,2028,2208,3085,1246,3041,3120,1570,2212,,0.733728,0.437792,0.584270,0.226394,0.105415,0.677966,0.190520,0.086006,0.810401,0.169027,0.382181,0.859024,0.266726,0.121264
0.018001,0.467474,1571,2327,1627,1943,2380,2532,2028,2207,3084,1246,3042,3121,1569,2212,,0.733728,0.440124,0.583248,0.226394,0.106137,0.677966,0.190520,0.085277,0.809317,0.169027,0.383353,0.859799,0.265834,0.121264
0.018000,0.485474,1572,2330,1626,1943,2379,2531,2028,2207,3084,1246,3043,3121,1568,2212,,0.734911,0.442457,0.582227,0.226394,0.105415,0.677361,0.190520,0.085277,0.809317,0.169027,0.384525,0.859799,0.264942,0.121264
0.018004,0.503479,1573,2333,1623,1942,2378,2530,2027,2206,3084,1245,3044,3120,1566,2210,,0.736095,0.444790,0.579162,0.225256,0.104693,0.676755,0.189608,0.084548,0.809317,0.168142,0.385698,0.859024,0.263158,0.119556
0.017998,0.521477,1573,2333,1623,1942,2378,2530,2027,2206,3084,1245,3044,3120,1566,2210,,0.736095,0.444790,0.579162,0.225256,0.104693,0.676755,0.189608,0.084548,0.809317,0.168142,0.385698,0.859024,0.263158,0.119556
0.018001,0.539478,1572,2335,1623,1942,2378,2530,2027,2206,3084,1245,3045,3120,1566,2211,,0.734911,0.446345,0.579162,0.225256,0.104693,0.676755,0.189608,0.084548,0.809317,0.168142,0.386870,0.859024,0.263158,0.120410
0.017981,0.557459,1573,2335,1622,1942,2378,2530,2026,2206,3084,1245,3044,3120,1565,2211,,0.736095,0.446345,0.578141,0.225256,0.104693,0.676755,0.188696,0.084548,0.809317,0.168142,0.385698,0.859024,0.262266,0.120410
0.018024,0.575483,1573,2334,1623,1942,2378,2530,2025,2205,3084,1244,3044,3121,1566,2211,,0.736095,0.445568,0.579162,0.225256,0.104693,0.676755,0.187785,0.083819,0.809317,0.167257,0.385698,0.859799,0.263158,0.120410
0.017998,0.593480,1572,2333,1624,1941,2377,2530,2025,2205,3084,1244,3045,3120,1566,2211,,0.734911,0.444790,0.580184,0.224118,0.103971,0.676755,0.187785,0.083819,0.809317,0.167257,0.386870,0.859024,0.263158,0.120410
0.018001,0.611482,1571,2333,1624,1942,2378,2530,2025,2206,3084,1244,3046,3121,1567,2212,,0.733728,0.444790,0.580184,0.225256,0.104693,0.676755,0.187785,0.084548,0.809317,0.167257,0.388042,0.859799,0.264050,0.121264
0.018004,0.629486,1573,2334,1625,1942,2378,2531,2025,2204,3083,1244,3045,3120,1566,2212,,0.736095,0.445568,0.581205,0.225256,0.104693,0.677361,0.187785,0.083090,0.808234,0.167257,0.386870,0.859024,0.263158,0.121264
0.018001,0.647487,1572,2334,1624,1941,2377,2530,2025,2204,3084,1244,3045,3120,1566,2212,,0.734911,0.445568,0.580184,0.224118,0.103971,0.676755,0.187785,0.083090,0.809317,0.167257,0.386870,0.859024,0.263158,0.121264
0.017999,0.665485,1573,2334,1623,1941,2378,2530,2025,2204,3084,1244,3045,3120,1567,2210,,0.736095,0.445568,0.579162,0.224118,0.104693,0.676755,0.187785,0.083090,0.809317,0.167257,0.386870,0.859024,0.264050,0.119556
0.018003,0.683488,1572,2331,1623,1941,2377,2530,2025,2204,3084,1244,3047,3120,1568,2212,,0.734911,0.443235,0.579162,0.224118,0.103971,0.676755,0.187785,0.083090,0.809317,0.167257,0.389215,0.859024,0.264942,0.121264
0.018000,0.701488,1571,2328,1619,1940,2377,2530,2024,2204,3084,1244,3047,3121,1568,2212,,0.733728,0.440902,0.575077,0.222981,0.103971,0.676755,0.186873,0.083090,0.809317,0.167257,0.389215,0.859799,0.264942,0.121264
0.017999,0.719487,1570,2326,1617,1941,2377,2531,2024,2203,3084,1244,3047,3121,1567,2212,,0.732544,0.439347,0.573034,0.224118,0.103971,0.677361,0.186873,0.082362,0.809317,0.167257,0.389215,0.859799,0.264050,0.121264
0.018001,0.737488,1570,2327,1618,1941,2378,2531,2023,2203,3083,1244,3045,3121,1566,2211,,0.732544,0.440124,0.574055,0.224118,0.104693,0.677361,0.185962,0.082362,0.808234,0.167257,0.386870,0.859799,0.263158,0.120410
0.018002,0.755490,1570,2327,1618,1940,2376,2529,2022,2202,3084,1244,3047,3120,1566,2211,,0.732544,0.440124,0.574055,0.222981,0.103249,0.676150,0.185050,0.081633,0.809317,0.167257,0.389215,0.859024,0.263158,0.120410
0.018001,0.773491,1570,2327,1619,1940,2377,2531,2023,2202,3083,1244,3047,3121,1567,2212,,0.732544,0.440124,0.575077,0.222981,0.103971,0.677361,0.185962,0.081633,0.808234,0.167257,0.389215,0.859799,0.264050,0.121264
0.018004,0.791495,1570,2327,1618,1941,2376,2531,2022,2201,3084,1243,3047,3121,1567,2211,,0.732544,0.440124,0.574055,0.224118,0.103249,0.677361,0.185050,0.080904,0.809317,0.166372,0.389215,0.859799,0.264050,0.120410
0.018000,0.809495,1569,2327,1617,1941,2376,2531,2022,2200,3084,1243,3048,3121,1567,2210,,0.731361,0.440124,0.573034,0.224118,0.103249,0.677361,0.185050,0.080175,0.809317,0.166372,0.390387,0.859799,0.264050,0.119556
0.017998,0.827493,1569,2327,1617,1941,2376,2531,2022,2200,3084,1243,3048,3121,1567,2210,,0.731361,0.440124,0.573034,0.224118,0.103249,0.677361,0.185050,0.080175,0.809317,0.166372,0.390387,0.859799,0.264050,0.119556
0.018001,0.845494,1569,2325,1615,1940,2376,2531,2020,2199,3084,1242,3048,3120,1567,2211,,0.731361,0.438569,0.570991,0.222981,0.103249,0.677361,0.183227,0.079446,0.809317,0.165487,0.390387,0.859024,0.264050,0.120410
0.018003,0.863498,1568,2326,1614,1940,2376,2531,2020,2199,3084,1242,3049,3121,1567,2212,,0.730178,0.439347,0.569969,0.222981,0.103249,0.677361,0.183227,0.079446,0.809317,0.165487,0.391559,0.859799,0.264050,0.121264
0.018002,0.881500,1569,2326,1614,1940,2376,2531,2020,2200,3084,1243,3049,3121,1574,2211,,0.731361,0.439347,0.569969,0.222981,0.103249,0.677361,0.183227,0.080175,0.809317,0.166372,0.391559,0.859799,0.270294,0.120410
0.018001,0.899500,1568,2326,1614,1941,2375,2531,2021,2198,3084,1243,3049,3121,1574,2211,,0.730178,0.439347,0.569969,0.224118,0.102527,0.677361,0.184139,0.078717,0.809317,0.166372,0.391559,0.859799,0.270294,0.120410
0.018001,0.917502,1568,2324,1613,1940,2375,2531,2020,2198,3084,1243,3050,3121,1566,2212,,0.730178,0.437792,0.568948,0.222981,0.102527,0.677361,0.183227,0.078717,0.809317,0.166372,0.392732,0.859799,0.263158,0.121264
0.018041,0.935542,1569,2325,1614,1940,2375,2531,2019,2197,3083,1242,3050,3121,1568,2211,,0.731361,0.438569,0.569969,0.222981,0.102527,0.677361,0.182315,0.077988,0.808234,0.165487,0.392732,0.859799,0.264942,0.120410
0.017988,0.953530,1568,2324,1613,1940,2375,2532,2019,2197,3082,1243,3050,3121,1568,2212,,0.730178,0.437792,0.568948,0.222981,0.102527,0.677966,0.182315,0.077988,0.807151,0.166372,0.392732,0.859799,0.264942,0.121264
0.017981,0.971511,1569,2323,1613,1940,2375,2531,2019,2196,3083,1243,3050,3122,1567,2212,,0.731361,0.437014,0.568948,0.222981,0.102527,0.677361,0.182315,0.077259,0.808234,0.166372,0.392732,0.860573,0.264050,0.121264
0.018029,0.989540,1570,2323,1613,1940,2375,2531,2017,2196,3082,1243,3050,3122,1567,2212,,0.732544,0.437014,0.568948,0.222981,0.102527,0.677361,0.180492,0.077259,0.807151,0.166372,0.392732,0.860573,0.264050,0.121264
0.017998,1.007538,1570,2323,1613,1940,2375,2531,2017,2196,3082,1243,3050,3122,1567,2212,,0.732544,0.437014,0.568948,0.222981,0.102527,0.677361,0.180492,0.077259,0.807151,0.166372,0.392732,0.860573,0.264050,0.121264
0.017995,1.025533,1568,2321,1612,1940,2375,2531,2018,2195,3082,1243,3050,3122,1568,2212,,0.730178,0.435459,0.567926,0.222981,0.102527,0.677361,0.181404,0.076531,0.807151,0.166372,0.392732,0.860573,0.264942,0.121264
0.017976,1.043509,1568,2320,1612,1940,2374,2531,2017,2195,3082,1243,3050,3121,1568,2212,,0.730178,0.434681,0.567926,0.222981,0.101805,0.677361,0.180492,0.076531,0.807151,0.166372,0.392732,0.859799,0.264942,0.121264
0.018022,1.061531,1568,2319,1611,1940,2375,2531,2016,2195,3083,1243,3049,3121,1567,2212,,0.730178,0.433904,0.566905,0.222981,0.102527,0.677361,0.179581,0.076531,0.808234,0.166372,0.391559,0.859799,0.264050,0.121264
0.018000,1.079531,1567,2319,1611,1940,2374,2531,2016,2195,3083,1243,3049,3122,1568,2212,,0.728994,0.433904,0.566905,0.222981,0.101805,0.677361,0.179581,0.076531,0.808234,0.166372,0.391559,0.860573,0.264942,0.121264
0.018020,1.097552,1568,2318,1611,1939,2375,2531,2015,2195,3082,1243,3049,3122,1568,2211,,0.730178,0.433126,0.566905,0.221843,0.102527,0.677361,0.178669,0.076531,0.807151,0.166372,0.391559,0.860573,0.264942,0.120410
0.017982,1.115534,1567,2319,1611,1939,2374,2531,2016,2194,3082,1242,3048,3120,1567,2212,,0.728994,0.433904,0.566905,0.221843,0.101805,0.677361,0.179581,0.075802,0.807151,0.165487,0.390387,0.859024,0.264050,0.121264
0.018007,1.133541,1568,2319,1610,1939,2374,2531,2015,2194,3083,1242,3048,3122,1569,2212,,0.730178,0.433904,0.565884,0.221843,0.101805,0.677361,0.178669,0.075802,0.808234,0.165487,0.390387,0.860573,0.265834,0.121264
0.018006,1.151547,1567,2319,1610,1940,2374,2531,2015,2194,3082,1243,3048,3122,1568,2211,,0.728994,0.433904,0.565884,0.222981,0.101805,0.677361,0.178669,0.075802,0.807151,0.166372,0.390387,0.860573,0.264942,0.120410
0.017980,1.169526,1568,2319,1609,1940,2374,2531,2015,2194,3081,1242,3047,3122,1569,2211,,0.730178,0.433904,0.564862,0.222981,0.101805,0.677361,0.178669,0.075802,0.806067,0.165487,0.389215,0.860573,0.265834,0.120410
0.018012,1.187539,1567,2319,1609,1940,2374,2531,2015,2194,3082,1242,3047,3122,1568,2211,,0.728994,0.433904,0.564862,0.222981,0.101805,0.677361,0.178669,0.075802,0.807151,0.165487,0.389215,0.860573,0.264942,0.120410
