GloveManager recording started on 11/02/16 at 16:16:41

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017457,0.017457,1424,2117,1251,1900,2345,2318,2337,3096,2996,1366,3196,3159,1594,2541,,0.559763,0.276827,0.199183,0.177474,0.080866,0.548426,0.472197,0.733236,0.713976,0.275221,0.563892,0.889233,0.288136,0.402220
0.018001,0.035458,1423,2116,1250,1900,2344,2318,2337,3095,2996,1367,3195,3160,1593,2541,,0.558580,0.276050,0.198161,0.177474,0.080144,0.548426,0.472197,0.732507,0.713976,0.276106,0.562720,0.890008,0.287244,0.402220
0.018000,0.053459,1423,2116,1251,1900,2344,2318,2337,3096,2997,1367,3195,3159,1594,2542,,0.558580,0.276050,0.199183,0.177474,0.080144,0.548426,0.472197,0.733236,0.715060,0.276106,0.562720,0.889233,0.288136,0.403074
0.018013,0.071472,1423,2116,1251,1900,2345,2318,2337,3095,2997,1367,3195,3159,1593,2541,,0.558580,0.276050,0.199183,0.177474,0.080866,0.548426,0.472197,0.732507,0.715060,0.276106,0.562720,0.889233,0.287244,0.402220
0.017987,0.089459,1423,2116,1251,1900,2344,2318,2337,3095,2996,1367,3195,3159,1593,2541,,0.558580,0.276050,0.199183,0.177474,0.080144,0.548426,0.472197,0.732507,0.713976,0.276106,0.562720,0.889233,0.287244,0.402220
0.018024,0.107483,1424,2116,1251,1900,2344,2318,2337,3095,2996,1367,3195,3159,1594,2541,,0.559763,0.276050,0.199183,0.177474,0.080144,0.548426,0.472197,0.732507,0.713976,0.276106,0.562720,0.889233,0.288136,0.402220
0.018010,0.125493,1423,2116,1250,1900,2344,2318,2336,3095,2995,1367,3195,3158,1593,2542,,0.558580,0.276050,0.198161,0.177474,0.080144,0.548426,0.471285,0.732507,0.712893,0.276106,0.562720,0.888459,0.287244,0.403074
0.017994,0.143487,1424,2116,1251,1900,2345,2318,2336,3096,2996,1366,3195,3159,1595,2541,,0.559763,0.276050,0.199183,0.177474,0.080866,0.548426,0.471285,0.733236,0.713976,0.275221,0.562720,0.889233,0.289028,0.402220
0.018001,0.161489,1423,2116,1250,1900,2344,2318,2337,3095,2995,1367,3195,3160,1594,2541,,0.558580,0.276050,0.198161,0.177474,0.080144,0.548426,0.472197,0.732507,0.712893,0.276106,0.562720,0.890008,0.288136,0.402220
0.018007,0.179496,1423,2116,1251,1899,2344,2318,2336,3095,2996,1367,3195,3159,1594,2542,,0.558580,0.276050,0.199183,0.176337,0.080144,0.548426,0.471285,0.732507,0.713976,0.276106,0.562720,0.889233,0.288136,0.403074
0.018000,0.197497,1423,2117,1251,1899,2344,2318,2337,3096,2996,1367,3195,3159,1594,2541,,0.558580,0.276827,0.199183,0.176337,0.080144,0.548426,0.472197,0.733236,0.713976,0.276106,0.562720,0.889233,0.288136,0.402220
0.017993,0.215489,1423,2116,1250,1899,2343,2318,2336,3095,2996,1366,3195,3159,1594,2541,,0.558580,0.276050,0.198161,0.176337,0.079422,0.548426,0.471285,0.732507,0.713976,0.275221,0.562720,0.889233,0.288136,0.402220
0.017983,0.233473,1423,2117,1250,1899,2344,2318,2337,3095,2995,1367,3195,3159,1594,2541,,0.558580,0.276827,0.198161,0.176337,0.080144,0.548426,0.472197,0.732507,0.712893,0.276106,0.562720,0.889233,0.288136,0.402220
0.018018,0.251491,1422,2118,1250,1900,2345,2318,2337,3095,2996,1367,3195,3159,1594,2542,,0.557396,0.277605,0.198161,0.177474,0.080866,0.548426,0.472197,0.732507,0.713976,0.276106,0.562720,0.889233,0.288136,0.403074
0.018001,0.269493,1423,2117,1251,1900,2344,2318,2338,3095,2996,1366,3196,3159,1593,2541,,0.558580,0.276827,0.199183,0.177474,0.080144,0.548426,0.473108,0.732507,0.713976,0.275221,0.563892,0.889233,0.287244,0.402220
0.018003,0.287495,1423,2117,1251,1900,2345,2318,2338,3095,2996,1366,3195,3159,1593,2542,,0.558580,0.276827,0.199183,0.177474,0.080866,0.548426,0.473108,0.732507,0.713976,0.275221,0.562720,0.889233,0.287244,0.403074
0.018006,0.305501,1423,2117,1251,1900,2345,2318,2338,3095,2996,1366,3195,3159,1593,2542,,0.558580,0.276827,0.199183,0.177474,0.080866,0.548426,0.473108,0.732507,0.713976,0.275221,0.562720,0.889233,0.287244,0.403074
0.017992,0.323493,1422,2116,1250,1899,2344,2318,2337,3096,2997,1367,3196,3159,1594,2541,,0.557396,0.276050,0.198161,0.176337,0.080144,0.548426,0.472197,0.733236,0.715060,0.276106,0.563892,0.889233,0.288136,0.402220
0.018024,0.341517,1423,2116,1251,1900,2345,2319,2336,3095,2996,1366,3195,3159,1593,2542,,0.558580,0.276050,0.199183,0.177474,0.080866,0.549031,0.471285,0.732507,0.713976,0.275221,0.562720,0.889233,0.287244,0.403074
0.017987,0.359505,1423,2116,1251,1900,2344,2319,2336,3095,2996,1367,3196,3159,1594,2542,,0.558580,0.276050,0.199183,0.177474,0.080144,0.549031,0.471285,0.732507,0.713976,0.276106,0.563892,0.889233,0.288136,0.403074
0.017995,0.377499,1422,2116,1250,1900,2345,2318,2336,3095,2997,1366,3196,3159,1593,2541,,0.557396,0.276050,0.198161,0.177474,0.080866,0.548426,0.471285,0.732507,0.715060,0.275221,0.563892,0.889233,0.287244,0.402220
0.018008,0.395508,1422,2116,1250,1900,2345,2318,2336,3095,2997,1366,3196,3159,1593,2541,,0.557396,0.276050,0.198161,0.177474,0.080866,0.548426,0.471285,0.732507,0.715060,0.275221,0.563892,0.889233,0.287244,0.402220
0.017982,0.413490,1423,2116,1251,1900,2344,2317,2336,3095,2996,1368,3196,3159,1594,2541,,0.558580,0.276050,0.199183,0.177474,0.080144,0.547821,0.471285,0.732507,0.713976,0.276991,0.563892,0.889233,0.288136,0.402220
0.018020,0.431509,1424,2117,1251,1900,2344,2319,2337,3095,2997,1367,3196,3159,1594,2542,,0.559763,0.276827,0.199183,0.177474,0.080144,0.549031,0.472197,0.732507,0.715060,0.276106,0.563892,0.889233,0.288136,0.403074
0.017993,0.449503,1423,2116,1251,1899,2345,2318,2338,3095,2997,1366,3195,3159,1593,2542,,0.558580,0.276050,0.199183,0.176337,0.080866,0.548426,0.473108,0.732507,0.715060,0.275221,0.562720,0.889233,0.287244,0.403074
0.018011,0.467513,1424,2117,1251,1899,2344,2318,2337,3095,2996,1367,3195,3159,1593,2542,,0.559763,0.276827,0.199183,0.176337,0.080144,0.548426,0.472197,0.732507,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
0.017996,0.485510,1422,2117,1250,1900,2344,2318,2338,3096,2996,1367,3195,3159,1593,2542,,0.557396,0.276827,0.198161,0.177474,0.080144,0.548426,0.473108,0.733236,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
0.018034,0.503543,1422,2117,1250,1900,2344,2318,2338,3096,2996,1367,3195,3159,1593,2542,,0.557396,0.276827,0.198161,0.177474,0.080144,0.548426,0.473108,0.733236,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
0.017983,0.521527,1424,2118,1250,1900,2344,2319,2338,3095,2996,1368,3195,3159,1593,2542,,0.559763,0.277605,0.198161,0.177474,0.080144,0.549031,0.473108,0.732507,0.713976,0.276991,0.562720,0.889233,0.287244,0.403074
0.017986,0.539513,1424,2118,1250,1901,2344,2319,2338,3095,2997,1367,3196,3159,1594,2543,,0.559763,0.277605,0.198161,0.178612,0.080144,0.549031,0.473108,0.732507,0.715060,0.276106,0.563892,0.889233,0.288136,0.403928
0.017996,0.557509,1424,2118,1251,1900,2344,2318,2337,3096,2996,1367,3195,3159,1593,2542,,0.559763,0.277605,0.199183,0.177474,0.080144,0.548426,0.472197,0.733236,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
0.018026,0.575535,1424,2118,1251,1900,2344,2318,2337,3096,2996,1367,3195,3159,1593,2542,,0.559763,0.277605,0.199183,0.177474,0.080144,0.548426,0.472197,0.733236,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
0.017982,0.593517,1424,2116,1251,1899,2344,2319,2337,3096,2996,1368,3196,3159,1593,2542,,0.559763,0.276050,0.199183,0.176337,0.080144,0.549031,0.472197,0.733236,0.713976,0.276991,0.563892,0.889233,0.287244,0.403074
0.017977,0.611494,1422,2117,1251,1900,2345,2318,2338,3095,2997,1367,3195,3160,1593,2542,,0.557396,0.276827,0.199183,0.177474,0.080866,0.548426,0.473108,0.732507,0.715060,0.276106,0.562720,0.890008,0.287244,0.403074
0.018024,0.629518,1423,2117,1250,1899,2345,2319,2338,3095,2997,1367,3195,3159,1593,2542,,0.558580,0.276827,0.198161,0.176337,0.080866,0.549031,0.473108,0.732507,0.715060,0.276106,0.562720,0.889233,0.287244,0.403074
0.018019,0.647537,1423,2116,1250,1900,2345,2318,2338,3095,2996,1367,3195,3159,1593,2542,,0.558580,0.276050,0.198161,0.177474,0.080866,0.548426,0.473108,0.732507,0.713976,0.276106,0.562720,0.889233,0.287244,0.403074
