GloveManager recording started on 11/02/16 at 16:17:04

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018110,0.018110,1652,2593,1311,2278,3035,2577,2281,3078,3095,1384,3219,3146,1635,2576,,0.829586,0.646967,0.260470,0.607509,0.579061,0.705206,0.421149,0.720117,0.821235,0.291150,0.590856,0.879163,0.324710,0.432109
0.018024,0.036134,1652,2593,1311,2279,3035,2577,2282,3078,3094,1385,3218,3146,1636,2575,,0.829586,0.646967,0.260470,0.608646,0.579061,0.705206,0.422060,0.720117,0.820152,0.292035,0.589683,0.879163,0.325602,0.431255
0.018001,0.054136,1652,2593,1311,2279,3035,2577,2282,3078,3094,1385,3218,3146,1636,2575,,0.829586,0.646967,0.260470,0.608646,0.579061,0.705206,0.422060,0.720117,0.820152,0.292035,0.589683,0.879163,0.325602,0.431255
0.018001,0.072137,1651,2593,1311,2279,3034,2577,2281,3078,3094,1385,3218,3146,1636,2576,,0.828402,0.646967,0.260470,0.608646,0.578339,0.705206,0.421149,0.720117,0.820152,0.292035,0.589683,0.879163,0.325602,0.432109
0.018001,0.090138,1652,2594,1310,2278,3035,2577,2280,3079,3094,1385,3219,3147,1635,2576,,0.829586,0.647745,0.259448,0.607509,0.579061,0.705206,0.420237,0.720845,0.820152,0.292035,0.590856,0.879938,0.324710,0.432109
0.017978,0.108117,1652,2594,1310,2278,3035,2577,2280,3079,3094,1385,3219,3147,1635,2576,,0.829586,0.647745,0.259448,0.607509,0.579061,0.705206,0.420237,0.720845,0.820152,0.292035,0.590856,0.879938,0.324710,0.432109
0.018026,0.126143,1653,2593,1311,2280,3035,2577,2282,3078,3094,1385,3219,3145,1636,2576,,0.830769,0.646967,0.260470,0.609784,0.579061,0.705206,0.422060,0.720117,0.820152,0.292035,0.590856,0.878389,0.325602,0.432109
0.017999,0.144141,1653,2594,1310,2278,3035,2577,2281,3078,3094,1384,3219,3146,1636,2576,,0.830769,0.647745,0.259448,0.607509,0.579061,0.705206,0.421149,0.720117,0.820152,0.291150,0.590856,0.879163,0.325602,0.432109
0.018000,0.162142,1653,2594,1310,2278,3035,2577,2281,3078,3094,1384,3219,3146,1636,2576,,0.830769,0.647745,0.259448,0.607509,0.579061,0.705206,0.421149,0.720117,0.820152,0.291150,0.590856,0.879163,0.325602,0.432109
0.017972,0.180114,1652,2593,1310,2279,3035,2576,2282,3078,3094,1385,3219,3146,1635,2576,,0.829586,0.646967,0.259448,0.608646,0.579061,0.704601,0.422060,0.720117,0.820152,0.292035,0.590856,0.879163,0.324710,0.432109
0.018007,0.198121,1653,2593,1310,2279,3034,2577,2281,3078,3094,1385,3219,3146,1637,2576,,0.830769,0.646967,0.259448,0.608646,0.578339,0.705206,0.421149,0.720117,0.820152,0.292035,0.590856,0.879163,0.326494,0.432109
0.018021,0.216143,1653,2594,1311,2279,3035,2577,2281,3078,3094,1385,3219,3146,1636,2576,,0.830769,0.647745,0.260470,0.608646,0.579061,0.705206,0.421149,0.720117,0.820152,0.292035,0.590856,0.879163,0.325602,0.432109
0.018000,0.234143,1653,2594,1311,2279,3035,2576,2281,3078,3095,1384,3219,3146,1635,2576,,0.830769,0.647745,0.260470,0.608646,0.579061,0.704601,0.421149,0.720117,0.821235,0.291150,0.590856,0.879163,0.324710,0.432109
0.017977,0.252120,1652,2593,1310,2279,3034,2576,2281,3079,3094,1385,3218,3146,1636,2576,,0.829586,0.646967,0.259448,0.608646,0.578339,0.704601,0.421149,0.720845,0.820152,0.292035,0.589683,0.879163,0.325602,0.432109
0.018032,0.270151,1652,2593,1311,2279,3035,2576,2281,3079,3094,1384,3219,3145,1636,2576,,0.829586,0.646967,0.260470,0.608646,0.579061,0.704601,0.421149,0.720845,0.820152,0.291150,0.590856,0.878389,0.325602,0.432109
0.017993,0.288145,1653,2593,1310,2278,3035,2576,2281,3079,3094,1384,3218,3146,1636,2576,,0.830769,0.646967,0.259448,0.607509,0.579061,0.704601,0.421149,0.720845,0.820152,0.291150,0.589683,0.879163,0.325602,0.432109
0.018002,0.306147,1652,2592,1310,2278,3034,2576,2281,3078,3094,1384,3218,3146,1637,2576,,0.829586,0.646190,0.259448,0.607509,0.578339,0.704601,0.421149,0.720117,0.820152,0.291150,0.589683,0.879163,0.326494,0.432109
0.018009,0.324156,1652,2592,1310,2278,3034,2576,2280,3079,3094,1385,3219,3146,1636,2576,,0.829586,0.646190,0.259448,0.607509,0.578339,0.704601,0.420237,0.720845,0.820152,0.292035,0.590856,0.879163,0.325602,0.432109
0.017991,0.342146,1651,2593,1310,2278,3035,2576,2280,3078,3094,1385,3218,3146,1636,2576,,0.828402,0.646967,0.259448,0.607509,0.579061,0.704601,0.420237,0.720117,0.820152,0.292035,0.589683,0.879163,0.325602,0.432109
0.018004,0.360150,1651,2593,1310,2278,3035,2576,2280,3078,3094,1385,3218,3146,1636,2576,,0.828402,0.646967,0.259448,0.607509,0.579061,0.704601,0.420237,0.720117,0.820152,0.292035,0.589683,0.879163,0.325602,0.432109
0.017999,0.378149,1652,2592,1308,2277,3035,2576,2281,3078,3094,1385,3218,3145,1636,2577,,0.829586,0.646190,0.257406,0.606371,0.579061,0.704601,0.421149,0.720117,0.820152,0.292035,0.589683,0.878389,0.325602,0.432963
0.018011,0.396160,1652,2592,1308,2278,3034,2576,2281,3078,3093,1385,3218,3146,1637,2577,,0.829586,0.646190,0.257406,0.607509,0.578339,0.704601,0.421149,0.720117,0.819068,0.292035,0.589683,0.879163,0.326494,0.432963
