GloveManager recording started on 11/02/16 at 16:17:45

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017533,0.017533,1608,2426,1529,1944,2294,2540,2088,2200,2910,1607,3237,3198,1679,2620,,0.777515,0.517107,0.483146,0.227531,0.044043,0.682809,0.245214,0.080175,0.620802,0.488496,0.611958,0.919442,0.363961,0.469684
0.017998,0.035531,1607,2425,1531,1944,2294,2541,2087,2200,2910,1608,3236,3197,1679,2621,,0.776331,0.516330,0.485189,0.227531,0.044043,0.683414,0.244303,0.080175,0.620802,0.489381,0.610785,0.918668,0.363961,0.470538
0.018010,0.053541,1608,2425,1533,1943,2294,2541,2086,2200,2909,1608,3237,3198,1679,2620,,0.777515,0.516330,0.487232,0.226394,0.044043,0.683414,0.243391,0.080175,0.619718,0.489381,0.611958,0.919442,0.363961,0.469684
0.018000,0.071541,1608,2425,1532,1943,2294,2540,2087,2201,2910,1607,3237,3198,1678,2621,,0.777515,0.516330,0.486210,0.226394,0.044043,0.682809,0.244303,0.080904,0.620802,0.488496,0.611958,0.919442,0.363069,0.470538
0.017981,0.089521,1608,2425,1532,1943,2294,2540,2087,2201,2910,1607,3237,3198,1678,2621,,0.777515,0.516330,0.486210,0.226394,0.044043,0.682809,0.244303,0.080904,0.620802,0.488496,0.611958,0.919442,0.363069,0.470538
0.018012,0.107534,1608,2424,1533,1943,2293,2540,2086,2200,2911,1604,3237,3197,1677,2620,,0.777515,0.515552,0.487232,0.226394,0.043321,0.682809,0.243391,0.080175,0.621885,0.485841,0.611958,0.918668,0.362177,0.469684
0.018009,0.125543,1608,2424,1534,1944,2293,2539,2087,2200,2911,1605,3237,3196,1676,2619,,0.777515,0.515552,0.488253,0.227531,0.043321,0.682203,0.244303,0.080175,0.621885,0.486726,0.611958,0.917893,0.361285,0.468830
0.018000,0.143543,1608,2424,1533,1944,2292,2539,2086,2200,2911,1605,3237,3197,1677,2619,,0.777515,0.515552,0.487232,0.227531,0.042599,0.682203,0.243391,0.080175,0.621885,0.486726,0.611958,0.918668,0.362177,0.468830
0.018001,0.161545,1608,2425,1534,1944,2293,2539,2086,2199,2912,1605,3237,3197,1676,2618,,0.777515,0.516330,0.488253,0.227531,0.043321,0.682203,0.243391,0.079446,0.622969,0.486726,0.611958,0.918668,0.361285,0.467976
0.018000,0.179545,1608,2424,1532,1945,2292,2540,2087,2199,2912,1605,3236,3196,1676,2618,,0.777515,0.515552,0.486210,0.228669,0.042599,0.682809,0.244303,0.079446,0.622969,0.486726,0.610785,0.917893,0.361285,0.467976
0.017972,0.197517,1608,2424,1533,1945,2292,2540,2088,2199,2911,1605,3237,3196,1676,2617,,0.777515,0.515552,0.487232,0.228669,0.042599,0.682809,0.245214,0.079446,0.621885,0.486726,0.611958,0.917893,0.361285,0.467122
0.018040,0.215557,1609,2425,1533,1945,2293,2540,2087,2200,2911,1606,3237,3196,1676,2618,,0.778698,0.516330,0.487232,0.228669,0.043321,0.682809,0.244303,0.080175,0.621885,0.487611,0.611958,0.917893,0.361285,0.467976
0.017965,0.233522,1608,2425,1533,1945,2292,2540,2087,2199,2912,1605,3237,3196,1677,2618,,0.777515,0.516330,0.487232,0.228669,0.042599,0.682809,0.244303,0.079446,0.622969,0.486726,0.611958,0.917893,0.362177,0.467976
0.018024,0.251546,1608,2426,1532,1945,2292,2540,2088,2199,2911,1605,3236,3195,1677,2618,,0.777515,0.517107,0.486210,0.228669,0.042599,0.682809,0.245214,0.079446,0.621885,0.486726,0.610785,0.917118,0.362177,0.467976
0.018018,0.269564,1608,2425,1532,1947,2292,2539,2089,2199,2911,1605,3236,3196,1678,2619,,0.777515,0.516330,0.486210,0.230944,0.042599,0.682203,0.246126,0.079446,0.621885,0.486726,0.610785,0.917893,0.363069,0.468830
0.017994,0.287558,1608,2425,1532,1947,2292,2539,2089,2199,2911,1605,3236,3196,1678,2619,,0.777515,0.516330,0.486210,0.230944,0.042599,0.682203,0.246126,0.079446,0.621885,0.486726,0.610785,0.917893,0.363069,0.468830
0.017998,0.305556,1607,2425,1532,1946,2292,2540,2089,2199,2912,1604,3237,3196,1677,2618,,0.776331,0.516330,0.486210,0.229807,0.042599,0.682809,0.246126,0.079446,0.622969,0.485841,0.611958,0.917893,0.362177,0.467976
0.018006,0.323562,1608,2425,1533,1946,2293,2540,2090,2198,2911,1604,3237,3196,1677,2618,,0.777515,0.516330,0.487232,0.229807,0.043321,0.682809,0.247037,0.078717,0.621885,0.485841,0.611958,0.917893,0.362177,0.467976
0.017976,0.341538,1608,2426,1533,1945,2293,2540,2089,2198,2912,1604,3237,3196,1677,2619,,0.777515,0.517107,0.487232,0.228669,0.043321,0.682809,0.246126,0.078717,0.622969,0.485841,0.611958,0.917893,0.362177,0.468830
0.018017,0.359555,1608,2427,1533,1944,2294,2541,2090,2198,2911,1604,3237,3196,1679,2620,,0.777515,0.517885,0.487232,0.227531,0.044043,0.683414,0.247037,0.078717,0.621885,0.485841,0.611958,0.917893,0.363961,0.469684
0.018009,0.377564,1608,2427,1532,1944,2294,2540,2089,2197,2910,1606,3236,3197,1680,2619,,0.777515,0.517885,0.486210,0.227531,0.044043,0.682809,0.246126,0.077988,0.620802,0.487611,0.610785,0.918668,0.364853,0.468830
0.018000,0.395564,1608,2427,1532,1944,2294,2540,2089,2197,2910,1605,3235,3195,1680,2619,,0.777515,0.517885,0.486210,0.227531,0.044043,0.682809,0.246126,0.077988,0.620802,0.486726,0.609613,0.917118,0.364853,0.468830
0.017997,0.413561,1608,2428,1530,1944,2293,2540,2090,2197,2910,1604,3236,3197,1681,2620,,0.777515,0.518663,0.484168,0.227531,0.043321,0.682809,0.247037,0.077988,0.620802,0.485841,0.610785,0.918668,0.365745,0.469684
0.017984,0.431545,1608,2427,1531,1945,2293,2540,2090,2197,2910,1603,3237,3197,1681,2620,,0.777515,0.517885,0.485189,0.228669,0.043321,0.682809,0.247037,0.077988,0.620802,0.484956,0.611958,0.918668,0.365745,0.469684
0.018012,0.449557,1608,2427,1530,1946,2293,2539,2090,2197,2910,1603,3236,3196,1681,2620,,0.777515,0.517885,0.484168,0.229807,0.043321,0.682203,0.247037,0.077988,0.620802,0.484956,0.610785,0.917893,0.365745,0.469684
0.018002,0.467559,1608,2427,1530,1947,2294,2539,2091,2197,2910,1604,3237,3196,1681,2619,,0.777515,0.517885,0.484168,0.230944,0.044043,0.682203,0.247949,0.077988,0.620802,0.485841,0.611958,0.917893,0.365745,0.468830
0.017998,0.485557,1608,2428,1529,1946,2293,2539,2091,2197,2910,1603,3236,3196,1681,2620,,0.777515,0.518663,0.483146,0.229807,0.043321,0.682203,0.247949,0.077988,0.620802,0.484956,0.610785,0.917893,0.365745,0.469684
0.018005,0.503562,1608,2428,1530,1948,2292,2539,2092,2197,2910,1603,3237,3195,1681,2620,,0.777515,0.518663,0.484168,0.232082,0.042599,0.682203,0.248861,0.077988,0.620802,0.484956,0.611958,0.917118,0.365745,0.469684
0.018003,0.521565,1608,2428,1529,1947,2292,2538,2091,2196,2909,1603,3237,3196,1681,2620,,0.777515,0.518663,0.483146,0.230944,0.042599,0.681598,0.247949,0.077259,0.619718,0.484956,0.611958,0.917893,0.365745,0.469684
0.018006,0.539571,1608,2428,1529,1947,2292,2538,2091,2196,2909,1603,3237,3196,1681,2620,,0.777515,0.518663,0.483146,0.230944,0.042599,0.681598,0.247949,0.077259,0.619718,0.484956,0.611958,0.917893,0.365745,0.469684
0.017991,0.557561,1608,2427,1529,1948,2292,2538,2091,2197,2911,1603,3236,3196,1681,2620,,0.777515,0.517885,0.483146,0.232082,0.042599,0.681598,0.247949,0.077988,0.621885,0.484956,0.610785,0.917893,0.365745,0.469684
0.018002,0.575564,1608,2428,1529,1948,2292,2538,2092,2197,2910,1602,3237,3196,1682,2619,,0.777515,0.518663,0.483146,0.232082,0.042599,0.681598,0.248861,0.077988,0.620802,0.484071,0.611958,0.917893,0.366637,0.468830
0.018006,0.593570,1608,2428,1529,1949,2292,2538,2092,2196,2910,1602,3237,3196,1682,2620,,0.777515,0.518663,0.483146,0.233220,0.042599,0.681598,0.248861,0.077259,0.620802,0.484071,0.611958,0.917893,0.366637,0.469684
0.017994,0.611564,1609,2427,1529,1948,2292,2538,2092,2196,2910,1602,3237,3197,1681,2620,,0.778698,0.517885,0.483146,0.232082,0.042599,0.681598,0.248861,0.077259,0.620802,0.484071,0.611958,0.918668,0.365745,0.469684
0.018004,0.629568,1609,2428,1529,1949,2292,2539,2092,2196,2910,1602,3236,3197,1681,2620,,0.778698,0.518663,0.483146,0.233220,0.042599,0.682203,0.248861,0.077259,0.620802,0.484071,0.610785,0.918668,0.365745,0.469684
0.018010,0.647578,1609,2428,1529,1950,2292,2539,2092,2195,2910,1602,3237,3196,1681,2620,,0.778698,0.517885,0.483146,0.234357,0.042599,0.682203,0.248861,0.076531,0.620802,0.484071,0.611958,0.917893,0.365745,0.469684
0.017986,0.665564,1609,2427,1530,1948,2292,2539,2092,2195,2911,1602,3236,3196,1681,2620,,0.778698,0.517885,0.484168,0.232082,0.042599,0.682203,0.248861,0.076531,0.621885,0.484071,0.610785,0.917893,0.365745,0.469684
