GloveManager recording started on 11/02/16 at 16:18:06

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017421,0.017421,1630,2450,1270,2382,3276,2543,2537,3229,3095,1593,3246,3335,1648,2255,,0.803550,0.535770,0.218590,0.725825,0.753069,0.684625,0.654512,0.830175,0.821235,0.476106,0.622509,0.965718,0.336307,0.157985
0.017992,0.035413,1630,2450,1270,2382,3276,2543,2537,3229,3095,1593,3246,3335,1648,2255,,0.803550,0.535770,0.218590,0.725825,0.753069,0.684625,0.654512,0.830175,0.821235,0.476106,0.622509,0.965718,0.336307,0.157985
0.018001,0.053413,1630,2449,1269,2382,3274,2543,2537,3229,3094,1593,3246,3335,1647,2253,,0.803550,0.534992,0.217569,0.725825,0.751625,0.684625,0.654512,0.830175,0.820152,0.476106,0.622509,0.965718,0.335415,0.156277
0.018000,0.071414,1630,2449,1269,2382,3274,2543,2537,3229,3094,1593,3246,3335,1647,2253,,0.803550,0.534992,0.217569,0.725825,0.751625,0.684625,0.654512,0.830175,0.820152,0.476106,0.622509,0.965718,0.335415,0.156277
0.018010,0.089424,1631,2447,1270,2382,3275,2543,2536,3230,3094,1593,3246,3335,1648,2254,,0.804734,0.533437,0.218590,0.725825,0.752347,0.684625,0.653601,0.830904,0.820152,0.476106,0.622509,0.965718,0.336307,0.157131
0.017986,0.107410,1631,2447,1270,2382,3275,2543,2536,3230,3094,1593,3246,3335,1648,2254,,0.804734,0.533437,0.218590,0.725825,0.752347,0.684625,0.653601,0.830904,0.820152,0.476106,0.622509,0.965718,0.336307,0.157131
0.018007,0.125417,1632,2446,1271,2381,3275,2543,2536,3229,3095,1593,3246,3334,1648,2254,,0.805917,0.532659,0.219612,0.724687,0.752347,0.684625,0.653601,0.830175,0.821235,0.476106,0.622509,0.964989,0.336307,0.157131
0.017982,0.143399,1632,2446,1270,2381,3275,2543,2535,3229,3095,1592,3245,3335,1647,2256,,0.805917,0.532659,0.218590,0.724687,0.752347,0.684625,0.652689,0.830175,0.821235,0.475221,0.621336,0.965718,0.335415,0.158839
0.018006,0.161405,1632,2445,1270,2381,3275,2543,2535,3230,3095,1592,3246,3335,1648,2256,,0.805917,0.531882,0.218590,0.724687,0.752347,0.684625,0.652689,0.830904,0.821235,0.475221,0.622509,0.965718,0.336307,0.158839
0.018030,0.179435,1632,2445,1270,2381,3275,2543,2535,3230,3095,1592,3246,3335,1648,2256,,0.805917,0.531882,0.218590,0.724687,0.752347,0.684625,0.652689,0.830904,0.821235,0.475221,0.622509,0.965718,0.336307,0.158839
0.017999,0.197434,1632,2444,1270,2380,3276,2543,2536,3229,3095,1592,3246,3335,1648,2256,,0.805917,0.531104,0.218590,0.723549,0.753069,0.684625,0.653601,0.830175,0.821235,0.475221,0.622509,0.965718,0.336307,0.158839
0.018009,0.215443,1632,2444,1270,2380,3276,2543,2536,3229,3095,1592,3246,3335,1648,2256,,0.805917,0.531104,0.218590,0.723549,0.753069,0.684625,0.653601,0.830175,0.821235,0.475221,0.622509,0.965718,0.336307,0.158839
0.017993,0.233436,1632,2444,1270,2381,3275,2543,2535,3230,3095,1592,3246,3335,1647,2254,,0.805917,0.531104,0.218590,0.724687,0.752347,0.684625,0.652689,0.830904,0.821235,0.475221,0.622509,0.965718,0.335415,0.157131
0.018003,0.251439,1632,2444,1269,2381,3275,2542,2535,3230,3094,1592,3247,3335,1648,2254,,0.805917,0.531104,0.217569,0.724687,0.752347,0.684019,0.652689,0.830904,0.820152,0.475221,0.623681,0.965718,0.336307,0.157131
0.017975,0.269413,1632,2444,1269,2381,3275,2542,2535,3230,3095,1593,3245,3335,1648,2254,,0.805917,0.531104,0.217569,0.724687,0.752347,0.684019,0.652689,0.830904,0.821235,0.476106,0.621336,0.965718,0.336307,0.157131
0.018026,0.287439,1633,2443,1270,2381,3276,2543,2535,3229,3095,1592,3245,3335,1648,2256,,0.807101,0.530327,0.218590,0.724687,0.753069,0.684625,0.652689,0.830175,0.821235,0.475221,0.621336,0.965718,0.336307,0.158839
0.017997,0.305437,1632,2443,1269,2380,3275,2542,2534,3230,3095,1593,3246,3335,1648,2256,,0.805917,0.530327,0.217569,0.723549,0.752347,0.684019,0.651778,0.830904,0.821235,0.476106,0.622509,0.965718,0.336307,0.158839
0.017967,0.323403,1633,2444,1269,2381,3276,2543,2534,3230,3096,1593,3245,3335,1648,2256,,0.807101,0.531104,0.217569,0.724687,0.753069,0.684625,0.651778,0.830904,0.822319,0.476106,0.621336,0.965718,0.336307,0.158839
0.018028,0.341431,1632,2444,1270,2381,3276,2543,2535,3230,3095,1592,3245,3335,1648,2257,,0.805917,0.531104,0.218590,0.724687,0.753069,0.684625,0.652689,0.830904,0.821235,0.475221,0.621336,0.965718,0.336307,0.159693
0.017995,0.359426,1633,2444,1269,2381,3276,2543,2534,3230,3095,1592,3246,3336,1649,2257,,0.807101,0.531104,0.217569,0.724687,0.753069,0.684625,0.651778,0.830904,0.821235,0.475221,0.622509,0.966448,0.337199,0.159693
0.018019,0.377445,1632,2445,1269,2381,3275,2543,2534,3229,3095,1591,3246,3336,1648,2258,,0.805917,0.531882,0.217569,0.724687,0.752347,0.684625,0.651778,0.830175,0.821235,0.474336,0.622509,0.966448,0.336307,0.160547
0.017978,0.395423,1633,2442,1269,2379,3275,2543,2533,3230,3095,1591,3246,3336,1649,2259,,0.807101,0.529549,0.217569,0.722412,0.752347,0.684625,0.650866,0.830904,0.821235,0.474336,0.622509,0.966448,0.337199,0.161401
0.018012,0.413435,1632,2441,1268,2380,3275,2544,2533,3230,3095,1591,3247,3335,1650,2260,,0.805917,0.528771,0.216548,0.723549,0.752347,0.685230,0.650866,0.830904,0.821235,0.474336,0.623681,0.965718,0.338091,0.162254
0.018000,0.431435,1632,2442,1267,2379,3276,2543,2532,3229,3094,1590,3246,3335,1649,2259,,0.805917,0.529549,0.215526,0.722412,0.753069,0.684625,0.649954,0.830175,0.820152,0.473451,0.622509,0.965718,0.337199,0.161401
0.018019,0.449454,1632,2442,1267,2379,3276,2543,2532,3229,3094,1590,3246,3335,1649,2259,,0.805917,0.529549,0.215526,0.722412,0.753069,0.684625,0.649954,0.830175,0.820152,0.473451,0.622509,0.965718,0.337199,0.161401
0.017992,0.467445,1631,2441,1266,2379,3276,2543,2531,3230,3095,1590,3246,3335,1648,2259,,0.804734,0.528771,0.214505,0.722412,0.753069,0.684625,0.649043,0.830904,0.821235,0.473451,0.622509,0.965718,0.336307,0.161401
0.018004,0.485450,1630,2441,1266,2379,3276,2543,2532,3231,3095,1590,3246,3335,1648,2259,,0.803550,0.528771,0.214505,0.722412,0.753069,0.684625,0.649954,0.831633,0.821235,0.473451,0.622509,0.965718,0.336307,0.161401
0.017989,0.503439,1630,2442,1265,2379,3275,2544,2532,3230,3094,1591,3246,3336,1650,2260,,0.803550,0.529549,0.213483,0.722412,0.752347,0.685230,0.649954,0.830904,0.820152,0.474336,0.622509,0.966448,0.338091,0.162254
0.018019,0.521458,1630,2442,1265,2379,3275,2544,2532,3230,3094,1591,3246,3336,1650,2260,,0.803550,0.529549,0.213483,0.722412,0.752347,0.685230,0.649954,0.830904,0.820152,0.474336,0.622509,0.966448,0.338091,0.162254
0.017989,0.539446,1631,2442,1265,2379,3276,2544,2532,3230,3095,1591,3246,3335,1657,2259,,0.804734,0.529549,0.213483,0.722412,0.753069,0.685230,0.649954,0.830904,0.821235,0.474336,0.622509,0.965718,0.344335,0.161401
0.018008,0.557455,1630,2443,1265,2379,3275,2543,2532,3230,3094,1590,3246,3336,1657,2259,,0.803550,0.530327,0.213483,0.722412,0.752347,0.684625,0.649954,0.830904,0.820152,0.473451,0.622509,0.966448,0.344335,0.161401
0.017992,0.575446,1631,2443,1265,2379,3275,2544,2533,3230,3095,1591,3246,3336,1649,2258,,0.804734,0.530327,0.213483,0.722412,0.752347,0.685230,0.650866,0.830904,0.821235,0.474336,0.622509,0.966448,0.337199,0.160547
0.018001,0.593448,1630,2443,1265,2379,3276,2543,2532,3230,3095,1591,3247,3336,1649,2258,,0.803550,0.530327,0.213483,0.722412,0.753069,0.684625,0.649954,0.830904,0.821235,0.474336,0.623681,0.966448,0.337199,0.160547
0.017999,0.611446,1629,2443,1264,2378,3275,2543,2532,3230,3094,1591,3246,3335,1649,2258,,0.802367,0.530327,0.212462,0.721274,0.752347,0.684625,0.649954,0.830904,0.820152,0.474336,0.622509,0.965718,0.337199,0.160547
0.018000,0.629446,1629,2443,1264,2378,3275,2543,2532,3230,3094,1591,3246,3335,1649,2258,,0.802367,0.530327,0.212462,0.721274,0.752347,0.684625,0.649954,0.830904,0.820152,0.474336,0.622509,0.965718,0.337199,0.160547
0.018015,0.647461,1629,2442,1265,2378,3275,2543,2531,3230,3095,1591,3246,3335,1648,2258,,0.802367,0.529549,0.213483,0.721274,0.752347,0.684625,0.649043,0.830904,0.821235,0.474336,0.622509,0.965718,0.336307,0.160547
0.017988,0.665449,1629,2441,1264,2378,3276,2543,2531,3229,3094,1591,3247,3336,1649,2259,,0.802367,0.528771,0.212462,0.721274,0.753069,0.684625,0.649043,0.830175,0.820152,0.474336,0.623681,0.966448,0.337199,0.161401
0.018015,0.683464,1629,2442,1264,2378,3276,2543,2532,3229,3095,1591,3245,3335,1649,2258,,0.802367,0.529549,0.212462,0.721274,0.753069,0.684625,0.649954,0.830175,0.821235,0.474336,0.621336,0.965718,0.337199,0.160547
0.018003,0.701467,1630,2441,1264,2377,3275,2543,2532,3230,3095,1591,3246,3335,1648,2258,,0.803550,0.528771,0.212462,0.720137,0.752347,0.684625,0.649954,0.830904,0.821235,0.474336,0.622509,0.965718,0.336307,0.160547
0.017995,0.719462,1629,2441,1264,2376,3275,2544,2531,3230,3095,1590,3246,3335,1650,2259,,0.802367,0.528771,0.212462,0.718999,0.752347,0.685230,0.649043,0.830904,0.821235,0.473451,0.622509,0.965718,0.338091,0.161401
0.018001,0.737464,1630,2440,1264,2377,3276,2544,2530,3230,3095,1591,3246,3336,1648,2259,,0.803550,0.527994,0.212462,0.720137,0.753069,0.685230,0.648131,0.830904,0.821235,0.474336,0.622509,0.966448,0.336307,0.161401
0.017988,0.755451,1630,2439,1264,2377,3276,2543,2531,3231,3095,1590,3246,3336,1649,2260,,0.803550,0.527216,0.212462,0.720137,0.753069,0.684625,0.649043,0.831633,0.821235,0.473451,0.622509,0.966448,0.337199,0.162254
0.018008,0.773460,1631,2437,1263,2376,3276,2544,2529,3231,3094,1590,3247,3336,1649,2260,,0.804734,0.525661,0.211440,0.718999,0.753069,0.685230,0.647220,0.831633,0.820152,0.473451,0.623681,0.966448,0.337199,0.162254
0.018001,0.791461,1630,2438,1264,2376,3276,2544,2528,3231,3094,1590,3246,3336,1648,2259,,0.803550,0.526439,0.212462,0.718999,0.753069,0.685230,0.646308,0.831633,0.820152,0.473451,0.622509,0.966448,0.336307,0.161401
0.017948,0.809408,1631,2438,1263,2375,3277,2543,2530,3231,3095,1590,3246,3336,1648,2259,,0.804734,0.526439,0.211440,0.717861,0.753791,0.684625,0.648131,0.831633,0.821235,0.473451,0.622509,0.966448,0.336307,0.161401
0.018049,0.827457,1631,2438,1263,2375,3277,2543,2530,3231,3095,1590,3246,3336,1648,2259,,0.804734,0.526439,0.211440,0.717861,0.753791,0.684625,0.648131,0.831633,0.821235,0.473451,0.622509,0.966448,0.336307,0.161401
0.018013,0.845470,1629,2438,1263,2375,3275,2544,2530,3231,3095,1590,3247,3336,1648,2260,,0.802367,0.526439,0.211440,0.717861,0.752347,0.685230,0.648131,0.831633,0.821235,0.473451,0.623681,0.966448,0.336307,0.162254
0.018000,0.863470,1630,2437,1263,2376,3276,2543,2529,3231,3094,1590,3246,3335,1648,2260,,0.803550,0.525661,0.211440,0.718999,0.753069,0.684625,0.647220,0.831633,0.820152,0.473451,0.622509,0.965718,0.336307,0.162254
0.017980,0.881450,1630,2437,1263,2376,3276,2543,2529,3231,3094,1590,3246,3335,1648,2260,,0.803550,0.525661,0.211440,0.718999,0.753069,0.684625,0.647220,0.831633,0.820152,0.473451,0.622509,0.965718,0.336307,0.162254
0.017999,0.899449,1630,2437,1263,2375,3276,2544,2528,3230,3094,1589,3246,3335,1647,2259,,0.803550,0.525661,0.211440,0.717861,0.753069,0.685230,0.646308,0.830904,0.820152,0.472566,0.622509,0.965718,0.335415,0.161401
0.018022,0.917471,1630,2437,1263,2375,3276,2545,2529,3231,3095,1589,3246,3335,1648,2259,,0.803550,0.525661,0.211440,0.717861,0.753069,0.685835,0.647220,0.831633,0.821235,0.472566,0.622509,0.965718,0.336307,0.161401
0.018002,0.935473,1630,2437,1263,2375,3276,2544,2530,3231,3094,1589,3246,3335,1647,2259,,0.803550,0.525661,0.211440,0.717861,0.753069,0.685230,0.648131,0.831633,0.820152,0.472566,0.622509,0.965718,0.335415,0.161401
0.018007,0.953481,1630,2437,1263,2375,3276,2544,2529,3231,3095,1589,3246,3336,1648,2260,,0.803550,0.525661,0.211440,0.717861,0.753069,0.685230,0.647220,0.831633,0.821235,0.472566,0.622509,0.966448,0.336307,0.162254
0.017986,0.971467,1630,2436,1262,2375,3276,2544,2528,3231,3095,1590,3246,3336,1648,2260,,0.803550,0.524883,0.210419,0.717861,0.753069,0.685230,0.646308,0.831633,0.821235,0.473451,0.622509,0.966448,0.336307,0.162254
0.018017,0.989484,1630,2435,1261,2375,3276,2544,2528,3231,3095,1589,3246,3335,1649,2261,,0.803550,0.524106,0.209397,0.717861,0.753069,0.685230,0.646308,0.831633,0.821235,0.472566,0.622509,0.965718,0.337199,0.163108
0.017959,1.007443,1630,2435,1261,2375,3276,2544,2528,3231,3095,1589,3246,3335,1649,2261,,0.803550,0.524106,0.209397,0.717861,0.753069,0.685230,0.646308,0.832362,0.821235,0.472566,0.622509,0.965718,0.336307,0.162254
0.018035,1.025478,1630,2434,1262,2375,3277,2544,2529,3231,3094,1590,3246,3335,1648,2260,,0.803550,0.523328,0.210419,0.717861,0.753791,0.685230,0.647220,0.831633,0.820152,0.473451,0.622509,0.965718,0.336307,0.162254
0.018000,1.043478,1630,2434,1262,2374,3276,2545,2528,3231,3094,1589,3246,3336,1649,2260,,0.803550,0.523328,0.210419,0.716724,0.753069,0.685835,0.646308,0.831633,0.820152,0.472566,0.622509,0.966448,0.337199,0.162254
0.017991,1.061468,1630,2434,1263,2375,3277,2545,2528,3231,3095,1589,3247,3335,1650,2260,,0.803550,0.523328,0.211440,0.717861,0.753791,0.685835,0.646308,0.831633,0.821235,0.472566,0.623681,0.965718,0.338091,0.162254
0.018012,1.079480,1630,2435,1263,2375,3276,2544,2528,3232,3094,1588,3246,3336,1648,2261,,0.803550,0.524106,0.211440,0.717861,0.753069,0.685230,0.646308,0.832362,0.820152,0.471681,0.622509,0.966448,0.336307,0.163108
0.018009,1.097489,1630,2435,1263,2375,3276,2544,2528,3232,3094,1588,3246,3336,1648,2261,,0.803550,0.524106,0.211440,0.717861,0.753069,0.685230,0.646308,0.832362,0.820152,0.471681,0.622509,0.966448,0.336307,0.163108
0.018019,1.115508,1629,2435,1262,2375,3276,2544,2528,3232,3095,1589,3246,3336,1647,2261,,0.802367,0.524106,0.210419,0.717861,0.753069,0.685230,0.646308,0.832362,0.821235,0.472566,0.622509,0.966448,0.335415,0.163108
0.017964,1.133472,1630,2435,1262,2374,3276,2544,2528,3232,3094,1589,3246,3335,1648,2261,,0.803550,0.524106,0.210419,0.716724,0.753069,0.685230,0.646308,0.832362,0.820152,0.472566,0.622509,0.965718,0.336307,0.163108
0.018021,1.151493,1630,2435,1262,2374,3276,2544,2528,3232,3094,1589,3246,3335,1648,2261,,0.803550,0.524106,0.210419,0.716724,0.753069,0.685230,0.646308,0.832362,0.820152,0.472566,0.622509,0.965718,0.336307,0.163108
0.017994,1.169486,1630,2436,1262,2376,3276,2544,2528,3232,3095,1589,3246,3335,1648,2261,,0.803550,0.524883,0.210419,0.718999,0.753069,0.685230,0.646308,0.832362,0.821235,0.472566,0.622509,0.965718,0.336307,0.163108
0.018003,1.187489,1630,2435,1262,2375,3276,2543,2526,3232,3095,1590,3246,3336,1648,2261,,0.803550,0.524106,0.210419,0.717861,0.753069,0.684625,0.644485,0.832362,0.821235,0.473451,0.622509,0.966448,0.336307,0.163108
0.017999,1.205488,1630,2436,1262,2375,3276,2544,2527,3231,3094,1589,3246,3336,1649,2262,,0.803550,0.524883,0.210419,0.717861,0.753069,0.685230,0.645397,0.831633,0.820152,0.472566,0.622509,0.966448,0.337199,0.163962
0.017992,1.223480,1630,2436,1262,2375,3276,2544,2527,3231,3094,1589,3246,3336,1647,2262,,0.803550,0.524883,0.210419,0.717861,0.753069,0.685230,0.645397,0.831633,0.820152,0.472566,0.622509,0.966448,0.335415,0.163962
0.017999,1.241479,1630,2436,1262,2375,3276,2544,2527,3231,3094,1589,3246,3336,1647,2262,,0.803550,0.524883,0.210419,0.717861,0.753069,0.685230,0.645397,0.831633,0.820152,0.472566,0.622509,0.966448,0.335415,0.163962
0.018082,1.259561,1630,2434,1261,2374,3277,2544,2527,3231,3094,1589,3246,3336,1648,2261,,0.803550,0.523328,0.209397,0.716724,0.753791,0.685230,0.645397,0.831633,0.820152,0.472566,0.622509,0.966448,0.336307,0.163108
0.017932,1.277493,1630,2434,1261,2374,3276,2545,2527,3231,3095,1589,3245,3336,1648,2262,,0.803550,0.523328,0.209397,0.716724,0.753069,0.685835,0.645397,0.831633,0.821235,0.472566,0.621336,0.966448,0.336307,0.163962
0.017991,1.295484,1630,2433,1261,2374,3276,2544,2526,3231,3095,1589,3245,3336,1648,2260,,0.803550,0.522551,0.209397,0.716724,0.753069,0.685230,0.644485,0.831633,0.821235,0.472566,0.621336,0.966448,0.336307,0.162254
0.018006,1.313490,1630,2434,1261,2374,3277,2543,2527,3232,3095,1589,3245,3335,1649,2261,,0.803550,0.523328,0.209397,0.716724,0.753791,0.684625,0.645397,0.832362,0.821235,0.472566,0.621336,0.965718,0.337199,0.163108
0.017946,1.331436,1630,2433,1262,2374,3276,2544,2527,3232,3095,1589,3245,3336,1648,2262,,0.803550,0.522551,0.210419,0.716724,0.753069,0.685230,0.645397,0.832362,0.821235,0.472566,0.621336,0.966448,0.336307,0.163962
0.018058,1.349494,1630,2433,1262,2374,3276,2544,2527,3232,3095,1589,3245,3336,1648,2262,,0.803550,0.522551,0.210419,0.716724,0.753069,0.685230,0.645397,0.832362,0.821235,0.472566,0.621336,0.966448,0.336307,0.163962
0.017985,1.367479,1629,2433,1261,2373,3276,2543,2527,3232,3094,1589,3245,3336,1647,2261,,0.802367,0.522551,0.209397,0.715586,0.753069,0.684625,0.645397,0.832362,0.820152,0.472566,0.621336,0.966448,0.335415,0.163108
0.018026,1.385505,1630,2433,1261,2374,3276,2544,2527,3232,3094,1588,3245,3335,1648,2261,,0.803550,0.522551,0.209397,0.716724,0.753069,0.685230,0.645397,0.832362,0.820152,0.471681,0.621336,0.965718,0.336307,0.163108
0.017992,1.403497,1629,2433,1261,2374,3276,2543,2527,3231,3094,1588,3246,3336,1648,2260,,0.802367,0.522551,0.209397,0.716724,0.753069,0.684625,0.645397,0.831633,0.820152,0.471681,0.622509,0.966448,0.336307,0.162254
0.018002,1.421499,1629,2434,1261,2374,3277,2543,2527,3231,3095,1588,3246,3336,1649,2261,,0.802367,0.523328,0.209397,0.716724,0.753791,0.684625,0.645397,0.831633,0.821235,0.471681,0.622509,0.966448,0.337199,0.163108
0.018011,1.439510,1629,2434,1261,2374,3277,2543,2527,3231,3095,1588,3246,3336,1649,2261,,0.802367,0.523328,0.209397,0.716724,0.753791,0.684625,0.645397,0.831633,0.821235,0.471681,0.622509,0.966448,0.337199,0.163108
0.017999,1.457509,1629,2434,1261,2374,3277,2543,2527,3231,3095,1588,3246,3336,1649,2261,,0.802367,0.523328,0.209397,0.716724,0.753791,0.684625,0.645397,0.831633,0.821235,0.471681,0.622509,0.966448,0.337199,0.163108
0.017985,1.475494,1630,2433,1261,2374,3276,2543,2526,3232,3095,1588,3246,3336,1647,2260,,0.803550,0.522551,0.209397,0.716724,0.753069,0.684625,0.644485,0.832362,0.821235,0.471681,0.622509,0.966448,0.335415,0.162254
0.018013,1.493507,1630,2434,1262,2375,3276,2543,2527,3232,3094,1589,3246,3336,1648,2261,,0.803550,0.523328,0.210419,0.717861,0.753069,0.684625,0.645397,0.832362,0.820152,0.472566,0.622509,0.966448,0.336307,0.163108
0.018003,1.511511,1630,2434,1262,2374,3276,2544,2527,3232,3094,1589,3247,3335,1648,2261,,0.803550,0.523328,0.210419,0.716724,0.753069,0.685230,0.645397,0.832362,0.820152,0.472566,0.623681,0.965718,0.336307,0.163108
0.017995,1.529506,1631,2434,1261,2374,3275,2543,2527,3232,3094,1589,3246,3336,1648,2260,,0.804734,0.523328,0.209397,0.716724,0.752347,0.684625,0.645397,0.832362,0.820152,0.472566,0.622509,0.966448,0.336307,0.162254
0.017982,1.547488,1631,2434,1262,2374,3277,2544,2527,3232,3094,1589,3246,3336,1649,2261,,0.804734,0.523328,0.210419,0.716724,0.753791,0.685230,0.645397,0.832362,0.820152,0.472566,0.622509,0.966448,0.337199,0.163108
0.018016,1.565503,1631,2434,1262,2374,3276,2543,2527,3232,3094,1589,3247,3335,1648,2261,,0.804734,0.523328,0.210419,0.716724,0.753069,0.684625,0.645397,0.832362,0.820152,0.472566,0.623681,0.965718,0.336307,0.163108
0.018012,1.583516,1631,2434,1262,2374,3276,2543,2527,3232,3094,1589,3247,3335,1648,2261,,0.804734,0.523328,0.210419,0.716724,0.753069,0.684625,0.645397,0.832362,0.820152,0.472566,0.623681,0.965718,0.336307,0.163108
0.017995,1.601511,1631,2432,1261,2374,3276,2544,2526,3232,3094,1588,3246,3336,1649,2260,,0.804734,0.521773,0.209397,0.716724,0.753069,0.685230,0.644485,0.832362,0.820152,0.471681,0.622509,0.966448,0.337199,0.162254
0.017986,1.619497,1631,2432,1261,2374,3276,2544,2526,3232,3094,1588,3246,3336,1649,2260,,0.804734,0.521773,0.209397,0.716724,0.753069,0.685230,0.644485,0.832362,0.820152,0.471681,0.622509,0.966448,0.337199,0.162254
0.018016,1.637513,1631,2432,1262,2373,3276,2543,2525,3232,3094,1588,3246,3336,1649,2260,,0.804734,0.521773,0.210419,0.715586,0.753069,0.684625,0.643573,0.832362,0.820152,0.471681,0.622509,0.966448,0.337199,0.162254
0.017992,1.655504,1630,2432,1261,2373,3277,2543,2525,3233,3094,1588,3245,3335,1650,2260,,0.803550,0.521773,0.209397,0.715586,0.753791,0.684625,0.643573,0.833090,0.820152,0.471681,0.621336,0.965718,0.338091,0.162254
0.018019,1.673523,1630,2432,1261,2373,3277,2543,2525,3233,3094,1588,3245,3335,1650,2260,,0.803550,0.521773,0.209397,0.715586,0.753791,0.684625,0.643573,0.833090,0.820152,0.471681,0.621336,0.965718,0.338091,0.162254
0.017983,1.691506,1631,2433,1261,2373,3277,2544,2524,3233,3094,1588,3247,3336,1649,2260,,0.804734,0.522551,0.209397,0.715586,0.753791,0.685230,0.642662,0.833090,0.820152,0.471681,0.623681,0.966448,0.337199,0.162254
0.018029,1.709535,1631,2433,1262,2373,3276,2544,2525,3233,3095,1589,3247,3337,1650,2260,,0.804734,0.522551,0.210419,0.715586,0.753069,0.685230,0.643573,0.833090,0.821235,0.472566,0.623681,0.967177,0.338091,0.162254
0.017979,1.727514,1631,2433,1261,2374,3276,2544,2525,3233,3095,1588,3247,3335,1649,2261,,0.804734,0.522551,0.209397,0.716724,0.753069,0.685230,0.643573,0.833090,0.821235,0.471681,0.623681,0.965718,0.337199,0.163108
