GloveManager recording started on 11/02/16 at 16:19:09

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017509,0.017509,1619,2427,1228,2407,3281,2527,2557,3248,3083,1633,3223,3201,1727,2117,,0.790533,0.517885,0.175689,0.754266,0.756679,0.674939,0.672744,0.844023,0.808234,0.511504,0.595545,0.867980,0.406780,0.040137
0.017999,0.035507,1618,2428,1228,2407,3282,2527,2557,3247,3084,1632,3223,3201,1727,2116,,0.789349,0.518663,0.175689,0.754266,0.757401,0.674939,0.672744,0.843294,0.809317,0.510619,0.595545,0.867980,0.406780,0.039283
0.018001,0.053509,1618,2427,1227,2407,3281,2527,2556,3247,3084,1632,3223,3201,1728,2117,,0.789349,0.517885,0.174668,0.754266,0.756679,0.674939,0.671832,0.843294,0.809317,0.510619,0.595545,0.867980,0.407672,0.040137
0.017989,0.071498,1618,2428,1228,2408,3282,2527,2557,3247,3083,1632,3223,3201,1727,2116,,0.789349,0.518663,0.175689,0.755404,0.757401,0.674939,0.672744,0.843294,0.808234,0.510619,0.595545,0.867980,0.406780,0.039283
0.018013,0.089511,1618,2428,1228,2408,3282,2527,2557,3247,3083,1632,3223,3201,1727,2116,,0.789349,0.518663,0.175689,0.755404,0.757401,0.674939,0.672744,0.843294,0.808234,0.510619,0.595545,0.867980,0.406780,0.039283
0.018001,0.107512,1619,2428,1228,2408,3281,2527,2558,3247,3084,1632,3224,3201,1726,2117,,0.790533,0.518663,0.175689,0.755404,0.756679,0.674939,0.673655,0.843294,0.809317,0.510619,0.596717,0.867980,0.405888,0.040137
0.018001,0.125513,1619,2428,1229,2408,3282,2527,2559,3248,3084,1631,3223,3201,1727,2116,,0.790533,0.518663,0.176711,0.755404,0.757401,0.674939,0.674567,0.844023,0.809317,0.509735,0.595545,0.867980,0.406780,0.039283
0.018000,0.143513,1619,2428,1228,2408,3282,2527,2559,3248,3083,1632,3223,3203,1726,2117,,0.790533,0.518663,0.175689,0.755404,0.757401,0.674939,0.674567,0.844023,0.808234,0.510619,0.595545,0.869438,0.405888,0.040137
0.018008,0.161521,1618,2428,1228,2408,3280,2526,2559,3247,3084,1631,3223,3203,1726,2116,,0.789349,0.518663,0.175689,0.755404,0.755957,0.674334,0.674567,0.843294,0.809317,0.509735,0.595545,0.869438,0.405888,0.039283
