GloveManager recording started on 11/02/16 at 16:19:32

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017476,0.017475,1335,1979,1647,2006,2408,2120,2585,2244,2819,1923,3169,3350,1762,2584,,0.454438,0.169518,0.603677,0.298066,0.126354,0.428571,0.698268,0.112245,0.522210,0.768142,0.532239,0.959169,0.438002,0.438941
0.017997,0.035473,1335,1978,1647,2006,2408,2121,2585,2245,2818,1924,3168,3350,1765,2584,,0.454438,0.168740,0.603677,0.298066,0.126354,0.429177,0.698268,0.112974,0.521127,0.769027,0.531067,0.959169,0.440678,0.438941
0.017999,0.053472,1335,1977,1648,2007,2408,2121,2585,2245,2818,1927,3168,3349,1767,2585,,0.454438,0.167963,0.604699,0.299204,0.126354,0.429177,0.698268,0.112974,0.521127,0.771681,0.531067,0.958453,0.442462,0.439795
0.018000,0.071472,1335,1977,1648,2007,2408,2121,2587,2244,2818,1929,3168,3349,1771,2586,,0.454438,0.167963,0.604699,0.299204,0.126354,0.429177,0.700091,0.112245,0.521127,0.773451,0.531067,0.958453,0.446030,0.440649
0.018007,0.089479,1335,1978,1649,2009,2409,2121,2588,2245,2818,1932,3167,3349,1773,2586,,0.454438,0.168740,0.605720,0.301479,0.127076,0.429177,0.701003,0.112974,0.521127,0.776106,0.529894,0.958453,0.447814,0.440649
0.017995,0.107474,1336,1978,1649,2009,2409,2121,2589,2245,2817,1932,3168,3348,1774,2586,,0.455621,0.168740,0.605720,0.301479,0.127076,0.429177,0.701914,0.112974,0.520043,0.776106,0.531067,0.957736,0.448707,0.440649
0.017999,0.125473,1334,1978,1649,2010,2409,2122,2590,2244,2817,1932,3167,3349,1775,2586,,0.453254,0.168740,0.605720,0.302617,0.127076,0.429782,0.702826,0.112245,0.520043,0.776106,0.529894,0.958453,0.449599,0.440649
0.018001,0.143474,1334,1978,1649,2010,2409,2122,2590,2244,2817,1932,3167,3349,1775,2586,,0.453254,0.168740,0.605720,0.302617,0.127076,0.429782,0.702826,0.112245,0.520043,0.776106,0.529894,0.958453,0.449599,0.440649
0.018004,0.161478,1335,1978,1648,2011,2409,2122,2592,2244,2816,1932,3167,3348,1778,2587,,0.454438,0.168740,0.604699,0.303754,0.127076,0.429782,0.704649,0.112245,0.518960,0.776106,0.529894,0.957736,0.452275,0.441503
