GloveManager recording started on 11/02/16 at 16:19:43

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017547,0.017547,1304,1872,1285,2038,2409,2212,2745,3159,3014,1706,3215,3259,1763,2602,,0.417751,0.086314,0.233912,0.334471,0.127076,0.484262,0.844120,0.779155,0.733478,0.576106,0.586167,0.893983,0.438894,0.454313
0.018007,0.035554,1303,1872,1285,2040,2409,2211,2746,3159,3015,1710,3215,3258,1765,2603,,0.416568,0.086314,0.233912,0.336746,0.127076,0.483656,0.845032,0.779155,0.734561,0.579646,0.586167,0.893266,0.440678,0.455167
0.018000,0.053554,1304,1872,1285,2041,2409,2212,2747,3159,3014,1710,3215,3259,1766,2602,,0.417751,0.086314,0.233912,0.337884,0.127076,0.484262,0.845944,0.779155,0.733478,0.579646,0.586167,0.893983,0.441570,0.454313
0.018008,0.071562,1303,1872,1284,2042,2408,2212,2747,3159,3015,1711,3215,3259,1765,2603,,0.416568,0.086314,0.232891,0.339022,0.126354,0.484262,0.845944,0.779155,0.734561,0.580531,0.586167,0.893983,0.440678,0.455167
0.017992,0.089554,1303,1872,1283,2042,2408,2211,2747,3159,3014,1710,3215,3258,1766,2603,,0.416568,0.086314,0.231869,0.339022,0.126354,0.483656,0.845944,0.779155,0.733478,0.579646,0.586167,0.893266,0.441570,0.455167
0.018017,0.107571,1302,1871,1283,2042,2408,2211,2746,3159,3015,1710,3215,3259,1766,2603,,0.415385,0.085537,0.231869,0.339022,0.126354,0.483656,0.845032,0.779155,0.734561,0.579646,0.586167,0.893983,0.441570,0.455167
0.018001,0.125572,1303,1871,1283,2043,2408,2212,2746,3160,3015,1711,3215,3258,1766,2603,,0.416568,0.085537,0.231869,0.340159,0.126354,0.484262,0.845032,0.779883,0.734561,0.580531,0.586167,0.893266,0.441570,0.455167
0.017997,0.143568,1302,1871,1284,2043,2408,2211,2747,3159,3014,1711,3215,3258,1766,2603,,0.415385,0.085537,0.232891,0.340159,0.126354,0.483656,0.845944,0.779155,0.733478,0.580531,0.586167,0.893266,0.441570,0.455167
0.017989,0.161558,1303,1872,1284,2044,2408,2212,2747,3160,3014,1711,3215,3259,1766,2603,,0.416568,0.086314,0.232891,0.341297,0.126354,0.484262,0.845944,0.779883,0.733478,0.580531,0.586167,0.893983,0.441570,0.455167
0.018009,0.179567,1302,1870,1285,2043,2407,2213,2747,3159,3014,1712,3216,3259,1765,2603,,0.415385,0.084759,0.233912,0.340159,0.125632,0.484867,0.845944,0.779155,0.733478,0.581416,0.587339,0.893983,0.440678,0.455167
0.017996,0.197562,1302,1871,1284,2044,2407,2213,2747,3159,3014,1712,3215,3259,1765,2603,,0.415385,0.085537,0.232891,0.341297,0.125632,0.484867,0.845944,0.779155,0.733478,0.581416,0.586167,0.893983,0.440678,0.455167
0.018006,0.215568,1302,1871,1284,2044,2406,2212,2747,3159,3014,1712,3216,3259,1765,2603,,0.415385,0.085537,0.232891,0.341297,0.124910,0.484262,0.845944,0.779155,0.733478,0.581416,0.587339,0.893983,0.440678,0.455167
0.017991,0.233559,1302,1870,1283,2046,2407,2212,2748,3160,3014,1712,3216,3259,1766,2603,,0.415385,0.084759,0.231869,0.343572,0.125632,0.484262,0.846855,0.779883,0.733478,0.581416,0.587339,0.893983,0.441570,0.455167
0.018002,0.251561,1301,1870,1283,2047,2406,2212,2748,3160,3015,1712,3215,3258,1766,2604,,0.414201,0.084759,0.231869,0.344710,0.124910,0.484262,0.846855,0.779883,0.734561,0.581416,0.586167,0.893266,0.441570,0.456021
0.017999,0.269560,1301,1870,1283,2047,2406,2212,2748,3160,3015,1712,3215,3258,1766,2604,,0.414201,0.084759,0.231869,0.344710,0.124910,0.484262,0.846855,0.779883,0.734561,0.581416,0.586167,0.893266,0.441570,0.456021
0.017999,0.287559,1302,1870,1284,2047,2406,2214,2747,3160,3015,1712,3215,3258,1766,2604,,0.415385,0.084759,0.232891,0.344710,0.124910,0.485472,0.845944,0.779883,0.734561,0.581416,0.586167,0.893266,0.441570,0.456021
0.018010,0.305570,1302,1870,1283,2046,2406,2214,2748,3159,3014,1713,3215,3259,1766,2604,,0.415385,0.084759,0.231869,0.343572,0.124910,0.485472,0.846855,0.779155,0.733478,0.582301,0.586167,0.893983,0.441570,0.456021
0.018001,0.323571,1302,1870,1283,2047,2406,2214,2748,3160,3015,1713,3215,3259,1766,2603,,0.415385,0.084759,0.231869,0.344710,0.124910,0.485472,0.846855,0.779883,0.734561,0.582301,0.586167,0.893983,0.441570,0.455167
0.017995,0.341566,1301,1870,1283,2048,2406,2214,2748,3160,3015,1714,3215,3258,1767,2604,,0.414201,0.084759,0.231869,0.345848,0.124910,0.485472,0.846855,0.779883,0.734561,0.583186,0.586167,0.893266,0.442462,0.456021
0.018007,0.359573,1302,1870,1281,2049,2406,2214,2749,3160,3015,1713,3216,3258,1767,2604,,0.415385,0.084759,0.229826,0.346985,0.124910,0.485472,0.847767,0.779883,0.734561,0.582301,0.587339,0.893266,0.442462,0.456021
0.017994,0.377567,1301,1870,1282,2049,2405,2214,2748,3160,3014,1714,3214,3258,1767,2603,,0.414201,0.084759,0.230848,0.346985,0.124188,0.485472,0.846855,0.779883,0.733478,0.583186,0.584994,0.893266,0.442462,0.455167
0.018007,0.395574,1302,1869,1280,2049,2406,2214,2749,3160,3015,1715,3215,3259,1766,2603,,0.415385,0.083981,0.228805,0.346985,0.124910,0.485472,0.847767,0.779883,0.734561,0.584071,0.586167,0.893983,0.441570,0.455167
0.018002,0.413576,1301,1869,1282,2050,2404,2214,2749,3160,3015,1713,3216,3259,1766,2603,,0.414201,0.083981,0.230848,0.348123,0.123466,0.485472,0.847767,0.779883,0.734561,0.582301,0.587339,0.893983,0.441570,0.455167
0.018001,0.431578,1301,1870,1283,2051,2405,2214,2749,3160,3015,1713,3216,3259,1766,2604,,0.414201,0.084759,0.231869,0.349261,0.124188,0.485472,0.847767,0.779883,0.734561,0.582301,0.587339,0.893983,0.441570,0.456021
0.017999,0.449577,1301,1871,1283,2052,2404,2215,2749,3160,3015,1714,3216,3259,1765,2604,,0.414201,0.085537,0.231869,0.350398,0.123466,0.486077,0.847767,0.779883,0.734561,0.583186,0.587339,0.893983,0.440678,0.456021
0.017993,0.467570,1300,1870,1283,2053,2405,2216,2749,3160,3015,1714,3215,3259,1765,2604,,0.413018,0.084759,0.231869,0.351536,0.124188,0.486683,0.847767,0.779883,0.734561,0.583186,0.586167,0.893983,0.440678,0.456021
0.018003,0.485573,1299,1870,1282,2055,2404,2216,2748,3160,3015,1712,3216,3259,1764,2603,,0.411834,0.084759,0.230848,0.353811,0.123466,0.486683,0.846855,0.779883,0.734561,0.581416,0.587339,0.893983,0.439786,0.455167
0.018000,0.503574,1299,1870,1282,2055,2404,2216,2748,3160,3015,1712,3216,3259,1764,2603,,0.411834,0.084759,0.230848,0.353811,0.123466,0.486683,0.846855,0.779883,0.734561,0.581416,0.587339,0.893983,0.439786,0.455167
0.018004,0.521578,1300,1870,1281,2056,2403,2216,2748,3160,3015,1713,3215,3259,1763,2603,,0.413018,0.084759,0.229826,0.354949,0.122744,0.486683,0.846855,0.779883,0.734561,0.582301,0.586167,0.893983,0.438894,0.455167
0.017998,0.539576,1300,1870,1283,2058,2404,2215,2748,3160,3015,1713,3216,3258,1765,2604,,0.413018,0.084759,0.231869,0.357224,0.123466,0.486077,0.846855,0.779883,0.734561,0.582301,0.587339,0.893266,0.440678,0.456021
0.018000,0.557576,1299,1870,1282,2059,2402,2215,2748,3160,3015,1712,3216,3258,1765,2603,,0.411834,0.084759,0.230848,0.358362,0.122022,0.486077,0.846855,0.779883,0.734561,0.581416,0.587339,0.893266,0.440678,0.455167
0.018008,0.575584,1300,1870,1282,2060,2403,2216,2748,3160,3015,1712,3216,3258,1764,2603,,0.413018,0.084759,0.230848,0.359499,0.122744,0.486683,0.846855,0.779883,0.734561,0.581416,0.587339,0.893266,0.439786,0.455167
0.017979,0.593562,1299,1870,1280,2060,2403,2217,2747,3160,3015,1712,3216,3258,1765,2603,,0.411834,0.084759,0.228805,0.359499,0.122744,0.487288,0.845944,0.779883,0.734561,0.581416,0.587339,0.893266,0.440678,0.455167
0.018023,0.611586,1299,1870,1280,2060,2403,2217,2748,3160,3014,1713,3215,3258,1766,2603,,0.413018,0.085537,0.229826,0.361775,0.122744,0.487288,0.846855,0.779883,0.733478,0.582301,0.586167,0.893266,0.441570,0.455167
0.018001,0.629587,1301,1870,1281,2061,2403,2217,2748,3160,3015,1713,3216,3259,1765,2603,,0.414201,0.084759,0.229826,0.360637,0.122744,0.487288,0.846855,0.779883,0.734561,0.582301,0.587339,0.893983,0.440678,0.455167
0.017949,0.647536,1301,1870,1281,2061,2403,2217,2748,3160,3015,1713,3216,3259,1765,2603,,0.414201,0.084759,0.229826,0.360637,0.122744,0.487288,0.846855,0.779883,0.734561,0.582301,0.587339,0.893983,0.440678,0.455167
0.018052,0.665587,1301,1870,1282,2062,2402,2217,2748,3160,3015,1712,3215,3258,1766,2603,,0.414201,0.084759,0.230848,0.361775,0.122022,0.487288,0.846855,0.779883,0.734561,0.581416,0.586167,0.893266,0.441570,0.455167
0.017995,0.683583,1300,1869,1281,2063,2402,2217,2748,3160,3016,1713,3216,3259,1767,2603,,0.413018,0.083981,0.229826,0.362912,0.122022,0.487288,0.846855,0.779883,0.735645,0.582301,0.587339,0.893983,0.442462,0.455167
0.017993,0.701575,1301,1870,1281,2064,2403,2217,2749,3161,3015,1713,3216,3257,1768,2604,,0.414201,0.084759,0.229826,0.364050,0.122744,0.487288,0.847767,0.780612,0.734561,0.582301,0.587339,0.892550,0.443354,0.456021
0.018017,0.719593,1300,1869,1280,2065,2402,2217,2749,3160,3016,1713,3215,3259,1768,2603,,0.413018,0.083981,0.228805,0.365188,0.122022,0.487288,0.847767,0.779883,0.735645,0.582301,0.586167,0.893983,0.443354,0.455167
0.017971,0.737563,1300,1869,1280,2065,2402,2217,2749,3160,3016,1713,3215,3259,1768,2603,,0.413018,0.083981,0.228805,0.365188,0.122022,0.487288,0.847767,0.779883,0.735645,0.582301,0.586167,0.893983,0.443354,0.455167
0.018046,0.755609,1299,1868,1279,2064,2402,2217,2748,3160,3015,1712,3215,3257,1766,2603,,0.411834,0.083204,0.227783,0.364050,0.122022,0.487288,0.846855,0.779883,0.734561,0.581416,0.586167,0.892550,0.441570,0.455167
0.017984,0.773593,1300,1869,1279,2064,2402,2217,2748,3160,3015,1711,3215,3258,1765,2603,,0.413018,0.083981,0.227783,0.364050,0.122022,0.487288,0.846855,0.779883,0.734561,0.580531,0.586167,0.893266,0.440678,0.455167
0.018008,0.791601,1299,1869,1279,2064,2402,2217,2747,3160,3015,1711,3216,3258,1764,2603,,0.411834,0.083981,0.227783,0.364050,0.122022,0.487288,0.845944,0.779883,0.734561,0.580531,0.587339,0.893266,0.439786,0.455167
0.017989,0.809590,1298,1869,1279,2064,2401,2217,2748,3160,3015,1710,3216,3258,1766,2603,,0.410651,0.083981,0.227783,0.364050,0.121300,0.487288,0.846855,0.779883,0.734561,0.579646,0.587339,0.893266,0.441570,0.455167
0.018014,0.827605,1299,1869,1279,2065,2401,2218,2748,3161,3015,1710,3216,3257,1767,2603,,0.411834,0.083981,0.227783,0.365188,0.121300,0.487893,0.846855,0.780612,0.734561,0.579646,0.587339,0.892550,0.442462,0.455167
0.017991,0.845596,1299,1868,1278,2065,2401,2218,2747,3161,3016,1710,3216,3258,1766,2603,,0.411834,0.083204,0.226762,0.365188,0.121300,0.487893,0.845944,0.780612,0.735645,0.579646,0.587339,0.893266,0.441570,0.455167
0.018009,0.863605,1299,1868,1279,2066,2401,2218,2747,3160,3015,1709,3215,3258,1766,2603,,0.411834,0.083204,0.227783,0.366325,0.121300,0.487893,0.845944,0.779883,0.734561,0.578761,0.586167,0.893266,0.441570,0.455167
0.017997,0.881602,1299,1869,1278,2066,2401,2218,2747,3161,3015,1709,3216,3257,1766,2603,,0.411834,0.083981,0.226762,0.366325,0.121300,0.487893,0.845944,0.780612,0.734561,0.578761,0.587339,0.892550,0.441570,0.455167
0.018007,0.899609,1300,1868,1279,2065,2400,2217,2746,3160,3015,1708,3216,3259,1765,2603,,0.413018,0.083204,0.227783,0.365188,0.120578,0.487288,0.845032,0.779883,0.734561,0.577876,0.587339,0.893983,0.440678,0.455167
0.017990,0.917599,1299,1868,1277,2065,2401,2217,2747,3160,3015,1709,3216,3258,1767,2603,,0.411834,0.083204,0.225741,0.365188,0.121300,0.487288,0.845944,0.779883,0.734561,0.578761,0.587339,0.893266,0.442462,0.455167
0.018010,0.935609,1299,1867,1276,2066,2401,2218,2748,3161,3016,1708,3215,3257,1766,2603,,0.411834,0.082426,0.224719,0.366325,0.121300,0.487893,0.846855,0.780612,0.735645,0.577876,0.586167,0.892550,0.441570,0.455167
0.018007,0.953616,1299,1867,1275,2067,2401,2217,2747,3160,3015,1707,3215,3257,1765,2603,,0.411834,0.082426,0.223698,0.367463,0.121300,0.487288,0.845944,0.779883,0.734561,0.576991,0.586167,0.892550,0.440678,0.455167
0.017984,0.971600,1298,1867,1276,2068,2400,2218,2747,3160,3015,1707,3215,3258,1767,2604,,0.410651,0.082426,0.224719,0.368601,0.120578,0.487893,0.845944,0.779883,0.734561,0.576991,0.586167,0.893266,0.442462,0.456021
0.017999,0.989598,1298,1867,1276,2068,2400,2218,2747,3160,3015,1707,3215,3258,1767,2604,,0.410651,0.082426,0.224719,0.368601,0.120578,0.487893,0.845944,0.779883,0.734561,0.576991,0.586167,0.893266,0.442462,0.456021
0.018022,1.007620,1298,1868,1277,2071,2400,2218,2747,3160,3015,1705,3216,3256,1766,2603,,0.410651,0.083204,0.225741,0.372014,0.120578,0.487893,0.845944,0.779883,0.734561,0.575221,0.587339,0.891834,0.441570,0.455167
0.017995,1.025615,1298,1868,1277,2072,2400,2218,2747,3160,3015,1705,3215,3257,1764,2603,,0.410651,0.083204,0.225741,0.373151,0.120578,0.487893,0.845944,0.779883,0.734561,0.575221,0.586167,0.892550,0.439786,0.455167
0.018006,1.043621,1298,1868,1276,2071,2400,2218,2745,3160,3015,1704,3215,3256,1763,2602,,0.410651,0.083204,0.224719,0.372014,0.120578,0.487893,0.844120,0.779883,0.734561,0.574336,0.586167,0.891834,0.438894,0.454313
0.017996,1.061616,1299,1868,1275,2071,2400,2218,2745,3160,3015,1704,3216,3257,1764,2602,,0.411834,0.083204,0.223698,0.372014,0.120578,0.487893,0.844120,0.779883,0.734561,0.574336,0.587339,0.892550,0.439786,0.454313
0.018007,1.079624,1298,1868,1275,2072,2400,2219,2745,3161,3015,1705,3216,3256,1763,2603,,0.410651,0.083204,0.223698,0.373151,0.120578,0.488499,0.844120,0.780612,0.734561,0.575221,0.587339,0.891834,0.438894,0.455167
0.017985,1.097609,1298,1868,1275,2072,2400,2219,2745,3161,3015,1705,3216,3256,1763,2603,,0.410651,0.083204,0.223698,0.373151,0.120578,0.488499,0.844120,0.780612,0.734561,0.575221,0.587339,0.891834,0.438894,0.455167
0.018002,1.115611,1297,1867,1275,2072,2400,2218,2745,3160,3015,1703,3215,3256,1763,2602,,0.409467,0.082426,0.223698,0.373151,0.120578,0.487893,0.844120,0.779883,0.734561,0.573451,0.586167,0.891834,0.438894,0.454313
0.017999,1.133609,1297,1867,1275,2072,2400,2218,2745,3160,3015,1703,3215,3256,1763,2602,,0.409467,0.082426,0.223698,0.373151,0.120578,0.487893,0.844120,0.779883,0.734561,0.573451,0.586167,0.891834,0.438894,0.454313
0.018002,1.151611,1297,1867,1274,2073,2400,2218,2746,3160,3015,1704,3216,3257,1762,2602,,0.409467,0.082426,0.222676,0.374289,0.120578,0.487893,0.845032,0.779883,0.734561,0.574336,0.587339,0.892550,0.438002,0.454313
0.018009,1.169621,1297,1867,1274,2073,2399,2218,2745,3160,3015,1705,3216,3257,1762,2602,,0.409467,0.082426,0.222676,0.374289,0.119856,0.487893,0.844120,0.779883,0.734561,0.575221,0.587339,0.892550,0.438002,0.454313
0.017992,1.187613,1297,1867,1273,2074,2400,2219,2747,3160,3015,1705,3216,3257,1763,2602,,0.409467,0.082426,0.221655,0.375427,0.120578,0.488499,0.845944,0.779883,0.734561,0.575221,0.587339,0.892550,0.438894,0.454313
