GloveManager recording started on 11/02/16 at 16:20:18

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017190,0.017190,1839,2413,1786,2479,3198,2626,2692,3177,3022,1830,3170,3280,2052,2699,,0.933754,0.506998,0.745659,0.836177,0.696751,0.734867,0.795807,0.792274,0.742145,0.685841,0.533412,0.909026,0.696699,0.537148
0.018000,0.035190,1839,2413,1786,2478,3198,2627,2692,3177,3022,1830,3170,3280,2051,2699,,0.933754,0.506998,0.745659,0.835040,0.696751,0.735472,0.795807,0.792274,0.742145,0.685841,0.533412,0.909026,0.695807,0.537148
0.018001,0.053192,1839,2414,1787,2478,3197,2626,2692,3177,3022,1829,3171,3279,2051,2698,,0.933754,0.507776,0.746680,0.835040,0.696029,0.734867,0.795807,0.792274,0.742145,0.684956,0.534584,0.908309,0.695807,0.536294
0.018000,0.071191,1839,2414,1785,2479,3198,2626,2692,3177,3021,1829,3170,3280,2051,2698,,0.933754,0.507776,0.744637,0.836177,0.696751,0.734867,0.795807,0.792274,0.741062,0.684956,0.533412,0.909026,0.695807,0.536294
0.018002,0.089194,1839,2414,1784,2478,3197,2626,2691,3176,3021,1829,3170,3280,2051,2697,,0.933754,0.507776,0.743616,0.835040,0.696029,0.734867,0.794895,0.791545,0.741062,0.684956,0.533412,0.909026,0.695807,0.535440
0.018000,0.107194,1839,2416,1783,2478,3198,2626,2691,3176,3021,1829,3170,3279,2051,2698,,0.933754,0.509331,0.742594,0.835040,0.696751,0.734867,0.794895,0.791545,0.741062,0.684956,0.533412,0.908309,0.695807,0.536294
0.018001,0.125196,1840,2415,1781,2477,3197,2626,2690,3175,3020,1829,3170,3280,2057,2698,,0.934805,0.508554,0.740552,0.833902,0.696029,0.734867,0.793984,0.790816,0.739978,0.684956,0.533412,0.909026,0.701160,0.536294
0.018000,0.143196,1839,2416,1782,2478,3197,2626,2690,3175,3021,1828,3170,3279,2050,2698,,0.933754,0.509331,0.741573,0.835040,0.696029,0.734867,0.793984,0.790816,0.741062,0.684071,0.533412,0.908309,0.694915,0.536294
0.018002,0.161198,1839,2418,1781,2477,3197,2625,2689,3176,3019,1828,3171,3278,2049,2697,,0.933754,0.510886,0.740552,0.833902,0.696029,0.734262,0.793072,0.791545,0.738895,0.684071,0.534584,0.907593,0.694023,0.535440
0.018000,0.179198,1839,2420,1780,2478,3198,2626,2690,3175,3020,1828,3170,3280,2050,2698,,0.933754,0.512442,0.739530,0.835040,0.696751,0.734867,0.793984,0.790816,0.739978,0.684071,0.533412,0.909026,0.694915,0.536294
0.018001,0.197200,1839,2420,1781,2478,3197,2626,2690,3175,3020,1828,3170,3279,2051,2698,,0.933754,0.512442,0.740552,0.835040,0.696029,0.734867,0.793984,0.790816,0.739978,0.684071,0.533412,0.908309,0.695807,0.536294
0.018001,0.215201,1838,2421,1781,2478,3197,2626,2690,3175,3020,1828,3171,3279,2051,2698,,0.932702,0.513219,0.740552,0.835040,0.696029,0.734867,0.793984,0.790816,0.739978,0.684071,0.534584,0.908309,0.695807,0.536294
0.018053,0.233254,1838,2420,1781,2478,3197,2625,2690,3175,3020,1829,3170,3280,2051,2697,,0.932702,0.512442,0.740552,0.835040,0.696029,0.734262,0.793984,0.790816,0.739978,0.684956,0.533412,0.909026,0.695807,0.535440
0.017948,0.251202,1839,2419,1780,2478,3197,2626,2690,3175,3020,1829,3170,3279,2051,2698,,0.933754,0.511664,0.739530,0.835040,0.696029,0.734867,0.793984,0.790816,0.739978,0.684956,0.533412,0.908309,0.695807,0.536294
0.018002,0.269204,1838,2418,1779,2478,3196,2625,2690,3177,3020,1829,3170,3280,2051,2698,,0.932702,0.510886,0.738509,0.835040,0.695307,0.734262,0.793984,0.792274,0.739978,0.684956,0.533412,0.909026,0.695807,0.536294
