GloveManager recording started on 11/02/16 at 16:20:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017182,0.017182,1731,2433,1612,1983,2356,2184,2495,2828,2939,1839,3141,3268,1887,2652,,0.820189,0.522551,0.567926,0.271900,0.088809,0.467312,0.616226,0.537901,0.652221,0.693805,0.499414,0.900430,0.549509,0.497011
0.018002,0.035185,1731,2432,1608,1981,2360,2178,2495,2834,2939,1838,3141,3268,1885,2652,,0.820189,0.521773,0.563841,0.269625,0.091697,0.463680,0.616226,0.542274,0.652221,0.692920,0.499414,0.900430,0.547725,0.497011
0.017998,0.053182,1731,2432,1608,1982,2360,2176,2495,2835,2939,1839,3141,3269,1885,2651,,0.820189,0.521773,0.563841,0.270762,0.091697,0.462470,0.616226,0.543003,0.652221,0.693805,0.499414,0.901146,0.547725,0.496157
0.018004,0.071186,1731,2432,1608,1982,2360,2176,2495,2835,2939,1839,3141,3269,1885,2651,,0.820189,0.521773,0.563841,0.270762,0.091697,0.462470,0.616226,0.543003,0.652221,0.693805,0.499414,0.901146,0.547725,0.496157
0.017977,0.089164,1730,2433,1609,1982,2359,2177,2495,2834,2939,1840,3141,3269,1885,2651,,0.819138,0.522551,0.564862,0.270762,0.090975,0.463075,0.616226,0.542274,0.652221,0.694690,0.499414,0.901146,0.547725,0.496157
0.018021,0.107184,1730,2433,1610,1981,2359,2179,2495,2832,2938,1840,3141,3269,1884,2651,,0.819138,0.522551,0.565884,0.269625,0.090975,0.464286,0.616226,0.540816,0.651138,0.694690,0.499414,0.901146,0.546833,0.496157
0.018037,0.125221,1729,2432,1611,1982,2359,2178,2495,2832,2938,1840,3142,3269,1884,2650,,0.818086,0.521773,0.566905,0.270762,0.090975,0.463680,0.616226,0.540816,0.651138,0.694690,0.500586,0.901146,0.546833,0.495303
0.017969,0.143190,1728,2431,1611,1983,2356,2181,2495,2830,2938,1838,3141,3269,1884,2651,,0.817035,0.520995,0.566905,0.271900,0.088809,0.465496,0.616226,0.539359,0.651138,0.692920,0.499414,0.901146,0.546833,0.496157
0.017998,0.161188,1728,2431,1611,1983,2356,2181,2495,2830,2938,1838,3141,3269,1884,2651,,0.817035,0.520995,0.566905,0.271900,0.088809,0.465496,0.616226,0.539359,0.651138,0.692920,0.499414,0.901146,0.546833,0.496157
