GloveManager recording started on 11/02/16 at 16:21:16

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017474,0.017474,1549,1900,1302,2316,2452,2506,2529,3292,2991,1732,3255,3237,1702,2605,,0.628812,0.108087,0.251277,0.650739,0.158123,0.662228,0.647220,0.876093,0.708559,0.599115,0.633060,0.878223,0.384478,0.456874
0.018000,0.035474,1549,1899,1303,2317,2452,2505,2529,3291,2992,1732,3255,3237,1703,2606,,0.628812,0.107309,0.252298,0.651877,0.158123,0.661622,0.647220,0.875364,0.709642,0.599115,0.633060,0.878223,0.385370,0.457728
0.018005,0.053479,1549,1899,1303,2317,2452,2507,2529,3292,2992,1732,3255,3236,1703,2605,,0.628812,0.107309,0.252298,0.651877,0.158123,0.662833,0.647220,0.876093,0.709642,0.599115,0.633060,0.877507,0.385370,0.456874
0.018000,0.071479,1549,1899,1303,2317,2452,2506,2529,3291,2992,1732,3255,3236,1702,2605,,0.628812,0.107309,0.252298,0.651877,0.158123,0.662228,0.647220,0.875364,0.709642,0.599115,0.633060,0.877507,0.384478,0.456874
0.018000,0.089478,1547,1899,1303,2317,2452,2506,2528,3292,2992,1733,3255,3237,1703,2605,,0.626709,0.107309,0.252298,0.651877,0.158123,0.662228,0.646308,0.876093,0.709642,0.600000,0.633060,0.878223,0.385370,0.456874
0.018001,0.107480,1548,1898,1303,2316,2453,2505,2528,3292,2993,1732,3254,3236,1703,2605,,0.627760,0.106532,0.252298,0.650739,0.158845,0.661622,0.646308,0.876093,0.710726,0.599115,0.631887,0.877507,0.385370,0.456874
0.018000,0.125480,1548,1898,1303,2316,2452,2506,2528,3291,2992,1732,3254,3237,1703,2605,,0.627760,0.106532,0.252298,0.650739,0.158123,0.662228,0.646308,0.875364,0.709642,0.599115,0.631887,0.878223,0.385370,0.456874
0.017999,0.143479,1548,1898,1301,2315,2453,2506,2528,3291,2992,1731,3255,3236,1702,2605,,0.627760,0.106532,0.250255,0.649602,0.158845,0.662228,0.646308,0.875364,0.709642,0.598230,0.633060,0.877507,0.384478,0.456874
0.018004,0.161482,1548,1898,1302,2316,2453,2506,2528,3291,2992,1732,3255,3236,1704,2605,,0.627760,0.106532,0.251277,0.650739,0.158845,0.662228,0.646308,0.875364,0.709642,0.599115,0.633060,0.877507,0.386262,0.456874
0.017999,0.179482,1548,1898,1302,2316,2453,2506,2529,3291,2992,1732,3254,3237,1703,2605,,0.627760,0.106532,0.251277,0.650739,0.158845,0.662228,0.647220,0.875364,0.709642,0.599115,0.631887,0.878223,0.385370,0.456874
0.018002,0.197483,1547,1898,1302,2316,2452,2506,2528,3291,2992,1730,3254,3237,1704,2604,,0.626709,0.106532,0.251277,0.650739,0.158123,0.662228,0.646308,0.875364,0.709642,0.597345,0.631887,0.878223,0.386262,0.456021
0.018002,0.215486,1546,1897,1302,2315,2452,2505,2529,3292,2991,1732,3254,3236,1703,2605,,0.625657,0.105754,0.251277,0.649602,0.158123,0.661622,0.647220,0.876093,0.708559,0.599115,0.631887,0.877507,0.385370,0.456874
0.017997,0.233483,1546,1897,1302,2315,2452,2505,2529,3292,2991,1732,3254,3236,1703,2605,,0.625657,0.105754,0.251277,0.649602,0.158123,0.661622,0.647220,0.876093,0.708559,0.599115,0.631887,0.877507,0.385370,0.456874
0.018001,0.251484,1546,1897,1302,2315,2453,2505,2528,3291,2991,1732,3254,3236,1703,2605,,0.625657,0.105754,0.251277,0.649602,0.158845,0.661622,0.646308,0.875364,0.708559,0.599115,0.631887,0.877507,0.385370,0.456874
0.018002,0.269486,1547,1896,1302,2316,2453,2505,2529,3292,2991,1731,3254,3236,1704,2605,,0.626709,0.104977,0.251277,0.650739,0.158845,0.661622,0.647220,0.876093,0.708559,0.598230,0.631887,0.877507,0.386262,0.456874
0.018003,0.287489,1546,1896,1302,2315,2453,2505,2529,3291,2991,1731,3254,3235,1704,2605,,0.625657,0.104977,0.251277,0.649602,0.158845,0.661622,0.647220,0.875364,0.708559,0.598230,0.631887,0.876791,0.386262,0.456874
0.017999,0.305488,1546,1896,1302,2315,2453,2504,2529,3291,2992,1731,3254,3237,1704,2605,,0.625657,0.104977,0.251277,0.649602,0.158845,0.661017,0.647220,0.875364,0.709642,0.598230,0.631887,0.878223,0.386262,0.456874
0.018003,0.323491,1546,1896,1301,2315,2453,2504,2528,3291,2992,1731,3254,3237,1705,2604,,0.625657,0.104977,0.250255,0.649602,0.158845,0.661017,0.646308,0.875364,0.709642,0.598230,0.631887,0.878223,0.387154,0.456021
0.018001,0.341492,1546,1896,1302,2315,2453,2504,2528,3292,2991,1730,3254,3236,1704,2604,,0.625657,0.104977,0.251277,0.649602,0.158845,0.661017,0.646308,0.876093,0.708559,0.597345,0.631887,0.877507,0.386262,0.456021
0.018000,0.359492,1545,1895,1302,2315,2453,2505,2528,3292,2992,1731,3254,3237,1704,2604,,0.624606,0.104199,0.251277,0.649602,0.158845,0.661622,0.646308,0.876093,0.709642,0.598230,0.631887,0.878223,0.386262,0.456021
0.017999,0.377491,1545,1895,1302,2315,2453,2505,2528,3292,2992,1731,3254,3237,1704,2604,,0.624606,0.104199,0.251277,0.649602,0.158845,0.661622,0.646308,0.876093,0.709642,0.598230,0.631887,0.878223,0.386262,0.456021
0.018001,0.395492,1545,1896,1302,2315,2453,2505,2528,3292,2992,1731,3254,3237,1704,2606,,0.624606,0.104977,0.251277,0.649602,0.158845,0.661622,0.646308,0.876093,0.709642,0.598230,0.631887,0.878223,0.386262,0.457728
