GloveManager recording started on 11/02/16 at 16:22:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017429,0.017429,1688,2298,1200,2097,2348,2618,2147,2397,2944,1523,3280,3248,1669,2630,,0.774974,0.417574,0.147089,0.401593,0.083032,0.730024,0.298997,0.223761,0.657638,0.414159,0.662368,0.886103,0.355040,0.478224
0.018002,0.035431,1688,2298,1200,2098,2349,2618,2148,2396,2945,1524,3280,3248,1670,2630,,0.774974,0.417574,0.147089,0.402730,0.083755,0.730024,0.299909,0.223032,0.658722,0.415044,0.662368,0.886103,0.355932,0.478224
0.018019,0.053450,1688,2297,1201,2098,2350,2619,2147,2396,2945,1524,3280,3248,1671,2630,,0.774974,0.416796,0.148110,0.402730,0.084477,0.730630,0.298997,0.223032,0.658722,0.415044,0.662368,0.886103,0.356824,0.478224
0.017989,0.071439,1689,2297,1202,2099,2349,2619,2148,2395,2946,1523,3280,3247,1670,2630,,0.776025,0.416796,0.149132,0.403868,0.083755,0.730630,0.299909,0.222303,0.659805,0.414159,0.662368,0.885387,0.355932,0.478224
0.017994,0.089433,1688,2297,1203,2100,2349,2619,2148,2394,2946,1522,3280,3247,1669,2630,,0.774974,0.416796,0.150153,0.405006,0.083755,0.730630,0.299909,0.221574,0.659805,0.413274,0.662368,0.885387,0.355040,0.478224
0.018007,0.107440,1688,2296,1203,2101,2348,2619,2149,2394,2946,1521,3280,3247,1669,2630,,0.774974,0.416019,0.150153,0.406143,0.083032,0.730630,0.300820,0.221574,0.659805,0.412389,0.662368,0.885387,0.355040,0.478224
0.017997,0.125437,1690,2296,1203,2101,2347,2620,2149,2395,2947,1520,3281,3247,1670,2630,,0.777077,0.416019,0.150153,0.406143,0.082310,0.731235,0.300820,0.222303,0.660888,0.411504,0.663540,0.885387,0.355932,0.478224
0.018003,0.143440,1688,2297,1203,2102,2348,2620,2150,2394,2947,1521,3280,3247,1671,2630,,0.774974,0.416796,0.150153,0.407281,0.083032,0.731235,0.301732,0.221574,0.660888,0.412389,0.662368,0.885387,0.356824,0.478224
0.018001,0.161441,1689,2297,1203,2102,2347,2620,2149,2394,2947,1521,3280,3247,1671,2630,,0.776025,0.416796,0.150153,0.407281,0.082310,0.731235,0.300820,0.221574,0.660888,0.412389,0.662368,0.885387,0.356824,0.478224
0.017999,0.179440,1689,2297,1203,2102,2347,2620,2149,2394,2947,1521,3280,3247,1671,2630,,0.776025,0.416796,0.150153,0.407281,0.082310,0.731235,0.300820,0.221574,0.660888,0.412389,0.662368,0.885387,0.356824,0.478224
0.018010,0.197450,1690,2297,1203,2102,2347,2619,2151,2392,2947,1520,3280,3247,1672,2631,,0.777077,0.416796,0.150153,0.407281,0.082310,0.730630,0.302644,0.220117,0.660888,0.411504,0.662368,0.885387,0.357716,0.479078
0.017994,0.215444,1689,2297,1202,2103,2347,2620,2151,2392,2947,1521,3280,3247,1672,2631,,0.776025,0.416796,0.149132,0.408419,0.082310,0.731235,0.302644,0.220117,0.660888,0.412389,0.662368,0.885387,0.357716,0.479078
0.018000,0.233444,1690,2297,1202,2104,2345,2618,2150,2393,2947,1521,3280,3247,1673,2630,,0.777077,0.416796,0.149132,0.409556,0.080866,0.730024,0.301732,0.220845,0.660888,0.412389,0.662368,0.885387,0.358608,0.478224
0.018000,0.251443,1690,2298,1203,2103,2345,2618,2150,2393,2948,1522,3279,3247,1673,2630,,0.777077,0.417574,0.150153,0.408419,0.080866,0.730024,0.301732,0.220845,0.661972,0.413274,0.661196,0.885387,0.358608,0.478224
0.018000,0.269444,1689,2298,1202,2104,2344,2618,2150,2392,2948,1523,3280,3247,1674,2630,,0.776025,0.417574,0.149132,0.409556,0.080144,0.730024,0.301732,0.220117,0.661972,0.414159,0.662368,0.885387,0.359500,0.478224
0.018004,0.287448,1690,2299,1202,2105,2345,2618,2151,2392,2947,1523,3279,3247,1675,2630,,0.777077,0.418351,0.149132,0.410694,0.080866,0.730024,0.302644,0.220117,0.660888,0.414159,0.661196,0.885387,0.360393,0.478224
0.017998,0.305446,1690,2301,1201,2105,2345,2617,2151,2392,2947,1523,3280,3247,1675,2631,,0.777077,0.419907,0.148110,0.410694,0.080866,0.729419,0.302644,0.220117,0.660888,0.414159,0.662368,0.885387,0.360393,0.479078
0.018012,0.323458,1691,2300,1202,2104,2345,2618,2152,2391,2947,1524,3279,3247,1675,2631,,0.778128,0.419129,0.149132,0.409556,0.080866,0.730024,0.303555,0.219388,0.660888,0.415044,0.661196,0.885387,0.360393,0.479078
0.018012,0.341470,1691,2300,1201,2105,2345,2618,2152,2391,2946,1523,3279,3246,1676,2630,,0.778128,0.419129,0.148110,0.410694,0.080866,0.730024,0.303555,0.219388,0.659805,0.414159,0.661196,0.884670,0.361285,0.478224
0.017979,0.359449,1691,2302,1200,2104,2345,2616,2152,2390,2947,1525,3279,3246,1676,2630,,0.778128,0.420684,0.147089,0.409556,0.080866,0.728814,0.303555,0.218659,0.660888,0.415929,0.661196,0.884670,0.361285,0.478224
