GloveManager recording started on 11/02/16 at 16:22:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017218,0.017218,1694,2410,1235,1980,2317,2333,2062,2233,2992,1234,2965,3234,1556,2583,,0.781283,0.504666,0.182840,0.268487,0.060650,0.557506,0.221513,0.104227,0.709642,0.158407,0.293083,0.876074,0.254237,0.438087
0.018004,0.035222,1694,2410,1235,1980,2316,2334,2063,2234,2991,1235,2964,3235,1555,2583,,0.781283,0.504666,0.182840,0.268487,0.059928,0.558111,0.222425,0.104956,0.708559,0.159292,0.291911,0.876791,0.253345,0.438087
0.017980,0.053202,1694,2410,1236,1981,2317,2335,2063,2234,2991,1235,2964,3234,1549,2583,,0.781283,0.504666,0.183861,0.269625,0.060650,0.558717,0.222425,0.104956,0.708559,0.159292,0.291911,0.876074,0.247993,0.438087
0.018024,0.071226,1694,2410,1236,1981,2317,2336,2064,2234,2990,1235,2964,3235,1550,2583,,0.781283,0.504666,0.183861,0.269625,0.060650,0.559322,0.223336,0.104956,0.707476,0.159292,0.291911,0.876791,0.248885,0.438087
0.017997,0.089222,1694,2410,1236,1981,2317,2336,2064,2234,2990,1235,2964,3235,1550,2583,,0.781283,0.504666,0.183861,0.269625,0.060650,0.559322,0.223336,0.104956,0.707476,0.159292,0.291911,0.876791,0.248885,0.438087
0.018004,0.107226,1695,2410,1236,1981,2317,2337,2065,2233,2990,1235,2964,3234,1548,2583,,0.782334,0.504666,0.183861,0.269625,0.060650,0.559927,0.224248,0.104227,0.707476,0.159292,0.291911,0.876074,0.247101,0.438087
0.017998,0.125224,1694,2410,1236,1981,2317,2336,2065,2233,2990,1236,2964,3235,1550,2582,,0.781283,0.504666,0.183861,0.269625,0.060650,0.559322,0.224248,0.104227,0.707476,0.160177,0.291911,0.876791,0.248885,0.437233
0.018005,0.143229,1694,2410,1236,1980,2318,2337,2065,2233,2991,1235,2964,3235,1550,2582,,0.781283,0.504666,0.183861,0.268487,0.061372,0.559927,0.224248,0.104227,0.708559,0.159292,0.291911,0.876791,0.248885,0.437233
0.017997,0.161226,1693,2409,1236,1981,2317,2336,2064,2233,2992,1236,2964,3234,1549,2583,,0.780231,0.503888,0.183861,0.269625,0.060650,0.559322,0.223336,0.104227,0.709642,0.160177,0.291911,0.876074,0.247993,0.438087
