GloveManager recording started on 11/02/16 at 16:23:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017498,0.017498,1667,2282,1205,2361,2336,2273,2718,3404,3024,1787,3390,3260,1824,2593,,0.738144,0.405132,0.152196,0.701934,0.074368,0.521186,0.819508,0.957726,0.744312,0.647788,0.791325,0.894699,0.493310,0.446627
0.018007,0.035505,1667,2281,1205,2359,2339,2269,2719,3405,3024,1787,3390,3259,1820,2594,,0.738144,0.404355,0.152196,0.699659,0.076534,0.518765,0.820419,0.958455,0.744312,0.647788,0.791325,0.893983,0.489741,0.447481
0.017987,0.053492,1666,2282,1206,2357,2341,2267,2720,3405,3024,1789,3391,3260,1820,2593,,0.737113,0.405132,0.153218,0.697383,0.077978,0.517554,0.821331,0.958455,0.744312,0.649558,0.792497,0.894699,0.489741,0.446627
0.018007,0.071499,1667,2281,1206,2357,2342,2264,2721,3405,3024,1791,3392,3260,1820,2594,,0.738144,0.404355,0.153218,0.697383,0.078700,0.515738,0.822242,0.958455,0.744312,0.651327,0.793669,0.894699,0.489741,0.447481
0.017994,0.089493,1667,2282,1207,2357,2342,2265,2721,3406,3024,1789,3391,3261,1820,2594,,0.738144,0.405132,0.154239,0.697383,0.078700,0.516344,0.822242,0.959184,0.744312,0.649558,0.792497,0.895415,0.489741,0.447481
0.018018,0.107510,1666,2282,1207,2359,2341,2265,2719,3405,3023,1789,3391,3260,1820,2594,,0.737113,0.405132,0.154239,0.699659,0.077978,0.516344,0.820419,0.958455,0.743229,0.649558,0.792497,0.894699,0.489741,0.447481
0.017984,0.125495,1666,2282,1207,2359,2341,2265,2719,3405,3023,1789,3391,3260,1820,2594,,0.737113,0.405132,0.154239,0.699659,0.077978,0.516344,0.820419,0.958455,0.743229,0.649558,0.792497,0.894699,0.489741,0.447481
0.018001,0.143496,1665,2282,1207,2359,2341,2265,2720,3404,3024,1789,3391,3261,1819,2595,,0.736082,0.405132,0.154239,0.699659,0.077978,0.516344,0.821331,0.957726,0.744312,0.649558,0.792497,0.895415,0.488849,0.448335
0.018010,0.161506,1667,2283,1207,2359,2341,2265,2720,3405,3023,1789,3391,3261,1819,2595,,0.738144,0.405910,0.154239,0.699659,0.077978,0.516344,0.821331,0.958455,0.743229,0.649558,0.792497,0.895415,0.488849,0.448335
