GloveManager recording started on 11/02/16 at 15:53:47

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017499,0.017499,1441,1932,1175,2190,2704,2525,2106,2805,3021,1138,3199,2940,1653,2343,,0.663205,0.198786,0.063291,0.579330,0.388430,0.780505,0.345367,0.571774,0.705882,0.107513,0.616561,0.719597,0.296190,0.252311
0.018029,0.035528,1441,1932,1175,2190,2704,2525,2106,2805,3021,1138,3199,2940,1653,2343,,0.663205,0.198786,0.063291,0.579330,0.388430,0.780505,0.345367,0.571774,0.705882,0.107513,0.616561,0.719597,0.296190,0.252311
0.018027,0.053555,1439,1932,1174,2190,2703,2526,2106,2806,3021,1138,3200,2940,1661,2342,,0.660237,0.198786,0.062025,0.579330,0.387603,0.781206,0.345367,0.572581,0.705882,0.107513,0.617834,0.719597,0.303810,0.251386
0.017992,0.071547,1439,1931,1174,2191,2703,2526,2105,2804,3021,1137,3199,2940,1661,2342,,0.660237,0.197269,0.062025,0.580786,0.387603,0.781206,0.344164,0.570968,0.705882,0.106218,0.616561,0.719597,0.303810,0.251386
0.018001,0.089549,1440,1931,1175,2189,2702,2526,2105,2805,3021,1138,3199,2940,1653,2343,,0.661721,0.197269,0.063291,0.577875,0.386777,0.781206,0.344164,0.571774,0.705882,0.107513,0.616561,0.719597,0.296190,0.252311
0.018001,0.107549,1439,1931,1175,2189,2703,2526,2105,2806,3021,1138,3199,2940,1653,2343,,0.660237,0.197269,0.063291,0.577875,0.387603,0.781206,0.344164,0.572581,0.705882,0.107513,0.616561,0.719597,0.296190,0.252311
0.018022,0.125571,1438,1931,1174,2188,2703,2526,2105,2806,3021,1138,3199,2940,1652,2343,,0.658754,0.197269,0.062025,0.576419,0.387603,0.781206,0.344164,0.572581,0.705882,0.107513,0.616561,0.719597,0.295238,0.252311
0.017982,0.143553,1439,1932,1174,2188,2703,2526,2104,2806,3021,1138,3199,2940,1652,2343,,0.660237,0.198786,0.062025,0.576419,0.387603,0.781206,0.342960,0.572581,0.705882,0.107513,0.616561,0.719597,0.295238,0.252311
0.018001,0.161554,1440,1931,1175,2189,2703,2526,2105,2806,3021,1138,3199,2940,1660,2342,,0.661721,0.197269,0.063291,0.577875,0.387603,0.781206,0.344164,0.572581,0.705882,0.107513,0.616561,0.719597,0.302857,0.251386
0.017999,0.179552,1438,1932,1175,2189,2703,2526,2105,2806,3021,1139,3199,2940,1653,2343,,0.658754,0.198786,0.063291,0.577875,0.387603,0.781206,0.344164,0.572581,0.705882,0.108808,0.616561,0.719597,0.296190,0.252311
0.018001,0.197553,1439,1931,1175,2189,2703,2526,2106,2806,3021,1139,3199,2940,1653,2343,,0.660237,0.197269,0.063291,0.577875,0.387603,0.781206,0.345367,0.572581,0.705882,0.108808,0.616561,0.719597,0.296190,0.252311
0.018003,0.215557,1440,1931,1175,2189,2703,2526,2106,2806,3020,1138,3200,2940,1652,2342,,0.661721,0.197269,0.063291,0.577875,0.387603,0.781206,0.345367,0.572581,0.703325,0.107513,0.617834,0.719597,0.295238,0.251386
0.018001,0.233558,1439,1931,1175,2190,2702,2527,2106,2805,3021,1138,3199,2940,1652,2342,,0.660237,0.197269,0.063291,0.579330,0.386777,0.781907,0.345367,0.571774,0.705882,0.107513,0.616561,0.719597,0.295238,0.251386
0.018003,0.251561,1438,1931,1174,2189,2702,2526,2106,2806,3022,1139,3200,2940,1652,2343,,0.658754,0.197269,0.062025,0.577875,0.386777,0.781206,0.345367,0.572581,0.708440,0.108808,0.617834,0.719597,0.295238,0.252311
0.017998,0.269559,1437,1930,1175,2190,2702,2525,2106,2805,3021,1139,3199,2940,1651,2342,,0.657270,0.195751,0.063291,0.579330,0.386777,0.780505,0.345367,0.571774,0.705882,0.108808,0.616561,0.719597,0.294286,0.251386
0.018000,0.287559,1437,1930,1175,2190,2701,2526,2105,2806,3021,1138,3199,2940,1652,2342,,0.657270,0.195751,0.063291,0.579330,0.385950,0.781206,0.344164,0.572581,0.705882,0.107513,0.616561,0.719597,0.295238,0.251386
0.018012,0.305571,1436,1930,1174,2189,2702,2526,2105,2806,3020,1138,3199,2941,1653,2342,,0.655786,0.195751,0.062025,0.577875,0.386777,0.781206,0.344164,0.572581,0.703325,0.107513,0.616561,0.720372,0.296190,0.251386
0.017991,0.323563,1437,1930,1175,2189,2702,2526,2105,2806,3022,1138,3199,2940,1652,2343,,0.657270,0.195751,0.063291,0.577875,0.386777,0.781206,0.344164,0.572581,0.708440,0.107513,0.616561,0.719597,0.295238,0.252311
0.017999,0.341561,1436,1930,1175,2189,2702,2526,2105,2806,3021,1139,3199,2941,1652,2342,,0.655786,0.195751,0.063291,0.577875,0.386777,0.781206,0.344164,0.572581,0.705882,0.108808,0.616561,0.720372,0.295238,0.251386
0.018000,0.359562,1437,1931,1175,2189,2702,2526,2105,2806,3021,1139,3199,2940,1652,2342,,0.657270,0.197269,0.063291,0.577875,0.386777,0.781206,0.344164,0.572581,0.705882,0.108808,0.616561,0.719597,0.295238,0.251386
0.018007,0.377569,1437,1930,1175,2189,2702,2526,2105,2806,3021,1139,3199,2941,1652,2342,,0.657270,0.195751,0.063291,0.577875,0.386777,0.781206,0.344164,0.572581,0.705882,0.108808,0.616561,0.720372,0.295238,0.251386
