GloveManager recording started on 11/02/16 at 15:54:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017859,0.017859,1452,1965,1259,2073,2381,2263,2380,3014,3025,1249,3290,2992,1650,2524,,0.679525,0.248862,0.169620,0.409025,0.121488,0.596774,0.675090,0.740323,0.716113,0.251295,0.732484,0.759876,0.293333,0.419593
0.017990,0.035849,1452,1965,1259,2072,2382,2263,2380,3014,3026,1249,3290,2993,1650,2523,,0.679525,0.248862,0.169620,0.407569,0.122314,0.596774,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.293333,0.418669
0.018002,0.053851,1452,1965,1259,2072,2382,2263,2380,3014,3026,1249,3290,2993,1650,2523,,0.679525,0.248862,0.169620,0.407569,0.122314,0.596774,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.293333,0.418669
0.018000,0.071851,1452,1965,1259,2072,2381,2263,2380,3014,3026,1249,3290,2993,1650,2524,,0.679525,0.248862,0.169620,0.407569,0.121488,0.596774,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.293333,0.419593
0.018002,0.089854,1452,1965,1259,2072,2383,2263,2382,3014,3025,1249,3289,2993,1650,2524,,0.679525,0.248862,0.169620,0.407569,0.123140,0.596774,0.677497,0.740323,0.716113,0.251295,0.731210,0.760651,0.293333,0.419593
0.017999,0.107853,1452,1965,1260,2072,2382,2263,2380,3013,3026,1249,3290,2992,1650,2524,,0.679525,0.248862,0.170886,0.407569,0.122314,0.596774,0.675090,0.739516,0.718670,0.251295,0.732484,0.759876,0.293333,0.419593
0.018001,0.125854,1453,1965,1259,2072,2382,2263,2381,3014,3026,1249,3290,2992,1650,2524,,0.681009,0.248862,0.169620,0.407569,0.122314,0.596774,0.676294,0.740323,0.718670,0.251295,0.732484,0.759876,0.293333,0.419593
0.018001,0.143855,1452,1965,1259,2071,2382,2265,2380,3014,3026,1249,3290,2993,1650,2523,,0.679525,0.248862,0.169620,0.406114,0.122314,0.598177,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.293333,0.418669
0.018017,0.161872,1452,1965,1259,2071,2382,2265,2380,3014,3026,1249,3290,2993,1650,2523,,0.679525,0.248862,0.169620,0.406114,0.122314,0.598177,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.293333,0.418669
0.018019,0.179891,1451,1965,1259,2071,2381,2264,2380,3013,3026,1248,3290,2992,1650,2524,,0.678042,0.248862,0.169620,0.406114,0.121488,0.597475,0.675090,0.739516,0.718670,0.250000,0.732484,0.759876,0.293333,0.419593
0.017966,0.197858,1452,1965,1259,2072,2382,2264,2381,3014,3026,1250,3290,2993,1650,2523,,0.679525,0.248862,0.169620,0.407569,0.122314,0.597475,0.676294,0.740323,0.718670,0.252591,0.732484,0.760651,0.293333,0.418669
0.018003,0.215861,1453,1965,1259,2071,2382,2263,2381,3013,3026,1249,3290,2993,1651,2523,,0.681009,0.248862,0.169620,0.406114,0.122314,0.596774,0.676294,0.739516,0.718670,0.251295,0.732484,0.760651,0.294286,0.418669
0.017999,0.233859,1454,1965,1259,2072,2383,2263,2381,3014,3025,1250,3291,2993,1651,2524,,0.682493,0.248862,0.169620,0.407569,0.123140,0.596774,0.676294,0.740323,0.716113,0.252591,0.733758,0.760651,0.294286,0.419593
0.017987,0.251846,1453,1965,1260,2072,2382,2263,2380,3014,3026,1249,3290,2993,1651,2523,,0.681009,0.248862,0.170886,0.407569,0.122314,0.596774,0.675090,0.740323,0.718670,0.251295,0.732484,0.760651,0.294286,0.418669
0.018010,0.269856,1452,1965,1260,2071,2381,2263,2380,3014,3025,1249,3290,2993,1651,2524,,0.679525,0.248862,0.170886,0.406114,0.121488,0.596774,0.675090,0.740323,0.716113,0.251295,0.732484,0.760651,0.294286,0.419593
0.018011,0.287868,1452,1965,1259,2071,2381,2263,2381,3014,3026,1249,3290,2992,1650,2525,,0.679525,0.248862,0.169620,0.406114,0.121488,0.596774,0.676294,0.740323,0.718670,0.251295,0.732484,0.759876,0.293333,0.420518
