GloveManager recording started on 11/02/16 at 15:54:39

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017524,0.017524,1523,1959,1219,2322,2985,2361,2121,2195,3097,1158,2899,3055,1535,2206,,0.784866,0.239757,0.118987,0.771470,0.620661,0.665498,0.363418,0.079839,0.900256,0.133420,0.234395,0.808675,0.183810,0.125693
0.017998,0.035521,1536,1974,1217,2314,3003,2387,2098,2219,3095,1153,2905,3057,1526,2210,,0.804154,0.262519,0.116456,0.759825,0.635537,0.683731,0.335740,0.099194,0.895141,0.126943,0.242038,0.810225,0.175238,0.129390
0.018004,0.053525,1556,1996,1221,2299,3032,2387,2072,2265,3092,1145,2915,3062,1518,2213,,0.833828,0.295903,0.121519,0.737991,0.659504,0.683731,0.304452,0.136290,0.887468,0.116580,0.254777,0.814098,0.167619,0.132163
0.017998,0.071523,1567,2010,1217,2271,3071,2383,2036,2333,3090,1137,2935,3065,1512,2217,,0.850148,0.317147,0.116456,0.697234,0.691736,0.680926,0.261131,0.191129,0.882353,0.106218,0.280255,0.816421,0.161905,0.135860
0.018001,0.089524,1569,2014,1218,2270,3077,2393,2040,2353,3092,1140,2944,3067,1516,2218,,0.853116,0.323217,0.117722,0.695779,0.696694,0.687938,0.265945,0.207258,0.887468,0.110104,0.291720,0.817971,0.165714,0.136784
0.018001,0.107526,1571,2015,1220,2273,3085,2393,2051,2377,3091,1141,2954,3067,1524,2220,,0.856083,0.324734,0.120253,0.700146,0.703306,0.687938,0.279182,0.226613,0.884910,0.111399,0.304459,0.817971,0.173333,0.138632
0.017980,0.125506,1570,2014,1223,2278,3092,2396,2067,2404,3094,1141,2968,3067,1531,2221,,0.854599,0.323217,0.124051,0.707424,0.709091,0.690042,0.298436,0.248387,0.892583,0.111399,0.322293,0.817971,0.180000,0.139556
0.018025,0.143531,1569,2013,1226,2281,3097,2399,2077,2430,3094,1143,2983,3067,1537,2224,,0.853116,0.321700,0.127848,0.711790,0.713223,0.692146,0.310469,0.269355,0.892583,0.113990,0.341401,0.817971,0.185714,0.142329
0.018000,0.161531,1568,2013,1229,2281,3107,2391,2083,2462,3092,1142,2994,3068,1541,2226,,0.851632,0.321700,0.131646,0.711790,0.721488,0.686536,0.317690,0.295161,0.887468,0.112694,0.355414,0.818745,0.189524,0.144177
0.017998,0.179530,1565,2016,1233,2277,3114,2382,2089,2487,3090,1141,3003,3069,1548,2227,,0.847181,0.326252,0.136709,0.705968,0.727273,0.680224,0.324910,0.315323,0.882353,0.111399,0.366879,0.819520,0.196190,0.145102
0.018004,0.197533,1553,2025,1235,2276,3124,2378,2107,2510,3088,1143,3009,3067,1560,2229,,0.829377,0.339909,0.139241,0.704512,0.735537,0.677419,0.346570,0.333871,0.877238,0.113990,0.374522,0.817971,0.207619,0.146950
0.018001,0.215535,1550,2027,1236,2278,3124,2376,2112,2514,3088,1143,3010,3067,1562,2230,,0.824926,0.342944,0.140506,0.707424,0.735537,0.676017,0.352587,0.337097,0.877238,0.113990,0.375796,0.817971,0.209524,0.147874
0.018000,0.233534,1548,2027,1237,2279,3123,2375,2117,2517,3088,1144,3012,3067,1563,2231,,0.821958,0.342944,0.141772,0.708879,0.734711,0.675316,0.358604,0.339516,0.877238,0.115285,0.378344,0.817971,0.210476,0.148799
0.018030,0.251565,1546,2030,1239,2282,3121,2376,2119,2517,3088,1144,3013,3068,1563,2231,,0.818991,0.347496,0.144304,0.713246,0.733058,0.676017,0.361011,0.339516,0.877238,0.115285,0.379618,0.818745,0.210476,0.148799
0.018007,0.269571,1543,2031,1240,2283,3121,2376,2119,2518,3087,1144,3014,3066,1563,2231,,0.814540,0.349014,0.145570,0.714702,0.733058,0.676017,0.361011,0.340323,0.874680,0.115285,0.380892,0.817196,0.210476,0.148799
0.017993,0.287565,1539,2033,1241,2284,3121,2374,2116,2518,3087,1145,3014,3067,1560,2231,,0.808605,0.352049,0.146835,0.716157,0.733058,0.674614,0.357401,0.340323,0.874680,0.116580,0.380892,0.817971,0.207619,0.148799
0.017997,0.305561,1536,2035,1240,2281,3116,2372,2113,2517,3087,1144,3014,3067,1558,2230,,0.804154,0.355083,0.145570,0.711790,0.728926,0.673212,0.353791,0.339516,0.874680,0.115285,0.380892,0.817971,0.205714,0.147874
0.017981,0.323543,1533,2039,1241,2279,3113,2372,2111,2517,3088,1144,3013,3067,1555,2229,,0.799703,0.361153,0.146835,0.708879,0.726446,0.673212,0.351384,0.339516,0.877238,0.115285,0.379618,0.817971,0.202857,0.146950
0.018027,0.341570,1525,2051,1245,2274,3104,2371,2108,2519,3088,1144,3012,3067,1554,2229,,0.787834,0.379363,0.151899,0.701601,0.719008,0.672511,0.347774,0.341129,0.877238,0.115285,0.378344,0.817971,0.201905,0.146950
0.017998,0.359567,1524,2059,1247,2276,3104,2371,2110,2522,3088,1144,3011,3068,1554,2228,,0.786350,0.391502,0.154430,0.704512,0.719008,0.672511,0.350181,0.343548,0.877238,0.115285,0.377070,0.818745,0.201905,0.146026
0.018008,0.377575,1523,2062,1248,2279,3104,2370,2113,2527,3088,1145,3013,3067,1554,2229,,0.784866,0.396055,0.155696,0.708879,0.719008,0.671809,0.353791,0.347581,0.877238,0.116580,0.379618,0.817971,0.201905,0.146950
0.017994,0.395569,1522,2064,1249,2283,3102,2372,2116,2531,3088,1146,3016,3067,1554,2229,,0.783383,0.399090,0.156962,0.714702,0.717355,0.673212,0.357401,0.350806,0.877238,0.117876,0.383439,0.817971,0.201905,0.146950
0.018007,0.413576,1527,2065,1248,2289,3103,2382,2118,2543,3087,1147,3025,3067,1555,2230,,0.790801,0.400607,0.155696,0.723435,0.718182,0.680224,0.359807,0.360484,0.874680,0.119171,0.394904,0.817971,0.202857,0.147874
0.017991,0.431567,1527,2065,1248,2289,3103,2382,2118,2543,3087,1147,3025,3067,1555,2230,,0.790801,0.400607,0.155696,0.723435,0.718182,0.680224,0.359807,0.360484,0.874680,0.119171,0.394904,0.817971,0.202857,0.147874
0.018001,0.449569,1530,2065,1245,2288,3107,2402,2115,2554,3086,1146,3030,3067,1556,2233,,0.795252,0.400607,0.151899,0.721980,0.721488,0.694250,0.356197,0.369355,0.872123,0.117876,0.401274,0.817971,0.203810,0.150647
0.018004,0.467573,1529,2065,1242,2286,3108,2407,2114,2559,3086,1146,3031,3066,1557,2234,,0.793769,0.400607,0.148101,0.719068,0.722314,0.697756,0.354994,0.373387,0.872123,0.117876,0.402548,0.817196,0.204762,0.151571
0.018001,0.485574,1529,2064,1243,2286,3111,2408,2113,2563,3086,1146,3032,3067,1557,2233,,0.793769,0.399090,0.149367,0.719068,0.724793,0.698457,0.353791,0.376613,0.872123,0.117876,0.403822,0.817971,0.204762,0.150647
0.018001,0.503575,1529,2066,1243,2287,3112,2408,2113,2569,3085,1145,3033,3066,1557,2234,,0.793769,0.402124,0.149367,0.720524,0.725620,0.698457,0.353791,0.381452,0.869565,0.116580,0.405096,0.817196,0.204762,0.151571
0.018000,0.521576,1528,2068,1243,2286,3113,2407,2114,2573,3085,1146,3035,3067,1557,2234,,0.792285,0.405159,0.149367,0.719068,0.726446,0.697756,0.354994,0.384677,0.869565,0.117876,0.407643,0.817971,0.204762,0.151571
0.018001,0.539577,1527,2069,1243,2286,3113,2406,2115,2577,3085,1146,3036,3067,1557,2235,,0.790801,0.406677,0.149367,0.719068,0.726446,0.697055,0.356197,0.387903,0.869565,0.117876,0.408917,0.817971,0.204762,0.152495
0.017999,0.557576,1526,2067,1243,2286,3112,2404,2115,2580,3084,1146,3035,3066,1557,2235,,0.789317,0.403642,0.149367,0.719068,0.725620,0.695652,0.356197,0.390323,0.867008,0.117876,0.407643,0.817196,0.204762,0.152495
0.018000,0.575576,1526,2063,1242,2286,3110,2399,2113,2580,3084,1144,3035,3066,1557,2233,,0.789317,0.397572,0.148101,0.719068,0.723967,0.692146,0.353791,0.390323,0.867008,0.115285,0.407643,0.817196,0.204762,0.150647
0.018018,0.593594,1527,2060,1242,2286,3110,2394,2114,2582,3084,1144,3034,3066,1556,2233,,0.790801,0.393020,0.148101,0.719068,0.723967,0.688640,0.354994,0.391935,0.867008,0.115285,0.406369,0.817196,0.203810,0.150647
