GloveManager recording started on 11/02/16 at 15:56:00

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017225,0.017225,1600,1958,1156,2406,3207,2528,2630,3189,2924,1746,3353,3004,1681,2221,,0.899110,0.238240,0.039241,0.893741,0.804132,0.782609,0.892189,0.864715,0.536688,0.895078,0.812739,0.769171,0.322857,0.139556
0.018012,0.035237,1601,1958,1155,2406,3206,2527,2630,3188,2921,1750,3352,2997,1681,2220,,0.900593,0.238240,0.037975,0.893741,0.803306,0.781907,0.892189,0.863924,0.530398,0.900259,0.811465,0.763749,0.322857,0.138632
0.017999,0.053236,1601,1958,1154,2407,3208,2528,2630,3187,2920,1752,3349,2992,1682,2221,,0.900593,0.238240,0.036709,0.895196,0.804959,0.782609,0.892189,0.863133,0.528302,0.902850,0.807643,0.759876,0.323810,0.139556
0.018001,0.071238,1601,1958,1153,2406,3208,2528,2630,3187,2917,1755,3348,2987,1682,2221,,0.900593,0.238240,0.035443,0.893741,0.804959,0.782609,0.892189,0.863133,0.522013,0.906736,0.806369,0.756003,0.323810,0.139556
0.018002,0.089240,1600,1959,1152,2406,3211,2528,2629,3187,2913,1758,3347,2979,1684,2220,,0.899110,0.239757,0.034177,0.893741,0.807438,0.782609,0.891089,0.863133,0.513627,0.910622,0.805096,0.749806,0.325714,0.138632
0.018001,0.107241,1600,1959,1152,2406,3211,2528,2629,3187,2913,1758,3347,2979,1684,2220,,0.899110,0.239757,0.034177,0.893741,0.807438,0.782609,0.891089,0.863133,0.513627,0.910622,0.805096,0.749806,0.325714,0.138632
0.017991,0.125232,1599,1960,1150,2406,3212,2529,2631,3188,2910,1762,3346,2975,1686,2220,,0.897626,0.241275,0.031646,0.893741,0.808264,0.783310,0.893289,0.863924,0.507338,0.915803,0.803822,0.746708,0.327619,0.138632
0.018000,0.143232,1599,1960,1149,2407,3213,2529,2631,3189,2909,1764,3346,2975,1686,2220,,0.897626,0.241275,0.030380,0.895196,0.809091,0.783310,0.893289,0.864715,0.505241,0.918394,0.803822,0.746708,0.327619,0.138632
0.018009,0.161242,1599,1961,1149,2407,3214,2530,2632,3190,2908,1764,3346,2977,1686,2220,,0.897626,0.242792,0.030380,0.895196,0.809917,0.784011,0.894389,0.865506,0.503145,0.918394,0.803822,0.748257,0.327619,0.138632
0.017993,0.179235,1598,1960,1149,2406,3214,2531,2633,3191,2908,1764,3347,2978,1687,2219,,0.896142,0.241275,0.030380,0.893741,0.809917,0.784712,0.895490,0.866297,0.503145,0.918394,0.805096,0.749032,0.328571,0.137708
