GloveManager recording started on 11/02/16 at 15:56:37

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017658,0.017658,1604,1956,1216,2384,3242,2531,2620,3242,3025,1994,3309,2706,1668,2155,,0.905044,0.235205,0.115190,0.861718,0.833058,0.784712,0.853945,0.906646,0.673585,0.956212,0.756688,0.538342,0.310476,0.078558
0.017889,0.035547,1604,1956,1216,2384,3243,2530,2620,3242,3025,1993,3309,2707,1670,2155,,0.905044,0.235205,0.115190,0.861718,0.833884,0.784011,0.853945,0.906646,0.673585,0.955193,0.756688,0.539117,0.312381,0.078558
0.018001,0.053549,1604,1957,1216,2384,3243,2530,2620,3242,3025,1993,3309,2708,1669,2155,,0.905044,0.236722,0.115190,0.861718,0.833884,0.784011,0.853945,0.906646,0.673585,0.955193,0.756688,0.539892,0.311429,0.078558
0.018001,0.071550,1604,1957,1216,2384,3243,2530,2621,3243,3025,1993,3310,2708,1669,2154,,0.905044,0.236722,0.115190,0.861718,0.833884,0.784011,0.855011,0.907437,0.673585,0.955193,0.757962,0.539892,0.311429,0.077634
0.018001,0.089551,1604,1957,1216,2384,3243,2531,2621,3242,3024,1992,3310,2708,1670,2155,,0.905044,0.236722,0.115190,0.861718,0.833884,0.784712,0.855011,0.906646,0.671698,0.954175,0.757962,0.539892,0.312381,0.078558
0.018012,0.107563,1604,1957,1217,2385,3243,2530,2621,3243,3024,1992,3310,2709,1668,2155,,0.905044,0.236722,0.116456,0.863173,0.833884,0.784011,0.855011,0.907437,0.671698,0.954175,0.757962,0.540666,0.310476,0.078558
0.017990,0.125553,1604,1957,1216,2385,3243,2530,2621,3242,3025,1991,3310,2710,1669,2154,,0.905044,0.236722,0.115190,0.863173,0.833884,0.784011,0.855011,0.906646,0.673585,0.953157,0.757962,0.541441,0.311429,0.077634
0.018001,0.143554,1604,1957,1216,2384,3243,2531,2620,3243,3024,1990,3310,2711,1669,2155,,0.905044,0.236722,0.115190,0.861718,0.833884,0.784712,0.853945,0.907437,0.671698,0.952138,0.757962,0.542215,0.311429,0.078558
0.018002,0.161557,1604,1958,1216,2384,3243,2531,2622,3243,3024,1990,3310,2711,1669,2155,,0.905044,0.238240,0.115190,0.861718,0.833884,0.784712,0.856077,0.907437,0.671698,0.952138,0.757962,0.542215,0.311429,0.078558
