GloveManager recording started on 11/02/16 at 15:56:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017565,0.017565,1286,1981,1605,2113,2369,2373,2424,2407,2934,1668,3408,3166,2210,2926,,0.433234,0.273141,0.607595,0.467249,0.111570,0.673913,0.644989,0.246044,0.501887,0.624236,0.882803,0.894655,0.826667,0.791128
0.018002,0.035567,1287,1982,1605,2114,2370,2373,2425,2406,2934,1668,3408,3168,2211,2926,,0.434718,0.274659,0.607595,0.468705,0.112397,0.673913,0.646055,0.245253,0.501887,0.624236,0.882803,0.896204,0.827619,0.791128
0.018004,0.053571,1287,1982,1605,2113,2369,2373,2425,2406,2934,1667,3409,3167,2211,2926,,0.434718,0.274659,0.607595,0.467249,0.111570,0.673913,0.646055,0.245253,0.501887,0.623218,0.884076,0.895430,0.827619,0.791128
0.017999,0.071570,1287,1982,1605,2113,2369,2373,2425,2406,2934,1667,3409,3167,2211,2926,,0.434718,0.274659,0.607595,0.467249,0.111570,0.673913,0.646055,0.245253,0.501887,0.623218,0.884076,0.895430,0.827619,0.791128
0.018000,0.089570,1287,1982,1605,2113,2369,2373,2425,2405,2934,1668,3408,3167,2210,2926,,0.434718,0.274659,0.607595,0.467249,0.111570,0.673913,0.646055,0.244462,0.501887,0.624236,0.882803,0.895430,0.826667,0.791128
0.018006,0.107576,1287,1982,1605,2113,2369,2373,2425,2405,2934,1668,3408,3167,2210,2926,,0.434718,0.274659,0.607595,0.467249,0.111570,0.673913,0.646055,0.244462,0.501887,0.624236,0.882803,0.895430,0.826667,0.791128
0.017995,0.125571,1288,1983,1605,2113,2369,2373,2425,2405,2935,1667,3408,3166,2210,2927,,0.436202,0.276176,0.607595,0.467249,0.111570,0.673913,0.646055,0.244462,0.503774,0.623218,0.882803,0.894655,0.826667,0.792052
0.018006,0.143577,1289,1985,1605,2112,2368,2371,2425,2405,2934,1667,3408,3167,2210,2926,,0.437685,0.279211,0.607595,0.465793,0.110744,0.672511,0.646055,0.244462,0.501887,0.623218,0.882803,0.895430,0.826667,0.791128
0.017999,0.161576,1290,1985,1606,2113,2368,2371,2424,2405,2934,1667,3408,3167,2210,2926,,0.439169,0.279211,0.608861,0.467249,0.110744,0.672511,0.644989,0.244462,0.501887,0.623218,0.882803,0.895430,0.826667,0.791128
