GloveManager recording started on 11/02/16 at 15:57:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017525,0.017525,1228,1833,1226,2152,2414,2349,2368,3193,2884,1685,3424,3110,2042,2820,,0.347181,0.071111,0.127848,0.524017,0.148760,0.657083,0.585288,0.867880,0.407547,0.641548,0.903185,0.851278,0.666667,0.693161
0.018024,0.035548,1229,1832,1226,2152,2414,2348,2367,3192,2884,1684,3424,3109,2042,2821,,0.348665,0.069630,0.127848,0.524017,0.148760,0.656381,0.584222,0.867089,0.407547,0.640530,0.903185,0.850504,0.666667,0.694085
0.017993,0.053542,1228,1832,1226,2153,2416,2348,2367,3192,2884,1685,3424,3109,2042,2820,,0.347181,0.069630,0.127848,0.525473,0.150413,0.656381,0.584222,0.867089,0.407547,0.641548,0.903185,0.850504,0.666667,0.693161
0.018001,0.071543,1228,1832,1226,2153,2416,2348,2367,3192,2884,1685,3424,3109,2042,2820,,0.347181,0.069630,0.127848,0.525473,0.150413,0.656381,0.584222,0.867089,0.407547,0.641548,0.903185,0.850504,0.666667,0.693161
0.018022,0.089565,1229,1832,1227,2154,2416,2347,2368,3193,2885,1686,3424,3109,2043,2820,,0.348665,0.069630,0.129114,0.526929,0.150413,0.655680,0.585288,0.867880,0.409434,0.642566,0.903185,0.850504,0.667619,0.693161
0.017978,0.107543,1229,1832,1226,2154,2415,2346,2367,3193,2884,1686,3424,3110,2042,2820,,0.348665,0.069630,0.127848,0.526929,0.149587,0.654979,0.584222,0.867880,0.407547,0.642566,0.903185,0.851278,0.666667,0.693161
0.017978,0.125521,1229,1832,1227,2154,2416,2346,2368,3193,2884,1686,3424,3110,2042,2821,,0.348665,0.069630,0.129114,0.526929,0.150413,0.654979,0.585288,0.867880,0.407547,0.642566,0.903185,0.851278,0.666667,0.694085
0.018031,0.143552,1230,1833,1227,2155,2416,2346,2367,3193,2885,1686,3424,3109,2042,2820,,0.350148,0.071111,0.129114,0.528384,0.150413,0.654979,0.584222,0.867880,0.409434,0.642566,0.903185,0.850504,0.666667,0.693161
0.017990,0.161542,1230,1832,1227,2155,2417,2346,2368,3192,2885,1687,3424,3110,2042,2820,,0.350148,0.069630,0.129114,0.528384,0.151240,0.654979,0.585288,0.867089,0.409434,0.643585,0.903185,0.851278,0.666667,0.693161
