GloveManager recording started on 11/02/16 at 15:57:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017586,0.017586,1592,2303,1839,2392,3147,2563,2531,3142,3047,1571,3409,3185,2291,3061,,0.887240,0.767407,0.903797,0.873362,0.754545,0.807153,0.759062,0.827532,0.715094,0.525458,0.884076,0.909373,0.903810,0.915896
0.017999,0.035584,1594,2308,1842,2393,3147,2562,2533,3142,3046,1574,3409,3186,2293,3063,,0.890208,0.774815,0.907595,0.874818,0.754545,0.806452,0.761194,0.827532,0.713208,0.528513,0.884076,0.910147,0.905714,0.917745
0.017980,0.053564,1594,2308,1842,2393,3147,2562,2533,3142,3046,1574,3409,3186,2293,3063,,0.890208,0.774815,0.907595,0.874818,0.754545,0.806452,0.761194,0.827532,0.713208,0.528513,0.884076,0.910147,0.905714,0.917745
0.018022,0.071586,1597,2311,1843,2395,3146,2560,2536,3141,3046,1574,3409,3188,2294,3065,,0.894659,0.779259,0.908861,0.877729,0.753719,0.805049,0.764392,0.826741,0.713208,0.528513,0.884076,0.911696,0.906667,0.919593
0.018001,0.089587,1598,2312,1843,2395,3145,2560,2537,3142,3045,1575,3409,3188,2295,3065,,0.896142,0.780741,0.908861,0.877729,0.752893,0.805049,0.765458,0.827532,0.711321,0.529532,0.884076,0.911696,0.907619,0.919593
0.018011,0.107598,1598,2312,1844,2395,3143,2559,2539,3142,3045,1575,3408,3189,2296,3065,,0.896142,0.780741,0.910127,0.877729,0.751240,0.804348,0.767591,0.827532,0.711321,0.529532,0.882803,0.912471,0.908571,0.919593
0.017995,0.125593,1599,2314,1845,2396,3144,2559,2539,3142,3045,1577,3407,3191,2297,3065,,0.897626,0.783704,0.911392,0.879185,0.752066,0.804348,0.767591,0.827532,0.711321,0.531568,0.881529,0.914020,0.909524,0.919593
0.017979,0.143572,1601,2315,1846,2397,3144,2558,2541,3142,3045,1576,3409,3191,2298,3067,,0.900593,0.785185,0.912658,0.880640,0.752066,0.803647,0.769723,0.827532,0.711321,0.530550,0.884076,0.914020,0.910476,0.921442
0.018000,0.161571,1601,2315,1846,2397,3144,2558,2541,3142,3045,1576,3409,3191,2298,3067,,0.900593,0.785185,0.912658,0.880640,0.752066,0.803647,0.769723,0.827532,0.711321,0.530550,0.882803,0.914020,0.910476,0.920518
0.018023,0.179594,1601,2316,1847,2397,3144,2559,2543,3141,3045,1577,3407,3191,2298,3066,,0.900593,0.786667,0.913924,0.880640,0.752066,0.804348,0.771855,0.826741,0.711321,0.531568,0.881529,0.914020,0.910476,0.920518
0.018001,0.197596,1602,2316,1846,2397,3144,2558,2543,3142,3045,1577,3408,3191,2298,3066,,0.902077,0.786667,0.912658,0.880640,0.752066,0.803647,0.771855,0.827532,0.711321,0.531568,0.882803,0.914020,0.910476,0.920518
0.017999,0.215595,1603,2316,1847,2398,3144,2559,2544,3143,3045,1577,3408,3192,2298,3068,,0.903561,0.786667,0.913924,0.882096,0.752066,0.804348,0.772921,0.828323,0.711321,0.531568,0.882803,0.914795,0.910476,0.922366
0.018004,0.233599,1603,2318,1849,2398,3145,2558,2545,3142,3045,1576,3408,3191,2297,3067,,0.903561,0.789630,0.916456,0.882096,0.752893,0.803647,0.773987,0.827532,0.711321,0.530550,0.882803,0.914020,0.909524,0.921442
0.017996,0.251595,1603,2318,1849,2398,3145,2558,2545,3142,3045,1576,3408,3191,2297,3067,,0.903561,0.789630,0.916456,0.882096,0.752893,0.803647,0.773987,0.827532,0.711321,0.530550,0.882803,0.914020,0.909524,0.921442
0.018004,0.269599,1604,2320,1851,2398,3145,2558,2546,3141,3044,1577,3407,3190,2298,3068,,0.905044,0.792593,0.918987,0.882096,0.752893,0.803647,0.775053,0.826741,0.709434,0.531568,0.881529,0.913246,0.910476,0.922366
0.018000,0.287600,1605,2322,1852,2398,3145,2557,2546,3141,3045,1577,3407,3191,2297,3069,,0.906528,0.795556,0.920253,0.882096,0.752893,0.802945,0.775053,0.826741,0.711321,0.531568,0.881529,0.914020,0.909524,0.923290
0.018048,0.305648,1605,2322,1852,2398,3145,2557,2546,3140,3045,1577,3408,3191,2298,3069,,0.906528,0.795556,0.920253,0.882096,0.752893,0.802945,0.775053,0.825949,0.711321,0.531568,0.882803,0.914020,0.910476,0.923290
0.017955,0.323602,1606,2323,1852,2398,3145,2558,2546,3140,3044,1576,3408,3191,2297,3069,,0.908012,0.797037,0.920253,0.882096,0.752893,0.803647,0.775053,0.825949,0.709434,0.530550,0.882803,0.914020,0.909524,0.923290
0.018001,0.341603,1606,2325,1853,2399,3144,2557,2547,3140,3044,1576,3408,3190,2297,3069,,0.908012,0.800000,0.921519,0.883552,0.752066,0.802945,0.776119,0.825949,0.709434,0.530550,0.882803,0.913246,0.909524,0.923290
0.017998,0.359601,1606,2325,1853,2399,3144,2557,2547,3140,3044,1576,3408,3190,2297,3069,,0.908012,0.800000,0.921519,0.883552,0.752066,0.802945,0.776119,0.825949,0.709434,0.530550,0.882803,0.913246,0.909524,0.923290
0.018001,0.377602,1607,2325,1854,2399,3143,2556,2548,3140,3044,1576,3408,3191,2296,3071,,0.909496,0.800000,0.922785,0.883552,0.751240,0.802244,0.777185,0.825949,0.709434,0.530550,0.882803,0.914020,0.908571,0.925139
0.017981,0.395584,1607,2327,1854,2399,3143,2556,2548,3140,3044,1577,3408,3191,2297,3071,,0.909496,0.802963,0.922785,0.883552,0.751240,0.802244,0.777185,0.825949,0.709434,0.531568,0.882803,0.914020,0.909524,0.925139
0.018027,0.413610,1607,2327,1854,2399,3143,2556,2548,3140,3045,1576,3407,3191,2296,3071,,0.909496,0.802963,0.922785,0.883552,0.751240,0.802244,0.777185,0.825949,0.711321,0.530550,0.881529,0.914020,0.908571,0.925139
0.017995,0.431605,1608,2327,1853,2400,3144,2556,2549,3139,3044,1577,3407,3191,2297,3071,,0.910979,0.802963,0.921519,0.885007,0.752066,0.802244,0.778252,0.825158,0.709434,0.531568,0.881529,0.914020,0.909524,0.925139
0.018001,0.449607,1608,2329,1855,2400,3143,2556,2550,3139,3044,1577,3408,3190,2297,3072,,0.910979,0.805926,0.924051,0.885007,0.751240,0.802244,0.779318,0.825158,0.709434,0.531568,0.882803,0.913246,0.909524,0.926063
0.018000,0.467607,1608,2329,1854,2399,3143,2556,2549,3139,3044,1576,3408,3190,2297,3072,,0.910979,0.805926,0.922785,0.883552,0.751240,0.802244,0.778252,0.825158,0.709434,0.530550,0.882803,0.913246,0.909524,0.926063
0.018002,0.485609,1609,2330,1856,2400,3143,2555,2550,3138,3044,1575,3408,3190,2297,3072,,0.912463,0.807407,0.925316,0.885007,0.751240,0.801543,0.779318,0.824367,0.709434,0.529532,0.882803,0.913246,0.909524,0.926063
0.018004,0.503613,1610,2331,1856,2400,3143,2555,2550,3138,3043,1577,3408,3190,2296,3072,,0.913947,0.808889,0.925316,0.885007,0.751240,0.801543,0.779318,0.824367,0.707547,0.531568,0.882803,0.913246,0.908571,0.926063
0.017998,0.521610,1610,2333,1856,2400,3142,2555,2550,3139,3043,1577,3407,3190,2297,3072,,0.913947,0.811852,0.925316,0.885007,0.750413,0.801543,0.779318,0.825158,0.707547,0.531568,0.881529,0.913246,0.909524,0.926063
0.018000,0.539611,1611,2334,1857,2401,3143,2556,2550,3137,3043,1577,3408,3190,2298,3072,,0.915430,0.813333,0.926582,0.886463,0.751240,0.802244,0.779318,0.823576,0.707547,0.531568,0.882803,0.913246,0.910476,0.926063
0.018005,0.557615,1611,2334,1858,2401,3142,2555,2550,3139,3043,1576,3408,3190,2297,3071,,0.915430,0.813333,0.927848,0.886463,0.750413,0.801543,0.779318,0.825158,0.707547,0.530550,0.882803,0.913246,0.909524,0.925139
0.018011,0.575627,1611,2334,1857,2400,3143,2556,2550,3138,3043,1576,3407,3191,2297,3071,,0.915430,0.813333,0.926582,0.885007,0.751240,0.802244,0.779318,0.824367,0.707547,0.530550,0.881529,0.914020,0.909524,0.925139
0.017987,0.593613,1611,2334,1858,2401,3142,2555,2550,3138,3043,1576,3407,3190,2298,3072,,0.915430,0.813333,0.927848,0.886463,0.750413,0.801543,0.779318,0.824367,0.707547,0.530550,0.881529,0.913246,0.910476,0.926063
0.018006,0.611619,1612,2335,1858,2401,3142,2555,2549,3138,3043,1575,3407,3191,2297,3071,,0.916914,0.814815,0.927848,0.886463,0.750413,0.801543,0.778252,0.824367,0.707547,0.529532,0.881529,0.914020,0.909524,0.925139
0.018001,0.629620,1612,2335,1857,2401,3142,2555,2550,3138,3042,1575,3408,3190,2297,3071,,0.916914,0.814815,0.926582,0.886463,0.750413,0.801543,0.779318,0.824367,0.705660,0.529532,0.882803,0.913246,0.909524,0.925139
0.018098,0.647719,1612,2335,1858,2400,3142,2555,2550,3139,3043,1576,3408,3190,2297,3071,,0.916914,0.814815,0.927848,0.885007,0.750413,0.801543,0.779318,0.825158,0.707547,0.530550,0.882803,0.913246,0.909524,0.925139
0.017902,0.665621,1612,2335,1858,2400,3142,2556,2551,3139,3042,1576,3407,3191,2297,3071,,0.916914,0.814815,0.927848,0.885007,0.750413,0.802244,0.780384,0.825158,0.705660,0.530550,0.881529,0.914020,0.909524,0.925139
0.018000,0.683621,1612,2335,1859,2401,3142,2555,2550,3139,3042,1576,3408,3191,2298,3072,,0.916914,0.814815,0.929114,0.886463,0.750413,0.801543,0.779318,0.825158,0.705660,0.530550,0.882803,0.914020,0.910476,0.926063
0.017998,0.701619,1613,2335,1859,2402,3142,2556,2551,3139,3043,1576,3407,3191,2298,3072,,0.918398,0.814815,0.929114,0.887918,0.750413,0.802244,0.780384,0.825158,0.707547,0.530550,0.881529,0.914020,0.910476,0.926063
0.018002,0.719621,1614,2336,1859,2401,3142,2556,2550,3139,3043,1576,3407,3191,2298,3072,,0.919881,0.816296,0.929114,0.886463,0.750413,0.802244,0.779318,0.825158,0.707547,0.530550,0.881529,0.914020,0.910476,0.926063
0.018000,0.737621,1614,2336,1860,2401,3142,2556,2550,3139,3043,1576,3408,3191,2297,3070,,0.919881,0.816296,0.930380,0.886463,0.750413,0.802244,0.779318,0.825158,0.707547,0.530550,0.882803,0.914020,0.909524,0.924214
0.018004,0.755625,1614,2336,1860,2401,3142,2556,2550,3139,3043,1576,3408,3191,2297,3070,,0.919881,0.816296,0.930380,0.886463,0.750413,0.802244,0.779318,0.825158,0.707547,0.530550,0.882803,0.914020,0.909524,0.924214
0.018005,0.773631,1614,2337,1859,2401,3143,2555,2550,3139,3043,1576,3407,3191,2297,3071,,0.919881,0.817778,0.929114,0.886463,0.751240,0.801543,0.779318,0.825158,0.707547,0.530550,0.881529,0.914020,0.909524,0.925139
0.018003,0.791634,1615,2337,1860,2400,3143,2555,2550,3139,3043,1576,3408,3191,2298,3071,,0.921365,0.817778,0.930380,0.885007,0.751240,0.801543,0.779318,0.825158,0.707547,0.530550,0.882803,0.914020,0.910476,0.925139
0.017991,0.809625,1615,2337,1860,2400,3143,2555,2551,3139,3043,1576,3407,3192,2297,3071,,0.921365,0.817778,0.930380,0.885007,0.751240,0.801543,0.780384,0.825158,0.707547,0.530550,0.881529,0.914795,0.909524,0.925139
0.018005,0.827630,1616,2337,1861,2401,3143,2555,2551,3139,3043,1576,3408,3191,2298,3071,,0.922849,0.817778,0.931646,0.886463,0.751240,0.801543,0.780384,0.825158,0.707547,0.530550,0.882803,0.914020,0.910476,0.925139
0.017998,0.845628,1616,2337,1861,2401,3143,2555,2551,3139,3043,1576,3408,3191,2298,3071,,0.922849,0.817778,0.931646,0.886463,0.751240,0.801543,0.780384,0.825158,0.707547,0.530550,0.882803,0.914020,0.910476,0.925139
0.018003,0.863631,1616,2338,1861,2401,3143,2555,2550,3139,3043,1575,3408,3192,2298,3071,,0.922849,0.819259,0.931646,0.886463,0.751240,0.801543,0.779318,0.825158,0.707547,0.529532,0.882803,0.914795,0.910476,0.925139
0.017980,0.881611,1617,2338,1861,2402,3143,2555,2551,3140,3043,1576,3407,3192,2298,3071,,0.924332,0.819259,0.931646,0.887918,0.751240,0.801543,0.780384,0.825949,0.707547,0.530550,0.881529,0.914795,0.910476,0.925139
0.017998,0.899609,1617,2338,1862,2401,3143,2555,2551,3139,3043,1576,3407,3190,2297,3070,,0.924332,0.819259,0.932911,0.886463,0.751240,0.801543,0.780384,0.825158,0.707547,0.530550,0.881529,0.913246,0.909524,0.924214
0.018023,0.917632,1616,2338,1861,2401,3144,2556,2551,3139,3043,1576,3407,3191,2298,3070,,0.922849,0.819259,0.931646,0.886463,0.752066,0.802244,0.780384,0.825158,0.707547,0.530550,0.881529,0.914020,0.910476,0.924214
0.018001,0.935633,1617,2339,1861,2401,3144,2556,2550,3139,3043,1576,3407,3192,2299,3071,,0.924332,0.820741,0.931646,0.886463,0.752066,0.802244,0.779318,0.825158,0.707547,0.530550,0.881529,0.914795,0.911429,0.925139
0.018010,0.953642,1616,2338,1862,2401,3144,2555,2551,3139,3043,1576,3407,3192,2298,3070,,0.922849,0.819259,0.932911,0.886463,0.752066,0.801543,0.780384,0.825158,0.707547,0.530550,0.881529,0.914795,0.910476,0.924214
