GloveManager recording started on 11/02/16 at 15:58:00

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017385,0.017385,1645,2256,1804,2392,3117,2592,2551,3069,3033,1701,3416,3221,2265,3026,,0.965875,0.697778,0.859494,0.873362,0.729752,0.827489,0.780384,0.769778,0.688679,0.657841,0.892994,0.937258,0.879048,0.883549
0.018000,0.035385,1644,2256,1804,2391,3116,2593,2552,3069,3034,1701,3415,3220,2266,3028,,0.964392,0.697778,0.859494,0.871907,0.728926,0.828191,0.781450,0.769778,0.690566,0.657841,0.891720,0.936483,0.880000,0.885397
0.018001,0.053387,1645,2257,1804,2392,3116,2592,2552,3068,3034,1701,3415,3220,2266,3027,,0.965875,0.699259,0.859494,0.873362,0.728926,0.827489,0.781450,0.768987,0.690566,0.657841,0.891720,0.936483,0.880000,0.884473
0.018000,0.071387,1645,2257,1804,2392,3116,2592,2552,3068,3034,1701,3415,3220,2266,3027,,0.965875,0.699259,0.859494,0.873362,0.728926,0.827489,0.781450,0.768987,0.690566,0.657841,0.891720,0.936483,0.880000,0.884473
0.018002,0.089389,1644,2255,1804,2391,3116,2591,2551,3069,3034,1701,3416,3221,2266,3028,,0.964392,0.696296,0.859494,0.871907,0.728926,0.826788,0.780384,0.769778,0.690566,0.657841,0.892994,0.937258,0.880000,0.885397
0.018001,0.107390,1645,2256,1805,2391,3116,2592,2551,3069,3033,1701,3416,3221,2267,3027,,0.965875,0.697778,0.860759,0.871907,0.728926,0.827489,0.780384,0.769778,0.688679,0.657841,0.892994,0.937258,0.880952,0.884473
0.018000,0.125390,1645,2256,1805,2392,3117,2592,2551,3068,3033,1701,3416,3221,2266,3027,,0.965875,0.697778,0.860759,0.873362,0.729752,0.827489,0.780384,0.768987,0.688679,0.657841,0.892994,0.937258,0.880000,0.884473
0.018004,0.143394,1645,2256,1805,2392,3117,2592,2551,3068,3033,1701,3416,3221,2266,3027,,0.965875,0.697778,0.860759,0.873362,0.729752,0.827489,0.780384,0.768987,0.688679,0.657841,0.892994,0.937258,0.880000,0.884473
0.017999,0.161393,1645,2256,1804,2391,3116,2592,2551,3069,3033,1702,3416,3221,2266,3027,,0.965875,0.697778,0.859494,0.871907,0.728926,0.827489,0.780384,0.769778,0.688679,0.658859,0.892994,0.937258,0.880000,0.884473
0.018000,0.179393,1645,2257,1804,2391,3116,2591,2551,3068,3032,1701,3416,3220,2266,3027,,0.965875,0.699259,0.859494,0.871907,0.728926,0.826788,0.780384,0.768987,0.686792,0.657841,0.892994,0.936483,0.880000,0.884473
0.018021,0.197414,1645,2256,1805,2392,3116,2592,2552,3069,3033,1701,3415,3220,2267,3027,,0.965875,0.697778,0.860759,0.873362,0.728926,0.827489,0.781450,0.769778,0.688679,0.657841,0.891720,0.936483,0.880952,0.884473
0.017982,0.215395,1646,2257,1804,2392,3117,2592,2552,3069,3034,1702,3416,3221,2266,3027,,0.967359,0.699259,0.859494,0.873362,0.729752,0.827489,0.781450,0.769778,0.690566,0.658859,0.892994,0.937258,0.880000,0.884473
0.018000,0.233396,1646,2257,1804,2392,3116,2592,2552,3069,3033,1702,3416,3221,2267,3027,,0.967359,0.699259,0.859494,0.873362,0.728926,0.827489,0.781450,0.769778,0.688679,0.658859,0.892994,0.937258,0.880952,0.884473
0.018005,0.251401,1646,2256,1804,2392,3115,2593,2551,3069,3034,1702,3416,3220,2267,3027,,0.967359,0.697778,0.859494,0.873362,0.728099,0.828191,0.780384,0.769778,0.690566,0.658859,0.892994,0.936483,0.880952,0.884473
0.018001,0.269402,1646,2256,1804,2392,3117,2593,2552,3069,3034,1702,3415,3221,2267,3027,,0.967359,0.697778,0.859494,0.873362,0.729752,0.828191,0.781450,0.769778,0.690566,0.658859,0.891720,0.937258,0.880952,0.884473
0.017998,0.287400,1646,2256,1804,2392,3117,2593,2552,3069,3034,1702,3415,3221,2267,3027,,0.967359,0.697778,0.859494,0.873362,0.729752,0.828191,0.781450,0.769778,0.690566,0.658859,0.891720,0.937258,0.880952,0.884473
0.018001,0.305401,1645,2256,1804,2391,3116,2592,2552,3070,3033,1702,3416,3222,2266,3027,,0.965875,0.697778,0.859494,0.871907,0.728926,0.827489,0.781450,0.770570,0.688679,0.658859,0.892994,0.938033,0.880000,0.884473
0.018001,0.323403,1645,2257,1805,2391,3116,2591,2551,3069,3033,1701,3416,3221,2266,3027,,0.965875,0.699259,0.860759,0.871907,0.728926,0.826788,0.780384,0.769778,0.688679,0.657841,0.892994,0.937258,0.880000,0.884473
0.018000,0.341403,1646,2257,1804,2391,3116,2592,2551,3069,3033,1702,3416,3221,2267,3027,,0.967359,0.699259,0.859494,0.871907,0.728926,0.827489,0.780384,0.769778,0.688679,0.658859,0.892994,0.937258,0.880952,0.884473
0.018000,0.359403,1646,2257,1805,2392,3116,2593,2552,3068,3033,1701,3416,3221,2272,3027,,0.967359,0.699259,0.860759,0.873362,0.728926,0.828191,0.781450,0.768987,0.688679,0.657841,0.892994,0.937258,0.885714,0.884473
0.018001,0.377405,1645,2257,1805,2392,3117,2592,2550,3068,3032,1701,3416,3221,2267,3027,,0.965875,0.699259,0.860759,0.873362,0.729752,0.827489,0.779318,0.768987,0.686792,0.657841,0.892994,0.937258,0.880952,0.884473
0.018000,0.395405,1645,2256,1805,2391,3115,2592,2551,3070,3033,1702,3417,3221,2266,3027,,0.965875,0.697778,0.860759,0.871907,0.728099,0.827489,0.780384,0.770570,0.688679,0.658859,0.894267,0.937258,0.880000,0.884473
0.018001,0.413407,1645,2256,1805,2391,3115,2592,2551,3070,3033,1702,3417,3221,2266,3027,,0.965875,0.697778,0.860759,0.871907,0.728099,0.827489,0.780384,0.770570,0.688679,0.658859,0.894267,0.937258,0.880000,0.884473
