GloveManager recording started on 11/02/16 at 15:59:41

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017554,0.017554,1265,1844,1385,2338,2405,2492,2657,3242,3038,1617,3434,3166,1789,2816,,0.379021,0.087407,0.329114,0.731903,0.141322,0.757363,0.893390,0.906646,0.698113,0.572301,0.915924,0.894655,0.425714,0.689464
0.018000,0.035554,1264,1844,1386,2338,2405,2492,2657,3242,3037,1618,3435,3166,1788,2816,,0.377622,0.087407,0.330380,0.731903,0.141322,0.757363,0.893390,0.906646,0.696226,0.573320,0.917197,0.894655,0.424762,0.689464
0.018004,0.053558,1263,1845,1386,2338,2406,2492,2657,3242,3037,1617,3435,3166,1787,2816,,0.376224,0.088889,0.330380,0.731903,0.142149,0.757363,0.893390,0.906646,0.696226,0.572301,0.917197,0.894655,0.423810,0.689464
0.018000,0.071559,1263,1843,1386,2338,2406,2492,2658,3242,3037,1618,3436,3166,1788,2816,,0.376224,0.085926,0.330380,0.731903,0.142149,0.757363,0.894456,0.906646,0.696226,0.573320,0.918471,0.894655,0.424762,0.689464
0.018001,0.089560,1263,1843,1386,2338,2405,2493,2657,3242,3037,1617,3435,3166,1788,2816,,0.376224,0.085926,0.330380,0.731903,0.141322,0.758065,0.893390,0.906646,0.696226,0.572301,0.917197,0.894655,0.424762,0.689464
0.018001,0.107561,1263,1844,1387,2338,2406,2493,2658,3242,3038,1617,3436,3166,1788,2816,,0.376224,0.087407,0.331646,0.731903,0.142149,0.758065,0.894456,0.906646,0.698113,0.572301,0.918471,0.894655,0.424762,0.689464
0.018001,0.125562,1263,1844,1387,2338,2406,2493,2658,3242,3038,1617,3436,3166,1788,2816,,0.376224,0.087407,0.331646,0.731903,0.142149,0.758065,0.894456,0.906646,0.698113,0.572301,0.918471,0.894655,0.424762,0.689464
0.017998,0.143560,1263,1843,1385,2338,2404,2493,2657,3242,3038,1616,3435,3165,1787,2816,,0.376224,0.085926,0.329114,0.731903,0.140496,0.758065,0.893390,0.906646,0.698113,0.571283,0.917197,0.893881,0.423810,0.689464
0.018005,0.161565,1263,1843,1385,2337,2404,2493,2656,3242,3038,1615,3436,3165,1787,2816,,0.376224,0.085926,0.329114,0.730563,0.140496,0.758065,0.892324,0.906646,0.698113,0.570265,0.918471,0.893881,0.423810,0.689464
0.017997,0.179562,1263,1844,1385,2336,2404,2494,2657,3242,3038,1615,3435,3166,1787,2816,,0.376224,0.087407,0.329114,0.729223,0.140496,0.758766,0.893390,0.906646,0.698113,0.570265,0.917197,0.894655,0.423810,0.689464
0.018000,0.197562,1264,1844,1386,2337,2405,2493,2656,3242,3038,1615,3435,3165,1786,2816,,0.377622,0.087407,0.330380,0.730563,0.141322,0.758065,0.892324,0.906646,0.698113,0.570265,0.917197,0.893881,0.422857,0.689464
0.018007,0.215569,1264,1843,1386,2337,2404,2494,2657,3242,3038,1614,3435,3164,1787,2816,,0.377622,0.085926,0.330380,0.730563,0.140496,0.758766,0.893390,0.906646,0.698113,0.569246,0.917197,0.893106,0.423810,0.689464
0.017996,0.233565,1264,1844,1385,2337,2405,2494,2657,3242,3038,1612,3436,3165,1786,2816,,0.377622,0.087407,0.329114,0.730563,0.141322,0.758766,0.893390,0.906646,0.698113,0.567210,0.918471,0.893881,0.422857,0.689464
0.018004,0.251569,1264,1843,1386,2336,2404,2494,2656,3242,3038,1613,3435,3165,1786,2815,,0.377622,0.085926,0.330380,0.729223,0.140496,0.758766,0.892324,0.906646,0.698113,0.568228,0.917197,0.893881,0.422857,0.688540
0.018001,0.269570,1264,1844,1386,2336,2404,2494,2656,3242,3037,1614,3436,3165,1786,2815,,0.377622,0.087407,0.330380,0.729223,0.140496,0.758766,0.892324,0.906646,0.696226,0.569246,0.918471,0.893881,0.422857,0.688540
0.018000,0.287571,1264,1843,1385,2336,2404,2494,2656,3241,3037,1613,3435,3166,1786,2816,,0.377622,0.085926,0.329114,0.729223,0.140496,0.758766,0.892324,0.905854,0.696226,0.568228,0.917197,0.894655,0.422857,0.689464
0.018003,0.305574,1265,1844,1386,2336,2405,2493,2657,3242,3038,1613,3435,3165,1786,2815,,0.379021,0.087407,0.330380,0.729223,0.141322,0.758065,0.893390,0.906646,0.698113,0.568228,0.917197,0.893881,0.422857,0.688540
0.017999,0.323573,1264,1844,1386,2335,2404,2495,2657,3242,3038,1613,3435,3165,1786,2815,,0.377622,0.087407,0.330380,0.727882,0.140496,0.759467,0.893390,0.906646,0.698113,0.568228,0.917197,0.893881,0.422857,0.688540
0.017998,0.341570,1264,1844,1386,2335,2404,2495,2657,3242,3038,1613,3435,3165,1786,2815,,0.377622,0.087407,0.330380,0.727882,0.140496,0.759467,0.893390,0.906646,0.698113,0.568228,0.917197,0.893881,0.422857,0.688540
0.018001,0.359572,1264,1844,1385,2336,2403,2494,2657,3241,3037,1613,3436,3166,1786,2816,,0.377622,0.087407,0.329114,0.729223,0.139669,0.758766,0.893390,0.905854,0.696226,0.568228,0.918471,0.894655,0.422857,0.689464
0.018004,0.377576,1265,1844,1387,2337,2404,2496,2657,3242,3037,1613,3435,3166,1786,2816,,0.379021,0.087407,0.331646,0.730563,0.140496,0.760168,0.893390,0.906646,0.696226,0.568228,0.917197,0.894655,0.422857,0.689464
0.017993,0.395569,1265,1844,1388,2337,2404,2496,2657,3241,3038,1614,3436,3166,1786,2816,,0.379021,0.087407,0.332911,0.730563,0.140496,0.760168,0.893390,0.905854,0.698113,0.569246,0.918471,0.894655,0.422857,0.689464
0.018014,0.413582,1265,1843,1388,2336,2404,2496,2657,3242,3038,1614,3435,3166,1786,2816,,0.379021,0.085926,0.332911,0.729223,0.140496,0.760168,0.893390,0.906646,0.698113,0.569246,0.917197,0.894655,0.422857,0.689464
0.018017,0.431599,1265,1844,1387,2336,2404,2496,2658,3242,3038,1615,3435,3165,1787,2816,,0.379021,0.087407,0.331646,0.729223,0.140496,0.760168,0.894456,0.906646,0.698113,0.570265,0.917197,0.893881,0.423810,0.689464
0.018005,0.449605,1265,1843,1388,2337,2404,2496,2658,3242,3037,1616,3438,3166,1787,2817,,0.379021,0.085926,0.332911,0.730563,0.140496,0.760168,0.894456,0.906646,0.696226,0.571283,0.921019,0.894655,0.423810,0.690388
0.018003,0.467608,1265,1843,1388,2337,2404,2496,2658,3242,3037,1616,3438,3166,1787,2817,,0.379021,0.085926,0.332911,0.730563,0.140496,0.760168,0.894456,0.906646,0.696226,0.571283,0.921019,0.894655,0.423810,0.690388
0.017993,0.485601,1263,1842,1391,2337,2404,2498,2660,3243,3037,1618,3441,3166,1788,2821,,0.376224,0.084444,0.336709,0.730563,0.140496,0.761571,0.896589,0.907437,0.696226,0.573320,0.924841,0.894655,0.424762,0.694085
0.018016,0.503617,1263,1842,1391,2337,2404,2499,2660,3243,3036,1618,3442,3165,1787,2821,,0.376224,0.084444,0.336709,0.730563,0.140496,0.762272,0.896589,0.907437,0.694340,0.573320,0.926115,0.893881,0.423810,0.694085
0.017993,0.521610,1263,1842,1391,2338,2404,2498,2660,3243,3037,1618,3444,3165,1788,2822,,0.376224,0.084444,0.336709,0.731903,0.140496,0.761571,0.896589,0.907437,0.696226,0.573320,0.928662,0.893881,0.424762,0.695009
0.018000,0.539609,1262,1842,1391,2337,2403,2499,2660,3242,3037,1616,3443,3164,1788,2820,,0.374825,0.084444,0.336709,0.730563,0.139669,0.762272,0.896589,0.906646,0.696226,0.571283,0.927389,0.893106,0.424762,0.693161
0.017998,0.557607,1262,1842,1391,2337,2403,2499,2661,3243,3037,1616,3445,3166,1787,2822,,0.374825,0.084444,0.336709,0.730563,0.139669,0.762272,0.897655,0.907437,0.696226,0.571283,0.929936,0.894655,0.423810,0.695009
0.017976,0.575583,1262,1843,1392,2337,2403,2500,2661,3243,3037,1615,3444,3165,1788,2822,,0.374825,0.085926,0.337975,0.730563,0.139669,0.762973,0.897655,0.907437,0.696226,0.570265,0.928662,0.893881,0.424762,0.695009
0.018032,0.593615,1261,1843,1391,2337,2404,2500,2662,3243,3037,1616,3445,3165,1788,2822,,0.373427,0.085926,0.336709,0.730563,0.140496,0.762973,0.898721,0.907437,0.696226,0.571283,0.929936,0.893881,0.424762,0.695009
