GloveManager recording started on 11/02/16 at 15:59:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017267,0.017267,1582,2126,1724,2022,2294,2593,1932,2393,2957,1405,3501,3127,1844,2950,,0.822378,0.505185,0.758228,0.308311,0.049587,0.828191,0.120469,0.234968,0.545283,0.356415,0.993679,0.864446,0.478095,0.813309
0.018021,0.035288,1582,2126,1724,2022,2294,2593,1932,2393,2957,1405,3501,3127,1844,2950,,0.822378,0.505185,0.758228,0.308311,0.049587,0.828191,0.120469,0.234968,0.545283,0.356415,0.993679,0.864446,0.478095,0.813309
0.018009,0.053297,1582,2126,1724,2022,2294,2592,1934,2392,2957,1405,3502,3127,1844,2950,,0.822378,0.505185,0.758228,0.308311,0.049587,0.827489,0.122601,0.234177,0.545283,0.356415,0.994943,0.864446,0.478095,0.813309
0.017971,0.071269,1583,2126,1724,2021,2294,2592,1932,2392,2957,1404,3502,3127,1843,2950,,0.823776,0.505185,0.758228,0.306971,0.049587,0.827489,0.120469,0.234177,0.545283,0.355397,0.994943,0.864446,0.477143,0.813309
0.018004,0.089273,1583,2126,1725,2022,2294,2592,1931,2392,2956,1405,3501,3126,1844,2950,,0.823776,0.505185,0.759494,0.308311,0.049587,0.827489,0.119403,0.234177,0.543396,0.356415,0.993679,0.863672,0.478095,0.813309
0.018033,0.107306,1582,2126,1723,2021,2294,2591,1930,2392,2956,1402,3501,3126,1843,2950,,0.822378,0.505185,0.756962,0.306971,0.049587,0.826788,0.118337,0.234177,0.543396,0.353360,0.993679,0.863672,0.477143,0.813309
0.017996,0.125302,1583,2126,1724,2021,2294,2592,1931,2392,2956,1403,3501,3127,1842,2950,,0.823776,0.505185,0.758228,0.306971,0.049587,0.827489,0.119403,0.234177,0.543396,0.354379,0.993679,0.864446,0.476190,0.813309
0.017996,0.143298,1582,2126,1724,2022,2294,2591,1935,2390,2957,1403,3501,3127,1843,2950,,0.822378,0.505185,0.758228,0.308311,0.049587,0.826788,0.123667,0.232595,0.545283,0.354379,0.993679,0.864446,0.477143,0.813309
0.018006,0.161304,1583,2125,1724,2022,2294,2592,1936,2391,2957,1403,3501,3127,1843,2950,,0.823776,0.503704,0.758228,0.308311,0.049587,0.827489,0.124733,0.233386,0.545283,0.354379,0.993679,0.864446,0.477143,0.813309
