GloveManager recording started on 11/02/16 at 16:00:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017670,0.017670,1594,2054,1118,2570,3471,2610,2606,3299,2950,1616,3428,3117,1699,3071,,0.839161,0.398519,0.072177,0.996159,0.991186,0.840112,0.816390,0.951741,0.532075,0.571283,0.901391,0.856700,0.340000,0.925139
0.018001,0.035671,1593,2054,1118,2570,3471,2610,2606,3298,2949,1616,3428,3118,1699,3071,,0.837762,0.398519,0.072177,0.996159,0.991186,0.840112,0.816390,0.950949,0.530189,0.571283,0.901391,0.857475,0.340000,0.925139
0.018133,0.053804,1593,2053,1119,2570,3471,2610,2605,3299,2950,1616,3428,3118,1699,3071,,0.837762,0.397037,0.073341,0.996159,0.991186,0.840112,0.815353,0.951741,0.532075,0.571283,0.901391,0.857475,0.340000,0.925139
0.017871,0.071675,1593,2054,1119,2570,3471,2610,2605,3299,2949,1615,3428,3117,1698,3071,,0.837762,0.398519,0.073341,0.996159,0.991186,0.840112,0.815353,0.951741,0.530189,0.570265,0.901391,0.856700,0.339048,0.925139
0.017999,0.089674,1593,2053,1119,2571,3470,2610,2605,3300,2950,1614,3428,3117,1698,3070,,0.837762,0.397037,0.073341,0.997439,0.990385,0.840112,0.815353,0.952532,0.532075,0.569246,0.901391,0.856700,0.339048,0.924214
0.018001,0.107675,1592,2053,1118,2569,3471,2610,2604,3299,2950,1613,3428,3116,1697,3070,,0.836364,0.397037,0.072177,0.994878,0.991186,0.840112,0.814315,0.951741,0.532075,0.568228,0.901391,0.855926,0.338095,0.924214
0.018001,0.125676,1593,2052,1119,2570,3471,2610,2604,3299,2950,1612,3428,3116,1698,3069,,0.837762,0.395556,0.073341,0.996159,0.991186,0.840112,0.814315,0.951741,0.532075,0.567210,0.901391,0.855926,0.339048,0.923290
0.018000,0.143677,1593,2053,1120,2570,3471,2610,2604,3300,2950,1612,3428,3116,1697,3068,,0.837762,0.397037,0.074505,0.996159,0.991186,0.840112,0.814315,0.952532,0.532075,0.567210,0.901391,0.855926,0.338095,0.922366
0.018000,0.161677,1593,2051,1120,2570,3471,2610,2604,3299,2949,1612,3428,3116,1697,3069,,0.837762,0.394074,0.074505,0.996159,0.991186,0.840112,0.814315,0.951741,0.530189,0.567210,0.901391,0.855926,0.338095,0.923290
0.018002,0.179679,1593,2051,1120,2569,3471,2609,2604,3299,2950,1612,3429,3116,1697,3069,,0.837762,0.394074,0.074505,0.994878,0.991186,0.839411,0.814315,0.951741,0.532075,0.567210,0.902655,0.855926,0.338095,0.923290
0.017983,0.197662,1593,2051,1121,2569,3471,2610,2604,3299,2950,1612,3429,3117,1697,3069,,0.837762,0.394074,0.075669,0.994878,0.991186,0.840112,0.814315,0.951741,0.532075,0.567210,0.902655,0.856700,0.338095,0.923290
0.018018,0.215681,1593,2051,1120,2569,3471,2609,2604,3299,2950,1611,3428,3117,1698,3069,,0.837762,0.394074,0.074505,0.994878,0.991186,0.839411,0.814315,0.951741,0.532075,0.566191,0.901391,0.856700,0.339048,0.923290
0.018003,0.233684,1593,2051,1120,2569,3471,2609,2604,3299,2950,1611,3428,3117,1698,3069,,0.837762,0.394074,0.074505,0.994878,0.991186,0.839411,0.814315,0.951741,0.532075,0.566191,0.901391,0.856700,0.339048,0.923290
0.018009,0.251693,1594,2050,1120,2569,3471,2609,2604,3299,2949,1611,3428,3116,1697,3069,,0.839161,0.392593,0.074505,0.994878,0.991186,0.839411,0.814315,0.951741,0.530189,0.566191,0.901391,0.855926,0.338095,0.923290
0.017991,0.269683,1593,2050,1120,2569,3471,2609,2603,3299,2950,1611,3429,3117,1697,3069,,0.837762,0.392593,0.074505,0.994878,0.991186,0.839411,0.813278,0.951741,0.532075,0.566191,0.902655,0.856700,0.338095,0.923290
0.017984,0.287668,1593,2050,1120,2569,3471,2609,2603,3298,2951,1610,3429,3117,1697,3069,,0.837762,0.392593,0.074505,0.994878,0.991186,0.839411,0.813278,0.950949,0.533962,0.565173,0.902655,0.856700,0.338095,0.923290
0.018020,0.305688,1593,2050,1120,2569,3471,2610,2604,3299,2950,1611,3429,3117,1697,3068,,0.837762,0.392593,0.074505,0.994878,0.991186,0.840112,0.814315,0.951741,0.532075,0.566191,0.902655,0.856700,0.338095,0.922366
0.018000,0.323688,1594,2049,1120,2569,3471,2610,2603,3299,2949,1611,3428,3118,1697,3069,,0.839161,0.391111,0.074505,0.994878,0.991186,0.840112,0.813278,0.951741,0.530189,0.566191,0.901391,0.857475,0.338095,0.923290
0.017999,0.341687,1594,2049,1120,2569,3471,2610,2603,3299,2949,1611,3428,3118,1697,3069,,0.839161,0.391111,0.074505,0.994878,0.991186,0.840112,0.813278,0.951741,0.530189,0.566191,0.901391,0.857475,0.338095,0.923290
0.018021,0.359709,1593,2049,1120,2569,3471,2609,2604,3298,2949,1611,3429,3116,1697,3068,,0.837762,0.391111,0.074505,0.994878,0.991186,0.839411,0.814315,0.950949,0.530189,0.566191,0.902655,0.855926,0.338095,0.922366
0.017981,0.377690,1593,2048,1120,2568,3471,2609,2603,3298,2949,1610,3428,3117,1697,3068,,0.837762,0.389630,0.074505,0.993598,0.991186,0.839411,0.813278,0.950949,0.530189,0.565173,0.901391,0.856700,0.338095,0.922366
