GloveManager recording started on 11/02/16 at 16:00:56

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017862,0.017862,1475,2135,1765,1972,2457,2474,1947,2485,3003,1307,3462,3100,1761,2962,,0.672727,0.518519,0.825378,0.229885,0.177689,0.744741,0.132780,0.307753,0.632075,0.256619,0.944374,0.843532,0.399048,0.824399
0.017975,0.035836,1475,2134,1764,1970,2456,2473,1947,2485,3003,1307,3462,3101,1761,2962,,0.672727,0.517037,0.824214,0.227331,0.176892,0.744039,0.132780,0.307753,0.632075,0.256619,0.944374,0.844307,0.399048,0.824399
0.018025,0.053861,1474,2133,1764,1971,2456,2473,1947,2485,3002,1307,3461,3100,1763,2963,,0.671329,0.515556,0.824214,0.228608,0.176892,0.744039,0.132780,0.307753,0.630189,0.256619,0.943110,0.843532,0.400952,0.825323
0.018051,0.071913,1476,2133,1764,1970,2456,2473,1947,2484,3002,1305,3461,3100,1762,2962,,0.674126,0.515556,0.824214,0.227331,0.176892,0.744039,0.132780,0.306962,0.630189,0.254582,0.943110,0.843532,0.400000,0.824399
0.017951,0.089863,1474,2132,1764,1969,2456,2472,1946,2484,3002,1306,3462,3100,1762,2962,,0.671329,0.514074,0.824214,0.226054,0.176892,0.743338,0.131743,0.306962,0.630189,0.255601,0.944374,0.843532,0.400000,0.824399
0.017980,0.107843,1475,2132,1764,1969,2456,2472,1946,2483,3003,1306,3461,3100,1763,2963,,0.672727,0.514074,0.824214,0.226054,0.176892,0.743338,0.131743,0.306171,0.632075,0.255601,0.943110,0.843532,0.400952,0.825323
0.018022,0.125865,1474,2132,1764,1969,2455,2472,1946,2483,3002,1307,3462,3100,1762,2963,,0.671329,0.514074,0.824214,0.226054,0.176096,0.743338,0.131743,0.306171,0.630189,0.256619,0.944374,0.843532,0.400000,0.825323
0.018009,0.143875,1474,2131,1764,1968,2456,2472,1947,2482,3003,1306,3461,3101,1761,2965,,0.671329,0.512593,0.824214,0.224777,0.176892,0.743338,0.132780,0.305380,0.632075,0.255601,0.943110,0.844307,0.399048,0.827172
0.017999,0.161873,1473,2131,1764,1968,2456,2471,1947,2483,3002,1305,3460,3101,1757,2966,,0.669930,0.512593,0.824214,0.224777,0.176892,0.742637,0.132780,0.306171,0.630189,0.254582,0.941846,0.844307,0.395238,0.828096
0.018009,0.179882,1472,2133,1765,1967,2458,2472,1945,2483,3003,1305,3461,3103,1753,2967,,0.668531,0.515556,0.825378,0.223499,0.178486,0.743338,0.130705,0.306171,0.632075,0.254582,0.943110,0.845856,0.391429,0.829020
0.018001,0.197883,1473,2136,1769,1967,2459,2472,1944,2483,3002,1304,3460,3104,1745,2970,,0.669930,0.520000,0.830035,0.223499,0.179283,0.743338,0.129668,0.306171,0.630189,0.253564,0.941846,0.846631,0.383810,0.831793
0.018008,0.215891,1473,2136,1769,1967,2459,2472,1944,2483,3002,1304,3460,3104,1745,2970,,0.669930,0.520000,0.830035,0.223499,0.179283,0.743338,0.129668,0.306171,0.630189,0.253564,0.941846,0.846631,0.383810,0.831793
