GloveManager recording started on 11/02/16 at 16:01:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017268,0.017268,1577,2026,1575,1967,2313,2315,2059,2267,2947,1207,2923,2716,1874,2866,,0.815385,0.357037,0.604191,0.223499,0.062948,0.633240,0.248963,0.135285,0.526415,0.154786,0.262958,0.546088,0.506667,0.735675
0.018000,0.035269,1577,2026,1575,1967,2314,2315,2060,2268,2947,1208,2923,2715,1873,2866,,0.815385,0.357037,0.604191,0.223499,0.063745,0.633240,0.250000,0.136076,0.526415,0.155804,0.262958,0.545314,0.505714,0.735675
0.018001,0.053270,1577,2027,1575,1967,2313,2315,2060,2268,2947,1207,2923,2715,1873,2865,,0.815385,0.358519,0.604191,0.223499,0.062948,0.633240,0.250000,0.136076,0.526415,0.154786,0.262958,0.545314,0.505714,0.734750
0.018016,0.071286,1577,2027,1575,1967,2313,2315,2060,2268,2947,1207,2923,2715,1873,2865,,0.815385,0.358519,0.604191,0.223499,0.062948,0.633240,0.250000,0.136076,0.526415,0.154786,0.262958,0.545314,0.505714,0.734750
0.017962,0.089248,1576,2026,1576,1967,2313,2316,2060,2268,2947,1208,2922,2715,1874,2865,,0.813986,0.357037,0.605355,0.223499,0.062948,0.633941,0.250000,0.136076,0.526415,0.155804,0.261694,0.545314,0.506667,0.734750
0.018027,0.107276,1577,2027,1577,1967,2313,2316,2060,2269,2946,1208,2922,2715,1874,2865,,0.815385,0.358519,0.606519,0.223499,0.062948,0.633941,0.250000,0.136867,0.524528,0.155804,0.261694,0.545314,0.506667,0.734750
0.017999,0.125274,1577,2027,1577,1966,2312,2316,2060,2269,2946,1208,2922,2716,1874,2865,,0.815385,0.358519,0.606519,0.222222,0.062151,0.633941,0.250000,0.136867,0.524528,0.155804,0.261694,0.546088,0.506667,0.734750
0.017997,0.143271,1577,2027,1577,1967,2313,2315,2060,2269,2947,1208,2922,2717,1874,2866,,0.815385,0.358519,0.606519,0.223499,0.062948,0.633240,0.250000,0.136867,0.526415,0.155804,0.261694,0.546863,0.506667,0.735675
0.018020,0.161291,1578,2027,1578,1967,2314,2316,2059,2269,2946,1208,2922,2717,1874,2866,,0.816783,0.358519,0.607683,0.223499,0.063745,0.633941,0.248963,0.136867,0.524528,0.155804,0.261694,0.546863,0.506667,0.735675
0.017983,0.179274,1578,2027,1578,1967,2313,2316,2059,2270,2946,1207,2923,2716,1875,2866,,0.816783,0.358519,0.607683,0.223499,0.062948,0.633941,0.248963,0.137658,0.524528,0.154786,0.262958,0.546088,0.507619,0.735675
0.018004,0.197279,1577,2027,1578,1967,2313,2316,2058,2269,2945,1208,2922,2716,1874,2865,,0.815385,0.358519,0.607683,0.223499,0.062948,0.633941,0.247925,0.136867,0.522641,0.155804,0.261694,0.546088,0.506667,0.734750
0.017997,0.215276,1577,2028,1578,1967,2313,2316,2059,2269,2945,1208,2920,2716,1874,2865,,0.815385,0.360000,0.607683,0.223499,0.062948,0.633941,0.248963,0.136867,0.522641,0.155804,0.259166,0.546088,0.506667,0.734750
0.018003,0.233279,1577,2027,1577,1967,2312,2315,2058,2269,2944,1207,2921,2715,1874,2864,,0.815385,0.358519,0.606519,0.223499,0.062151,0.633240,0.247925,0.136867,0.520755,0.154786,0.260430,0.545314,0.506667,0.733826
0.018014,0.251293,1577,2027,1578,1967,2313,2315,2057,2269,2945,1208,2921,2715,1875,2865,,0.815385,0.358519,0.607683,0.223499,0.062948,0.633240,0.246888,0.136867,0.522641,0.155804,0.260430,0.545314,0.507619,0.734750
0.017986,0.269279,1577,2027,1579,1966,2313,2315,2058,2269,2945,1208,2921,2715,1875,2864,,0.815385,0.358519,0.608847,0.222222,0.062948,0.633240,0.247925,0.136867,0.522641,0.155804,0.260430,0.545314,0.507619,0.733826
0.018000,0.287279,1577,2027,1579,1967,2312,2315,2058,2268,2945,1207,2921,2715,1875,2864,,0.815385,0.358519,0.608847,0.223499,0.062151,0.633240,0.247925,0.136076,0.522641,0.154786,0.260430,0.545314,0.507619,0.733826
0.018002,0.305281,1577,2027,1579,1967,2312,2315,2058,2268,2945,1207,2921,2715,1875,2864,,0.815385,0.358519,0.608847,0.223499,0.062151,0.633240,0.247925,0.136076,0.522641,0.154786,0.260430,0.545314,0.507619,0.733826
0.018000,0.323282,1578,2027,1580,1966,2313,2315,2058,2268,2944,1208,2921,2716,1877,2865,,0.816783,0.358519,0.610012,0.222222,0.062948,0.633240,0.247925,0.136076,0.520755,0.155804,0.260430,0.546088,0.509524,0.734750
0.018018,0.341300,1577,2027,1580,1967,2312,2314,2058,2268,2945,1209,2921,2716,1876,2864,,0.815385,0.358519,0.610012,0.223499,0.062151,0.632539,0.247925,0.136076,0.522641,0.156823,0.260430,0.546088,0.508571,0.733826
0.017985,0.359285,1577,2027,1581,1967,2313,2314,2058,2269,2946,1208,2921,2715,1876,2864,,0.815385,0.358519,0.611176,0.223499,0.062948,0.632539,0.247925,0.136867,0.524528,0.155804,0.260430,0.545314,0.508571,0.733826
0.018001,0.377286,1577,2027,1580,1966,2313,2313,2058,2267,2944,1209,2920,2716,1877,2863,,0.815385,0.358519,0.610012,0.222222,0.062948,0.631837,0.247925,0.135285,0.520755,0.156823,0.259166,0.546088,0.509524,0.732902
0.017999,0.395286,1577,2026,1580,1966,2312,2314,2058,2269,2944,1208,2920,2715,1877,2862,,0.815385,0.357037,0.610012,0.222222,0.062151,0.632539,0.247925,0.136867,0.520755,0.155804,0.259166,0.545314,0.509524,0.731978
0.018000,0.413286,1577,2026,1580,1966,2312,2314,2058,2269,2944,1208,2920,2715,1877,2862,,0.815385,0.357037,0.610012,0.222222,0.062151,0.632539,0.247925,0.136867,0.520755,0.155804,0.259166,0.545314,0.509524,0.731978
0.018030,0.431316,1576,2026,1579,1966,2312,2314,2058,2269,2943,1208,2920,2715,1877,2862,,0.813986,0.357037,0.608847,0.222222,0.062151,0.632539,0.247925,0.136867,0.518868,0.155804,0.259166,0.545314,0.509524,0.731978
0.017995,0.449311,1575,2025,1579,1967,2312,2315,2058,2269,2943,1208,2919,2715,1877,2862,,0.812587,0.355556,0.608847,0.223499,0.062151,0.633240,0.247925,0.136867,0.518868,0.155804,0.257901,0.545314,0.509524,0.731978
0.018006,0.467317,1576,2026,1581,1967,2313,2315,2058,2270,2943,1209,2919,2715,1877,2862,,0.813986,0.357037,0.611176,0.223499,0.062948,0.633240,0.247925,0.137658,0.518868,0.156823,0.257901,0.545314,0.509524,0.731978
0.018017,0.485334,1577,2026,1580,1967,2313,2315,2058,2269,2943,1209,2919,2715,1877,2862,,0.815385,0.357037,0.610012,0.223499,0.062948,0.633240,0.247925,0.136867,0.518868,0.156823,0.257901,0.545314,0.509524,0.731978
