GloveManager recording started on 11/02/16 at 16:02:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017536,0.017536,1713,2383,1676,2119,2877,2205,2516,3156,2839,1675,3424,3162,2100,2974,,0.931347,0.885926,0.721770,0.417625,0.512351,0.556101,0.723029,0.838608,0.322642,0.631365,0.896334,0.891557,0.721905,0.835490
0.018002,0.035539,1713,2384,1677,2119,2877,2205,2516,3156,2839,1675,3425,3161,2101,2974,,0.931347,0.887407,0.722934,0.417625,0.512351,0.556101,0.723029,0.838608,0.322642,0.631365,0.897598,0.890782,0.722857,0.835490
0.018007,0.053546,1714,2384,1676,2118,2877,2205,2516,3156,2839,1675,3425,3162,2100,2974,,0.932642,0.887407,0.721770,0.416347,0.512351,0.556101,0.723029,0.838608,0.322642,0.631365,0.897598,0.891557,0.721905,0.835490
0.017998,0.071543,1715,2385,1677,2117,2877,2205,2517,3155,2839,1674,3425,3162,2101,2975,,0.933938,0.888889,0.722934,0.415070,0.512351,0.556101,0.724066,0.837816,0.322642,0.630346,0.897598,0.891557,0.722857,0.836414
0.017997,0.089540,1717,2384,1677,2117,2877,2204,2517,3156,2839,1674,3425,3163,2101,2976,,0.936529,0.887407,0.722934,0.415070,0.512351,0.555400,0.724066,0.838608,0.322642,0.630346,0.897598,0.892332,0.722857,0.837338
0.018007,0.107547,1718,2386,1677,2116,2877,2203,2517,3156,2839,1674,3427,3163,2102,2977,,0.937824,0.890370,0.722934,0.413793,0.512351,0.554698,0.724066,0.838608,0.322642,0.630346,0.900126,0.892332,0.723810,0.838262
0.018001,0.125548,1718,2386,1677,2115,2876,2203,2516,3155,2838,1673,3427,3163,2101,2977,,0.937824,0.890370,0.722934,0.412516,0.511554,0.554698,0.723029,0.837816,0.320755,0.629328,0.900126,0.892332,0.722857,0.838262
0.017994,0.143542,1718,2386,1677,2115,2876,2203,2517,3156,2840,1673,3427,3163,2101,2978,,0.937824,0.890370,0.722934,0.412516,0.511554,0.554698,0.724066,0.838608,0.324528,0.629328,0.900126,0.892332,0.722857,0.839187
0.018009,0.161551,1717,2386,1677,2115,2875,2204,2516,3155,2839,1674,3427,3164,2101,2977,,0.936529,0.890370,0.722934,0.412516,0.510757,0.555400,0.723029,0.837816,0.322642,0.630346,0.900126,0.893106,0.722857,0.838262
0.017991,0.179542,1718,2386,1676,2117,2876,2203,2516,3156,2839,1673,3427,3163,2101,2977,,0.937824,0.890370,0.721770,0.415070,0.511554,0.554698,0.723029,0.838608,0.322642,0.629328,0.900126,0.892332,0.722857,0.838262
0.018010,0.197552,1717,2386,1676,2116,2875,2203,2516,3155,2839,1673,3427,3164,2101,2978,,0.936529,0.890370,0.721770,0.413793,0.510757,0.554698,0.723029,0.837816,0.322642,0.629328,0.900126,0.893106,0.722857,0.839187
0.017999,0.215550,1717,2386,1677,2116,2875,2204,2517,3156,2840,1674,3426,3164,2101,2977,,0.936529,0.890370,0.722934,0.413793,0.510757,0.555400,0.724066,0.838608,0.324528,0.630346,0.898862,0.893106,0.722857,0.838262
0.018005,0.233555,1717,2385,1676,2116,2875,2204,2517,3156,2840,1676,3424,3164,2102,2976,,0.936529,0.888889,0.721770,0.413793,0.510757,0.555400,0.724066,0.838608,0.324528,0.632383,0.896334,0.893106,0.723810,0.837338
0.017997,0.251552,1717,2386,1677,2116,2876,2205,2516,3156,2839,1676,3425,3163,2103,2976,,0.936529,0.890370,0.722934,0.413793,0.511554,0.556101,0.723029,0.838608,0.322642,0.632383,0.897598,0.892332,0.724762,0.837338
0.017998,0.269550,1718,2386,1678,2115,2875,2205,2517,3154,2839,1677,3425,3163,2103,2974,,0.937824,0.890370,0.724098,0.412516,0.510757,0.556101,0.724066,0.837025,0.322642,0.633401,0.897598,0.892332,0.724762,0.835490
0.018004,0.287555,1718,2386,1677,2114,2875,2205,2517,3155,2839,1678,3423,3163,2103,2974,,0.937824,0.890370,0.722934,0.411239,0.510757,0.556101,0.724066,0.837816,0.322642,0.634420,0.895070,0.892332,0.724762,0.835490
0.018002,0.305557,1718,2386,1677,2113,2875,2207,2517,3155,2839,1678,3424,3163,2103,2974,,0.937824,0.890370,0.722934,0.409962,0.510757,0.557504,0.724066,0.837816,0.322642,0.634420,0.896334,0.892332,0.724762,0.835490
0.018000,0.323557,1718,2386,1679,2112,2876,2209,2516,3155,2839,1677,3424,3163,2103,2974,,0.937824,0.890370,0.725262,0.408685,0.511554,0.558906,0.723029,0.837816,0.322642,0.633401,0.896334,0.892332,0.724762,0.835490
0.017998,0.341555,1718,2386,1679,2112,2876,2209,2516,3155,2839,1677,3424,3163,2103,2974,,0.937824,0.890370,0.725262,0.408685,0.511554,0.558906,0.723029,0.837816,0.322642,0.633401,0.896334,0.892332,0.724762,0.835490
0.017977,0.359531,1718,2387,1678,2112,2876,2210,2516,3154,2839,1678,3424,3163,2103,2974,,0.937824,0.891852,0.724098,0.408685,0.511554,0.559607,0.723029,0.837025,0.322642,0.634420,0.896334,0.892332,0.724762,0.835490
0.018021,0.377553,1718,2387,1678,2112,2876,2210,2516,3154,2839,1678,3424,3163,2103,2974,,0.937824,0.891852,0.724098,0.408685,0.511554,0.559607,0.723029,0.837025,0.322642,0.634420,0.896334,0.892332,0.724762,0.835490
0.018014,0.395566,1717,2387,1679,2111,2876,2210,2515,3154,2839,1677,3424,3163,2103,2973,,0.936529,0.891852,0.725262,0.407407,0.511554,0.559607,0.721992,0.837025,0.322642,0.633401,0.896334,0.892332,0.724762,0.834566
0.017990,0.413557,1716,2386,1678,2111,2876,2209,2515,3155,2839,1678,3423,3163,2103,2974,,0.935233,0.890370,0.724098,0.407407,0.511554,0.558906,0.721992,0.837816,0.322642,0.634420,0.895070,0.892332,0.724762,0.835490
0.017999,0.431556,1716,2386,1678,2111,2875,2210,2514,3154,2839,1677,3424,3163,2103,2974,,0.935233,0.890370,0.724098,0.407407,0.510757,0.559607,0.720954,0.837025,0.322642,0.633401,0.896334,0.892332,0.724762,0.835490
0.018002,0.449558,1715,2386,1679,2113,2876,2211,2515,3155,2839,1677,3425,3163,2102,2974,,0.933938,0.890370,0.725262,0.409962,0.511554,0.560309,0.721992,0.837816,0.322642,0.633401,0.897598,0.892332,0.723810,0.835490
0.018011,0.467569,1715,2386,1678,2112,2876,2210,2514,3155,2840,1677,3424,3163,2103,2974,,0.933938,0.890370,0.724098,0.408685,0.511554,0.559607,0.720954,0.837816,0.324528,0.633401,0.896334,0.892332,0.724762,0.835490
0.017998,0.485567,1715,2386,1678,2112,2876,2211,2515,3155,2840,1676,3424,3163,2103,2974,,0.933938,0.890370,0.724098,0.408685,0.511554,0.560309,0.721992,0.837816,0.324528,0.632383,0.896334,0.892332,0.724762,0.835490
