GloveManager recording started on 10/20/16 at 17:46:40

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018136,0.018136,1287,1962,1288,2424,3233,2440,2583,3212,2949,1741,3436,2976,2227,2921,,0.496441,0.193851,0.156103,0.783784,0.781713,0.773893,0.725346,0.864430,0.847147,0.660714,0.829511,0.731328,0.781142,0.644719
0.018003,0.036139,1287,1962,1288,2424,3233,2440,2583,3212,2949,1741,3436,2976,2227,2921,,0.496441,0.193851,0.156103,0.783784,0.781713,0.773893,0.725346,0.864430,0.847147,0.660714,0.829511,0.731328,0.781142,0.644719
0.017998,0.054137,1287,1962,1288,2425,3233,2440,2583,3213,2949,1741,3435,2975,2227,2921,,0.496441,0.193851,0.156103,0.784865,0.781713,0.773893,0.725346,0.865129,0.847147,0.660714,0.828514,0.730809,0.781142,0.644719
0.018002,0.072140,1287,1963,1289,2425,3233,2440,2583,3213,2948,1741,3435,2975,2226,2920,,0.496441,0.194705,0.156690,0.784865,0.781713,0.773893,0.725346,0.865129,0.846071,0.660714,0.828514,0.730809,0.780277,0.644033
0.017999,0.090139,1287,1963,1288,2425,3232,2439,2583,3212,2949,1740,3434,2976,2227,2921,,0.496441,0.194705,0.156103,0.784865,0.781069,0.773310,0.725346,0.864430,0.847147,0.659821,0.827517,0.731328,0.781142,0.644719
0.018000,0.108139,1287,1963,1289,2424,3233,2440,2583,3212,2948,1740,3436,2976,2226,2921,,0.496441,0.194705,0.156690,0.783784,0.781713,0.773893,0.725346,0.864430,0.846071,0.659821,0.829511,0.731328,0.780277,0.644719
0.018005,0.126144,1287,1963,1289,2425,3233,2440,2583,3213,2949,1741,3435,2976,2227,2921,,0.496441,0.194705,0.156690,0.784865,0.781713,0.773893,0.725346,0.865129,0.847147,0.660714,0.828514,0.731328,0.781142,0.644719
0.017997,0.144141,1287,1963,1288,2424,3232,2439,2583,3212,2949,1741,3436,2976,2232,2921,,0.496441,0.194705,0.156103,0.783784,0.781069,0.773310,0.725346,0.864430,0.847147,0.660714,0.829511,0.731328,0.785467,0.644719
0.018002,0.162143,1286,1963,1289,2425,3234,2440,2583,3213,2950,1742,3436,2976,2226,2921,,0.495848,0.194705,0.156690,0.784865,0.782357,0.773893,0.725346,0.865129,0.848224,0.661607,0.829511,0.731328,0.780277,0.644719
0.018003,0.180146,1287,1963,1288,2424,3233,2440,2583,3213,2949,1741,3435,2976,2227,2922,,0.496441,0.194705,0.156103,0.783784,0.781713,0.773893,0.725346,0.865129,0.847147,0.660714,0.828514,0.731328,0.781142,0.645405
0.018002,0.198148,1287,1963,1289,2424,3233,2440,2584,3212,2949,1741,3435,2976,2227,2921,,0.496441,0.194705,0.156690,0.783784,0.781713,0.773893,0.726267,0.864430,0.847147,0.660714,0.828514,0.731328,0.781142,0.644719
0.018000,0.216149,1287,1962,1288,2425,3232,2440,2584,3212,2949,1742,3435,2976,2227,2921,,0.496441,0.193851,0.156103,0.784865,0.781069,0.773893,0.726267,0.864430,0.847147,0.661607,0.828514,0.731328,0.781142,0.644719
0.017999,0.234148,1287,1963,1288,2424,3233,2440,2584,3212,2948,1741,3436,2976,2227,2922,,0.496441,0.194705,0.156103,0.783784,0.781713,0.773893,0.726267,0.864430,0.846071,0.660714,0.829511,0.731328,0.781142,0.645405
0.018002,0.252150,1287,1963,1288,2424,3233,2440,2584,3212,2948,1741,3436,2976,2227,2922,,0.496441,0.194705,0.156103,0.783784,0.781713,0.773893,0.726267,0.864430,0.846071,0.660714,0.829511,0.731328,0.781142,0.645405
0.017996,0.270147,1287,1962,1288,2424,3232,2440,2583,3212,2948,1742,3435,2976,2227,2921,,0.496441,0.193851,0.156103,0.783784,0.781069,0.773893,0.725346,0.864430,0.846071,0.661607,0.828514,0.731328,0.781142,0.644719
0.018001,0.288148,1286,1963,1287,2424,3232,2440,2584,3213,2948,1741,3435,2976,2227,2921,,0.495848,0.194705,0.155516,0.783784,0.781069,0.773893,0.726267,0.865129,0.846071,0.660714,0.828514,0.731328,0.781142,0.644719
0.018004,0.306152,1286,1963,1289,2424,3233,2440,2583,3213,2949,1741,3435,2976,2228,2922,,0.495848,0.194705,0.156690,0.783784,0.781713,0.773893,0.725346,0.865129,0.847147,0.660714,0.828514,0.731328,0.782007,0.645405
0.018026,0.324177,1287,1963,1288,2424,3233,2441,2584,3213,2949,1742,3437,2976,2228,2922,,0.496441,0.194705,0.156103,0.783784,0.781713,0.774476,0.726267,0.865129,0.847147,0.661607,0.830508,0.731328,0.782007,0.645405
0.018015,0.342193,1287,1963,1288,2424,3233,2441,2584,3213,2949,1742,3437,2976,2228,2922,,0.496441,0.194705,0.156103,0.783784,0.781713,0.774476,0.726267,0.865129,0.847147,0.661607,0.830508,0.731328,0.782007,0.645405
0.017985,0.360178,1287,1962,1288,2425,3233,2440,2584,3213,2949,1741,3436,2976,2226,2921,,0.496441,0.193851,0.156103,0.784865,0.781713,0.773893,0.726267,0.865129,0.847147,0.660714,0.829511,0.731328,0.780277,0.644719
0.017977,0.378154,1286,1963,1288,2425,3232,2440,2584,3213,2949,1741,3435,2976,2227,2921,,0.495848,0.194705,0.156103,0.784865,0.781069,0.773893,0.726267,0.865129,0.847147,0.660714,0.828514,0.731328,0.781142,0.644719
0.018029,0.396183,1287,1962,1287,2424,3233,2440,2584,3212,2949,1741,3435,2976,2227,2921,,0.496441,0.193851,0.155516,0.783784,0.781713,0.773893,0.726267,0.864430,0.847147,0.660714,0.828514,0.731328,0.781142,0.644719
0.018000,0.414183,1286,1963,1287,2425,3232,2440,2585,3213,2949,1741,3436,2977,2227,2921,,0.495848,0.194705,0.155516,0.784865,0.781069,0.773893,0.727189,0.865129,0.847147,0.660714,0.829511,0.731846,0.781142,0.644719
0.017999,0.432182,1286,1962,1286,2424,3233,2440,2584,3213,2948,1741,3436,2976,2226,2921,,0.495848,0.193851,0.154930,0.783784,0.781713,0.773893,0.726267,0.865129,0.846071,0.660714,0.829511,0.731328,0.780277,0.644719
0.018005,0.450187,1286,1962,1286,2424,3233,2440,2584,3213,2948,1741,3436,2976,2226,2921,,0.495848,0.193851,0.154930,0.783784,0.781713,0.773893,0.726267,0.865129,0.846071,0.660714,0.829511,0.731328,0.780277,0.644719
0.018008,0.468195,1286,1961,1287,2424,3233,2440,2583,3211,2948,1740,3435,2976,2226,2922,,0.495848,0.192997,0.155516,0.783784,0.781713,0.773893,0.725346,0.863732,0.846071,0.659821,0.828514,0.731328,0.780277,0.645405
