GloveManager recording started on 10/20/16 at 17:47:46

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017718,0.017718,1346,1881,1300,2419,3193,2459,2602,3221,2936,1709,3427,2986,2180,2883,,0.531435,0.124680,0.163146,0.778378,0.755956,0.784965,0.742857,0.870720,0.833154,0.632143,0.820538,0.736515,0.740484,0.618656
0.017985,0.035703,1346,1882,1300,2418,3193,2459,2602,3221,2936,1709,3426,2986,2179,2882,,0.531435,0.125534,0.163146,0.777297,0.755956,0.784965,0.742857,0.870720,0.833154,0.632143,0.819541,0.736515,0.739619,0.617970
0.017986,0.053688,1346,1881,1300,2418,3193,2459,2602,3220,2936,1708,3428,2986,2180,2883,,0.531435,0.124680,0.163146,0.777297,0.755956,0.784965,0.742857,0.870021,0.833154,0.631250,0.821535,0.736515,0.740484,0.618656
0.018042,0.071730,1345,1881,1299,2418,3192,2458,2603,3221,2936,1709,3427,2986,2180,2882,,0.530842,0.124680,0.162559,0.777297,0.755312,0.784382,0.743779,0.870720,0.833154,0.632143,0.820538,0.736515,0.740484,0.617970
0.018009,0.089739,1345,1881,1300,2419,3192,2458,2602,3221,2935,1709,3427,2986,2180,2883,,0.530842,0.124680,0.163146,0.778378,0.755312,0.784382,0.742857,0.870720,0.832078,0.632143,0.820538,0.736515,0.740484,0.618656
0.017991,0.107730,1345,1881,1300,2419,3193,2459,2602,3221,2936,1709,3428,2986,2180,2882,,0.530842,0.124680,0.163146,0.778378,0.755956,0.784965,0.742857,0.870720,0.833154,0.632143,0.821535,0.736515,0.740484,0.617970
0.017982,0.125711,1346,1881,1299,2419,3193,2459,2602,3221,2935,1709,3427,2986,2180,2882,,0.531435,0.124680,0.162559,0.778378,0.755956,0.784965,0.742857,0.870720,0.832078,0.632143,0.820538,0.736515,0.740484,0.617970
0.018024,0.143735,1345,1881,1300,2420,3192,2459,2603,3221,2936,1709,3427,2987,2180,2883,,0.530842,0.124680,0.163146,0.779459,0.755312,0.784965,0.743779,0.870720,0.833154,0.632143,0.820538,0.737033,0.740484,0.618656
0.018001,0.161737,1345,1882,1299,2419,3192,2459,2603,3221,2935,1708,3427,2987,2180,2883,,0.530842,0.125534,0.162559,0.778378,0.755312,0.784965,0.743779,0.870720,0.832078,0.631250,0.820538,0.737033,0.740484,0.618656
0.018003,0.179740,1345,1881,1299,2419,3192,2458,2602,3221,2936,1709,3427,2986,2180,2882,,0.530842,0.124680,0.162559,0.778378,0.755312,0.784382,0.742857,0.870720,0.833154,0.632143,0.820538,0.736515,0.740484,0.617970
0.017980,0.197719,1345,1882,1299,2418,3193,2459,2603,3222,2936,1709,3427,2987,2180,2882,,0.530842,0.125534,0.162559,0.777297,0.755956,0.784965,0.743779,0.871419,0.833154,0.632143,0.820538,0.737033,0.740484,0.617970
0.018018,0.215737,1345,1881,1299,2419,3193,2459,2603,3221,2936,1709,3427,2987,2180,2883,,0.530842,0.124680,0.162559,0.778378,0.755956,0.784965,0.743779,0.870720,0.833154,0.632143,0.820538,0.737033,0.740484,0.618656
0.018003,0.233740,1345,1881,1300,2420,3193,2458,2603,3220,2936,1709,3427,2986,2180,2883,,0.530842,0.124680,0.163146,0.779459,0.755956,0.784382,0.743779,0.870021,0.833154,0.632143,0.820538,0.736515,0.740484,0.618656
0.018004,0.251745,1345,1881,1299,2418,3193,2458,2603,3220,2936,1709,3427,2986,2180,2883,,0.530842,0.124680,0.162559,0.777297,0.755956,0.784382,0.743779,0.870021,0.833154,0.632143,0.820538,0.736515,0.740484,0.618656
