GloveManager recording started on 10/20/16 at 17:48:16

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017449,0.017449,1554,2218,1737,2073,2535,2375,1943,2386,3000,1118,3001,2873,1523,2315,,0.654804,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677905,0.172145,0.229081
0.018025,0.035474,1554,2218,1737,2073,2535,2375,1943,2386,3000,1118,3001,2873,1523,2315,,0.654804,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677905,0.172145,0.229081
0.017951,0.053425,1554,2218,1737,2072,2534,2375,1943,2386,3000,1118,3001,2872,1523,2314,,0.654804,0.412468,0.419601,0.403243,0.331616,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677386,0.172145,0.228395
0.018036,0.071461,1554,2218,1736,2072,2534,2375,1943,2386,3000,1117,3001,2873,1523,2314,,0.654804,0.412468,0.419014,0.403243,0.331616,0.736014,0.135484,0.287212,0.902045,0.103571,0.395813,0.677905,0.172145,0.228395
0.017963,0.089424,1554,2218,1736,2073,2535,2375,1943,2386,3001,1117,3001,2872,1522,2313,,0.654804,0.412468,0.419014,0.404324,0.332260,0.736014,0.135484,0.287212,0.903122,0.103571,0.395813,0.677386,0.171280,0.227709
0.018001,0.107425,1554,2218,1737,2073,2534,2374,1942,2386,3000,1118,3001,2872,1522,2314,,0.654804,0.412468,0.419601,0.404324,0.331616,0.735431,0.134562,0.287212,0.902045,0.104464,0.395813,0.677386,0.171280,0.228395
0.017981,0.125406,1555,2217,1737,2072,2535,2375,1943,2386,3000,1117,3001,2873,1523,2313,,0.655397,0.411614,0.419601,0.403243,0.332260,0.736014,0.135484,0.287212,0.902045,0.103571,0.395813,0.677905,0.172145,0.227709
0.018063,0.143469,1554,2218,1737,2073,2535,2375,1943,2386,3000,1118,3000,2873,1522,2313,,0.654804,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.902045,0.104464,0.394816,0.677905,0.171280,0.227709
0.017979,0.161448,1554,2218,1737,2073,2535,2375,1943,2386,3000,1118,3000,2873,1522,2313,,0.654804,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.902045,0.104464,0.394816,0.677905,0.171280,0.227709
0.018005,0.179453,1554,2218,1737,2073,2535,2375,1943,2386,2999,1118,3001,2873,1523,2313,,0.654804,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.900969,0.104464,0.395813,0.677905,0.172145,0.227709
0.018012,0.197464,1555,2218,1737,2072,2535,2375,1943,2386,3001,1117,3001,2873,1523,2313,,0.655397,0.412468,0.419601,0.403243,0.332260,0.736014,0.135484,0.287212,0.903122,0.103571,0.395813,0.677905,0.172145,0.227709
0.018012,0.215477,1555,2219,1737,2073,2535,2375,1944,2386,3000,1118,3001,2873,1523,2314,,0.655397,0.413322,0.419601,0.404324,0.332260,0.736014,0.136406,0.287212,0.902045,0.104464,0.395813,0.677905,0.172145,0.228395
0.017998,0.233475,1555,2218,1737,2073,2535,2375,1943,2386,3000,1118,3001,2873,1523,2313,,0.655397,0.412468,0.419601,0.404324,0.332260,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677905,0.172145,0.227709
0.017983,0.251457,1555,2219,1738,2073,2534,2375,1943,2386,3000,1118,3001,2872,1523,2313,,0.655397,0.413322,0.420188,0.404324,0.331616,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677386,0.172145,0.227709
0.018000,0.269457,1555,2219,1738,2073,2534,2375,1943,2386,3000,1118,3001,2872,1523,2313,,0.655397,0.413322,0.420188,0.404324,0.331616,0.736014,0.135484,0.287212,0.902045,0.104464,0.395813,0.677386,0.172145,0.227709
0.017991,0.287448,1555,2218,1737,2072,2534,2375,1943,2386,3000,1118,3000,2873,1523,2313,,0.655397,0.412468,0.419601,0.403243,0.331616,0.736014,0.135484,0.287212,0.902045,0.104464,0.394816,0.677905,0.172145,0.227709
0.018010,0.305458,1554,2217,1736,2072,2535,2375,1943,2386,3000,1117,3000,2872,1523,2312,,0.654804,0.411614,0.419014,0.403243,0.332260,0.736014,0.135484,0.287212,0.902045,0.103571,0.394816,0.677386,0.172145,0.227023
0.018006,0.323464,1554,2217,1735,2073,2535,2375,1943,2386,2999,1117,3001,2873,1523,2312,,0.654804,0.411614,0.418427,0.404324,0.332260,0.736014,0.135484,0.287212,0.900969,0.103571,0.395813,0.677905,0.172145,0.227023
0.018015,0.341479,1555,2218,1737,2072,2535,2375,1943,2386,2999,1118,3000,2873,1524,2312,,0.655397,0.412468,0.419601,0.403243,0.332260,0.736014,0.135484,0.287212,0.900969,0.104464,0.394816,0.677905,0.173010,0.227023
0.017995,0.359475,1555,2219,1737,2073,2535,2376,1942,2386,3001,1118,3000,2872,1523,2312,,0.655397,0.413322,0.419601,0.404324,0.332260,0.736597,0.134562,0.287212,0.903122,0.104464,0.394816,0.677386,0.172145,0.227023
0.018001,0.377476,1555,2218,1737,2073,2535,2375,1942,2386,3000,1118,3000,2872,1522,2312,,0.655397,0.412468,0.419601,0.404324,0.332260,0.736014,0.134562,0.287212,0.902045,0.104464,0.394816,0.677386,0.171280,0.227023
0.018011,0.395487,1555,2218,1736,2072,2535,2376,1943,2386,3000,1118,3000,2873,1523,2312,,0.655397,0.412468,0.419014,0.403243,0.332260,0.736597,0.135484,0.287212,0.902045,0.104464,0.394816,0.677905,0.172145,0.227023
0.017955,0.413442,1555,2218,1736,2073,2535,2376,1944,2386,3000,1118,3000,2872,1524,2312,,0.655397,0.412468,0.419014,0.404324,0.332260,0.736597,0.136406,0.287212,0.902045,0.104464,0.394816,0.677386,0.173010,0.227023
0.018026,0.431469,1555,2217,1736,2072,2535,2375,1943,2386,2999,1118,3001,2872,1522,2311,,0.655397,0.411614,0.419014,0.403243,0.332260,0.736014,0.135484,0.287212,0.900969,0.104464,0.395813,0.677386,0.171280,0.226337
0.017951,0.449420,1555,2218,1736,2072,2535,2376,1943,2385,3000,1118,3000,2872,1523,2311,,0.655397,0.412468,0.419014,0.403243,0.332260,0.736597,0.135484,0.286513,0.902045,0.104464,0.394816,0.677386,0.172145,0.226337
0.018046,0.467466,1554,2218,1735,2073,2535,2376,1943,2386,3000,1117,3000,2873,1523,2311,,0.654804,0.412468,0.418427,0.404324,0.332260,0.736597,0.135484,0.287212,0.902045,0.103571,0.394816,0.677905,0.172145,0.226337
0.018006,0.485472,1555,2217,1735,2072,2535,2375,1943,2385,3000,1118,2999,2872,1523,2311,,0.655397,0.411614,0.418427,0.403243,0.332260,0.736014,0.135484,0.286513,0.902045,0.104464,0.393819,0.677386,0.172145,0.226337
0.017995,0.503467,1555,2218,1736,2072,2534,2375,1942,2385,3000,1117,3000,2872,1523,2311,,0.655397,0.412468,0.419014,0.403243,0.331616,0.736014,0.134562,0.286513,0.902045,0.103571,0.394816,0.677386,0.172145,0.226337
0.017970,0.521437,1554,2217,1736,2072,2534,2375,1942,2385,2999,1117,3000,2872,1522,2311,,0.654804,0.411614,0.419014,0.403243,0.331616,0.736014,0.134562,0.286513,0.900969,0.103571,0.394816,0.677386,0.171280,0.226337
0.018031,0.539468,1554,2217,1736,2071,2534,2375,1943,2385,3000,1118,3000,2873,1522,2310,,0.654804,0.411614,0.419014,0.402162,0.331616,0.736014,0.135484,0.286513,0.902045,0.104464,0.394816,0.677905,0.171280,0.225652
0.018002,0.557470,1554,2217,1736,2071,2535,2375,1942,2385,2999,1118,3000,2872,1523,2310,,0.654804,0.411614,0.419014,0.402162,0.332260,0.736014,0.134562,0.286513,0.900969,0.104464,0.394816,0.677386,0.172145,0.225652
