GloveManager recording started on 10/20/16 at 17:49:04

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017293,0.017293,1508,2044,1520,2120,2584,2489,1982,3198,2962,1163,3329,2943,1610,2880,,0.627521,0.263877,0.292254,0.455135,0.363812,0.802448,0.171429,0.854647,0.861141,0.144643,0.722831,0.714212,0.247405,0.616598
0.018036,0.035329,1507,2043,1520,2120,2584,2489,1982,3199,2962,1163,3329,2943,1610,2880,,0.626928,0.263023,0.292254,0.455135,0.363812,0.802448,0.171429,0.855346,0.861141,0.144643,0.722831,0.714212,0.247405,0.616598
0.017994,0.053323,1508,2043,1520,2120,2584,2487,1979,3199,2962,1163,3329,2944,1609,2880,,0.627521,0.263023,0.292254,0.455135,0.363812,0.801282,0.168664,0.855346,0.861141,0.144643,0.722831,0.714730,0.246540,0.616598
0.017999,0.071323,1509,2043,1519,2120,2583,2487,1979,3199,2963,1163,3329,2944,1609,2880,,0.628114,0.263023,0.291667,0.455135,0.363168,0.801282,0.168664,0.855346,0.862217,0.144643,0.722831,0.714730,0.246540,0.616598
0.018009,0.089332,1509,2044,1518,2120,2584,2487,1978,3199,2962,1162,3328,2944,1609,2880,,0.628114,0.263877,0.291080,0.455135,0.363812,0.801282,0.167742,0.855346,0.861141,0.143750,0.721834,0.714730,0.246540,0.616598
0.017991,0.107323,1510,2042,1517,2120,2584,2486,1979,3198,2963,1163,3328,2943,1609,2881,,0.628707,0.262169,0.290493,0.455135,0.363812,0.800699,0.168664,0.854647,0.862217,0.144643,0.721834,0.714212,0.246540,0.617284
0.017991,0.125315,1511,2043,1515,2119,2584,2486,1978,3199,2962,1162,3329,2944,1609,2880,,0.629300,0.263023,0.289319,0.454054,0.363812,0.800699,0.167742,0.855346,0.861141,0.143750,0.722831,0.714730,0.246540,0.616598
0.018012,0.143326,1511,2043,1513,2121,2584,2486,1978,3199,2962,1162,3329,2944,1609,2881,,0.629300,0.263023,0.288146,0.456216,0.363812,0.800699,0.167742,0.855346,0.861141,0.143750,0.722831,0.714730,0.246540,0.617284
0.018010,0.161336,1510,2042,1515,2120,2585,2485,1977,3198,2962,1162,3329,2945,1609,2881,,0.628707,0.262169,0.289319,0.455135,0.364456,0.800117,0.166820,0.854647,0.861141,0.143750,0.722831,0.715249,0.246540,0.617284
0.018008,0.179344,1510,2043,1514,2120,2584,2483,1977,3199,2962,1162,3329,2945,1609,2881,,0.628707,0.263023,0.288732,0.455135,0.363812,0.798951,0.166820,0.855346,0.861141,0.143750,0.722831,0.715249,0.246540,0.617284
