GloveManager recording started on 10/20/16 at 17:49:26

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017588,0.017588,1551,2190,1221,2368,3185,2369,2049,3179,2972,1241,3340,2953,1630,2820,,0.653025,0.388557,0.116784,0.723243,0.750805,0.732517,0.233180,0.841370,0.871905,0.214286,0.733799,0.719398,0.264706,0.575446
0.017971,0.035559,1551,2190,1221,2367,3186,2369,2049,3180,2972,1242,3341,2953,1632,2821,,0.653025,0.388557,0.116784,0.722162,0.751449,0.732517,0.233180,0.842068,0.871905,0.215179,0.734796,0.719398,0.266436,0.576132
0.018012,0.053571,1551,2190,1222,2367,3186,2370,2049,3179,2972,1241,3340,2954,1631,2821,,0.653025,0.388557,0.117371,0.722162,0.751449,0.733100,0.233180,0.841370,0.871905,0.214286,0.733799,0.719917,0.265571,0.576132
0.017971,0.071542,1551,2190,1222,2368,3186,2370,2048,3180,2972,1242,3340,2953,1631,2822,,0.653025,0.388557,0.117371,0.723243,0.751449,0.733100,0.232258,0.842068,0.871905,0.215179,0.733799,0.719398,0.265571,0.576818
0.018025,0.089566,1551,2189,1221,2368,3185,2370,2048,3179,2971,1242,3341,2953,1630,2821,,0.653025,0.387703,0.116784,0.723243,0.750805,0.733100,0.232258,0.841370,0.870829,0.215179,0.734796,0.719398,0.264706,0.576132
0.017998,0.107564,1551,2190,1222,2368,3186,2370,2049,3180,2972,1242,3341,2954,1632,2821,,0.653025,0.388557,0.117371,0.723243,0.751449,0.733100,0.233180,0.842068,0.871905,0.215179,0.734796,0.719917,0.266436,0.576132
0.018001,0.125565,1551,2190,1222,2367,3186,2370,2048,3180,2971,1242,3340,2953,1632,2821,,0.653025,0.388557,0.117371,0.722162,0.751449,0.733100,0.232258,0.842068,0.870829,0.215179,0.733799,0.719398,0.266436,0.576132
0.017957,0.143522,1551,2190,1222,2368,3186,2370,2049,3180,2972,1242,3340,2953,1632,2821,,0.653025,0.388557,0.117371,0.723243,0.751449,0.733100,0.233180,0.842068,0.871905,0.215179,0.733799,0.719398,0.266436,0.576132
0.018052,0.161575,1552,2190,1222,2368,3186,2370,2049,3179,2972,1242,3340,2954,1632,2821,,0.653618,0.388557,0.117371,0.723243,0.751449,0.733100,0.233180,0.841370,0.871905,0.215179,0.733799,0.719917,0.266436,0.576132
0.018000,0.179574,1552,2190,1221,2368,3186,2370,2048,3180,2972,1242,3340,2953,1631,2821,,0.653618,0.388557,0.116784,0.723243,0.751449,0.733100,0.232258,0.842068,0.871905,0.215179,0.733799,0.719398,0.265571,0.576132
0.017975,0.197549,1551,2189,1221,2367,3186,2369,2049,3179,2972,1241,3340,2953,1632,2821,,0.653025,0.387703,0.116784,0.722162,0.751449,0.732517,0.233180,0.841370,0.871905,0.214286,0.733799,0.719398,0.266436,0.576132
