GloveManager recording started on 10/20/16 at 17:49:43

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017485,0.017485,1506,2007,1242,2117,3303,1663,1937,2404,3007,1100,3005,2878,1498,2333,,0.626335,0.232280,0.129108,0.451892,0.826787,0.321096,0.129954,0.299790,0.909580,0.088393,0.399801,0.680498,0.150519,0.241427
0.018001,0.035486,1507,2007,1241,2117,3303,1662,1937,2404,3007,1099,3006,2878,1498,2334,,0.626928,0.232280,0.128521,0.451892,0.826787,0.320513,0.129954,0.299790,0.909580,0.087500,0.400798,0.680498,0.150519,0.242112
0.017997,0.053483,1507,2006,1241,2117,3303,1663,1937,2404,3007,1099,3005,2878,1497,2333,,0.626928,0.231426,0.128521,0.451892,0.826787,0.321096,0.129954,0.299790,0.909580,0.087500,0.399801,0.680498,0.149654,0.241427
0.017985,0.071467,1507,2006,1240,2117,3302,1662,1937,2404,3007,1099,3005,2878,1497,2332,,0.626928,0.231426,0.127934,0.451892,0.826143,0.320513,0.129954,0.299790,0.909580,0.087500,0.399801,0.680498,0.149654,0.240741
0.018017,0.089484,1507,2008,1240,2116,3302,1661,1937,2404,3006,1100,3005,2876,1497,2331,,0.626928,0.233134,0.127934,0.450811,0.826143,0.319930,0.129954,0.299790,0.908504,0.088393,0.399801,0.679461,0.149654,0.240055
0.018002,0.107486,1506,2006,1240,2116,3302,1661,1936,2404,3005,1100,3005,2876,1498,2331,,0.626335,0.231426,0.127934,0.450811,0.826143,0.319930,0.129032,0.299790,0.907427,0.088393,0.399801,0.679461,0.150519,0.240055
0.018021,0.125507,1507,2007,1239,2116,3302,1661,1936,2404,3005,1100,3005,2875,1498,2332,,0.626928,0.232280,0.127347,0.450811,0.826143,0.319930,0.129032,0.299790,0.907427,0.088393,0.399801,0.678942,0.150519,0.240741
0.017969,0.143476,1508,2007,1240,2117,3303,1662,1937,2404,3005,1100,3005,2875,1497,2331,,0.627521,0.232280,0.127934,0.451892,0.826787,0.320513,0.129954,0.299790,0.907427,0.088393,0.399801,0.678942,0.149654,0.240055
0.018015,0.161491,1508,2006,1241,2115,3303,1663,1936,2404,3005,1100,3005,2874,1496,2331,,0.627521,0.231426,0.128521,0.449730,0.826787,0.321096,0.129032,0.299790,0.907427,0.088393,0.399801,0.678423,0.148789,0.240055
0.018001,0.179492,1508,2006,1241,2115,3303,1663,1936,2404,3005,1100,3005,2874,1496,2331,,0.627521,0.231426,0.128521,0.449730,0.826787,0.321096,0.129032,0.299790,0.907427,0.088393,0.399801,0.678423,0.148789,0.240055
0.018000,0.197493,1507,2007,1241,2113,3303,1666,1936,2404,3005,1101,3005,2874,1498,2332,,0.626928,0.232280,0.128521,0.447568,0.826787,0.322844,0.129032,0.299790,0.907427,0.089286,0.399801,0.678423,0.150519,0.240741
0.017999,0.215492,1507,2007,1241,2113,3303,1666,1936,2404,3005,1101,3005,2874,1498,2332,,0.626928,0.232280,0.128521,0.447568,0.826787,0.322844,0.129032,0.299790,0.907427,0.089286,0.399801,0.678423,0.150519,0.240741
0.018002,0.233494,1507,2006,1241,2112,3304,1668,1935,2404,3003,1100,3006,2873,1498,2332,,0.626928,0.231426,0.128521,0.446486,0.827431,0.324009,0.128111,0.299790,0.905275,0.088393,0.400798,0.677905,0.150519,0.240741
0.017998,0.251493,1507,2006,1242,2111,3303,1667,1935,2404,3004,1101,3006,2873,1497,2331,,0.626928,0.231426,0.129108,0.445405,0.826787,0.323427,0.128111,0.299790,0.906351,0.089286,0.400798,0.677905,0.149654,0.240055
0.018003,0.269496,1507,2005,1243,2111,3304,1670,1936,2405,3005,1101,3006,2872,1498,2331,,0.626928,0.230572,0.129695,0.445405,0.827431,0.325175,0.129032,0.300489,0.907427,0.089286,0.400798,0.677386,0.150519,0.240055
